Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,8937.8,4.2,8.8,0,0,1.2,0.0
1,8934.6,6.6,8.4,0.2,0,2.2,0.0
2,8930.6,10.0,8.0,0.4,0,3.0,0.0
3,8919.0,19.8,7.4,1.6,0,4.2,0.0
4,8906.2,28.6,8.6,3.6,0,5.0,0.0
5,8888.0,42.0,10.2,5.4,0,6.4,0.0
6,8859.4,61.8,14.6,8.8,0,7.4,0.0
7,8797.6,109.8,22.2,14.0,0,8.4,0.0
8,8715.0,172.6,32.8,21.6,0,10.0,0.0
9,8612.8,241.4,50.2,32.8,0,14.8,0.0
10,8470.6,337.2,75.0,49.4,0,19.8,0.0
11,8285.8,458.6,107.6,69.0,0,31.0,0.0
12,8050.0,598.4,156.0,102.8,0,44.8,0.0
13,7747.4,784.6,216.2,141.4,0,62.4,0.0
14,7435.4,945.8,292.8,193.8,0,84.2,0.0
15,7087.6,1095.2,394.6,258.6,0,116.0,0.0
16,6713.6,1235.2,503.0,335.0,0,165.2,0.0
17,6344.0,1351.2,623.4,409.2,0,224.2,0.0
18,5971.0,1458.8,741.2,475.6,0,305.4,0.0
19,5614.2,1529.6,863.0,550.6,0,394.6,0.0
20,5309.8,1539.8,921.4,628.6,60.2,492.2,0.019111111111111113
21,5046.2,1504.0,942.6,702.4,148.8,608.0,0.04512098975074292
22,4831.2,1423.2,942.6,775.6,240.4,739.0,0.07108640369034241
23,4645.6,1317.2,950.2,834.0,333.0,872.0,0.09696016771488469
24,4488.8,1207.2,939.6,886.8,421.2,1008.4,0.12191733240708579
25,4343.2,1113.4,921.0,923.4,494.0,1157.0,0.14311373776000927
26,4211.2,1020.6,902.6,937.2,555.4,1325.0,0.1625973417647403
27,4094.2,943.6,874.2,940.4,607.2,1492.4,0.18042431806026027
28,3995.0,852.8,842.8,949.4,655.4,1656.6,0.19858199006181068
29,3895.8,784.0,804.6,943.8,699.2,1824.6,0.2163634113132814
30,3809.4,721.4,764.8,933.0,737.4,1986.0,0.23360577836913135
31,3736.0,660.0,719.4,919.0,768.4,2149.2,0.25055432372505543
32,3679.8,592.2,679.2,911.0,792.4,2297.4,0.26637084846040066
33,3626.8,535.6,633.0,888.2,815.4,2453.0,0.28389387925631915
34,3579.2,497.0,573.2,868.2,834.0,2600.4,0.3008223921512047
35,3535.2,455.2,525.0,842.8,853.0,2740.8,0.3187593423019432
36,3489.4,420.6,485.0,811.8,852.8,2892.4,0.3318029725313205
37,3455.2,386.4,442.0,779.6,852.4,3036.4,0.34644773207608515
38,3419.0,366.2,398.0,744.2,854.2,3170.4,0.36155083382713954
39,3396.8,325.2,370.0,722.0,844.6,3293.4,0.3734194004774958
40,3381.6,286.0,298.0,670.0,906.8,3409.6,0.41965938541281
41,3377.6,244.2,244.2,634.0,931.8,3520.2,0.45360724369584265
42,3366.4,221.4,193.2,604.2,941.2,3625.6,0.4802040816326531
43,3366.2,195.8,152.6,569.8,932.8,3734.8,0.5039438141545111
44,3360.4,177.2,110.4,537.8,930.2,3836.0,0.5298473456368193
45,3366.6,156.2,72.2,502.8,920.8,3933.4,0.5573849878934625
46,3372.4,140.4,45.4,473.4,895.4,4025.0,0.5759680946867362
47,3379.8,126.2,28.2,451.2,872.0,4094.6,0.5901461829994586
48,3386.2,115.4,19.6,423.0,838.8,4169.0,0.6005154639175257
49,3396.2,103.4,15.0,402.2,801.4,4233.8,0.6062027231467473
50,3406.8,94.0,15.2,380.8,765.2,4290.0,0.6096239643084768
51,3414.6,88.2,11.6,353.2,723.4,4361.0,0.6149268956137368
52,3423.0,81.4,10.0,333.6,686.2,4417.8,0.6175305975521959
53,3442.2,73.0,9.4,315.0,650.0,4462.4,0.6205843039908344
54,3456.8,68.2,11.2,300.4,613.2,4502.2,0.617522658610272
55,3472.0,62.0,7.4,283.0,581.0,4546.6,0.6224555388900793
