Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,8939.0,3.0,9.6,0,0,0.4,0.0
1,8934.8,7.2,8.8,0,0,1.2,0.0
2,8933.4,6.6,10.4,0.4,0,1.2,0.0
3,8921.8,16.8,10.4,0.6,0,2.4,0.0
4,8902.8,33.4,10.0,2.0,0,3.8,0.0
5,8876.8,53.0,12.4,5.6,0,4.2,0.0
6,8835.4,84.8,18.4,9.0,0,4.4,0.0
7,8787.8,114.4,27.8,16.6,0,5.4,0.0
8,8713.4,167.4,39.4,23.6,0,8.2,0.0
9,8590.0,256.8,56.6,37.4,0,11.2,0.0
10,8423.2,371.4,87.6,51.6,0,18.2,0.0
11,8211.8,512.6,121.2,78.6,0,27.8,0.0
12,7950.0,667.8,175.6,118.4,0,40.2,0.0
13,7657.6,825.0,242.8,166.2,0,60.4,0.0
14,7306.4,1009.8,320.8,225.2,0,89.8,0.0
15,6926.4,1191.8,416.8,285.8,0,131.2,0.0
16,6538.4,1345.4,527.4,357.6,0,183.2,0.0
17,6137.8,1476.4,656.8,433.8,0,247.2,0.0
18,5763.6,1558.4,785.2,526.4,0,318.4,0.0
19,5423.2,1600.2,907.0,608.8,0,412.8,0.0
20,5103.2,1588.8,1033.8,704.8,9.6,511.8,0.0028768354809709322
21,4800.8,1578.2,1138.4,787.4,18.8,628.4,0.005336664017258998
22,4522.4,1552.4,1229.2,858.8,26.4,762.8,0.007199738191338495
23,4275.8,1488.6,1316.8,923.0,33.4,914.4,0.008878728268382157
24,4059.8,1409.6,1404.2,977.2,38.8,1062.4,0.010131077340853308
25,3862.6,1328.4,1469.2,1013.6,44.6,1233.6,0.011566989989107318
26,3686.6,1241.6,1516.0,1046.2,50.6,1411.0,0.013127853881278538
27,3526.8,1173.6,1543.2,1064.4,57.2,1586.8,0.014902042517715715
28,3386.4,1088.6,1563.4,1087.2,62.4,1764.0,0.016414141414141416
29,3258.6,999.2,1567.6,1106.6,68.8,1951.2,0.018384907273796162
30,3127.8,950.8,1559.0,1100.8,74.4,2139.2,0.020189959294436906
31,3021.4,874.0,1554.0,1097.4,80.8,2324.4,0.022405856580333866
32,2925.6,813.0,1537.8,1092.8,85.0,2497.8,0.024088873774301422
33,2830.2,760.8,1515.2,1080.4,86.0,2679.4,0.024982570299790844
34,2752.4,711.8,1489.8,1059.0,90.2,2848.8,0.02691894472961681
35,2679.6,662.4,1459.8,1027.4,93.2,3029.6,0.028740594547921553
36,2614.8,620.6,1415.0,1003.0,94.6,3204.0,0.03019277416060258
37,2553.4,578.2,1383.6,980.2,99.0,3357.6,0.03255508056560342
38,2503.4,523.6,1355.8,959.6,100.0,3509.6,0.03402517863218782
39,2457.8,493.6,1308.2,928.2,99.8,3664.4,0.03526751007138313
40,2415.2,462.8,1251.2,901.8,115.4,3805.6,0.042252489748096075
41,2378.2,427.0,1195.8,873.4,130.6,3947.0,0.049718288411755754
42,2346.2,398.6,1136.0,836.6,142.6,4092.0,0.05672686769034928
43,2311.8,376.4,1077.2,809.8,156.8,4220.0,0.06478803404677301
44,2288.0,346.6,1022.0,776.4,167.2,4351.8,0.07231208372978117
45,2272.6,313.2,971.2,753.4,177.4,4464.2,0.08008306247742866
46,2256.0,293.6,921.0,724.6,188.8,4568.0,0.0887218045112782
47,2242.2,280.0,861.0,695.8,199.0,4674.0,0.09775027016406326
48,2226.6,258.4,809.4,672.6,207.6,4777.4,0.10657084188911704
49,2220.2,240.0,752.8,644.4,215.6,4879.0,0.1163644214162349
50,2214.2,228.4,703.6,619.0,223.8,4963.0,0.12609871534820827
51,2212.8,213.6,654.6,592.0,231.6,5047.4,0.1368956141387871
52,2214.0,200.0,618.4,566.0,239.0,5114.6,0.14722188000492792
53,2212.2,190.0,576.8,537.6,248.0,5187.4,0.1597526410718887
54,2212.8,177.8,533.4,517.6,253.2,5257.2,0.17085020242914975
55,2217.6,168.8,495.6,494.0,258.4,5317.6,0.18238283455674756
56,2216.4,164.6,458.8,470.4,259.2,5382.6,0.19157427937915741
57,2224.6,157.8,422.6,450.8,266.0,5430.2,0.20505704594511254
58,2226.4,149.8,388.8,430.2,270.2,5486.6,0.21807909604519773
59,2237.6,134.4,357.2,414.8,276.2,5531.8,0.2335531878910874
60,2243.0,128.6,314.6,395.6,295.4,5574.8,0.26044789278786806
61,2251.0,121.8,272.0,377.8,310.8,5618.6,0.28713968957871394
62,2264.8,116.4,231.8,361.8,324.0,5653.2,0.31334622823984526
63,2276.6,111.2,194.8,344.0,335.6,5689.8,0.3405032467532468
64,2299.4,102.6,157.6,322.0,346.4,5724.0,0.3730346758561275
65,2318.8,96.2,121.4,307.4,357.8,5750.4,0.40530131400090624
66,2333.4,89.6,88.2,294.0,372.0,5774.8,0.44086276368807775
67,2350.6,85.2,60.0,277.0,376.0,5803.2,0.47105988474066646
68,2370.4,80.6,35.2,257.6,379.0,5829.2,0.5037214247740562
69,2394.2,74.4,20.6,244.2,371.4,5847.2,0.5226569096538137
70,2421.2,63.8,18.8,228.4,356.0,5863.8,0.5337331334332833
71,2448.2,57.6,12.8,217.0,344.2,5872.2,0.5449651678277392
72,2468.0,55.0,12.0,205.2,329.6,5882.2,0.5476902625456963
73,2495.0,51.4,10.2,192.6,317.0,5885.8,0.5549719887955181
74,2520.2,48.6,10.6,181.8,302.4,5888.4,0.5564961354435038
75,2548.6,46.4,8.2,171.0,288.8,5889.0,0.5614307931570762
76,2576.6,44.2,7.8,161.6,274.6,5887.2,0.562474395739451
77,2603.4,43.2,4.8,152.6,263.6,5884.4,0.5678586816027574
78,2634.4,39.6,6.2,145.2,249.2,5877.4,0.5661063153112221
79,2660.0,40.0,5.8,138.0,233.4,5874.8,0.559443911792905
80,2692.8,37.6,5.2,130.0,221.8,5864.6,0.5620881905727318
81,2724.6,34.6,5.4,124.8,208.8,5853.8,0.5588865096359743
82,2753.0,32.6,4.6,117.2,199.8,5844.8,0.5640880858272163
83,2780.6,33.2,4.6,110.4,189.8,5833.4,0.5615384615384615
84,2808.6,32.4,3.6,103.2,181.6,5822.6,0.5660847880299252
85,2836.0,28.2,3.6,99.2,172.8,5812.2,0.5687952600394997
86,2860.8,27.2,3.6,96.2,164.8,5799.4,0.564770390678547
87,2886.8,25.6,4.4,93.2,153.8,5788.2,0.5552346570397112
88,2918.2,23.2,3.8,88.0,146.4,5772.4,0.560061208875287
89,2944.2,20.4,4.8,83.6,139.6,5759.4,0.5619967793880838
90,2967.2,22.2,3.8,79.8,137.6,5741.4,0.5653245686113394
91,2996.6,21.6,3.2,75.6,129.6,5725.4,0.5634782608695652
92,3023.6,23.0,1.6,70.8,124.0,5709.0,0.5651777575205105
93,3055.2,21.0,3.6,67.4,117.2,5687.6,0.5602294455066922
94,3084.4,19.2,2.8,64.0,113.2,5668.4,0.568273092369478
95,3107.8,17.2,2.4,63.2,109.6,5651.8,0.5696465696465697
96,3137.6,18.2,2.0,57.4,103.8,5633.0,0.5722160970231533
97,3165.0,16.0,3.4,53.0,95.8,5618.8,0.5695600475624257
98,3196.8,16.2,1.0,51.6,93.4,5593.0,0.5758323057953145
99,3223.8,18.0,1.4,48.8,87.2,5572.8,0.5611325611325613
100,3254.4,18.2,1.6,45.6,83.6,5548.6,0.5610738255033557
101,3279.6,18.4,1.8,45.0,78.2,5529.0,0.5453277545327755
102,3305.2,19.2,1.2,40.8,73.4,5512.2,0.5453194650817237
103,3330.8,18.0,3.8,38.8,70.6,5490.0,0.538109756097561
104,3355.0,15.2,3.0,37.4,69.0,5472.4,0.5537720706260032
105,3382.6,13.4,3.6,36.2,67.4,5448.8,0.5588723051409619
106,3409.6,15.6,1.6,35.4,67.0,5422.8,0.5602006688963211
107,3436.4,16.4,2.2,35.2,62.4,5399.4,0.5370051635111877
108,3462.2,16.0,1.4,35.2,62.2,5375.0,0.5418118466898955
109,3492.2,16.2,1.0,33.4,60.0,5349.2,0.5424954792043399
110,3516.2,14.4,2.6,32.6,57.6,5328.6,0.5373134328358209
111,3539.2,14.4,1.8,32.0,55.4,5309.2,0.5347490347490348
112,3570.0,12.4,2.2,31.0,54.6,5281.8,0.5449101796407185
113,3601.8,11.2,2.0,29.4,53.4,5254.2,0.55625
114,3632.2,10.2,2.2,27.0,51.4,5229.0,0.566079295154185
115,3657.4,11.0,1.2,24.8,49.2,5208.4,0.5707656612529003
116,3683.8,10.2,1.4,23.0,48.4,5185.2,0.5831325301204819
117,3713.4,9.8,2.0,21.8,45.0,5160.0,0.5725190839694657
118,3735.6,9.8,1.0,20.6,43.8,5141.2,0.5824468085106382
119,3760.2,9.8,0.2,20.6,40.6,5120.6,0.5702247191011236
120,3783.6,11.6,0.8,20.4,37.8,5097.8,0.5354107648725213
121,3812.4,9.0,2.2,21.0,36.6,5070.8,0.5319767441860465
122,3839.6,9.0,1.4,19.6,36.4,5046.0,0.5481927710843373
123,3869.6,10.2,1.0,17.0,35.6,5018.6,0.5579937304075235
124,3899.4,8.4,1.4,17.4,34.4,4991.0,0.5584415584415585
125,3929.8,7.2,1.4,16.6,33.6,4963.4,0.5714285714285714
126,3958.2,7.2,0.6,15.2,33.0,4937.8,0.5892857142857143
127,3983.4,6.6,1.0,14.0,31.0,4916.0,0.5893536121673003
128,4009.6,6.2,0.8,13.2,28.4,4893.8,0.5843621399176955
129,4036.6,6.8,1.4,12.4,27.6,4867.2,0.5726141078838174
130,4062.8,7.0,0.6,11.6,26.6,4843.4,0.5807860262008734
131,4087.6,5.8,1.2,11.4,25.4,4820.6,0.5799086757990868
132,4112.2,6.4,1.0,10.4,24.6,4797.4,0.580188679245283
133,4134.8,7.4,0.2,10.0,24.2,4775.4,0.5789473684210527
134,4159.0,7.6,0.6,9.8,22.8,4752.2,0.5588235294117647
135,4184.8,7.2,1.0,9.2,21.6,4728.2,0.5538461538461539
136,4207.8,7.6,1.2,8.4,20.6,4706.4,0.544973544973545
137,4234.8,8.6,0.2,8.0,21.2,4679.2,0.5578947368421052
138,4258.6,7.6,1.2,7.2,20.8,4656.6,0.5652173913043479
139,4283.6,6.6,1.2,6.6,21.8,4632.2,0.6022099447513812
140,4312.2,5.2,0.8,6.4,22.0,4605.4,0.6395348837209303
141,4335.0,5.6,0.4,6.0,21.0,4584.0,0.6363636363636364
142,4361.2,4.8,0.6,6.0,19.2,4560.2,0.6274509803921569
143,4382.4,4.6,0.2,6.0,17.8,4541.0,0.6223776223776224
144,4405.0,4.4,0.2,6.0,16.6,4519.8,0.6102941176470588
145,4427.8,4.2,0.2,6.2,16.0,4497.6,0.6015037593984962
146,4448.6,4.6,0.2,6.6,15.0,4477.0,0.5681818181818182
147,4470.4,4.8,0.4,6.4,14.2,4455.8,0.5503875968992248
148,4492.8,4.4,0.8,6.2,14.2,4433.6,0.5546874999999999
149,4515.0,5.2,0.8,4.8,14.4,4411.8,0.5714285714285714
