Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,8935.2,6.8,10.0,0,0,0,0.0
1,8931.2,8.8,11.4,0.2,0,0.4,0.0
2,8919.2,19.2,12.6,0.2,0,0.8,0.0
3,8899.0,34.2,15.8,1.6,0,1.4,0.0
4,8874.0,53.2,17.0,4.8,0,3.0,0.0
5,8825.6,89.6,23.4,8.6,0,4.8,0.0
6,8725.8,170.6,32.8,15.6,0,7.2,0.0
7,8610.4,252.2,49.6,27.8,0,12.0,0.0
8,8467.0,341.8,76.6,47.0,0,19.6,0.0
9,8300.6,433.2,116.6,72.8,0,28.8,0.0
10,8059.4,587.8,163.6,99.2,0,42.0,0.0
11,7769.6,758.2,223.0,142.4,0,58.8,0.0
12,7438.0,946.0,294.2,190.2,0,83.6,0.0
13,7101.0,1099.6,381.4,252.6,0,117.4,0.0
14,6743.4,1240.4,476.8,325.8,0,165.6,0.0
15,6377.6,1349.0,594.2,404.8,0,226.4,0.0
16,6053.0,1394.2,718.2,490.0,0,296.6,0.0
17,5713.2,1464.4,830.4,569.2,0,374.8,0.0
18,5403.8,1489.0,946.0,645.2,0,468.0,0.0
19,5111.2,1487.2,1052.0,722.0,0,579.6,0.0
20,4831.6,1488.2,1136.0,785.0,8.0,703.2,0.002341097974950252
21,4559.2,1472.6,1230.4,835.4,15.4,839.0,0.004333389611120491
22,4311.8,1437.4,1320.0,887.8,20.2,974.8,0.005510994707262509
23,4092.4,1372.8,1400.0,943.2,26.6,1117.0,0.0071073585208144075
24,3885.6,1311.4,1453.8,987.0,33.0,1281.2,0.008718165486632146
25,3700.4,1239.8,1498.8,1018.4,40.4,1454.2,0.010638858166113657
26,3518.6,1189.6,1534.4,1038.0,45.4,1626.0,0.011924147712349634
27,3346.4,1122.8,1555.4,1070.4,48.2,1808.8,0.012694900969237253
28,3196.2,1052.2,1573.8,1090.6,52.4,1986.8,0.013902892013796762
29,3062.2,975.2,1578.6,1101.0,56.2,2178.8,0.015144165992993803
30,2932.6,923.8,1575.8,1096.8,62.0,2361.0,0.016947299365842994
31,2826.0,870.0,1554.0,1089.8,67.2,2545.0,0.018765707902820443
32,2726.4,807.2,1534.2,1081.6,71.2,2731.4,0.020376624119970238
33,2636.4,743.0,1512.8,1071.6,73.2,2915.0,0.02152561312709522
34,2550.6,702.2,1481.0,1056.8,75.4,3086.0,0.022742353863787177
35,2474.2,653.6,1457.2,1036.6,79.6,3250.8,0.02466687325689495
36,2413.0,598.0,1427.6,1017.2,82.0,3414.2,0.02624167946748592
37,2347.8,565.6,1389.6,993.0,82.8,3573.2,0.027317716925107226
38,2295.2,525.4,1345.2,971.8,86.8,3727.6,0.029632664208657653
39,2256.0,481.0,1292.6,940.2,88.4,3893.8,0.03154664192420241
40,2221.6,438.6,1230.8,906.4,101.2,4053.4,0.03780351139335077
41,2188.0,410.0,1174.6,872.0,113.0,4194.4,0.04397571606475716
42,2156.8,383.8,1110.6,837.8,126.6,4336.4,0.051488530990727185
43,2128.8,353.2,1061.2,808.4,138.2,4462.2,0.058534519271495125
44,2100.4,334.4,1010.2,775.4,152.0,4579.6,0.06690140845070422
45,2083.4,312.4,957.6,751.6,162.0,4685.0,0.07418941198021616
46,2061.2,296.2,900.2,725.4,169.8,4799.2,0.08118187033849683
47,2043.8,274.6,856.0,690.0,178.8,4908.8,0.08942682804841454
48,2022.4,261.6,810.8,664.8,185.2,5007.2,0.09633791094465251
