Day,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,8930.6,11.4,9.4,0,0,0.6,0.0
1,8921.8,19.2,9.8,0.2,0,1.0,0.0
2,8910.0,28.2,10.4,1.8,0,1.6,0.0
3,8892.0,40.0,13.4,4.6,0,2.0,0.0
4,8843.8,79.0,17.8,8.0,0,3.4,0.0
5,8780.0,126.4,26.6,14.4,0,4.6,0.0
6,8689.8,192.8,38.6,23.4,0,7.4,0.0
7,8564.2,281.4,57.6,36.2,0,12.6,0.0
8,8423.2,366.6,89.0,55.0,0,18.2,0.0
9,8227.6,484.6,129.2,81.8,0,28.8,0.0
10,7995.2,622.2,173.0,116.4,0,45.2,0.0
11,7720.4,771.6,233.2,164.2,0,62.6,0.0
12,7407.4,943.2,299.2,209.8,0,92.4,0.0
13,7078.6,1091.4,383.0,269.6,0,129.4,0.0
14,6716.8,1240.6,478.4,341.6,0,174.6,0.0
15,6340.6,1369.6,598.2,414.8,0,228.8,0.0
16,5974.4,1450.4,731.4,496.0,0,299.8,0.0
17,5627.8,1496.0,870.4,578.6,0,379.2,0.0
18,5289.4,1539.0,984.2,661.4,0,478.0,0.0
19,4970.0,1555.4,1106.6,725.4,0,594.6,0.0
20,4667.0,1537.4,1205.8,804.6,9.6,727.6,0.002698600101197504
21,4393.4,1509.0,1299.4,865.8,17.4,867.0,0.004713403402318778
22,4138.2,1468.4,1380.2,922.4,25.4,1017.4,0.006690548941102096
23,3912.2,1403.8,1443.0,977.4,33.2,1182.4,0.008606833618499508
24,3708.0,1321.8,1514.0,1025.4,40.0,1342.8,0.010253255408592227
25,3513.0,1261.0,1555.2,1058.4,46.6,1517.8,0.01188411710700806
26,3337.2,1193.2,1588.8,1088.2,53.2,1691.4,0.013559667635214356
27,3178.8,1127.8,1602.0,1118.4,59.4,1865.6,0.015201146483775206
28,3023.6,1062.6,1618.2,1135.0,64.8,2047.8,0.016698448693501004
29,2891.8,993.0,1618.2,1143.2,68.6,2237.2,0.017944023018571804
30,2768.6,936.8,1620.6,1135.8,73.2,2417.0,0.019435004248088365
31,2659.6,881.0,1606.6,1122.8,77.2,2604.8,0.02093502549083415
32,2558.2,817.0,1587.2,1111.8,83.2,2794.6,0.023116248055123363
33,2466.2,761.6,1555.6,1095.0,88.2,2985.4,0.02519712032910525
34,2372.8,716.6,1522.0,1081.4,90.6,3168.6,0.026564240896030024
35,2295.0,669.4,1493.2,1059.4,91.6,3343.4,0.027643650410429745
36,2225.8,633.4,1442.4,1028.2,93.2,3529.0,0.02915050669335669
37,2170.4,580.4,1403.0,1007.8,94.4,3696.0,0.030593725693544207
38,2113.4,540.2,1374.0,990.8,98.2,3835.4,0.03269845498135322
39,2064.4,505.6,1325.2,964.2,99.0,3993.6,0.03420870767104354
