Day,Strategy,S_avg,E_avg,I_avg,A_avg,Q_avg,R_avg,Efficiency_avg
0,LocalGNTS-14,8937.6,4.4,9.0,0,0,1.0,0.0
1,LocalGNTS-14,8933.6,7.6,9.0,0.2,0,1.6,0.0
2,LocalGNTS-14,8927.0,12.2,9.2,1.4,0,2.2,0.0
3,LocalGNTS-14,8915.0,21.8,10.0,2.6,0,2.6,0.0
4,LocalGNTS-14,8890.4,44.0,10.8,3.4,0,3.4,0.0
5,LocalGNTS-14,8862.2,63.0,15.6,7.2,0,4.0,0.0
6,LocalGNTS-14,8819.0,94.8,22.6,10.8,0,4.8,0.0
7,LocalGNTS-14,8757.6,138.8,29.8,18.0,0,7.8,0.0
8,LocalGNTS-14,8679.8,188.4,44.6,27.2,0,12.0,0.0
9,LocalGNTS-14,8571.0,259.0,66.0,39.6,0,16.4,0.0
10,LocalGNTS-14,8400.8,377.8,91.0,57.8,0,24.6,0.0
11,LocalGNTS-14,8218.0,484.2,131.2,82.2,0,36.4,0.0
12,LocalGNTS-14,8000.8,601.6,181.0,116.6,0,52.0,0.0
13,LocalGNTS-14,7759.4,721.2,243.2,154.0,0,74.2,0.0
14,LocalGNTS-14,7495.0,831.8,315.2,207.0,0,103.0,0.0
15,LocalGNTS-14,7193.0,967.2,393.4,256.0,0,142.4,0.0
16,LocalGNTS-14,6868.4,1104.6,476.4,313.6,0,189.0,0.0
17,LocalGNTS-14,6528.4,1234.8,573.2,372.4,0,243.2,0.0
18,LocalGNTS-14,6196.2,1318.0,676.2,453.6,0,308.0,0.0
19,LocalGNTS-14,5876.4,1368.8,786.8,534.2,0,385.8,0.0
20,LocalGNTS-14,5576.6,1387.0,832.8,616.0,62.6,477.0,0.021598123102401324
21,LocalGNTS-14,5320.6,1362.6,849.2,684.8,151.6,583.2,0.049734269404894685
22,LocalGNTS-14,5069.6,1344.8,844.0,744.6,247.8,701.2,0.07789513391173142
23,LocalGNTS-14,4879.6,1267.6,841.0,797.0,339.0,827.8,0.10448129199284967
24,LocalGNTS-14,4703.6,1195.0,826.4,839.2,424.0,963.8,0.12908725567801252
25,LocalGNTS-14,4547.2,1106.8,820.6,867.8,495.4,1114.2,0.15055005166231084
26,LocalGNTS-14,4412.8,1024.2,805.2,884.6,558.8,1266.4,0.17074065020777313
27,LocalGNTS-14,4290.6,953.2,787.6,893.2,613.0,1414.4,0.18878965198644904
28,LocalGNTS-14,4185.4,867.8,759.2,904.4,662.6,1572.6,0.20745147150907953
29,LocalGNTS-14,4082.6,801.8,718.6,911.4,707.4,1730.2,0.22534403669724767
30,LocalGNTS-14,3996.0,741.2,681.6,910.4,740.2,1882.6,0.24084076267326085
31,LocalGNTS-14,3920.6,678.8,643.4,903.2,770.6,2035.4,0.2572096128170895
32,LocalGNTS-14,3857.6,620.6,601.2,888.0,794.2,2190.4,0.2734848484848485
33,LocalGNTS-14,3801.8,565.0,569.6,869.2,806.8,2339.6,0.28705614459546
34,LocalGNTS-14,3748.8,522.0,531.4,839.2,821.2,2489.4,0.30260151816640873
35,LocalGNTS-14,3698.4,477.8,489.2,812.2,839.6,2634.8,0.3206048571864976
36,LocalGNTS-14,3665.6,428.4,451.0,788.6,849.6,2768.8,0.3374642516682555
37,LocalGNTS-14,3630.6,392.8,416.2,760.0,847.0,2905.4,0.35057947019867547
38,LocalGNTS-14,3602.0,362.4,387.0,729.0,840.0,3031.6,0.36231884057971014
39,LocalGNTS-14,3581.6,328.2,349.2,699.4,833.4,3160.2,0.3770699484209574
40,LocalGNTS-14,3569.6,277.8,284.6,648.6,889.6,3281.8,0.42349804817671144
41,LocalGNTS-14,3558.2,242.2,228.4,611.8,908.4,3403.0,0.456298975286317
42,LocalGNTS-14,3551.0,211.4,183.2,577.0,914.0,3515.4,0.4847263470513365
43,LocalGNTS-14,3544.8,186.0,138.4,554.2,906.0,3622.6,0.507676790317158
