Velocity (Beta),Modularity (Network),Best GNTS Ratio,Best Heuristic Ratio,GNTS Advantage
Fast (0.040),SBM-5k-Zero,0.46305760739898183,0.3715142476632425,0.09154335973573935
Fast (0.040),SBM-5k-Low,0.46309120101644785,0.37804173910209415,0.0850494619143537
Fast (0.040),SBM-5k-Med,0.49703109365929576,0.3955006897738447,0.10153040388545104
Fast (0.040),SBM-5k-High,0.5439573787595359,0.44879091019799827,0.0951664685615376
Fast (0.040),SBM-5k-Max,0.46808312947914243,0.4663913674233216,0.0016917620558208335
Med-Fast (0.018),SBM-5k-Zero,0.45867283848858936,0.37982577719146005,0.07884706129712932
Med-Fast (0.018),SBM-5k-Low,0.4751039109742826,0.3943450020982465,0.0807589088760361
Med-Fast (0.018),SBM-5k-Med,0.5063128625356754,0.40584816525382406,0.10046469728185137
Med-Fast (0.018),SBM-5k-High,0.44751338507836486,0.40311585855323334,0.044397526525131514
Med-Fast (0.018),SBM-5k-Max,0.537045920091361,0.517757725274187,0.01928819481717403
Medium (0.010),SBM-5k-Zero,0.49571627408202834,0.44089499652841785,0.05482127755361049
Medium (0.010),SBM-5k-Low,0.46912850874895956,0.4447358344984189,0.024392674250540647
Medium (0.010),SBM-5k-Med,0.4658733735189967,0.44906279311709085,0.01681058040190586
Medium (0.010),SBM-5k-High,0.4085741743678152,0.45126474396420857,-0.04269056959639339
Medium (0.010),SBM-5k-Max,0.3881462307608207,0.43577217353580566,-0.04762594277498494
Med-Slow (0.006),SBM-5k-Zero,0.4353132498150421,0.44414846165420296,-0.008835211839160861
Med-Slow (0.006),SBM-5k-Low,0.4194900868642736,0.4238727967198792,-0.0043827098556056265
Med-Slow (0.006),SBM-5k-Med,0.40773190376928065,0.46118404717684935,-0.05345214340756871
Med-Slow (0.006),SBM-5k-High,0.34169068932246816,0.3888357690409788,-0.04714507971851062
Med-Slow (0.006),SBM-5k-Max,0.24566516338429883,0.32158277929725887,-0.07591761591296003
Slow (0.004),SBM-5k-Zero,0.41516683409248767,0.43529950882705926,-0.020132674734571587
Slow (0.004),SBM-5k-Low,0.4119426513877119,0.45167903504366674,-0.03973638365595483
Slow (0.004),SBM-5k-Med,0.3464928483799355,0.3480851860199478,-0.0015923376400123201
Slow (0.004),SBM-5k-High,0.20608671749392973,0.20242991569833674,0.0036568017955929955
Slow (0.004),SBM-5k-Max,0.20011828714113541,0.19449977700661908,0.005618510134516336
