Network,Strategy,avg_quarantine_efficiency,peak_infections,time_to_peak,positive_test_rate
SBM-1k,LocalGNTS-14,0.4591,42.4,19,0.4591
SBM-1k,GlobalGNTS-14,0.3923,29.6,19,0.3923
SBM-1k,Beta-Binomial-14,0.4495,40.0,19,0.4495
SBM-1k,Proportional,0.4488,40.2,19,0.4488
SBM-1k,Uniform,0.4292,37.4,19,0.4292
SBM-1k,Random,0.4666,49.4,19,0.4666
SBM-2k,LocalGNTS-14,0.5275,435.0,31,0.5275
SBM-2k,GlobalGNTS-14,0.5599,495.4,31,0.5599
SBM-2k,Beta-Binomial-14,0.488,770.4,33,0.488
SBM-2k,Proportional,0.4534,764.4,34,0.4534
SBM-2k,Uniform,0.4779,743.0,34,0.4779
SBM-2k,Random,0.5021,743.6,34,0.5021
SBM-3k,LocalGNTS-14,0.4789,1562.6,21,0.4789
SBM-3k,GlobalGNTS-14,0.4656,1557.6,22,0.4656
SBM-3k,Beta-Binomial-14,0.4569,1594.0,22,0.4569
SBM-3k,Proportional,0.4356,1574.0,22,0.4356
SBM-3k,Uniform,0.4616,1583.6,22,0.4616
SBM-3k,Random,0.4515,1566.0,22,0.4515
SBM-4k,LocalGNTS-14,0.5398,1849.8,23,0.5398
SBM-4k,GlobalGNTS-14,0.5439,1848.0,23,0.5439
SBM-4k,Beta-Binomial-14,0.4015,2064.0,25,0.4015
SBM-4k,Proportional,0.3888,2074.8,24,0.3888
SBM-4k,Uniform,0.3782,2051.0,25,0.3782
SBM-4k,Random,0.388,2046.6,24,0.388
SBM-5k-Zero,LocalGNTS-14,0.4656,2849.6,18,0.4656
SBM-5k-Zero,GlobalGNTS-14,0.4662,2833.6,17,0.4662
SBM-5k-Zero,Beta-Binomial-14,0.3545,2841.0,17,0.3545
SBM-5k-Zero,Proportional,0.3717,2848.4,18,0.3717
SBM-5k-Zero,Uniform,0.3698,2841.8,18,0.3698
SBM-5k-Zero,Random,0.3681,2840.8,18,0.3681
SBM-5k-Low,LocalGNTS-14,0.462,2798.6,19,0.462
SBM-5k-Low,GlobalGNTS-14,0.4655,2825.8,19,0.4655
SBM-5k-Low,Beta-Binomial-14,0.364,2807.0,20,0.364
SBM-5k-Low,Proportional,0.3874,2837.2,19,0.3874
SBM-5k-Low,Uniform,0.3745,2842.0,19,0.3745
SBM-5k-Low,Random,0.3817,2783.4,19,0.3817
SBM-5k-Med,LocalGNTS-14,0.4626,2687.0,21,0.4626
SBM-5k-Med,GlobalGNTS-14,0.4704,2723.2,20,0.4704
SBM-5k-Med,Beta-Binomial-14,0.3908,2737.6,21,0.3908
SBM-5k-Med,Proportional,0.372,2763.6,21,0.372
SBM-5k-Med,Uniform,0.3726,2722.6,21,0.3726
SBM-5k-Med,Random,0.378,2699.2,21,0.378
SBM-5k-High,LocalGNTS-14,0.5174,1945.8,30,0.5174
SBM-5k-High,GlobalGNTS-14,0.524,1906.8,31,0.524
SBM-5k-High,Beta-Binomial-14,0.4336,2213.2,30,0.4336
SBM-5k-High,Proportional,0.4439,2252.0,31,0.4439
SBM-5k-High,Uniform,0.4132,2149.2,32,0.4132
SBM-5k-High,Random,0.4335,2217.0,30,0.4335
SBM-5k-Max,LocalGNTS-14,0.4628,724.0,27,0.4628
SBM-5k-Max,GlobalGNTS-14,0.4611,774.6,27,0.4611
SBM-5k-Max,Beta-Binomial-14,0.4016,1174.8,40,0.4016
SBM-5k-Max,Proportional,0.398,1261.0,39,0.398
SBM-5k-Max,Uniform,0.4148,1080.6,43,0.4148
SBM-5k-Max,Random,0.4097,1164.4,33,0.4097
Orkut,LocalGNTS-14,0.5294,3964.0,21,0.5294
Orkut,GlobalGNTS-14,0.5335,3899.2,21,0.5335
Orkut,Beta-Binomial-14,0.302,4255.4,24,0.302
Orkut,Proportional,0.3165,4185.0,24,0.3165
Orkut,Uniform,0.3043,4220.4,23,0.3043
Orkut,Random,0.3011,4273.0,23,0.3011
LiveJournal,LocalGNTS-14,0.4042,2824.0,27,0.4042
LiveJournal,GlobalGNTS-14,0.411,2867.6,26,0.411
LiveJournal,Beta-Binomial-14,0.2961,3088.6,28,0.2961
LiveJournal,Proportional,0.3705,3150.0,29,0.3705
LiveJournal,Uniform,0.1147,3183.0,27,0.1147
LiveJournal,Random,0.1056,3166.6,31,0.1056
Youtube,LocalGNTS-14,0.4457,1844.4,25,0.4457
Youtube,GlobalGNTS-14,0.4608,1526.2,27,0.4608
Youtube,Beta-Binomial-14,0.3019,2593.2,28,0.3019
Youtube,Proportional,0.33,2621.2,30,0.33
Youtube,Uniform,0.3081,2761.4,29,0.3081
Youtube,Random,0.2938,2570.4,29,0.2938
