Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.02053388090349076
21,0,0.03506650544135429
22,0,0.04866310160427807
23,0,0.06116642958748222
24,0,0.07049608355091384
25,0,0.07930756843800323
26,0,0.08494501327265833
27,0,0.09176300578034682
28,0,0.09912434325744308
29,0,0.10519172039362062
30,0,0.10882749326145552
31,0,0.11475409836065574
32,0,0.12425049966688874
33,0,0.12951096121416525
34,0,0.13715455475946775
35,0,0.14365999297506146
36,0,0.15142753885074087
37,0,0.16246290801186944
38,0,0.17051578137028484
39,0,0.18357487922705315
40,0,0.23035343035343037
41,0,0.27470613844144537
42,0,0.32034830430797434
43,0,0.3711938134364427
44,0,0.4232534421213667
45,0,0.4735991379310345
46,0,0.5253272623790552
47,0,0.5708206686930091
48,0,0.6260477111540941
49,0,0.6736486486486486
50,0,0.715629522431259
51,0,0.751937984496124
52,0,0.7728395061728395
53,0,0.7945804195804196
54,0,0.8157156220767072
55,0,0.8194444444444444
56,0,0.8154008438818565
57,0,0.8149829738933031
58,0,0.8178484107579462
59,0,0.8198433420365535
60,0,0.8178025034770514
61,0,0.8220588235294117
62,0,0.8167456556082149
63,0,0.8195615514333895
64,0,0.815742397137746
65,0,0.8116760828625236
66,0,0.8084677419354839
67,0,0.8056768558951966
68,0,0.7981438515081206
69,0,0.795
70,0,0.7973684210526316
71,0,0.7828571428571428
72,0,0.7794561933534743
73,0,0.7684887459807074
74,0,0.7581699346405228
75,0,0.7665505226480837
76,0,0.7564575645756457
77,0,0.7391304347826086
78,0,0.7148760330578512
79,0,0.7142857142857143
80,0,0.717391304347826
81,0,0.7122641509433962
82,0,0.7025641025641025
83,0,0.6827956989247311
84,0,0.6742857142857143
85,0,0.6647398843930635
86,0,0.6645161290322581
87,0,0.6438356164383562
88,0,0.6690140845070423
89,0,0.6564885496183206
90,0,0.6370967741935484
91,0,0.639344262295082
92,0,0.6428571428571429
93,0,0.65
94,0,0.6548672566371682
95,0,0.6756756756756757
96,0,0.6320754716981132
97,0,0.6213592233009708
98,0,0.63
99,0,0.648936170212766
100,0,0.6263736263736264
101,0,0.6363636363636364
102,0,0.5952380952380952
103,0,0.6708860759493671
104,0,0.6410256410256411
105,0,0.6410256410256411
106,0,0.6282051282051282
107,0,0.64
108,0,0.6285714285714286
109,0,0.6363636363636364
110,0,0.6451612903225806
111,0,0.6379310344827587
112,0,0.6666666666666666
113,0,0.6727272727272727
114,0,0.6851851851851852
115,0,0.7058823529411765
116,0,0.7142857142857143
117,0,0.6888888888888889
118,0,0.6744186046511628
119,0,0.7142857142857143
120,0,0.6590909090909091
121,0,0.6470588235294118
122,0,0.6326530612244898
123,0,0.6304347826086957
124,0,0.5952380952380952
125,0,0.5853658536585366
126,0,0.5777777777777777
127,0,0.5909090909090909
128,0,0.6511627906976745
129,0,0.575
130,0,0.5227272727272727
131,0,0.48936170212765956
132,0,0.5217391304347826
133,0,0.5434782608695652
134,0,0.5454545454545454
135,0,0.525
136,0,0.5128205128205128
137,0,0.47619047619047616
138,0,0.4878048780487805
139,0,0.55
140,0,0.4772727272727273
141,0,0.5454545454545454
142,0,0.5777777777777777
143,0,0.6590909090909091
144,0,0.6428571428571429
145,0,0.5952380952380952
146,0,0.5813953488372093
147,0,0.6046511627906976
148,0,0.725
149,0,0.7368421052631579
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
