Network_Name,Modularity,Clustering,Network_Fitness,Size
Fragmented_1k,0.08396264233436065,0.005948755046123467,0.18420514481588557,1000
Core-Periphery_2k,0.09084705618789464,0.006897616312746546,0.2591349347610354,2000
Bimodal_3k,0.16969971845634227,0.00789852095620027,0.6697053540771825,3000
Pyramidal_4k,0.10991412586542244,0.005976150321506552,0.20988763852121634,4000
Heterogeneous_5k,0.13358979826513181,0.006308886659454903,0.32708737983517944,5000
SBM_5k_Zero_Modularity,-0.00041718569819984216,0.009958171754790345,0.19947383889354428,5000
SBM_5k_Low_Modularity,0.05046684047244491,0.008090276650110214,0.24753739833909605,5000
SBM_5k_Medium_Modularity,0.13358979826513181,0.006308886659454903,0.32708737983517944,5000
SBM_5k_High_Modularity,0.48296748923117816,0.005301668510429331,0.6890087264312849,5000
SBM_5k_Max_Modularity,0.7235863522117898,0.009518353134209881,1.0,5000
