Network,N_nodes,Run,Old_sec,New_sec,Speedup
SBM-1k,1000,1,0.1696,0.2122,0.8
SBM-1k,1000,2,0.1562,0.218,0.72
SBM-1k,1000,3,0.1609,0.2057,0.78
SBM-1k,1000,4,0.1512,0.2004,0.75
SBM-1k,1000,5,0.1563,0.1969,0.79
SBM-1k,1000,6,0.1551,0.1945,0.8
SBM-1k,1000,7,0.1503,0.1992,0.75
SBM-1k,1000,8,0.1583,0.1919,0.83
SBM-1k,1000,9,0.1604,0.1877,0.85
SBM-1k,1000,10,0.152,0.2075,0.73
SBM-1k,1000,11,0.1453,0.1897,0.77
SBM-1k,1000,12,0.1635,0.2035,0.8
SBM-1k,1000,13,0.1538,0.1941,0.79
SBM-1k,1000,14,0.1534,0.2108,0.73
SBM-1k,1000,15,0.1514,0.2034,0.74
SBM-1k,1000,16,0.1626,0.2018,0.81
SBM-1k,1000,17,0.1555,0.1932,0.8
SBM-1k,1000,18,0.1501,0.1968,0.76
SBM-1k,1000,19,0.1565,0.21,0.75
SBM-1k,1000,20,0.1558,0.1846,0.84
SBM-2k,2000,1,0.421,0.4058,1.04
SBM-2k,2000,2,0.4319,0.3989,1.08
SBM-2k,2000,3,0.4972,0.4271,1.16
SBM-2k,2000,4,0.4593,0.4337,1.06
SBM-2k,2000,5,0.443,0.3952,1.12
SBM-2k,2000,6,0.4252,0.4287,0.99
SBM-2k,2000,7,0.4267,0.3945,1.08
SBM-2k,2000,8,0.4176,0.3935,1.06
SBM-2k,2000,9,0.4397,0.4189,1.05
SBM-2k,2000,10,0.4375,0.4436,0.99
SBM-2k,2000,11,0.4547,0.4188,1.09
SBM-2k,2000,12,0.5051,0.4432,1.14
SBM-2k,2000,13,0.4546,0.4092,1.11
SBM-2k,2000,14,0.4342,0.3792,1.15
SBM-2k,2000,15,0.4173,0.3989,1.05
SBM-2k,2000,16,0.4194,0.3915,1.07
SBM-2k,2000,17,0.436,0.3932,1.11
SBM-2k,2000,18,0.4177,0.384,1.09
SBM-2k,2000,19,0.4246,0.407,1.04
SBM-2k,2000,20,0.4185,0.3873,1.08
SBM-3k,3000,1,0.9133,0.6024,1.52
SBM-3k,3000,2,0.9266,0.6211,1.49
SBM-3k,3000,3,0.8988,0.614,1.46
SBM-3k,3000,4,0.913,0.6274,1.46
SBM-3k,3000,5,0.9416,0.643,1.46
SBM-3k,3000,6,0.9577,0.626,1.53
SBM-3k,3000,7,0.9151,0.6028,1.52
SBM-3k,3000,8,0.9018,0.62,1.45
SBM-3k,3000,9,0.8931,0.6067,1.47
SBM-3k,3000,10,0.9036,0.6277,1.44
SBM-3k,3000,11,0.8998,0.6047,1.49
SBM-3k,3000,12,0.9316,0.6254,1.49
SBM-3k,3000,13,0.9062,0.6299,1.44
SBM-3k,3000,14,0.9199,0.607,1.52
SBM-3k,3000,15,0.9337,0.6211,1.5
SBM-3k,3000,16,0.8969,0.6214,1.44
SBM-3k,3000,17,0.9002,0.6167,1.46
SBM-3k,3000,18,0.9264,0.6379,1.45
SBM-3k,3000,19,0.9206,0.6292,1.46
SBM-3k,3000,20,0.9228,0.6325,1.46
SBM-4k,4000,1,1.2693,0.8437,1.5
SBM-4k,4000,2,1.2324,0.8382,1.47
SBM-4k,4000,3,1.2386,0.8265,1.5
SBM-4k,4000,4,1.2684,0.8439,1.5
SBM-4k,4000,5,1.2508,0.8258,1.51
SBM-4k,4000,6,1.2843,0.8275,1.55
SBM-4k,4000,7,1.2982,0.8037,1.62
SBM-4k,4000,8,1.2434,0.8176,1.52
SBM-4k,4000,9,1.2641,0.8069,1.57
SBM-4k,4000,10,1.2409,0.8772,1.41
SBM-4k,4000,11,1.2906,0.8275,1.56
SBM-4k,4000,12,1.2631,0.8297,1.52
SBM-4k,4000,13,1.3023,0.8447,1.54
SBM-4k,4000,14,1.2752,0.8313,1.53
SBM-4k,4000,15,1.283,0.827,1.55
SBM-4k,4000,16,1.2937,0.8615,1.5
SBM-4k,4000,17,1.2378,0.8241,1.5
SBM-4k,4000,18,1.274,0.8367,1.52
SBM-4k,4000,19,1.2551,0.8344,1.5
SBM-4k,4000,20,1.264,0.8467,1.49
