expt_name,network_name,infection_peak,model,detection_ratio
Peak_25,SBM-1k,19,LocalGNTS_14,0.4709361191654514
Peak_25,SBM-1k,19,GlobalGNTS_14,0.46846634011468175
Peak_25,SBM-1k,19,Beta_Binomial_14,0.4328966094899531
Peak_25,SBM-1k,19,Proportional,0.42304601067114694
Peak_25,SBM-1k,19,Uniform,0.45294744602000864
Peak_25,SBM-1k,19,Random,0.4918026148091089
Peak_25,SBM-2k,32,LocalGNTS_14,0.528099177637655
Peak_25,SBM-2k,20,GlobalGNTS_14,0.5122581975306891
Peak_25,SBM-2k,36,Beta_Binomial_14,0.5803353323609891
Peak_25,SBM-2k,35,Proportional,0.49274200796381024
Peak_25,SBM-2k,34,Uniform,0.5034236148421779
Peak_25,SBM-2k,34,Random,0.4926176107324695
Peak_25,SBM-3k,22,LocalGNTS_14,0.4689434183990524
Peak_25,SBM-3k,21,GlobalGNTS_14,0.45689237503794744
Peak_25,SBM-3k,22,Beta_Binomial_14,0.47226962216090346
Peak_25,SBM-3k,22,Proportional,0.46434235592908085
Peak_25,SBM-3k,22,Uniform,0.4843869615635354
Peak_25,SBM-3k,22,Random,0.46828597327599386
Peak_25,SBM-4k,23,LocalGNTS_14,0.5329853303238606
Peak_25,SBM-4k,22,GlobalGNTS_14,0.5352123412978776
Peak_25,SBM-4k,24,Beta_Binomial_14,0.41487951798237116
Peak_25,SBM-4k,25,Proportional,0.3961279521223535
Peak_25,SBM-4k,24,Uniform,0.38465740986928193
Peak_25,SBM-4k,24,Random,0.38223446145806655
Peak_25,SBM-5k-Med,21,LocalGNTS_14,0.4715390425334875
Peak_25,SBM-5k-Med,21,GlobalGNTS_14,0.47524531071498777
Peak_25,SBM-5k-Med,21,Beta_Binomial_14,0.3842974946948676
Peak_25,SBM-5k-Med,21,Proportional,0.3817471864009349
Peak_25,SBM-5k-Med,21,Uniform,0.37731307606895487
Peak_25,SBM-5k-Med,21,Random,0.3796145259835542
Peak_40,SBM-1k,0,LocalGNTS_14,0.3551318837331788
Peak_40,SBM-1k,19,GlobalGNTS_14,0.4336519170046815
Peak_40,SBM-1k,8,Beta_Binomial_14,0.4622266443658076
Peak_40,SBM-1k,19,Proportional,0.42893485112154023
Peak_40,SBM-1k,19,Uniform,0.5628547021305091
Peak_40,SBM-1k,15,Random,0.4661350191210939
Peak_40,SBM-2k,19,LocalGNTS_14,0.45607668904947685
Peak_40,SBM-2k,19,GlobalGNTS_14,0.4462124832914448
Peak_40,SBM-2k,39,Beta_Binomial_14,0.47782838335234185
Peak_40,SBM-2k,39,Proportional,0.4143461711135286
Peak_40,SBM-2k,46,Uniform,0.42091320111196506
Peak_40,SBM-2k,44,Random,0.4353498095733292
Peak_40,SBM-3k,27,LocalGNTS_14,0.4692850579278767
Peak_40,SBM-3k,28,GlobalGNTS_14,0.45571856711998115
Peak_40,SBM-3k,29,Beta_Binomial_14,0.49845936606157165
Peak_40,SBM-3k,29,Proportional,0.4743696641060058
