Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9284.4,12.6,10.0,0.0,0.0,0.0,10000.0,2136.0,5548.4
1,9274.4,20.2,10.4,1.4,0.0,0.6,10000.0,2136.0,5548.4
2,9259.0,31.0,13.0,2.6,0.0,1.4,10000.0,2136.0,5548.4
3,9229.8,54.6,13.6,5.6,0.0,3.4,10000.0,2136.0,5548.4
4,9189.0,86.4,18.4,7.4,0.0,5.8,10000.0,2136.0,5548.4
5,9137.2,121.4,27.4,13.0,0.0,8.0,10000.0,2136.0,5548.4
6,9046.0,186.8,39.4,23.6,0.0,11.2,10000.0,2136.0,5548.4
7,8910.2,283.0,57.0,41.2,0.0,15.6,10000.0,2136.0,5548.4
8,8688.4,449.2,83.6,61.6,0.0,24.2,10000.0,2136.0,5548.4
9,8414.2,633.4,128.8,94.4,0.0,36.2,10000.0,2136.0,5548.4
10,8060.8,858.6,194.6,140.4,0.0,52.6,10000.0,2136.0,5548.4
11,7657.0,1090.8,286.4,193.6,0.0,79.2,10000.0,2136.0,5548.4
12,7212.8,1317.4,397.2,270.8,0.0,108.8,10000.0,2136.0,5548.4
13,6747.2,1521.0,518.4,362.6,0.0,157.8,10000.0,2136.0,5548.4
14,6296.8,1656.8,674.0,461.2,0.0,218.2,10000.0,2136.0,5548.4
15,5865.0,1761.6,821.4,558.6,0.0,300.4,10000.0,2136.0,5548.4
16,5435.2,1848.4,971.4,654.4,0.0,397.6,10000.0,2136.0,5548.4
17,5037.0,1875.8,1137.2,747.4,0.0,509.6,10000.0,2136.0,5548.4
18,4690.2,1838.4,1283.6,857.4,0.0,637.4,10000.0,2136.0,5548.4
19,4352.8,1807.6,1415.4,948.8,0.0,782.4,10000.0,2136.0,5548.4
20,4076.4,1736.0,1518.6,1015.8,12.4,947.8,10000.0,2136.0,5548.4
21,3812.0,1659.2,1608.6,1075.2,24.0,1128.0,10000.0,2136.0,5548.4
22,3573.6,1569.8,1678.4,1131.2,39.2,1314.8,10000.0,2136.0,5548.4
23,3351.8,1483.2,1732.4,1175.6,53.0,1511.0,10000.0,2136.0,5548.4
24,3153.0,1402.6,1762.8,1209.0,66.2,1713.4,10000.0,2136.0,5548.4
25,2971.2,1311.4,1778.0,1247.2,81.2,1918.0,10000.0,2136.0,5548.4
26,2814.8,1227.4,1786.0,1247.8,93.2,2137.8,10000.0,2136.0,5548.4
27,2670.2,1136.6,1796.0,1253.2,105.6,2345.4,10000.0,2136.0,5548.4
28,2529.0,1061.4,1792.2,1254.2,114.8,2555.4,10000.0,2136.0,5548.4
29,2393.6,997.8,1767.8,1244.8,125.2,2777.8,10000.0,2136.0,5548.4
30,2266.2,950.0,1740.0,1231.8,132.6,2986.4,10000.0,2136.0,5548.4
31,2146.8,892.4,1704.6,1221.4,144.2,3197.6,10000.0,2136.0,5548.4
32,2026.4,847.4,1675.6,1213.8,151.6,3392.2,10000.0,2136.0,5548.4
33,1905.8,804.0,1645.6,1200.4,157.4,3593.8,10000.0,2136.0,5548.4
34,1805.2,760.6,1609.0,1177.4,164.8,3790.0,10000.0,2136.0,5548.4
35,1706.6,729.2,1558.6,1152.4,169.6,3990.6,10000.0,2136.0,5548.4
36,1616.2,698.6,1517.6,1125.6,176.6,4172.4,10000.0,2136.0,5548.4
37,1531.2,674.0,1478.2,1106.0,181.0,4336.6,10000.0,2136.0,5548.4
38,1448.8,636.2,1453.2,1073.8,185.0,4510.0,10000.0,2136.0,5548.4
39,1379.4,598.2,1418.4,1049.0,190.2,4671.8,10000.0,2136.0,5548.4
40,1317.8,565.4,1354.0,1013.6,223.4,4832.8,10000.0,2136.0,5548.4
41,1261.8,539.8,1287.6,985.0,250.2,4982.6,10000.0,2136.0,5548.4
42,1217.8,500.0,1221.8,956.8,275.6,5135.0,10000.0,2136.0,5548.4
43,1169.6,475.0,1158.0,931.2,300.4,5272.8,10000.0,2136.0,5548.4
44,1126.6,451.8,1087.6,900.6,327.0,5413.4,10000.0,2136.0,5548.4
45,1091.2,428.0,1022.0,872.8,349.2,5543.8,10000.0,2136.0,5548.4
46,1059.8,407.2,955.6,842.0,368.2,5674.2,10000.0,2136.0,5548.4
47,1022.8,389.6,884.6,817.0,387.6,5805.4,10000.0,2136.0,5548.4
48,999.4,360.2,825.0,789.6,406.8,5926.0,10000.0,2136.0,5548.4
49,984.8,339.6,768.4,758.4,421.4,6034.4,10000.0,2136.0,5548.4
50,965.0,326.0,709.2,730.4,440.6,6135.8,10000.0,2136.0,5548.4
51,950.8,311.8,650.2,703.0,459.2,6232.0,10000.0,2136.0,5548.4
52,947.0,296.0,584.4,671.8,473.6,6334.2,10000.0,2136.0,5548.4
53,942.6,277.2,533.6,640.2,488.6,6424.8,10000.0,2136.0,5548.4
54,945.6,257.4,477.4,618.6,502.0,6506.0,10000.0,2136.0,5548.4
55,942.8,245.4,425.2,593.6,515.6,6584.4,10000.0,2136.0,5548.4
56,951.8,226.8,376.4,570.2,527.2,6654.6,10000.0,2136.0,5548.4
57,959.2,207.8,336.6,547.6,530.8,6725.0,10000.0,2136.0,5548.4
58,965.2,191.2,308.8,519.8,535.4,6786.6,10000.0,2136.0,5548.4
59,979.8,173.2,282.4,494.8,537.2,6839.6,10000.0,2136.0,5548.4
60,995.8,161.6,251.2,454.2,552.8,6891.4,10000.0,2136.0,5548.4
61,1017.6,143.4,221.4,423.2,557.6,6943.8,10000.0,2136.0,5548.4
62,1042.0,131.4,205.2,389.6,550.6,6988.2,10000.0,2136.0,5548.4
63,1057.2,120.8,176.4,369.6,551.2,7031.8,10000.0,2136.0,5548.4
64,1077.4,112.0,147.6,341.4,557.0,7071.6,10000.0,2136.0,5548.4
65,1101.8,100.4,130.4,314.2,559.0,7101.2,10000.0,2136.0,5548.4
66,1134.2,85.8,110.2,284.2,557.2,7135.4,10000.0,2136.0,5548.4
67,1157.8,81.2,92.8,255.8,555.8,7163.6,10000.0,2136.0,5548.4
68,1184.0,73.8,69.4,237.0,549.2,7193.6,10000.0,2136.0,5548.4
69,1209.8,66.0,61.2,218.0,532.6,7219.4,10000.0,2136.0,5548.4
70,1235.4,60.4,50.6,203.0,514.4,7243.2,10000.0,2136.0,5548.4
71,1266.4,58.2,32.2,183.2,511.6,7255.4,10000.0,2136.0,5548.4
72,1298.8,49.0,23.6,167.0,501.6,7267.0,10000.0,2136.0,5548.4
73,1334.2,44.0,15.0,153.8,481.4,7278.6,10000.0,2136.0,5548.4
74,1366.8,41.8,9.4,145.8,462.8,7280.4,10000.0,2136.0,5548.4
75,1399.2,41.2,9.4,133.2,441.8,7282.2,10000.0,2136.0,5548.4
76,1434.4,37.0,6.6,124.4,423.8,7280.8,10000.0,2136.0,5548.4
77,1467.0,33.6,5.4,115.8,402.2,7283.0,10000.0,2136.0,5548.4
78,1504.4,32.6,5.4,108.0,382.6,7274.0,10000.0,2136.0,5548.4
79,1540.4,32.2,4.0,99.0,359.8,7271.6,10000.0,2136.0,5548.4
80,1574.4,31.4,4.0,94.4,336.0,7266.8,10000.0,2136.0,5548.4
81,1606.2,30.0,4.4,90.6,318.6,7257.2,10000.0,2136.0,5548.4
82,1639.6,29.0,2.6,85.0,306.4,7244.4,10000.0,2136.0,5548.4
83,1679.0,27.8,2.8,81.0,286.0,7230.4,10000.0,2136.0,5548.4
84,1711.2,26.2,3.8,75.6,271.0,7219.2,10000.0,2136.0,5548.4
85,1746.2,23.6,3.6,70.4,257.8,7205.4,10000.0,2136.0,5548.4
86,1787.2,24.2,1.8,66.6,245.6,7181.6,10000.0,2136.0,5548.4
87,1825.4,25.0,2.8,63.0,231.6,7159.2,10000.0,2136.0,5548.4
88,1862.4,21.4,3.2,60.6,220.2,7139.2,10000.0,2136.0,5548.4
89,1903.2,19.8,3.0,57.6,211.2,7112.2,10000.0,2136.0,5548.4
90,1938.4,18.6,3.0,55.6,200.2,7091.2,10000.0,2136.0,5548.4
91,1975.2,20.8,2.0,51.4,190.4,7067.2,10000.0,2136.0,5548.4
92,2013.8,21.8,1.8,48.4,180.6,7040.6,10000.0,2136.0,5548.4
93,2048.8,21.2,2.6,45.0,172.4,7017.0,10000.0,2136.0,5548.4
94,2083.0,20.0,2.2,43.6,162.2,6996.0,10000.0,2136.0,5548.4
95,2116.4,19.8,2.2,43.2,153.8,6971.6,10000.0,2136.0,5548.4
96,2144.4,22.8,2.0,39.6,146.6,6951.6,10000.0,2136.0,5548.4
97,2177.4,22.6,2.2,37.6,141.0,6926.2,10000.0,2136.0,5548.4
98,2209.2,21.4,3.6,36.8,134.2,6901.8,10000.0,2136.0,5548.4
99,2245.0,19.8,1.8,34.0,132.4,6874.0,10000.0,2136.0,5548.4
100,2280.0,18.2,1.6,31.8,129.2,6846.2,10000.0,2136.0,5548.4
101,2314.6,17.8,2.4,30.4,122.2,6819.6,10000.0,2136.0,5548.4
102,2350.6,17.2,1.6,29.4,115.4,6792.8,10000.0,2136.0,5548.4
103,2382.0,18.0,1.6,28.8,109.6,6767.0,10000.0,2136.0,5548.4
104,2417.6,18.6,1.6,27.4,102.0,6739.8,10000.0,2136.0,5548.4
105,2449.6,16.2,2.2,26.2,95.8,6717.0,10000.0,2136.0,5548.4
106,2485.4,15.6,1.8,25.0,93.0,6686.2,10000.0,2136.0,5548.4
107,2515.4,16.8,1.0,24.8,89.4,6659.6,10000.0,2136.0,5548.4
108,2544.8,17.8,2.2,23.8,85.6,6632.8,10000.0,2136.0,5548.4
109,2582.2,17.2,2.4,23.4,83.0,6598.8,10000.0,2136.0,5548.4
110,2617.8,16.0,1.6,21.4,82.2,6568.0,10000.0,2136.0,5548.4
111,2655.8,17.0,1.2,19.6,76.2,6537.2,10000.0,2136.0,5548.4
112,2687.2,15.2,1.6,20.4,74.2,6508.4,10000.0,2136.0,5548.4
113,2719.0,17.4,1.8,19.4,70.6,6478.8,10000.0,2136.0,5548.4
114,2751.8,17.2,2.2,17.8,70.4,6447.6,10000.0,2136.0,5548.4
115,2778.6,16.2,2.2,17.2,68.6,6424.2,10000.0,2136.0,5548.4
116,2807.8,16.4,2.0,16.8,66.4,6397.6,10000.0,2136.0,5548.4
117,2840.8,15.4,1.6,16.4,63.6,6369.2,10000.0,2136.0,5548.4
118,2872.6,13.6,1.8,16.6,62.6,6339.8,10000.0,2136.0,5548.4
119,2904.2,13.8,2.0,16.6,61.8,6308.6,10000.0,2136.0,5548.4
120,2939.8,12.6,2.6,15.6,57.8,6278.6,10000.0,2136.0,5548.4
121,2975.4,11.4,1.8,14.0,59.0,6245.4,10000.0,2136.0,5548.4
122,3006.0,10.0,2.2,12.6,56.8,6219.4,10000.0,2136.0,5548.4
123,3033.4,11.8,1.2,11.8,56.2,6192.6,10000.0,2136.0,5548.4
124,3070.2,12.2,0.8,11.0,53.8,6159.0,10000.0,2136.0,5548.4
125,3103.4,14.2,0.8,10.0,51.2,6127.4,10000.0,2136.0,5548.4
126,3133.4,13.2,1.4,10.2,48.6,6100.2,10000.0,2136.0,5548.4
127,3165.2,12.4,1.8,9.4,46.6,6071.6,10000.0,2136.0,5548.4
128,3201.0,11.4,1.8,9.8,45.0,6038.0,10000.0,2136.0,5548.4
129,3234.2,11.2,0.6,9.4,44.4,6007.2,10000.0,2136.0,5548.4
130,3267.2,11.0,1.4,8.8,41.6,5977.0,10000.0,2136.0,5548.4
131,3298.6,10.6,0.6,7.8,41.0,5948.4,10000.0,2136.0,5548.4
132,3334.8,8.6,1.6,8.0,39.4,5914.6,10000.0,2136.0,5548.4
133,3366.8,8.6,0.8,8.0,39.8,5883.0,10000.0,2136.0,5548.4
134,3399.6,8.0,1.0,8.0,38.2,5852.2,10000.0,2136.0,5548.4
135,3426.4,7.8,1.0,8.4,38.2,5825.2,10000.0,2136.0,5548.4
136,3452.2,10.6,0.4,8.4,37.4,5798.0,10000.0,2136.0,5548.4
137,3477.6,12.0,1.8,8.0,36.4,5771.2,10000.0,2136.0,5548.4
138,3508.8,11.4,1.0,9.0,35.6,5741.2,10000.0,2136.0,5548.4
139,3534.6,12.6,1.0,9.6,35.2,5714.0,10000.0,2136.0,5548.4
140,3560.4,12.2,0.8,10.0,34.2,5689.4,10000.0,2136.0,5548.4
141,3589.0,12.6,2.0,9.6,34.2,5659.6,10000.0,2136.0,5548.4
142,3617.0,14.4,2.0,8.2,34.4,5631.0,10000.0,2136.0,5548.4
143,3650.6,12.0,1.4,8.4,36.4,5598.2,10000.0,2136.0,5548.4
144,3680.4,11.4,2.0,7.8,35.0,5570.4,10000.0,2136.0,5548.4
145,3711.6,12.6,1.6,6.4,34.8,5540.0,10000.0,2136.0,5548.4
146,3739.6,11.8,1.8,7.8,32.8,5513.2,10000.0,2136.0,5548.4
147,3769.0,12.4,1.2,7.4,32.0,5485.0,10000.0,2136.0,5548.4
148,3797.4,13.4,1.0,9.4,30.4,5455.4,10000.0,2136.0,5548.4
149,3825.0,11.8,1.6,10.2,30.6,5427.8,10000.0,2136.0,5548.4
