Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9286.2,10.8,9.6,0.0,0.0,0.4,10000.0,1886.4,7500.6
1,9277.2,17.4,10.4,1.0,0.0,1.0,10000.0,1886.4,7500.6
2,9262.6,28.6,11.8,2.6,0.0,1.4,10000.0,1886.4,7500.6
3,9235.2,50.8,13.8,3.8,0.0,3.4,10000.0,1886.4,7500.6
4,9198.6,74.4,19.2,8.8,0.0,6.0,10000.0,1886.4,7500.6
5,9131.8,127.8,27.4,12.4,0.0,7.6,10000.0,1886.4,7500.6
6,9038.2,197.6,41.0,20.8,0.0,9.4,10000.0,1886.4,7500.6
7,8895.4,303.0,60.0,35.4,0.0,13.2,10000.0,1886.4,7500.6
8,8681.2,462.0,90.6,53.8,0.0,19.4,10000.0,1886.4,7500.6
9,8405.6,648.0,138.8,84.8,0.0,29.8,10000.0,1886.4,7500.6
10,8055.4,869.6,207.8,129.0,0.0,45.2,10000.0,1886.4,7500.6
11,7629.4,1124.6,296.6,186.2,0.0,70.2,10000.0,1886.4,7500.6
12,7190.2,1340.4,402.2,267.0,0.0,107.2,10000.0,1886.4,7500.6
13,6736.6,1512.6,541.4,358.0,0.0,158.4,10000.0,1886.4,7500.6
14,6272.8,1670.4,683.6,457.8,0.0,222.4,10000.0,1886.4,7500.6
15,5836.4,1766.4,842.6,560.6,0.0,301.0,10000.0,1886.4,7500.6
16,5421.0,1826.6,986.0,672.0,0.0,401.4,10000.0,1886.4,7500.6
17,5043.8,1849.8,1127.2,768.4,0.0,517.8,10000.0,1886.4,7500.6
18,4705.6,1823.4,1268.6,859.8,0.0,649.6,10000.0,1886.4,7500.6
19,4386.8,1777.4,1391.2,947.8,0.0,803.8,10000.0,1886.4,7500.6
20,4100.8,1712.2,1493.8,1020.0,10.6,969.6,10000.0,1886.4,7500.6
21,3863.2,1616.2,1585.8,1079.6,21.4,1140.8,10000.0,1886.4,7500.6
22,3629.0,1532.2,1664.2,1128.6,32.0,1321.0,10000.0,1886.4,7500.6
23,3427.6,1419.8,1735.4,1163.2,42.4,1518.6,10000.0,1886.4,7500.6
24,3225.2,1354.2,1762.6,1197.8,54.0,1713.2,10000.0,1886.4,7500.6
25,3056.0,1263.8,1792.2,1221.2,65.4,1908.4,10000.0,1886.4,7500.6
26,2899.2,1169.6,1799.2,1245.6,75.2,2118.2,10000.0,1886.4,7500.6
27,2744.4,1111.0,1786.8,1245.0,85.4,2334.4,10000.0,1886.4,7500.6
28,2603.8,1029.0,1776.4,1250.8,96.8,2550.2,10000.0,1886.4,7500.6
29,2470.4,963.6,1756.0,1251.6,104.6,2760.8,10000.0,1886.4,7500.6
30,2344.4,909.8,1733.0,1238.6,115.0,2966.2,10000.0,1886.4,7500.6
31,2227.4,856.8,1709.2,1222.2,124.4,3167.0,10000.0,1886.4,7500.6
32,2113.8,816.4,1670.8,1208.4,131.6,3366.0,10000.0,1886.4,7500.6
33,2004.2,778.2,1643.6,1188.8,141.8,3550.4,10000.0,1886.4,7500.6
34,1903.0,746.8,1607.6,1168.0,151.6,3730.0,10000.0,1886.4,7500.6
35,1804.8,719.4,1553.2,1144.0,157.2,3928.4,10000.0,1886.4,7500.6
36,1716.0,689.2,1519.6,1112.6,164.8,4104.8,10000.0,1886.4,7500.6
37,1628.6,657.4,1475.8,1091.0,167.0,4287.2,10000.0,1886.4,7500.6
38,1558.8,618.8,1433.8,1063.8,173.0,4458.8,10000.0,1886.4,7500.6
39,1490.6,585.4,1387.0,1038.8,178.8,4626.4,10000.0,1886.4,7500.6
