Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9281.8,15.2,8.8,0.0,0.0,1.2,10000.0,2148.2,7851.8
1,9270.8,23.6,10.0,0.8,0.0,1.8,10000.0,2148.2,7851.8
2,9250.8,39.2,12.4,2.8,0.0,1.8,10000.0,2148.2,7851.8
3,9216.6,67.0,15.6,5.2,0.0,2.6,10000.0,2148.2,7851.8
4,9161.0,109.0,20.6,11.8,0.0,4.6,10000.0,2148.2,7851.8
5,9084.8,163.6,32.4,18.6,0.0,7.6,10000.0,2148.2,7851.8
6,8966.6,247.6,49.4,31.6,0.0,11.8,10000.0,2148.2,7851.8
7,8804.0,363.4,74.2,48.8,0.0,16.6,10000.0,2148.2,7851.8
8,8579.6,516.4,112.4,73.6,0.0,25.0,10000.0,2148.2,7851.8
9,8322.8,679.4,159.8,106.0,0.0,39.0,10000.0,2148.2,7851.8
10,8025.2,843.6,230.8,148.8,0.0,58.6,10000.0,2148.2,7851.8
11,7676.8,1029.0,316.6,198.4,0.0,86.2,10000.0,2148.2,7851.8
12,7323.6,1166.4,423.8,270.6,0.0,122.6,10000.0,2148.2,7851.8
13,6946.8,1316.2,523.2,345.8,0.0,175.0,10000.0,2148.2,7851.8
14,6575.0,1427.8,636.2,432.8,0.0,235.2,10000.0,2148.2,7851.8
15,6207.4,1502.0,764.2,525.6,0.0,307.8,10000.0,2148.2,7851.8
16,5824.8,1602.4,878.4,603.2,0.0,398.2,10000.0,2148.2,7851.8
17,5451.0,1657.6,1008.2,696.4,0.0,493.8,10000.0,2148.2,7851.8
18,5073.8,1707.2,1134.0,784.8,0.0,607.2,10000.0,2148.2,7851.8
19,4717.4,1726.8,1248.2,871.4,0.0,743.2,10000.0,2148.2,7851.8
20,4381.6,1723.2,1340.2,952.2,19.0,890.8,10000.0,2148.2,7851.8
21,4046.8,1725.4,1431.4,1023.2,36.8,1043.4,10000.0,2148.2,7851.8
22,3761.2,1667.8,1516.4,1090.0,51.2,1220.4,10000.0,2148.2,7851.8
23,3501.6,1610.0,1593.0,1133.2,64.8,1404.4,10000.0,2148.2,7851.8
24,3266.2,1541.4,1652.8,1176.0,79.0,1591.6,10000.0,2148.2,7851.8
25,3036.2,1485.8,1695.4,1205.6,91.8,1792.2,10000.0,2148.2,7851.8
26,2828.2,1403.0,1731.4,1240.8,103.0,2000.6,10000.0,2148.2,7851.8
27,2644.8,1312.0,1761.4,1258.2,113.6,2217.0,10000.0,2148.2,7851.8
28,2474.2,1245.0,1766.2,1270.0,124.6,2427.0,10000.0,2148.2,7851.8
29,2319.4,1168.8,1761.8,1284.6,134.8,2637.6,10000.0,2148.2,7851.8
30,2174.8,1097.4,1749.8,1293.8,145.4,2845.8,10000.0,2148.2,7851.8
31,2043.4,1020.4,1736.6,1297.8,156.4,3052.4,10000.0,2148.2,7851.8
32,1905.8,972.2,1712.8,1285.2,161.4,3269.6,10000.0,2148.2,7851.8
33,1790.4,912.0,1688.8,1271.0,167.8,3477.0,10000.0,2148.2,7851.8
34,1694.0,848.0,1654.8,1250.0,173.6,3686.6,10000.0,2148.2,7851.8
35,1593.6,796.2,1623.6,1227.8,179.4,3886.4,10000.0,2148.2,7851.8
36,1503.6,745.4,1588.8,1197.4,186.4,4085.4,10000.0,2148.2,7851.8
37,1415.2,707.4,1531.2,1179.6,190.2,4283.4,10000.0,2148.2,7851.8
38,1334.2,671.8,1486.6,1156.6,194.4,4463.4,10000.0,2148.2,7851.8
39,1265.4,632.6,1439.8,1125.8,201.6,4641.8,10000.0,2148.2,7851.8
40,1210.6,587.6,1363.6,1100.4,230.2,4814.6,10000.0,2148.2,7851.8
41,1153.4,551.6,1291.0,1061.4,261.8,4987.8,10000.0,2148.2,7851.8
42,1105.4,513.0,1220.6,1029.4,292.8,5145.8,10000.0,2148.2,7851.8
43,1055.6,490.8,1143.0,1001.0,315.8,5300.8,10000.0,2148.2,7851.8
44,1014.6,459.0,1068.2,972.6,342.8,5449.8,10000.0,2148.2,7851.8
45,981.6,431.0,997.4,941.4,358.4,5597.2,10000.0,2148.2,7851.8
46,954.0,415.8,925.4,904.2,381.0,5726.6,10000.0,2148.2,7851.8
47,925.2,391.2,865.8,867.4,402.2,5855.2,10000.0,2148.2,7851.8
48,899.6,364.2,806.4,844.4,420.2,5972.2,10000.0,2148.2,7851.8
49,880.4,339.8,742.4,819.6,438.4,6086.4,10000.0,2148.2,7851.8
50,877.0,312.4,689.2,786.4,455.4,6186.6,10000.0,2148.2,7851.8
51,873.0,289.4,627.0,758.4,467.4,6291.8,10000.0,2148.2,7851.8
52,864.2,275.4,568.2,729.2,485.0,6385.0,10000.0,2148.2,7851.8
53,860.8,264.6,514.6,693.2,500.8,6473.0,10000.0,2148.2,7851.8
54,860.8,246.0,462.2,668.6,509.6,6559.8,10000.0,2148.2,7851.8
55,864.2,228.6,412.6,638.4,520.8,6642.4,10000.0,2148.2,7851.8
56,872.2,210.8,366.6,616.6,531.2,6709.6,10000.0,2148.2,7851.8
57,883.4,199.8,318.2,588.4,537.0,6780.2,10000.0,2148.2,7851.8
58,882.2,190.0,273.6,561.2,546.4,6853.6,10000.0,2148.2,7851.8
59,893.2,180.2,230.4,533.2,553.8,6916.2,10000.0,2148.2,7851.8
60,911.0,167.8,161.8,509.4,588.4,6968.6,10000.0,2148.2,7851.8
61,930.0,156.8,116.2,481.8,609.2,7013.0,10000.0,2148.2,7851.8
62,948.2,141.4,84.2,449.8,623.6,7059.8,10000.0,2148.2,7851.8
63,958.0,132.6,64.4,414.8,629.0,7108.2,10000.0,2148.2,7851.8
64,980.6,117.8,54.4,381.4,627.0,7145.8,10000.0,2148.2,7851.8
65,1007.0,103.0,47.0,352.2,613.8,7184.0,10000.0,2148.2,7851.8
66,1036.0,93.4,40.0,328.4,595.6,7213.6,10000.0,2148.2,7851.8
67,1057.8,87.0,38.0,304.0,567.4,7252.8,10000.0,2148.2,7851.8
68,1088.0,78.4,33.6,286.0,541.2,7279.8,10000.0,2148.2,7851.8
69,1125.6,70.0,31.0,267.0,520.4,7293.0,10000.0,2148.2,7851.8
70,1153.0,61.6,29.2,247.2,502.4,7313.6,10000.0,2148.2,7851.8
71,1184.0,55.2,26.8,230.8,484.0,7326.2,10000.0,2148.2,7851.8
72,1218.0,50.0,25.4,217.4,461.0,7335.2,10000.0,2148.2,7851.8
