Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9286.8,10.2,9.4,0.0,0.0,0.6,10000.0,1628.0,6680.2
1,9277.0,17.8,9.4,0.8,0.0,2.0,10000.0,1628.0,6680.2
2,9258.6,32.4,11.0,2.2,0.0,2.8,10000.0,1628.0,6680.2
3,9239.6,45.2,13.8,4.8,0.0,3.6,10000.0,1628.0,6680.2
4,9205.0,70.0,19.0,8.6,0.0,4.4,10000.0,1628.0,6680.2
5,9132.2,127.6,26.4,13.8,0.0,7.0,10000.0,1628.0,6680.2
6,9031.2,203.4,39.8,22.0,0.0,10.6,10000.0,1628.0,6680.2
7,8880.6,310.2,63.4,37.6,0.0,15.2,10000.0,1628.0,6680.2
8,8675.2,448.2,101.6,61.2,0.0,20.8,10000.0,1628.0,6680.2
9,8386.4,649.4,143.0,95.2,0.0,33.0,10000.0,1628.0,6680.2
10,8057.6,849.2,208.6,139.8,0.0,51.8,10000.0,1628.0,6680.2
11,7716.8,1019.8,298.4,198.0,0.0,74.0,10000.0,1628.0,6680.2
12,7345.2,1189.8,402.0,258.8,0.0,111.2,10000.0,1628.0,6680.2
13,6948.6,1347.4,511.2,340.6,0.0,159.2,10000.0,1628.0,6680.2
14,6545.2,1477.0,646.8,418.6,0.0,219.4,10000.0,1628.0,6680.2
15,6142.8,1603.0,769.6,498.0,0.0,293.6,10000.0,1628.0,6680.2
16,5730.0,1700.6,897.8,589.4,0.0,389.2,10000.0,1628.0,6680.2
17,5322.2,1765.8,1044.8,684.0,0.0,490.2,10000.0,1628.0,6680.2
18,4942.6,1802.8,1175.2,777.2,0.0,609.2,10000.0,1628.0,6680.2
19,4564.0,1834.6,1305.0,858.4,0.0,745.0,10000.0,1628.0,6680.2
20,4247.6,1790.2,1419.0,942.4,11.6,896.2,10000.0,1628.0,6680.2
21,3942.8,1733.6,1534.6,1020.8,22.8,1052.4,10000.0,1628.0,6680.2
22,3680.8,1640.4,1633.2,1097.4,32.2,1223.0,10000.0,1628.0,6680.2
23,3462.4,1536.2,1700.6,1144.6,40.8,1422.4,10000.0,1628.0,6680.2
24,3249.8,1460.4,1737.0,1178.4,50.8,1630.6,10000.0,1628.0,6680.2
25,3055.6,1369.4,1789.8,1213.2,60.2,1818.8,10000.0,1628.0,6680.2
26,2880.6,1282.8,1809.8,1235.2,68.0,2030.6,10000.0,1628.0,6680.2
27,2724.6,1188.0,1825.2,1262.6,75.0,2231.6,10000.0,1628.0,6680.2
