Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9285.6,11.4,9.2,0.0,0.0,0.8,10000.0,1647.8,6747.8
1,9275.8,19.4,9.0,0.8,0.0,2.0,10000.0,1647.8,6747.8
2,9262.8,28.6,10.4,2.6,0.0,2.6,10000.0,1647.8,6747.8
3,9238.0,49.4,12.8,3.8,0.0,3.0,10000.0,1647.8,6747.8
4,9212.2,66.0,16.4,8.2,0.0,4.2,10000.0,1647.8,6747.8
5,9158.6,107.6,22.4,13.0,0.0,5.4,10000.0,1647.8,6747.8
6,9089.6,156.4,34.0,19.4,0.0,7.6,10000.0,1647.8,6747.8
7,8972.2,244.4,50.2,28.4,0.0,11.8,10000.0,1647.8,6747.8
8,8794.0,375.4,75.6,43.4,0.0,18.6,10000.0,1647.8,6747.8
9,8580.8,516.6,114.4,70.0,0.0,25.2,10000.0,1647.8,6747.8
10,8275.2,715.4,175.6,105.8,0.0,35.0,10000.0,1647.8,6747.8
11,7899.4,957.6,243.6,149.8,0.0,56.6,10000.0,1647.8,6747.8
12,7495.4,1165.0,347.8,214.2,0.0,84.6,10000.0,1647.8,6747.8
13,7034.8,1396.0,462.4,288.4,0.0,125.4,10000.0,1647.8,6747.8
14,6578.4,1575.6,594.2,380.8,0.0,178.0,10000.0,1647.8,6747.8
15,6125.2,1721.2,741.8,468.2,0.0,250.6,10000.0,1647.8,6747.8
16,5696.2,1803.6,900.4,567.6,0.0,339.2,10000.0,1647.8,6747.8
17,5291.0,1857.8,1050.6,662.6,0.0,445.0,10000.0,1647.8,6747.8
18,4894.8,1886.8,1189.8,774.8,0.0,560.8,10000.0,1647.8,6747.8
19,4552.6,1862.4,1319.8,871.2,0.0,701.0,10000.0,1647.8,6747.8
20,4233.6,1810.0,1433.4,962.4,11.8,855.8,10000.0,1647.8,6747.8
21,3951.8,1739.2,1537.8,1032.8,21.8,1023.6,10000.0,1647.8,6747.8
22,3685.2,1655.0,1623.4,1101.4,31.6,1210.4,10000.0,1647.8,6747.8
23,3448.6,1570.6,1704.0,1149.8,40.4,1393.6,10000.0,1647.8,6747.8
24,3234.2,1482.8,1751.6,1193.2,50.0,1595.2,10000.0,1647.8,6747.8
25,3052.2,1373.2,1794.6,1230.0,58.8,1798.2,10000.0,1647.8,6747.8
26,2872.8,1294.0,1813.6,1258.2,66.0,2002.4,10000.0,1647.8,6747.8
27,2713.0,1217.8,1814.6,1273.4,73.8,2214.4,10000.0,1647.8,6747.8
28,2573.8,1118.6,1834.0,1279.4,81.6,2419.6,10000.0,1647.8,6747.8
29,2435.6,1048.6,1827.0,1268.4,90.6,2636.8,10000.0,1647.8,6747.8
30,2311.0,977.2,1812.6,1259.6,98.0,2848.6,10000.0,1647.8,6747.8
31,2191.4,917.2,1783.2,1244.6,105.2,3065.4,10000.0,1647.8,6747.8
32,2085.2,853.8,1753.2,1230.2,111.4,3273.2,10000.0,1647.8,6747.8
33,1980.2,801.2,1710.6,1224.2,116.8,3474.0,10000.0,1647.8,6747.8
34,1874.0,770.6,1666.2,1199.0,123.6,3673.6,10000.0,1647.8,6747.8
35,1782.8,729.8,1618.6,1175.0,127.8,3873.0,10000.0,1647.8,6747.8
36,1685.4,693.6,1577.8,1158.4,133.0,4058.8,10000.0,1647.8,6747.8
37,1605.0,655.0,1539.4,1136.6,136.6,4234.4,10000.0,1647.8,6747.8
38,1521.8,635.6,1487.6,1110.4,139.4,4412.2,10000.0,1647.8,6747.8
39,1449.8,607.6,1440.6,1083.4,142.0,4583.6,10000.0,1647.8,6747.8
40,1388.2,579.4,1365.2,1054.0,171.4,4748.8,10000.0,1647.8,6747.8
41,1332.8,541.4,1304.8,1035.0,195.0,4898.0,10000.0,1647.8,6747.8
42,1282.0,517.0,1241.4,999.4,216.6,5050.6,10000.0,1647.8,6747.8
43,1236.4,488.6,1166.4,968.2,237.6,5209.8,10000.0,1647.8,6747.8
44,1198.2,450.4,1110.2,943.2,257.6,5347.4,10000.0,1647.8,6747.8
45,1156.4,433.0,1051.0,904.8,271.8,5490.0,10000.0,1647.8,6747.8
46,1122.2,406.4,998.6,868.4,287.0,5624.4,10000.0,1647.8,6747.8
47,1095.2,389.8,944.0,835.6,299.8,5742.6,10000.0,1647.8,6747.8
48,1067.0,370.8,894.0,801.6,313.0,5860.6,10000.0,1647.8,6747.8
49,1056.2,345.0,852.0,765.2,324.6,5964.0,10000.0,1647.8,6747.8
50,1042.4,321.2,804.8,736.6,328.2,6073.8,10000.0,1647.8,6747.8
51,1027.8,302.8,758.0,708.0,334.0,6176.4,10000.0,1647.8,6747.8
52,1019.4,289.2,712.0,680.8,334.0,6271.6,10000.0,1647.8,6747.8
53,1004.8,280.2,666.4,650.2,336.6,6368.8,10000.0,1647.8,6747.8
54,998.6,265.2,630.8,620.8,336.2,6455.4,10000.0,1647.8,6747.8
55,994.0,253.0,600.6,598.8,338.8,6521.8,10000.0,1647.8,6747.8
56,990.2,238.6,568.4,566.4,331.0,6612.4,10000.0,1647.8,6747.8
57,998.4,222.6,541.4,544.4,330.6,6669.6,10000.0,1647.8,6747.8
58,997.0,210.6,511.0,523.0,328.8,6736.6,10000.0,1647.8,6747.8
59,999.2,199.0,484.8,503.6,321.0,6799.4,10000.0,1647.8,6747.8
60,1006.2,185.6,459.0,482.2,324.0,6850.0,10000.0,1647.8,6747.8
61,1016.8,175.6,430.2,458.6,325.2,6900.6,10000.0,1647.8,6747.8
62,1024.8,164.6,412.8,436.8,320.0,6948.0,10000.0,1647.8,6747.8
63,1033.2,163.0,387.0,416.8,314.0,6993.0,10000.0,1647.8,6747.8
64,1043.4,155.0,371.6,394.0,303.2,7039.8,10000.0,1647.8,6747.8
