Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9958.0,23.0,8.8,0.0,0.0,1.2,10000.0,2594.4,7405.6
1,9938.0,39.4,10.6,1.2,0.0,1.8,10000.0,2594.4,7405.6
2,9892.8,77.6,14.6,3.8,0.0,2.2,10000.0,2594.4,7405.6
3,9810.4,145.4,21.6,9.8,0.0,3.8,10000.0,2594.4,7405.6
4,9646.2,279.8,39.8,19.4,0.0,5.8,10000.0,2594.4,7405.6
5,9378.6,492.8,69.4,41.4,0.0,8.8,10000.0,2594.4,7405.6
6,8997.4,779.4,121.6,76.0,0.0,16.6,10000.0,2594.4,7405.6
7,8475.6,1142.8,209.8,132.6,0.0,30.2,10000.0,2594.4,7405.6
8,7853.4,1539.2,325.6,219.0,0.0,53.8,10000.0,2594.4,7405.6
9,7221.8,1863.0,485.8,327.4,0.0,93.0,10000.0,2594.4,7405.6
10,6587.8,2129.0,674.2,448.4,0.0,151.6,10000.0,2594.4,7405.6
11,5991.4,2301.2,874.4,591.4,0.0,232.6,10000.0,2594.4,7405.6
12,5442.2,2396.8,1095.0,730.2,0.0,326.8,10000.0,2594.4,7405.6
13,4950.8,2421.0,1289.0,870.6,0.0,459.6,10000.0,2594.4,7405.6
14,4468.4,2416.0,1485.8,1013.8,0.0,607.0,10000.0,2594.4,7405.6
15,4024.8,2373.4,1667.8,1140.0,0.0,785.0,10000.0,2594.4,7405.6
16,3573.4,2350.0,1837.0,1247.0,0.0,983.6,10000.0,2594.4,7405.6
17,3118.2,2334.8,1985.8,1347.2,0.0,1205.0,10000.0,2594.4,7405.6
18,2710.8,2280.2,2139.6,1429.2,0.0,1431.2,10000.0,2594.4,7405.6
19,2358.4,2188.6,2261.4,1507.6,0.0,1675.0,10000.0,2594.4,7405.6
20,2021.0,2098.6,2346.8,1569.0,18.0,1937.6,10000.0,2594.4,7405.6
21,1733.2,1970.4,2404.4,1641.6,35.6,2205.8,10000.0,2594.4,7405.6
22,1475.4,1849.4,2450.0,1681.4,52.2,2482.6,10000.0,2594.4,7405.6
23,1253.8,1726.0,2466.6,1707.6,66.0,2771.0,10000.0,2594.4,7405.6
24,1066.0,1594.0,2475.8,1714.8,81.8,3058.6,10000.0,2594.4,7405.6
25,898.8,1467.0,2457.2,1707.2,92.4,3368.4,10000.0,2594.4,7405.6
26,766.2,1316.0,2443.6,1697.4,106.6,3661.2,10000.0,2594.4,7405.6
27,656.2,1176.6,2416.4,1682.2,118.4,3941.2,10000.0,2594.4,7405.6
