Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9958.2,22.8,9.2,0.0,0.0,0.8,10000.0,2617.0,7383.0
1,9941.6,35.2,11.6,1.2,0.0,1.4,10000.0,2617.0,7383.0
2,9899.0,70.2,14.8,4.4,0.0,2.6,10000.0,2617.0,7383.0
3,9816.6,132.4,26.2,12.0,0.0,3.8,10000.0,2617.0,7383.0
4,9604.6,314.8,41.0,25.2,0.0,5.4,10000.0,2617.0,7383.0
5,9272.4,587.6,71.0,48.8,0.0,11.2,10000.0,2617.0,7383.0
6,8800.2,942.4,130.6,97.4,0.0,20.4,10000.0,2617.0,7383.0
7,8149.0,1414.2,229.4,165.0,0.0,33.4,10000.0,2617.0,7383.0
8,7479.2,1798.4,386.0,263.2,0.0,64.2,10000.0,2617.0,7383.0
9,6794.0,2128.0,578.8,379.2,0.0,111.0,10000.0,2617.0,7383.0
10,6171.6,2335.2,779.4,523.0,0.0,181.8,10000.0,2617.0,7383.0
11,5587.6,2447.8,1000.2,679.6,0.0,275.8,10000.0,2617.0,7383.0
12,5052.2,2488.4,1230.4,831.2,0.0,388.8,10000.0,2617.0,7383.0
13,4551.8,2505.6,1441.0,952.0,0.0,540.6,10000.0,2617.0,7383.0
14,4073.2,2482.6,1638.0,1089.0,0.0,708.2,10000.0,2617.0,7383.0
15,3597.0,2475.8,1817.8,1212.2,0.0,888.2,10000.0,2617.0,7383.0
16,3176.2,2416.4,1979.0,1315.2,0.0,1104.2,10000.0,2617.0,7383.0
17,2766.2,2338.6,2134.4,1421.6,0.0,1330.2,10000.0,2617.0,7383.0
18,2396.4,2245.6,2260.0,1512.4,0.0,1576.6,10000.0,2617.0,7383.0
19,2062.8,2130.2,2372.2,1579.2,0.0,1846.6,10000.0,2617.0,7383.0
20,1778.0,1995.8,2434.8,1636.2,19.2,2127.0,10000.0,2617.0,7383.0
21,1509.4,1864.0,2502.8,1676.2,36.0,2402.6,10000.0,2617.0,7383.0
22,1292.4,1727.2,2523.6,1688.6,52.6,2706.6,10000.0,2617.0,7383.0
23,1104.2,1582.6,2536.2,1707.6,69.2,2991.2,10000.0,2617.0,7383.0
24,948.4,1439.6,2525.8,1713.8,84.2,3279.2,10000.0,2617.0,7383.0
25,812.0,1306.6,2504.6,1697.8,99.0,3571.0,10000.0,2617.0,7383.0
26,709.2,1178.2,2457.4,1676.8,107.8,3861.6,10000.0,2617.0,7383.0
27,609.8,1071.8,2392.0,1652.2,118.4,4146.8,10000.0,2617.0,7383.0
28,528.6,953.8,2343.2,1629.6,127.4,4408.4,10000.0,2617.0,7383.0
29,449.8,876.2,2263.6,1580.8,136.6,4684.0,10000.0,2617.0,7383.0
30,387.6,791.6,2178.2,1540.6,146.2,4946.8,10000.0,2617.0,7383.0
31,342.0,716.2,2085.0,1506.0,152.8,5189.0,10000.0,2617.0,7383.0
32,300.2,647.6,1992.2,1452.8,161.0,5437.2,10000.0,2617.0,7383.0
33,260.0,593.8,1908.2,1395.0,168.2,5665.8,10000.0,2617.0,7383.0
34,231.2,542.4,1815.2,1334.8,176.6,5890.8,10000.0,2617.0,7383.0
35,199.6,495.0,1737.0,1275.8,182.8,6100.8,10000.0,2617.0,7383.0
36,182.8,448.4,1656.8,1222.4,189.4,6291.2,10000.0,2617.0,7383.0
37,168.4,399.0,1575.4,1171.4,194.6,6482.2,10000.0,2617.0,7383.0
38,152.6,362.2,1502.4,1124.0,198.0,6651.8,10000.0,2617.0,7383.0
39,141.0,344.8,1417.8,1078.8,202.4,6806.2,10000.0,2617.0,7383.0
40,139.4,319.8,1308.8,1027.4,235.4,6960.2,10000.0,2617.0,7383.0
41,139.8,297.4,1214.6,976.6,267.2,7095.4,10000.0,2617.0,7383.0
42,131.0,285.0,1119.6,928.8,295.8,7230.8,10000.0,2617.0,7383.0
43,144.0,256.6,1025.2,884.8,322.2,7358.2,10000.0,2617.0,7383.0
44,147.6,251.4,932.6,845.2,344.4,7469.8,10000.0,2617.0,7383.0
45,150.4,234.8,852.0,805.2,371.6,7577.0,10000.0,2617.0,7383.0
46,159.0,224.2,774.4,766.6,395.0,7671.8,10000.0,2617.0,7383.0
47,160.4,216.0,703.0,732.2,412.4,7767.0,10000.0,2617.0,7383.0
48,165.0,207.6,630.6,697.8,431.4,7858.6,10000.0,2617.0,7383.0
49,176.6,195.2,568.6,663.4,444.4,7942.8,10000.0,2617.0,7383.0
50,196.6,185.6,502.0,632.6,457.2,8017.0,10000.0,2617.0,7383.0
51,208.6,182.0,446.0,601.4,471.8,8081.2,10000.0,2617.0,7383.0
