Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9956.6,24.4,9.2,0.0,0.0,0.8,10000.0,2543.6,7456.4
1,9932.0,44.2,11.8,1.2,0.0,1.8,10000.0,2543.6,7456.4
2,9872.8,94.0,16.0,5.0,0.0,3.2,10000.0,2543.6,7456.4
3,9714.6,232.8,25.4,13.6,0.0,4.6,10000.0,2543.6,7456.4
4,9478.4,420.4,52.8,32.4,0.0,7.0,10000.0,2543.6,7456.4
5,9121.2,692.4,102.4,63.0,0.0,12.0,10000.0,2543.6,7456.4
6,8643.4,1027.6,183.0,111.6,0.0,25.4,10000.0,2543.6,7456.4
7,8004.4,1459.6,297.2,185.4,0.0,44.4,10000.0,2543.6,7456.4
8,7290.0,1866.4,471.0,283.0,0.0,80.6,10000.0,2543.6,7456.4
9,6573.4,2208.8,663.8,406.8,0.0,138.2,10000.0,2543.6,7456.4
10,5930.8,2411.8,885.6,551.4,0.0,211.4,10000.0,2543.6,7456.4
11,5367.0,2487.6,1121.8,701.2,0.0,313.4,10000.0,2543.6,7456.4
12,4814.8,2541.6,1353.6,837.8,0.0,443.2,10000.0,2543.6,7456.4
13,4299.8,2557.8,1567.0,976.8,0.0,589.6,10000.0,2543.6,7456.4
14,3797.2,2565.0,1751.4,1105.2,0.0,772.2,10000.0,2543.6,7456.4
15,3321.4,2526.4,1942.4,1230.8,0.0,970.0,10000.0,2543.6,7456.4
16,2881.6,2480.8,2087.0,1338.4,0.0,1203.2,10000.0,2543.6,7456.4
17,2482.4,2375.0,2253.4,1435.4,0.0,1444.8,10000.0,2543.6,7456.4
18,2148.4,2250.2,2365.0,1519.6,0.0,1707.8,10000.0,2543.6,7456.4
19,1842.8,2110.8,2465.8,1601.4,0.0,1970.2,10000.0,2543.6,7456.4
20,1604.0,1943.0,2510.0,1647.4,18.2,2268.4,10000.0,2543.6,7456.4
21,1396.6,1794.0,2538.4,1684.0,35.6,2542.4,10000.0,2543.6,7456.4
22,1208.8,1638.2,2557.0,1707.2,52.0,2827.8,10000.0,2543.6,7456.4
23,1039.4,1504.8,2564.4,1706.6,66.2,3109.6,10000.0,2543.6,7456.4
24,896.0,1364.8,2544.6,1697.6,79.4,3408.6,10000.0,2543.6,7456.4
25,774.4,1250.8,2505.6,1691.2,92.2,3676.8,10000.0,2543.6,7456.4
26,658.4,1138.2,2464.2,1678.8,104.8,3946.6,10000.0,2543.6,7456.4
27,569.2,1022.4,2404.2,1650.2,113.8,4231.2,10000.0,2543.6,7456.4
28,488.6,926.2,2333.4,1618.6,124.0,4500.2,10000.0,2543.6,7456.4
29,425.6,824.0,2258.8,1569.4,135.4,4777.8,10000.0,2543.6,7456.4
30,369.2,746.0,2173.6,1525.2,142.0,5035.0,10000.0,2543.6,7456.4
31,322.0,671.6,2084.8,1477.0,149.2,5286.4,10000.0,2543.6,7456.4
32,280.0,608.0,2005.8,1425.4,157.4,5514.4,10000.0,2543.6,7456.4
33,252.4,550.4,1903.8,1368.2,165.4,5750.8,10000.0,2543.6,7456.4
34,223.0,501.2,1810.8,1317.4,170.2,5968.4,10000.0,2543.6,7456.4
35,198.0,466.0,1724.6,1258.4,179.2,6164.8,10000.0,2543.6,7456.4
36,184.4,427.8,1632.0,1199.0,186.0,6361.8,10000.0,2543.6,7456.4
37,170.2,383.0,1552.8,1150.8,189.0,6545.2,10000.0,2543.6,7456.4
