Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9962.6,18.4,9.4,0.0,0.0,0.6,10000.0,2562.6,7437.4
1,9944.2,34.6,9.8,1.2,0.0,1.2,10000.0,2562.6,7437.4
2,9915.4,57.2,12.8,4.0,0.0,1.6,10000.0,2562.6,7437.4
3,9859.4,101.4,19.4,8.6,0.0,2.2,10000.0,2562.6,7437.4
4,9699.2,239.8,31.2,16.0,0.0,4.8,10000.0,2562.6,7437.4
5,9462.8,432.6,56.2,32.8,0.0,6.6,10000.0,2562.6,7437.4
6,9157.2,655.0,100.6,64.2,0.0,14.0,10000.0,2562.6,7437.4
7,8668.2,1011.6,170.4,112.2,0.0,28.6,10000.0,2562.6,7437.4
8,8106.8,1372.0,275.0,187.8,0.0,49.4,10000.0,2562.6,7437.4
9,7412.6,1792.8,420.0,284.2,0.0,81.4,10000.0,2562.6,7437.4
10,6655.2,2196.8,600.8,407.8,0.0,130.4,10000.0,2562.6,7437.4
11,5917.6,2500.8,811.8,560.0,0.0,200.8,10000.0,2562.6,7437.4
12,5238.2,2673.6,1055.0,723.6,0.0,300.6,10000.0,2562.6,7437.4
13,4608.8,2759.0,1309.4,888.8,0.0,425.0,10000.0,2562.6,7437.4
14,4023.4,2802.6,1544.2,1044.4,0.0,576.4,10000.0,2562.6,7437.4
15,3481.2,2780.2,1782.0,1186.6,0.0,761.0,10000.0,2562.6,7437.4
16,3008.0,2707.6,1986.2,1315.0,0.0,974.2,10000.0,2562.6,7437.4
17,2601.8,2563.4,2172.4,1442.2,0.0,1211.2,10000.0,2562.6,7437.4
18,2258.0,2383.0,2335.4,1547.6,0.0,1467.0,10000.0,2562.6,7437.4
19,1967.2,2212.0,2457.4,1620.4,0.0,1734.0,10000.0,2562.6,7437.4
20,1720.0,2014.8,2541.0,1680.4,18.6,2016.2,10000.0,2562.6,7437.4
21,1484.8,1862.8,2591.2,1717.6,36.6,2298.0,10000.0,2562.6,7437.4
22,1278.2,1712.8,2603.4,1743.8,53.4,2599.4,10000.0,2562.6,7437.4
23,1088.0,1582.2,2606.0,1752.6,67.8,2894.4,10000.0,2562.6,7437.4
24,930.0,1434.6,2587.8,1766.0,81.6,3191.0,10000.0,2562.6,7437.4
25,792.2,1296.6,2562.6,1768.4,95.2,3476.0,10000.0,2562.6,7437.4
26,678.8,1165.0,2519.6,1756.2,107.6,3763.8,10000.0,2562.6,7437.4
27,584.8,1057.0,2463.4,1720.0,118.6,4047.2,10000.0,2562.6,7437.4
28,490.6,960.0,2383.0,1688.2,130.0,4339.2,10000.0,2562.6,7437.4
29,425.6,857.0,2309.2,1646.2,136.8,4616.2,10000.0,2562.6,7437.4
30,360.6,775.4,2213.0,1595.2,146.6,4900.2,10000.0,2562.6,7437.4
31,311.2,702.0,2125.2,1542.0,156.0,5154.6,10000.0,2562.6,7437.4
32,256.8,638.0,2041.6,1496.6,167.0,5391.0,10000.0,2562.6,7437.4
33,222.4,571.4,1952.4,1444.2,175.0,5625.6,10000.0,2562.6,7437.4
34,190.4,513.2,1863.8,1386.2,180.6,5856.8,10000.0,2562.6,7437.4
35,172.4,458.2,1781.4,1336.0,182.8,6060.2,10000.0,2562.6,7437.4
36,146.4,424.0,1690.2,1277.0,187.0,6266.4,10000.0,2562.6,7437.4
37,129.8,391.6,1605.0,1221.8,193.6,6449.2,10000.0,2562.6,7437.4
38,123.8,362.0,1513.4,1164.6,199.4,6627.8,10000.0,2562.6,7437.4
39,120.0,332.8,1431.2,1111.8,204.0,6791.2,10000.0,2562.6,7437.4
40,116.8,313.4,1324.6,1055.8,233.4,6947.0,10000.0,2562.6,7437.4
41,115.4,295.6,1219.2,997.8,264.6,7098.4,10000.0,2562.6,7437.4
42,122.2,269.2,1123.6,945.4,294.0,7236.6,10000.0,2562.6,7437.4
43,128.6,255.0,1028.0,899.6,317.2,7362.6,10000.0,2562.6,7437.4
44,130.6,238.4,940.4,854.4,341.0,7486.2,10000.0,2562.6,7437.4
45,137.4,222.8,854.6,812.0,364.4,7599.8,10000.0,2562.6,7437.4
46,146.2,214.6,772.8,771.2,384.0,7702.2,10000.0,2562.6,7437.4
47,156.4,210.2,695.2,733.2,401.6,7794.4,10000.0,2562.6,7437.4
48,166.2,202.2,622.2,692.4,418.8,7889.2,10000.0,2562.6,7437.4
49,173.0,193.2,561.0,659.0,438.4,7966.4,10000.0,2562.6,7437.4
50,185.4,178.6,498.0,627.6,458.2,8043.2,10000.0,2562.6,7437.4
51,210.4,168.0,437.6,602.2,470.8,8102.0,10000.0,2562.6,7437.4
52,222.0,168.6,380.8,575.8,481.2,8162.6,10000.0,2562.6,7437.4
53,237.4,165.0,329.4,549.0,492.4,8217.8,10000.0,2562.6,7437.4
54,257.8,162.0,279.4,522.8,501.8,8267.2,10000.0,2562.6,7437.4
55,278.2,157.0,234.4,498.6,516.8,8306.0,10000.0,2562.6,7437.4
56,300.8,149.4,198.6,474.8,525.6,8341.8,10000.0,2562.6,7437.4
57,325.6,136.4,161.0,456.0,532.4,8379.6,10000.0,2562.6,7437.4
58,349.8,133.6,129.0,429.6,533.8,8415.2,10000.0,2562.6,7437.4
59,369.0,130.0,105.8,398.4,534.4,8453.4,10000.0,2562.6,7437.4
60,393.0,122.4,65.6,372.6,558.6,8478.8,10000.0,2562.6,7437.4
61,420.0,115.6,44.6,339.0,572.8,8499.0,10000.0,2562.6,7437.4
62,454.6,106.8,28.6,307.8,572.8,8520.4,10000.0,2562.6,7437.4
63,483.8,100.2,18.8,281.2,567.0,8540.0,10000.0,2562.6,7437.4
64,512.8,90.6,15.6,259.8,558.8,8553.4,10000.0,2562.6,7437.4
65,537.0,89.0,14.0,238.8,548.6,8563.6,10000.0,2562.6,7437.4
66,571.6,89.0,9.2,220.8,532.2,8568.2,10000.0,2562.6,7437.4
67,603.8,82.6,12.2,207.0,513.8,8571.6,10000.0,2562.6,7437.4
68,633.6,80.2,10.6,187.6,499.4,8579.6,10000.0,2562.6,7437.4
69,674.8,79.6,9.0,177.2,478.6,8571.8,10000.0,2562.6,7437.4
70,705.2,75.4,8.4,167.0,460.4,8574.6,10000.0,2562.6,7437.4
71,732.6,75.4,10.2,155.6,443.0,8574.2,10000.0,2562.6,7437.4
72,761.4,72.0,10.2,147.6,428.6,8571.2,10000.0,2562.6,7437.4
73,791.8,70.8,8.6,140.6,414.8,8564.4,10000.0,2562.6,7437.4
74,822.8,71.8,6.8,132.2,400.0,8557.4,10000.0,2562.6,7437.4
75,858.2,68.2,9.4,124.6,381.6,8549.0,10000.0,2562.6,7437.4
76,900.0,61.0,8.6,120.8,371.2,8529.4,10000.0,2562.6,7437.4
77,927.2,61.2,7.4,116.8,353.6,8524.8,10000.0,2562.6,7437.4
78,959.8,62.0,8.6,109.8,341.2,8509.6,10000.0,2562.6,7437.4
79,988.8,63.2,8.2,104.4,332.2,8494.2,10000.0,2562.6,7437.4
80,1022.0,60.6,4.8,100.4,319.8,8483.4,10000.0,2562.6,7437.4
81,1057.2,59.4,7.0,98.2,308.2,8461.0,10000.0,2562.6,7437.4
82,1092.4,58.4,4.8,95.8,296.8,8442.8,10000.0,2562.6,7437.4
83,1125.8,54.4,5.8,92.8,286.2,8426.0,10000.0,2562.6,7437.4
84,1152.0,57.0,7.0,87.4,274.2,8413.4,10000.0,2562.6,7437.4
85,1185.4,55.8,6.2,82.4,265.8,8395.4,10000.0,2562.6,7437.4
86,1218.6,53.0,8.4,74.6,254.0,8382.4,10000.0,2562.6,7437.4
87,1253.0,49.6,6.4,71.6,245.0,8365.4,10000.0,2562.6,7437.4
88,1287.8,51.4,4.4,65.4,238.4,8343.6,10000.0,2562.6,7437.4
89,1323.6,49.8,6.8,64.6,227.8,8318.4,10000.0,2562.6,7437.4
90,1364.2,45.8,6.8,63.0,223.0,8288.2,10000.0,2562.6,7437.4
91,1408.0,40.0,5.8,59.8,218.4,8259.0,10000.0,2562.6,7437.4
92,1446.2,41.2,4.8,55.2,213.4,8230.2,10000.0,2562.6,7437.4
93,1478.6,41.8,5.8,52.4,203.0,8209.4,10000.0,2562.6,7437.4
94,1521.0,43.6,3.0,52.2,199.0,8172.2,10000.0,2562.6,7437.4
95,1558.6,45.0,3.4,50.0,191.2,8142.8,10000.0,2562.6,7437.4
96,1589.4,42.0,7.0,49.4,182.6,8120.6,10000.0,2562.6,7437.4
97,1624.4,41.8,4.4,45.6,180.4,8094.4,10000.0,2562.6,7437.4
98,1653.6,40.4,5.8,43.8,173.8,8073.6,10000.0,2562.6,7437.4
99,1693.6,36.8,6.0,43.4,168.6,8042.6,10000.0,2562.6,7437.4
100,1728.2,38.6,4.2,40.6,165.0,8014.4,10000.0,2562.6,7437.4
101,1764.8,39.0,3.4,41.8,158.8,7983.2,10000.0,2562.6,7437.4
102,1793.6,42.2,4.8,40.6,152.6,7957.2,10000.0,2562.6,7437.4
103,1827.2,41.8,4.4,39.2,149.2,7929.2,10000.0,2562.6,7437.4
104,1867.2,40.4,4.8,40.6,145.0,7893.0,10000.0,2562.6,7437.4
105,1899.2,40.0,3.6,41.8,142.8,7863.6,10000.0,2562.6,7437.4
106,1931.0,42.6,4.4,40.6,137.4,7835.0,10000.0,2562.6,7437.4
107,1965.2,41.6,4.4,41.2,133.8,7804.8,10000.0,2562.6,7437.4
108,1993.2,45.2,5.6,39.4,129.4,7778.2,10000.0,2562.6,7437.4
109,2029.8,43.4,5.0,38.8,124.8,7749.2,10000.0,2562.6,7437.4
110,2063.6,42.2,5.4,38.8,124.6,7716.4,10000.0,2562.6,7437.4
111,2091.2,42.0,6.4,36.6,124.2,7690.6,10000.0,2562.6,7437.4
112,2128.0,39.6,5.2,34.4,124.6,7659.2,10000.0,2562.6,7437.4
113,2159.8,41.6,4.4,35.0,123.2,7627.0,10000.0,2562.6,7437.4
114,2191.8,43.8,3.0,35.0,120.2,7597.2,10000.0,2562.6,7437.4
115,2217.6,46.0,5.4,34.6,117.4,7570.0,10000.0,2562.6,7437.4
116,2248.4,46.4,4.2,34.4,116.4,7541.2,10000.0,2562.6,7437.4
117,2276.8,48.2,4.0,33.6,114.6,7513.8,10000.0,2562.6,7437.4
118,2307.2,50.0,5.8,34.0,111.6,7482.4,10000.0,2562.6,7437.4
119,2328.6,54.6,6.0,32.0,111.6,7458.2,10000.0,2562.6,7437.4
120,2357.6,52.2,6.6,33.0,113.6,7428.0,10000.0,2562.6,7437.4
121,2387.2,56.0,5.2,34.2,115.4,7393.0,10000.0,2562.6,7437.4
122,2416.4,55.6,5.6,35.4,115.8,7362.2,10000.0,2562.6,7437.4
123,2436.0,59.2,6.2,34.4,116.4,7338.8,10000.0,2562.6,7437.4
124,2462.6,55.0,8.4,36.2,115.6,7313.2,10000.0,2562.6,7437.4
125,2488.8,56.4,6.6,37.0,116.8,7285.4,10000.0,2562.6,7437.4
126,2517.6,56.2,6.6,38.8,114.0,7257.8,10000.0,2562.6,7437.4
127,2542.0,54.2,7.2,39.6,113.8,7234.2,10000.0,2562.6,7437.4
128,2572.4,58.2,6.8,38.6,113.6,7201.4,10000.0,2562.6,7437.4
129,2599.4,60.8,8.2,39.6,110.8,7172.2,10000.0,2562.6,7437.4
130,2620.0,62.6,6.8,39.8,114.0,7147.8,10000.0,2562.6,7437.4
131,2643.8,62.8,7.8,44.0,114.4,7118.2,10000.0,2562.6,7437.4
132,2663.0,66.4,6.6,44.4,114.0,7096.6,10000.0,2562.6,7437.4
133,2686.8,70.0,5.4,45.2,116.2,7067.4,10000.0,2562.6,7437.4
134,2706.8,77.8,7.0,46.8,112.4,7040.2,10000.0,2562.6,7437.4
135,2726.2,75.4,10.4,51.8,111.8,7015.4,10000.0,2562.6,7437.4
136,2738.2,80.2,10.8,53.4,114.2,6994.2,10000.0,2562.6,7437.4
137,2753.0,83.2,8.8,54.4,120.4,6971.2,10000.0,2562.6,7437.4
138,2773.4,81.2,13.0,55.6,125.6,6942.2,10000.0,2562.6,7437.4
139,2787.4,88.8,8.4,55.6,129.8,6921.0,10000.0,2562.6,7437.4
140,2801.6,92.2,12.8,54.8,132.0,6897.6,10000.0,2562.6,7437.4
141,2820.8,92.8,13.0,58.0,138.4,6868.0,10000.0,2562.6,7437.4
142,2832.8,91.6,14.6,57.4,144.2,6850.4,10000.0,2562.6,7437.4
143,2844.4,94.6,9.8,58.2,153.2,6830.8,10000.0,2562.6,7437.4
144,2861.2,92.2,11.6,59.2,154.0,6812.8,10000.0,2562.6,7437.4
145,2879.6,92.4,10.8,62.0,155.0,6791.2,10000.0,2562.6,7437.4
146,2890.8,97.6,12.0,63.4,157.0,6770.2,10000.0,2562.6,7437.4
147,2904.2,102.4,11.8,62.8,161.0,6748.8,10000.0,2562.6,7437.4
148,2920.6,103.6,12.8,62.6,166.0,6725.4,10000.0,2562.6,7437.4
149,2935.8,105.2,10.8,66.4,169.6,6703.2,10000.0,2562.6,7437.4
