Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,9954.4,26.6,9.8,0.0,0.0,0.2,10000.0,2638.2,7361.8
1,9926.8,47.6,14.4,1.6,0.0,0.6,10000.0,2638.2,7361.8
2,9861.2,105.8,19.0,3.6,0.0,1.4,10000.0,2638.2,7361.8
3,9765.6,175.2,34.4,13.4,0.0,2.4,10000.0,2638.2,7361.8
4,9566.8,340.0,51.8,25.2,0.0,7.2,10000.0,2638.2,7361.8
5,9271.0,565.6,91.6,50.6,0.0,12.2,10000.0,2638.2,7361.8
6,8871.2,850.0,152.8,92.6,0.0,24.4,10000.0,2638.2,7361.8
7,8409.2,1140.4,245.8,156.0,0.0,39.6,10000.0,2638.2,7361.8
8,7851.0,1464.4,366.0,241.8,0.0,67.8,10000.0,2638.2,7361.8
9,7264.0,1767.4,517.4,334.6,0.0,107.6,10000.0,2638.2,7361.8
10,6665.6,2026.2,678.0,448.2,0.0,173.0,10000.0,2638.2,7361.8
11,6085.6,2215.2,859.4,576.0,0.0,254.8,10000.0,2638.2,7361.8
12,5543.2,2347.8,1042.0,705.2,0.0,352.8,10000.0,2638.2,7361.8
13,5019.0,2394.4,1254.6,844.4,0.0,478.6,10000.0,2638.2,7361.8
14,4497.6,2443.4,1447.8,975.0,0.0,627.2,10000.0,2638.2,7361.8
15,4027.2,2431.2,1640.2,1104.6,0.0,787.8,10000.0,2638.2,7361.8
16,3579.4,2402.0,1818.4,1207.6,0.0,983.6,10000.0,2638.2,7361.8
17,3174.8,2329.4,1976.8,1320.4,0.0,1189.6,10000.0,2638.2,7361.8
18,2811.4,2226.4,2113.2,1430.4,0.0,1409.6,10000.0,2638.2,7361.8
19,2475.4,2124.8,2229.0,1502.2,0.0,1659.6,10000.0,2638.2,7361.8
20,2164.2,2012.6,2304.8,1572.8,19.4,1917.2,10000.0,2638.2,7361.8
21,1884.4,1904.6,2369.8,1619.0,35.2,2178.0,10000.0,2638.2,7361.8
22,1628.8,1791.4,2407.8,1649.6,51.0,2462.4,10000.0,2638.2,7361.8
23,1405.2,1661.2,2435.6,1684.8,66.2,2738.0,10000.0,2638.2,7361.8
24,1192.0,1548.2,2450.4,1706.2,80.6,3013.6,10000.0,2638.2,7361.8
25,1023.8,1416.2,2450.0,1711.6,93.4,3296.0,10000.0,2638.2,7361.8
26,884.4,1288.6,2425.0,1701.6,108.2,3583.2,10000.0,2638.2,7361.8
27,751.6,1176.4,2392.4,1686.4,120.0,3864.2,10000.0,2638.2,7361.8
28,646.8,1067.4,2342.6,1658.2,127.8,4148.2,10000.0,2638.2,7361.8
29,560.8,969.2,2282.0,1632.8,134.6,4411.6,10000.0,2638.2,7361.8
30,487.6,879.6,2225.6,1589.0,144.4,4664.8,10000.0,2638.2,7361.8
31,420.0,793.0,2161.2,1542.6,150.6,4923.6,10000.0,2638.2,7361.8
32,370.2,721.2,2082.0,1483.4,158.6,5175.6,10000.0,2638.2,7361.8
33,319.8,654.8,1997.6,1440.4,167.8,5410.6,10000.0,2638.2,7361.8
34,278.2,585.6,1919.0,1390.6,175.2,5642.4,10000.0,2638.2,7361.8
35,252.4,522.8,1822.6,1334.8,182.0,5876.4,10000.0,2638.2,7361.8
36,226.2,471.6,1743.6,1289.4,188.2,6072.0,10000.0,2638.2,7361.8
37,203.6,433.2,1664.6,1235.0,193.4,6261.2,10000.0,2638.2,7361.8
38,181.2,405.8,1573.0,1187.8,199.4,6443.8,10000.0,2638.2,7361.8
39,170.4,373.0,1495.6,1132.0,204.8,6615.2,10000.0,2638.2,7361.8
40,157.8,344.0,1391.8,1071.4,236.0,6790.0,10000.0,2638.2,7361.8
41,158.2,318.6,1285.2,1024.2,268.0,6936.8,10000.0,2638.2,7361.8
42,156.0,293.6,1184.4,981.4,291.6,7084.0,10000.0,2638.2,7361.8
43,152.4,272.2,1090.8,932.2,317.6,7225.8,10000.0,2638.2,7361.8
44,149.8,255.8,1005.8,890.0,344.4,7345.2,10000.0,2638.2,7361.8
45,159.4,240.6,912.8,847.2,365.6,7465.4,10000.0,2638.2,7361.8
46,163.4,228.4,826.8,802.8,389.4,7580.2,10000.0,2638.2,7361.8
47,165.0,221.8,744.0,755.0,410.4,7694.8,10000.0,2638.2,7361.8
48,176.4,208.4,677.0,724.0,429.6,7775.6,10000.0,2638.2,7361.8
49,184.8,198.8,609.4,694.2,447.2,7856.6,10000.0,2638.2,7361.8
50,195.8,189.4,546.2,665.8,461.8,7932.0,10000.0,2638.2,7361.8
51,209.4,178.8,482.2,641.4,473.4,8005.8,10000.0,2638.2,7361.8
52,221.6,173.8,418.4,610.6,485.6,8081.0,10000.0,2638.2,7361.8
53,235.2,172.2,366.0,580.0,502.8,8134.8,10000.0,2638.2,7361.8
54,243.0,176.8,312.2,550.2,510.4,8198.4,10000.0,2638.2,7361.8
55,261.8,165.4,266.2,527.0,527.0,8243.6,10000.0,2638.2,7361.8
56,282.6,160.8,222.2,500.4,533.6,8291.4,10000.0,2638.2,7361.8
57,307.0,151.8,185.8,471.2,538.6,8336.6,10000.0,2638.2,7361.8
58,329.2,149.4,152.6,445.6,540.2,8374.0,10000.0,2638.2,7361.8
59,354.8,136.2,126.6,424.6,540.2,8408.6,10000.0,2638.2,7361.8
60,379.6,126.4,85.6,398.6,564.2,8436.6,10000.0,2638.2,7361.8
61,408.4,115.4,55.2,365.4,587.8,8458.8,10000.0,2638.2,7361.8
62,435.0,107.4,30.6,335.4,593.0,8489.6,10000.0,2638.2,7361.8
63,467.2,97.0,19.8,303.4,592.0,8511.6,10000.0,2638.2,7361.8
64,498.6,90.0,13.0,278.4,577.0,8534.0,10000.0,2638.2,7361.8
65,532.0,85.2,9.4,259.2,564.8,8540.4,10000.0,2638.2,7361.8
66,558.6,82.4,8.6,238.8,544.2,8558.4,10000.0,2638.2,7361.8
67,596.4,76.6,8.8,223.0,522.4,8563.8,10000.0,2638.2,7361.8
68,638.0,69.6,9.2,208.4,503.4,8562.4,10000.0,2638.2,7361.8
69,671.4,67.4,8.4,193.8,482.2,8567.8,10000.0,2638.2,7361.8
70,704.0,67.6,8.2,181.0,459.8,8570.4,10000.0,2638.2,7361.8
