Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,985.8,4.2,9.6,0.0,0.0,0.4,5000.0,211.4,4788.6
1,983.4,5.8,9.6,0.2,0.0,1.0,5000.0,211.4,4788.6
2,981.2,6.6,9.6,0.8,0.0,1.8,5000.0,211.4,4788.6
3,979.0,6.4,10.2,1.4,0.0,3.0,5000.0,211.4,4788.6
4,975.6,8.6,10.4,1.8,0.0,3.6,5000.0,211.4,4788.6
5,973.4,8.8,11.0,2.8,0.0,4.0,5000.0,211.4,4788.6
6,970.8,10.2,10.8,3.4,0.0,4.8,5000.0,211.4,4788.6
7,968.8,9.2,12.2,4.0,0.0,5.8,5000.0,211.4,4788.6
8,965.2,10.6,13.2,4.4,0.0,6.6,5000.0,211.4,4788.6
9,960.4,13.8,13.4,4.8,0.0,7.6,5000.0,211.4,4788.6
10,956.0,14.6,14.6,6.0,0.0,8.8,5000.0,211.4,4788.6
11,949.8,16.8,15.0,7.2,0.0,11.2,5000.0,211.4,4788.6
12,944.6,18.6,16.0,8.2,0.0,12.6,5000.0,211.4,4788.6
13,938.2,21.2,17.2,9.4,0.0,14.0,5000.0,211.4,4788.6
14,934.0,21.0,18.6,10.0,0.0,16.4,5000.0,211.4,4788.6
15,926.6,24.2,19.2,10.2,0.0,19.8,5000.0,211.4,4788.6
16,920.8,24.2,22.0,12.4,0.0,20.6,5000.0,211.4,4788.6
17,913.6,25.2,23.4,15.2,0.0,22.6,5000.0,211.4,4788.6
18,905.8,28.6,24.8,15.2,0.0,25.6,5000.0,211.4,4788.6
19,898.8,28.4,27.4,17.2,0.0,28.2,5000.0,211.4,4788.6
20,888.4,33.0,22.4,17.8,7.0,31.4,5000.0,211.4,4788.6
21,881.4,34.2,16.2,18.2,14.8,35.2,5000.0,211.4,4788.6
22,877.0,31.2,12.8,21.0,20.8,37.2,5000.0,211.4,4788.6
23,871.6,30.2,10.0,22.2,25.8,40.2,5000.0,211.4,4788.6
24,864.4,32.0,8.6,22.0,28.4,44.6,5000.0,211.4,4788.6
25,860.8,28.8,6.4,22.8,30.2,51.0,5000.0,211.4,4788.6
26,857.0,25.8,6.6,23.2,31.6,55.8,5000.0,211.4,4788.6
27,851.0,26.2,6.4,23.6,32.2,60.6,5000.0,211.4,4788.6
28,845.0,26.6,5.6,25.4,33.6,63.8,5000.0,211.4,4788.6
29,838.8,28.2,4.8,24.4,33.6,70.2,5000.0,211.4,4788.6
30,834.0,27.8,5.0,23.4,34.6,75.2,5000.0,211.4,4788.6
31,830.0,27.6,4.0,23.4,35.8,79.2,5000.0,211.4,4788.6
32,827.0,26.6,3.0,24.6,34.8,84.0,5000.0,211.4,4788.6
33,822.0,25.6,3.4,25.8,34.6,88.6,5000.0,211.4,4788.6
34,819.4,23.8,3.4,25.8,35.0,92.6,5000.0,211.4,4788.6
35,817.2,20.8,3.8,26.6,34.0,97.6,5000.0,211.4,4788.6
36,813.6,20.8,3.0,27.2,34.2,101.2,5000.0,211.4,4788.6
37,808.8,21.8,3.0,26.6,36.0,103.8,5000.0,211.4,4788.6
38,806.2,21.2,3.4,26.8,35.2,107.2,5000.0,211.4,4788.6
