Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,1983.2,6.8,9.4,0.0,0.0,0.6,5000.0,684.8,4296.8
1,1977.2,11.4,9.2,1.0,0.0,1.2,5000.0,684.8,4296.8
2,1970.4,16.2,10.0,1.4,0.0,2.0,5000.0,684.8,4296.8
3,1962.4,20.6,10.8,3.2,0.0,3.0,5000.0,684.8,4296.8
4,1952.4,27.8,11.4,4.4,0.0,4.0,5000.0,684.8,4296.8
5,1943.0,33.0,13.2,5.8,0.0,5.0,5000.0,684.8,4296.8
6,1933.2,35.2,16.0,9.2,0.0,6.4,5000.0,684.8,4296.8
7,1915.0,45.4,19.0,12.6,0.0,8.0,5000.0,684.8,4296.8
8,1896.2,55.4,24.0,15.2,0.0,9.2,5000.0,684.8,4296.8
9,1870.8,69.2,28.2,18.8,0.0,13.0,5000.0,684.8,4296.8
10,1842.4,84.0,34.2,23.0,0.0,16.4,5000.0,684.8,4296.8
11,1804.6,106.0,40.4,28.8,0.0,20.2,5000.0,684.8,4296.8
12,1772.8,115.0,51.6,36.2,0.0,24.4,5000.0,684.8,4296.8
13,1725.2,138.6,61.8,44.8,0.0,29.6,5000.0,684.8,4296.8
14,1672.4,162.6,74.4,51.4,0.0,39.2,5000.0,684.8,4296.8
15,1612.8,192.4,84.6,61.8,0.0,48.4,5000.0,684.8,4296.8
16,1546.2,221.6,102.0,74.4,0.0,55.8,5000.0,684.8,4296.8
17,1472.6,253.4,119.8,85.0,0.0,69.2,5000.0,684.8,4296.8
18,1386.8,291.8,137.0,99.0,0.0,85.4,5000.0,684.8,4296.8
19,1298.0,320.2,162.8,116.8,0.0,102.2,5000.0,684.8,4296.8
20,1203.4,349.6,181.4,137.0,9.4,119.2,5000.0,684.8,4296.8
21,1108.0,370.8,204.0,157.4,18.0,141.8,5000.0,684.8,4296.8
22,999.2,408.8,223.4,175.2,26.0,167.4,5000.0,684.8,4296.8
23,901.8,423.2,250.2,193.8,34.6,196.4,5000.0,684.8,4296.8
24,802.6,446.6,270.4,207.0,41.6,231.8,5000.0,684.8,4296.8
25,703.4,463.2,297.0,224.4,49.0,263.0,5000.0,684.8,4296.8
26,613.4,458.0,325.0,243.6,54.8,305.2,5000.0,684.8,4296.8
27,523.4,451.8,356.6,262.0,61.2,345.0,5000.0,684.8,4296.8
28,442.6,444.2,377.6,280.0,65.6,390.0,5000.0,684.8,4296.8
29,379.4,420.2,396.0,294.0,71.2,439.2,5000.0,684.8,4296.8
30,324.8,400.6,404.4,306.6,74.8,488.8,5000.0,684.8,4296.8
31,268.6,380.0,414.2,319.6,78.4,539.2,5000.0,684.8,4296.8
32,219.4,350.2,432.2,327.2,81.2,589.8,5000.0,684.8,4296.8
33,179.6,324.0,431.8,331.4,85.8,647.4,5000.0,684.8,4296.8
34,144.0,300.6,433.2,335.2,91.0,696.0,5000.0,684.8,4296.8
35,116.6,270.0,430.0,335.8,94.8,752.8,5000.0,684.8,4296.8
36,92.4,243.4,422.2,335.6,98.2,808.2,5000.0,684.8,4296.8
37,74.6,211.6,415.4,331.6,97.4,869.4,5000.0,684.8,4296.8
38,62.4,183.0,403.4,328.6,101.0,921.6,5000.0,684.8,4296.8
39,50.2,164.2,385.2,323.2,103.6,973.6,5000.0,684.8,4296.8
40,43.2,138.2,352.2,318.0,119.4,1029.0,5000.0,684.8,4296.8
41,37.2,123.4,319.6,307.2,134.0,1078.6,5000.0,684.8,4296.8
42,34.4,109.4,286.8,298.0,147.8,1123.6,5000.0,684.8,4296.8
43,31.8,96.0,258.6,286.8,161.4,1165.4,5000.0,684.8,4296.8
44,30.6,85.6,228.6,277.6,170.4,1207.2,5000.0,684.8,4296.8
45,28.8,76.0,199.6,264.2,181.4,1250.0,5000.0,684.8,4296.8
46,29.4,69.2,170.2,251.4,191.4,1288.4,5000.0,684.8,4296.8
47,31.8,60.4,143.2,238.2,201.2,1325.2,5000.0,684.8,4296.8
48,34.6,53.0,127.6,216.2,209.0,1359.6,5000.0,684.8,4296.8
49,37.8,47.0,115.6,193.8,216.2,1389.6,5000.0,684.8,4296.8
50,41.8,42.8,105.2,171.6,221.2,1417.4,5000.0,684.8,4296.8
51,42.6,39.2,92.4,154.2,223.6,1448.0,5000.0,684.8,4296.8
52,44.0,33.4,83.4,139.4,225.2,1474.6,5000.0,684.8,4296.8
53,45.2,29.0,75.4,124.8,227.8,1497.8,5000.0,684.8,4296.8
54,50.8,23.6,65.6,114.2,224.8,1521.0,5000.0,684.8,4296.8
55,56.0,21.2,58.2,101.8,221.2,1541.6,5000.0,684.8,4296.8
56,59.0,20.0,51.6,94.8,212.6,1562.0,5000.0,684.8,4296.8
57,63.4,19.0,45.0,84.6,206.8,1581.2,5000.0,684.8,4296.8
58,66.0,17.6,39.8,77.2,203.6,1595.8,5000.0,684.8,4296.8
59,74.8,14.2,34.8,73.8,194.8,1607.6,5000.0,684.8,4296.8
60,80.4,13.4,26.0,68.6,192.0,1619.6,5000.0,684.8,4296.8
61,84.6,11.6,19.0,63.4,188.0,1633.4,5000.0,684.8,4296.8
62,89.4,11.0,11.6,59.2,184.4,1644.4,5000.0,684.8,4296.8
63,94.8,10.2,5.8,54.6,180.8,1653.8,5000.0,684.8,4296.8
64,103.0,7.8,5.2,47.6,173.4,1663.0,5000.0,684.8,4296.8
65,111.0,8.4,2.0,42.2,166.2,1670.2,5000.0,684.8,4296.8
66,120.4,8.8,0.8,37.2,158.4,1674.4,5000.0,684.8,4296.8
67,127.6,8.0,1.0,34.4,147.2,1681.8,5000.0,684.8,4296.8
68,135.0,6.4,1.0,31.8,140.8,1685.0,5000.0,684.8,4296.8
69,143.4,6.8,0.4,29.0,132.2,1688.2,5000.0,684.8,4296.8
70,150.0,5.8,1.4,26.8,125.4,1690.6,5000.0,684.8,4296.8
71,157.4,4.6,1.2,24.6,121.4,1690.8,5000.0,684.8,4296.8
72,165.4,4.0,0.8,22.0,115.6,1692.2,5000.0,684.8,4296.8
73,176.6,3.6,0.4,21.0,111.6,1686.8,5000.0,684.8,4296.8
74,184.6,2.4,0.8,20.2,105.0,1687.0,5000.0,684.8,4296.8
75,193.4,2.6,0.0,19.8,100.0,1684.2,5000.0,684.8,4296.8
76,201.2,2.8,0.6,18.4,94.6,1682.4,5000.0,684.8,4296.8
77,209.0,3.0,0.4,16.4,90.6,1680.6,5000.0,684.8,4296.8
78,216.4,4.0,0.2,15.6,86.4,1677.4,5000.0,684.8,4296.8
79,225.4,3.4,0.4,15.6,81.8,1673.4,5000.0,684.8,4296.8
80,237.0,2.6,0.4,14.6,76.0,1669.4,5000.0,684.8,4296.8
81,245.6,2.4,0.4,13.2,71.8,1666.6,5000.0,684.8,4296.8
82,253.8,3.0,0.6,12.0,66.8,1663.8,5000.0,684.8,4296.8
83,260.4,3.4,0.0,11.4,64.4,1660.4,5000.0,684.8,4296.8
84,269.2,3.0,0.2,11.4,62.0,1654.2,5000.0,684.8,4296.8
85,277.4,2.4,1.0,11.0,57.6,1650.6,5000.0,684.8,4296.8
86,285.2,2.4,0.4,9.6,54.2,1648.2,5000.0,684.8,4296.8
87,294.4,2.4,0.2,9.2,49.6,1644.2,5000.0,684.8,4296.8
88,303.4,2.6,0.2,8.6,46.8,1638.4,5000.0,684.8,4296.8
89,311.2,2.8,0.4,8.2,42.8,1634.6,5000.0,684.8,4296.8
90,318.4,3.8,0.2,7.2,39.6,1630.8,5000.0,684.8,4296.8
91,327.8,3.4,0.0,6.0,38.2,1624.6,5000.0,684.8,4296.8
92,338.2,3.8,0.0,5.6,36.2,1616.2,5000.0,684.8,4296.8
93,347.2,3.2,0.6,5.6,34.2,1609.2,5000.0,684.8,4296.8
