Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,1980.2,9.8,9.8,0.0,0.0,0.2,5000.0,682.2,4317.8
1,1972.4,15.6,10.2,1.0,0.0,0.8,5000.0,682.2,4317.8
2,1964.4,20.8,11.6,2.0,0.0,1.2,5000.0,682.2,4317.8
3,1955.2,26.4,12.8,3.4,0.0,2.2,5000.0,682.2,4317.8
4,1944.6,31.6,15.8,5.2,0.0,2.8,5000.0,682.2,4317.8
5,1930.6,40.0,18.0,7.2,0.0,4.2,5000.0,682.2,4317.8
6,1915.0,48.0,21.2,10.2,0.0,5.6,5000.0,682.2,4317.8
7,1895.4,58.2,25.2,13.4,0.0,7.8,5000.0,682.2,4317.8
8,1874.8,67.0,31.8,15.6,0.0,10.8,5000.0,682.2,4317.8
9,1849.2,80.6,36.8,19.2,0.0,14.2,5000.0,682.2,4317.8
10,1816.2,99.0,43.6,23.8,0.0,17.4,5000.0,682.2,4317.8
11,1783.0,116.8,50.6,28.8,0.0,20.8,5000.0,682.2,4317.8
12,1741.8,133.4,61.6,36.8,0.0,26.4,5000.0,682.2,4317.8
13,1693.2,159.4,69.6,45.6,0.0,32.2,5000.0,682.2,4317.8
14,1640.2,177.6,86.2,57.0,0.0,39.0,5000.0,682.2,4317.8
15,1570.0,215.4,100.8,67.0,0.0,46.8,5000.0,682.2,4317.8
16,1495.4,249.2,117.8,77.4,0.0,60.2,5000.0,682.2,4317.8
17,1418.8,279.0,136.2,94.2,0.0,71.8,5000.0,682.2,4317.8
18,1320.6,322.8,159.2,108.0,0.0,89.4,5000.0,682.2,4317.8
19,1221.2,358.2,186.0,129.6,0.0,105.0,5000.0,682.2,4317.8
20,1118.0,387.0,207.8,150.0,9.2,128.0,5000.0,682.2,4317.8
21,1007.0,423.2,225.2,168.6,18.6,157.4,5000.0,682.2,4317.8
22,901.0,442.0,248.4,193.6,26.2,188.8,5000.0,682.2,4317.8
23,795.8,459.6,272.0,215.6,33.4,223.6,5000.0,682.2,4317.8
24,698.4,470.8,296.8,230.8,39.2,264.0,5000.0,682.2,4317.8
25,607.0,464.8,325.6,254.8,43.8,304.0,5000.0,682.2,4317.8
26,523.8,459.0,347.6,273.0,49.0,347.6,5000.0,682.2,4317.8
27,446.2,446.0,371.4,291.2,53.6,391.6,5000.0,682.2,4317.8
28,371.8,433.2,393.6,303.6,59.0,438.8,5000.0,682.2,4317.8
29,312.2,411.2,401.6,320.2,64.4,490.4,5000.0,682.2,4317.8
30,256.2,386.8,412.0,331.2,68.8,545.0,5000.0,682.2,4317.8
31,205.4,365.2,423.0,333.4,75.2,597.8,5000.0,682.2,4317.8
32,167.2,340.4,422.8,335.2,79.2,655.2,5000.0,682.2,4317.8
33,134.6,303.2,426.8,340.8,82.6,712.0,5000.0,682.2,4317.8
34,110.8,269.6,417.4,344.4,87.0,770.8,5000.0,682.2,4317.8
35,88.2,240.2,412.6,340.0,87.6,831.4,5000.0,682.2,4317.8
36,71.8,215.8,397.8,340.2,90.0,884.4,5000.0,682.2,4317.8
37,58.0,188.0,390.4,331.4,93.2,939.0,5000.0,682.2,4317.8
38,51.4,162.0,377.2,321.8,97.0,990.6,5000.0,682.2,4317.8
39,44.8,143.8,362.0,311.8,99.0,1038.6,5000.0,682.2,4317.8
40,38.2,125.4,331.0,301.4,114.0,1090.0,5000.0,682.2,4317.8
41,36.2,110.4,301.2,290.2,129.2,1132.8,5000.0,682.2,4317.8
42,36.2,99.2,265.8,277.4,142.8,1178.6,5000.0,682.2,4317.8
43,30.8,89.8,235.0,265.2,158.6,1220.6,5000.0,682.2,4317.8
44,30.2,80.8,204.2,252.8,170.2,1261.8,5000.0,682.2,4317.8
45,27.6,74.0,175.0,243.6,181.0,1298.8,5000.0,682.2,4317.8
46,31.0,64.4,148.6,229.6,192.2,1334.2,5000.0,682.2,4317.8
47,31.0,56.2,121.0,217.8,203.0,1371.0,5000.0,682.2,4317.8
48,30.6,50.4,95.4,209.4,210.8,1403.4,5000.0,682.2,4317.8
49,33.8,46.4,71.4,196.8,219.0,1432.6,5000.0,682.2,4317.8
50,37.4,42.0,49.8,185.2,227.4,1458.2,5000.0,682.2,4317.8
51,42.0,37.0,34.4,169.4,231.0,1486.2,5000.0,682.2,4317.8
52,47.4,33.0,22.2,151.4,233.0,1513.0,5000.0,682.2,4317.8
53,51.8,27.8,15.4,138.4,234.4,1532.2,5000.0,682.2,4317.8
54,57.6,24.0,9.4,122.4,236.8,1549.8,5000.0,682.2,4317.8
55,64.4,22.4,6.2,107.6,230.8,1568.6,5000.0,682.2,4317.8
56,71.0,16.6,3.8,96.0,224.4,1588.2,5000.0,682.2,4317.8
57,79.4,15.2,2.4,85.8,218.2,1599.0,5000.0,682.2,4317.8
58,87.0,13.8,2.8,76.6,208.4,1611.4,5000.0,682.2,4317.8
59,94.8,11.6,1.4,70.4,197.0,1624.8,5000.0,682.2,4317.8
60,100.0,9.6,1.0,60.2,192.4,1636.8,5000.0,682.2,4317.8
