Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,1983.4,6.6,9.0,0.0,0.0,1.0,5000.0,692.0,4294.2
1,1977.6,11.4,9.4,0.2,0.0,1.4,5000.0,692.0,4294.2
2,1971.8,15.8,10.2,0.8,0.0,1.4,5000.0,692.0,4294.2
3,1965.0,18.6,10.6,3.6,0.0,2.2,5000.0,692.0,4294.2
4,1956.4,21.4,13.8,5.6,0.0,2.8,5000.0,692.0,4294.2
5,1941.4,33.0,14.6,6.2,0.0,4.8,5000.0,692.0,4294.2
6,1929.4,38.6,17.8,8.0,0.0,6.2,5000.0,692.0,4294.2
7,1914.4,46.0,21.4,10.2,0.0,8.0,5000.0,692.0,4294.2
8,1897.2,55.0,24.0,13.0,0.0,10.8,5000.0,692.0,4294.2
9,1880.0,61.6,29.6,16.6,0.0,12.2,5000.0,692.0,4294.2
10,1857.0,74.6,34.0,18.4,0.0,16.0,5000.0,692.0,4294.2
11,1829.0,87.6,41.6,22.8,0.0,19.0,5000.0,692.0,4294.2
12,1797.8,99.8,51.6,28.8,0.0,22.0,5000.0,692.0,4294.2
13,1748.6,127.4,61.4,35.2,0.0,27.4,5000.0,692.0,4294.2
14,1701.8,151.2,70.2,43.0,0.0,33.8,5000.0,692.0,4294.2
15,1653.2,166.0,86.4,51.0,0.0,43.4,5000.0,692.0,4294.2
16,1588.4,201.2,99.2,59.0,0.0,52.2,5000.0,692.0,4294.2
17,1518.4,230.8,119.0,70.6,0.0,61.2,5000.0,692.0,4294.2
18,1442.4,263.2,138.6,83.6,0.0,72.2,5000.0,692.0,4294.2
19,1357.6,295.0,163.4,99.2,0.0,84.8,5000.0,692.0,4294.2
20,1254.6,339.4,177.2,114.6,9.4,104.8,5000.0,692.0,4294.2
21,1157.8,371.0,188.6,136.4,18.0,128.2,5000.0,692.0,4294.2
22,1061.6,388.6,215.2,160.0,25.6,149.0,5000.0,692.0,4294.2
23,954.6,414.2,239.6,182.4,34.0,175.2,5000.0,692.0,4294.2
24,853.2,428.4,268.4,203.6,40.8,205.6,5000.0,692.0,4294.2
25,750.6,442.4,295.4,216.6,47.0,248.0,5000.0,692.0,4294.2
26,656.4,449.8,316.0,234.6,53.4,289.8,5000.0,692.0,4294.2
27,578.2,435.0,338.6,259.6,59.2,329.4,5000.0,692.0,4294.2
28,493.4,436.8,357.6,277.4,64.4,370.4,5000.0,692.0,4294.2
29,410.6,440.2,376.0,286.8,70.8,415.6,5000.0,692.0,4294.2
30,341.2,423.8,390.6,309.8,74.0,460.6,5000.0,692.0,4294.2
31,282.2,400.4,402.8,323.4,78.0,513.2,5000.0,692.0,4294.2
32,236.6,369.6,412.0,334.4,82.0,565.4,5000.0,692.0,4294.2
33,195.2,345.8,417.8,333.8,84.2,623.2,5000.0,692.0,4294.2
34,157.4,319.6,418.2,335.8,86.4,682.6,5000.0,692.0,4294.2
35,127.0,291.6,413.6,335.4,90.2,742.2,5000.0,692.0,4294.2
36,102.4,268.4,409.2,329.6,93.0,797.4,5000.0,692.0,4294.2
37,84.8,236.2,401.6,322.0,94.2,861.2,5000.0,692.0,4294.2
38,71.6,207.4,397.6,317.8,96.0,909.6,5000.0,692.0,4294.2
39,58.6,179.0,388.6,312.4,97.4,964.0,5000.0,692.0,4294.2
40,49.2,160.8,354.2,301.0,114.0,1020.8,5000.0,692.0,4294.2
41,42.6,139.8,328.6,291.8,128.0,1069.2,5000.0,692.0,4294.2
