Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,2971.0,19.0,9.6,0.0,0.0,0.4,5000.0,724.6,4275.4
1,2955.2,30.8,11.0,1.6,0.0,1.4,5000.0,724.6,4275.4
2,2938.0,40.0,14.6,5.2,0.0,2.2,5000.0,724.6,4275.4
3,2906.4,61.6,19.2,9.2,0.0,3.6,5000.0,724.6,4275.4
4,2863.8,91.4,25.2,13.2,0.0,6.4,5000.0,724.6,4275.4
5,2806.8,127.8,36.8,18.0,0.0,10.6,5000.0,724.6,4275.4
6,2726.4,179.4,53.0,27.0,0.0,14.2,5000.0,724.6,4275.4
7,2616.2,252.4,72.4,39.0,0.0,20.0,5000.0,724.6,4275.4
8,2461.4,356.4,97.2,56.6,0.0,28.4,5000.0,724.6,4275.4
9,2284.4,461.4,135.6,80.4,0.0,38.2,5000.0,724.6,4275.4
10,2072.8,575.0,187.4,110.4,0.0,54.4,5000.0,724.6,4275.4
11,1783.0,752.6,238.8,147.8,0.0,77.8,5000.0,724.6,4275.4
12,1486.6,905.6,301.8,200.2,0.0,105.8,5000.0,724.6,4275.4
13,1170.6,1035.8,399.0,262.0,0.0,132.6,5000.0,724.6,4275.4
14,853.8,1141.8,494.4,326.6,0.0,183.4,5000.0,724.6,4275.4
15,593.0,1181.0,593.8,392.6,0.0,239.6,5000.0,724.6,4275.4
16,382.6,1163.6,689.6,460.0,0.0,304.2,5000.0,724.6,4275.4
17,229.0,1083.4,779.8,520.8,0.0,387.0,5000.0,724.6,4275.4
18,126.6,963.8,867.0,568.6,0.0,474.0,5000.0,724.6,4275.4
19,67.8,828.4,921.6,608.0,0.0,574.2,5000.0,724.6,4275.4
20,34.8,704.0,943.0,624.2,8.6,685.4,5000.0,724.6,4275.4
21,20.0,583.8,951.8,635.2,17.0,792.2,5000.0,724.6,4275.4
22,10.6,482.4,942.0,636.4,25.6,903.0,5000.0,724.6,4275.4
23,5.8,387.8,933.0,628.0,33.6,1011.8,5000.0,724.6,4275.4
24,7.0,312.4,906.8,615.6,40.8,1117.4,5000.0,724.6,4275.4
25,6.6,260.4,866.0,600.0,46.8,1220.2,5000.0,724.6,4275.4
26,8.4,216.6,823.0,584.0,54.4,1313.6,5000.0,724.6,4275.4
27,10.0,177.6,782.2,561.4,60.4,1408.4,5000.0,724.6,4275.4
28,8.2,147.8,748.6,536.0,67.2,1492.2,5000.0,724.6,4275.4
29,9.4,124.4,708.0,507.0,70.8,1580.4,5000.0,724.6,4275.4
30,8.6,107.8,661.6,482.6,76.0,1663.4,5000.0,724.6,4275.4
31,10.0,94.8,623.0,452.6,81.0,1738.6,5000.0,724.6,4275.4
32,11.2,83.0,576.0,425.0,85.4,1819.4,5000.0,724.6,4275.4
33,12.6,72.4,538.0,402.6,89.2,1885.2,5000.0,724.6,4275.4
34,14.6,64.2,501.0,375.2,92.8,1952.2,5000.0,724.6,4275.4
35,20.2,59.6,463.4,352.6,94.8,2009.4,5000.0,724.6,4275.4
36,18.6,57.0,429.8,337.2,99.0,2058.4,5000.0,724.6,4275.4
37,20.4,57.6,397.4,316.4,101.2,2107.0,5000.0,724.6,4275.4
38,21.0,54.4,371.4,295.6,103.4,2154.2,5000.0,724.6,4275.4
39,20.8,54.0,344.0,281.4,104.2,2195.6,5000.0,724.6,4275.4
40,23.6,50.0,305.2,266.8,120.4,2234.0,5000.0,724.6,4275.4
41,27.0,50.2,267.2,249.0,135.6,2271.0,5000.0,724.6,4275.4
42,28.6,49.6,225.8,235.2,149.8,2311.0,5000.0,724.6,4275.4
43,30.6,48.4,193.4,218.6,160.8,2348.2,5000.0,724.6,4275.4
44,35.0,43.8,161.0,208.4,170.8,2381.0,5000.0,724.6,4275.4
45,38.0,45.0,131.4,196.6,179.2,2409.8,5000.0,724.6,4275.4
46,44.4,42.2,104.0,186.2,191.4,2431.8,5000.0,724.6,4275.4
47,53.0,42.2,76.6,175.6,200.6,2452.0,5000.0,724.6,4275.4
48,61.8,42.2,52.0,169.8,207.2,2467.0,5000.0,724.6,4275.4
49,67.2,40.2,32.4,162.4,215.0,2482.8,5000.0,724.6,4275.4
50,70.6,37.8,14.0,156.2,221.8,2499.6,5000.0,724.6,4275.4
51,77.0,32.0,9.6,138.4,225.8,2517.2,5000.0,724.6,4275.4
52,86.2,29.4,3.6,123.0,226.4,2531.4,5000.0,724.6,4275.4
53,93.6,26.4,3.6,108.4,224.0,2544.0,5000.0,724.6,4275.4
54,104.0,24.4,3.6,96.0,218.0,2554.0,5000.0,724.6,4275.4
55,111.6,24.8,2.4,86.0,212.0,2563.2,5000.0,724.6,4275.4
56,122.4,23.0,3.4,76.8,202.4,2572.0,5000.0,724.6,4275.4
57,130.6,22.4,3.2,71.4,192.2,2580.2,5000.0,724.6,4275.4
58,138.2,21.2,2.4,67.2,181.4,2589.6,5000.0,724.6,4275.4
59,149.0,19.0,1.8,63.0,175.4,2591.8,5000.0,724.6,4275.4
60,158.8,17.4,2.4,56.4,166.2,2598.8,5000.0,724.6,4275.4
61,171.4,16.4,2.0,52.2,158.8,2599.2,5000.0,724.6,4275.4
62,182.8,15.6,1.8,49.0,152.0,2598.8,5000.0,724.6,4275.4
63,191.8,17.0,0.8,44.8,145.2,2600.4,5000.0,724.6,4275.4
64,204.4,14.8,2.6,43.2,134.8,2600.2,5000.0,724.6,4275.4
65,214.6,14.8,2.4,40.0,129.0,2599.2,5000.0,724.6,4275.4
66,225.4,13.8,2.0,37.6,126.0,2595.2,5000.0,724.6,4275.4
67,233.6,15.8,1.6,34.8,122.0,2592.2,5000.0,724.6,4275.4
68,245.8,13.8,1.0,33.2,116.6,2589.6,5000.0,724.6,4275.4
69,257.2,14.2,1.0,33.2,110.6,2583.8,5000.0,724.6,4275.4
70,265.4,16.0,1.8,32.8,105.4,2578.6,5000.0,724.6,4275.4
71,277.8,14.0,1.8,31.0,99.8,2575.6,5000.0,724.6,4275.4
72,289.8,13.0,0.8,29.2,97.0,2570.2,5000.0,724.6,4275.4
73,301.4,13.0,2.0,25.4,91.8,2566.4,5000.0,724.6,4275.4
74,314.2,12.2,2.0,23.0,87.2,2561.4,5000.0,724.6,4275.4
75,326.4,12.0,2.0,22.2,84.4,2553.0,5000.0,724.6,4275.4
76,335.2,11.8,1.2,19.8,81.2,2550.8,5000.0,724.6,4275.4
77,346.2,12.0,1.0,17.4,79.4,2544.0,5000.0,724.6,4275.4
