Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.0040436716538617065
21,0,0.006713912719134651
22,0,0.009500351864883884
23,0,0.012195121951219513
24,0,0.014233697451175108
25,0,0.017584605175846053
26,0,0.020013568521031207
27,0,0.022206556221360592
28,0,0.02384446074834923
29,0,0.027607361963190184
30,0,0.0298989898989899
31,0,0.03201024327784891
32,0,0.035278154681139755
33,0,0.038072289156626506
34,0,0.04500775995861355
35,0,0.04892798240791644
36,0,0.05046948356807512
37,0,0.055834378920953574
38,0,0.060526315789473685
39,0,0.06690140845070422
40,0,0.08333333333333333
41,0,0.1008668242710796
42,0,0.11926605504587157
43,0,0.13784021071115013
44,0,0.15633672525439407
45,0,0.1752988047808765
46,0,0.19365079365079366
47,0,0.2122905027932961
48,0,0.23416965352449223
49,0,0.2641975308641975
50,0,0.293888166449935
51,0,0.32309746328437916
52,0,0.3611898016997167
53,0,0.38922155688622756
54,0,0.4258373205741627
55,0,0.463743676222597
56,0,0.4875444839857651
57,0,0.5244360902255639
58,0,0.5603960396039604
59,0,0.5866388308977035
60,0,0.6455142231947484
61,0,0.675
62,0,0.7043269230769231
63,0,0.7035175879396985
64,0,0.7097625329815304
65,0,0.7050561797752809
66,0,0.7032640949554896
67,0,0.7088607594936709
68,0,0.7074829931972789
69,0,0.7018181818181818
70,0,0.7099236641221374
71,0,0.7131474103585658
72,0,0.7130801687763713
73,0,0.7050691244239631
74,0,0.714975845410628
75,0,0.7178217821782178
76,0,0.7272727272727273
77,0,0.7191011235955056
78,0,0.727810650887574
79,0,0.7329192546583851
80,0,0.7515923566878981
81,0,0.7364864864864865
82,0,0.75
83,0,0.7573529411764706
84,0,0.751937984496124
85,0,0.7479674796747967
86,0,0.7603305785123967
87,0,0.7565217391304347
88,0,0.7706422018348624
89,0,0.7647058823529411
90,0,0.7524752475247525
91,0,0.7448979591836735
92,0,0.7096774193548387
93,0,0.6956521739130435
94,0,0.75
95,0,0.7469879518072289
96,0,0.717948717948718
97,0,0.7162162162162162
98,0,0.726027397260274
99,0,0.7391304347826086
100,0,0.7301587301587301
101,0,0.71875
102,0,0.7121212121212122
103,0,0.71875
104,0,0.6825396825396826
105,0,0.6984126984126984
106,0,0.6935483870967742
107,0,0.6896551724137931
108,0,0.6727272727272727
109,0,0.66
110,0,0.6122448979591837
111,0,0.6041666666666666
112,0,0.6595744680851063
113,0,0.6595744680851063
114,0,0.723404255319149
115,0,0.6744186046511628
116,0,0.6363636363636364
117,0,0.6428571428571429
118,0,0.7073170731707317
119,0,0.7631578947368421
120,0,0.7435897435897436
121,0,0.8333333333333334
122,0,0.7631578947368421
123,0,0.7
124,0,0.6666666666666666
125,0,0.631578947368421
126,0,0.7105263157894737
127,0,0.7368421052631579
128,0,0.7428571428571429
129,0,0.7941176470588235
130,0,0.7297297297297297
131,0,0.7105263157894737
132,0,0.7297297297297297
133,0,0.7837837837837838
134,0,0.7777777777777778
135,0,0.7297297297297297
136,0,0.6857142857142857
137,0,0.6756756756756757
138,0,0.717948717948718
139,0,0.6857142857142857
140,0,0.7428571428571429
141,0,0.75
142,0,0.78125
143,0,0.78125
144,0,0.8064516129032258
145,0,0.7586206896551724
146,0,0.8214285714285714
147,0,0.7931034482758621
148,0,0.7931034482758621
149,0,0.7692307692307693
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
9,1,0.0
