Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,3973.6,16.4,8.2,0.0,0.0,1.8,5000.0,945.6,4052.8
1,3963.2,23.6,10.0,0.8,0.0,2.4,5000.0,945.6,4052.8
2,3947.2,36.0,11.6,2.4,0.0,2.8,5000.0,945.6,4052.8
3,3930.6,45.8,15.8,4.4,0.0,3.4,5000.0,945.6,4052.8
4,3904.4,63.4,18.4,8.6,0.0,5.2,5000.0,945.6,4052.8
5,3871.4,85.2,23.2,11.8,0.0,8.4,5000.0,945.6,4052.8
6,3827.0,113.2,32.0,16.2,0.0,11.6,5000.0,945.6,4052.8
7,3766.0,148.8,41.0,28.6,0.0,15.6,5000.0,945.6,4052.8
8,3681.2,208.0,54.6,37.0,0.0,19.2,5000.0,945.6,4052.8
9,3574.6,271.6,76.8,51.6,0.0,25.4,5000.0,945.6,4052.8
10,3428.2,367.6,99.2,72.2,0.0,32.8,5000.0,945.6,4052.8
11,3236.2,484.6,140.0,94.4,0.0,44.8,5000.0,945.6,4052.8
12,2994.0,637.8,180.8,127.0,0.0,60.4,5000.0,945.6,4052.8
13,2707.6,807.4,237.8,165.0,0.0,82.2,5000.0,945.6,4052.8
14,2378.0,978.8,319.0,213.8,0.0,110.4,5000.0,945.6,4052.8
15,1999.2,1157.4,423.2,273.4,0.0,146.8,5000.0,945.6,4052.8
16,1623.2,1303.6,531.8,345.2,0.0,196.2,5000.0,945.6,4052.8
17,1238.4,1427.8,653.6,424.6,0.0,255.6,5000.0,945.6,4052.8
18,887.0,1493.6,781.8,509.2,0.0,328.4,5000.0,945.6,4052.8
19,606.6,1476.0,904.8,587.2,0.0,425.4,5000.0,945.6,4052.8
20,376.2,1407.2,1012.0,671.6,9.4,523.6,5000.0,945.6,4052.8
21,226.2,1272.0,1105.6,736.4,15.8,644.0,5000.0,945.6,4052.8
22,128.2,1115.8,1177.8,789.2,23.8,765.2,5000.0,945.6,4052.8
23,66.6,959.8,1214.4,823.2,30.4,905.6,5000.0,945.6,4052.8
24,31.8,808.4,1228.8,841.6,37.0,1052.4,5000.0,945.6,4052.8
25,15.6,661.6,1234.2,838.4,44.0,1206.2,5000.0,945.6,4052.8
26,8.6,543.4,1212.0,831.2,49.8,1355.0,5000.0,945.6,4052.8
27,9.0,443.0,1184.0,814.2,55.0,1494.8,5000.0,945.6,4052.8
28,9.6,358.4,1146.0,791.2,62.4,1632.4,5000.0,945.6,4052.8
29,8.2,299.2,1093.0,757.4,67.2,1775.0,5000.0,945.6,4052.8
30,10.2,250.4,1039.8,721.2,73.2,1905.2,5000.0,945.6,4052.8
31,11.2,209.4,979.8,689.4,78.4,2031.8,5000.0,945.6,4052.8
32,14.2,177.2,922.2,656.0,81.2,2149.2,5000.0,945.6,4052.8
33,13.2,149.4,870.2,624.6,85.4,2257.2,5000.0,945.6,4052.8
34,16.2,125.4,814.4,593.6,88.2,2362.2,5000.0,945.6,4052.8
35,20.8,112.0,767.0,559.2,92.4,2448.6,5000.0,945.6,4052.8
36,21.6,107.0,710.0,526.2,96.4,2538.8,5000.0,945.6,4052.8
37,19.8,98.0,665.4,498.6,98.4,2619.8,5000.0,945.6,4052.8
38,25.6,92.4,624.2,470.4,100.8,2686.6,5000.0,945.6,4052.8
39,24.6,89.0,585.4,439.4,102.2,2759.4,5000.0,945.6,4052.8
40,29.0,85.6,530.0,413.4,119.4,2822.6,5000.0,945.6,4052.8
41,31.6,80.8,479.6,383.4,131.6,2893.0,5000.0,945.6,4052.8
42,34.6,76.2,435.8,363.8,145.8,2943.8,5000.0,945.6,4052.8
43,40.2,77.2,394.6,338.6,158.2,2991.2,5000.0,945.6,4052.8
44,44.2,75.2,352.4,318.2,170.2,3039.8,5000.0,945.6,4052.8
45,48.4,76.4,318.6,297.6,182.0,3077.0,5000.0,945.6,4052.8
46,52.8,72.8,282.2,280.8,190.8,3120.6,5000.0,945.6,4052.8
47,60.2,68.6,254.6,268.4,197.8,3150.4,5000.0,945.6,4052.8
48,64.0,69.2,223.4,253.4,206.6,3183.4,5000.0,945.6,4052.8
49,69.2,66.0,195.4,240.4,214.8,3214.2,5000.0,945.6,4052.8
50,71.4,66.4,165.4,226.8,225.2,3244.8,5000.0,945.6,4052.8
51,75.4,63.4,138.6,213.8,229.4,3279.4,5000.0,945.6,4052.8
52,81.6,63.2,113.8,203.2,235.6,3302.6,5000.0,945.6,4052.8
53,88.8,60.0,94.4,186.8,242.6,3327.4,5000.0,945.6,4052.8
54,101.4,54.6,74.0,176.8,250.4,3342.8,5000.0,945.6,4052.8
55,112.6,50.8,60.6,161.8,255.8,3358.4,5000.0,945.6,4052.8
56,118.8,46.0,48.4,152.0,258.2,3376.6,5000.0,945.6,4052.8
