Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4979.6,10.4,9.0,0.0,0.0,1.0,5000.0,1108.6,3891.4
1,4971.2,17.4,9.2,0.8,0.0,1.4,5000.0,1108.6,3891.4
2,4961.8,23.0,10.8,1.8,0.0,2.6,5000.0,1108.6,3891.4
3,4950.8,30.8,11.8,3.4,0.0,3.2,5000.0,1108.6,3891.4
4,4937.8,37.6,15.0,5.6,0.0,4.0,5000.0,1108.6,3891.4
5,4920.0,48.8,18.4,8.2,0.0,4.6,5000.0,1108.6,3891.4
6,4897.0,61.8,22.6,11.6,0.0,7.0,5000.0,1108.6,3891.4
7,4862.6,84.2,26.8,17.0,0.0,9.4,5000.0,1108.6,3891.4
8,4815.8,113.8,35.8,21.8,0.0,12.8,5000.0,1108.6,3891.4
9,4752.6,154.8,46.2,28.8,0.0,17.6,5000.0,1108.6,3891.4
10,4677.4,198.8,61.4,41.0,0.0,21.4,5000.0,1108.6,3891.4
11,4580.6,261.8,80.2,51.0,0.0,26.4,5000.0,1108.6,3891.4
12,4460.6,331.4,108.0,62.0,0.0,38.0,5000.0,1108.6,3891.4
13,4307.0,424.4,136.2,83.4,0.0,49.0,5000.0,1108.6,3891.4
14,4133.0,511.8,178.4,109.6,0.0,67.2,5000.0,1108.6,3891.4
15,3908.4,641.8,223.6,137.6,0.0,88.6,5000.0,1108.6,3891.4
16,3665.8,757.0,286.0,178.0,0.0,113.2,5000.0,1108.6,3891.4
17,3389.6,876.2,355.0,231.6,0.0,147.6,5000.0,1108.6,3891.4
18,3095.0,997.4,428.2,284.0,0.0,195.4,5000.0,1108.6,3891.4
19,2782.6,1106.2,521.8,346.4,0.0,243.0,5000.0,1108.6,3891.4
20,2462.2,1212.0,607.4,406.0,9.8,302.6,5000.0,1108.6,3891.4
21,2149.0,1282.8,704.8,468.2,18.0,377.2,5000.0,1108.6,3891.4
22,1843.6,1338.0,796.0,538.0,27.0,457.4,5000.0,1108.6,3891.4
23,1580.2,1345.0,886.0,601.6,35.0,552.2,5000.0,1108.6,3891.4
24,1319.8,1339.2,975.6,666.4,42.4,656.6,5000.0,1108.6,3891.4
25,1094.8,1304.8,1055.0,719.6,48.8,777.0,5000.0,1108.6,3891.4
26,894.2,1247.2,1126.4,778.2,55.6,898.4,5000.0,1108.6,3891.4
27,716.0,1174.6,1202.6,826.8,59.8,1020.2,5000.0,1108.6,3891.4
28,563.4,1107.8,1242.4,852.4,67.0,1167.0,5000.0,1108.6,3891.4
29,438.4,1022.2,1278.8,878.8,69.8,1312.0,5000.0,1108.6,3891.4
30,339.6,925.8,1301.8,894.8,74.0,1464.0,5000.0,1108.6,3891.4
31,258.8,817.6,1311.6,904.2,78.2,1629.6,5000.0,1108.6,3891.4
32,198.4,718.6,1307.8,908.6,81.6,1785.0,5000.0,1108.6,3891.4
33,154.8,632.0,1290.6,900.2,85.8,1936.6,5000.0,1108.6,3891.4
34,112.8,553.8,1266.4,890.2,87.4,2089.4,5000.0,1108.6,3891.4
35,85.2,478.8,1238.2,868.2,89.2,2240.4,5000.0,1108.6,3891.4
36,65.8,412.2,1200.8,838.4,93.6,2389.2,5000.0,1108.6,3891.4
37,50.0,355.8,1152.0,814.2,95.6,2532.4,5000.0,1108.6,3891.4
38,40.2,312.6,1099.8,781.2,97.8,2668.4,5000.0,1108.6,3891.4
39,33.4,270.0,1050.6,748.6,100.0,2797.4,5000.0,1108.6,3891.4
40,31.8,228.4,993.0,718.2,118.4,2910.2,5000.0,1108.6,3891.4
41,32.8,198.8,929.8,688.0,132.2,3018.4,5000.0,1108.6,3891.4
42,34.6,177.0,862.6,652.4,145.6,3127.8,5000.0,1108.6,3891.4
43,31.0,159.4,794.6,620.4,156.4,3238.2,5000.0,1108.6,3891.4
44,35.6,140.2,734.6,586.6,169.2,3333.8,5000.0,1108.6,3891.4
45,37.8,128.6,677.2,555.0,181.4,3420.0,5000.0,1108.6,3891.4
46,44.4,113.8,628.0,527.4,188.0,3498.4,5000.0,1108.6,3891.4
47,53.2,105.6,571.6,501.8,199.2,3568.6,5000.0,1108.6,3891.4
48,56.4,101.4,521.8,471.4,209.4,3639.6,5000.0,1108.6,3891.4
49,58.0,100.8,476.4,449.2,216.8,3698.8,5000.0,1108.6,3891.4
50,65.8,96.0,437.6,422.4,224.8,3753.4,5000.0,1108.6,3891.4
51,68.2,93.0,389.4,400.0,229.6,3819.8,5000.0,1108.6,3891.4
52,80.4,89.0,346.4,377.0,236.4,3870.8,5000.0,1108.6,3891.4
53,88.2,82.0,309.0,361.4,242.4,3917.0,5000.0,1108.6,3891.4
54,96.8,83.2,277.0,344.2,248.0,3950.8,5000.0,1108.6,3891.4
55,105.6,76.6,248.8,320.2,255.0,3993.8,5000.0,1108.6,3891.4
56,112.2,76.2,216.6,299.8,259.0,4036.2,5000.0,1108.6,3891.4
57,122.0,69.8,188.2,285.8,264.2,4070.0,5000.0,1108.6,3891.4
58,126.4,68.8,160.2,268.4,269.8,4106.4,5000.0,1108.6,3891.4
59,143.0,62.6,141.8,253.6,273.8,4125.2,5000.0,1108.6,3891.4
60,153.0,59.6,111.8,234.8,291.2,4149.6,5000.0,1108.6,3891.4
61,167.8,55.8,81.6,215.4,305.6,4173.8,5000.0,1108.6,3891.4
62,180.2,54.2,57.6,199.2,316.4,4192.4,5000.0,1108.6,3891.4
63,195.4,50.0,34.0,186.6,323.6,4210.4,5000.0,1108.6,3891.4
64,211.4,43.6,24.8,171.4,327.8,4221.0,5000.0,1108.6,3891.4
65,227.8,38.4,13.6,156.8,331.0,4232.4,5000.0,1108.6,3891.4
66,244.6,36.8,5.2,138.8,326.6,4248.0,5000.0,1108.6,3891.4
67,263.2,34.4,5.2,123.4,315.0,4258.8,5000.0,1108.6,3891.4
68,281.2,31.4,5.6,114.4,301.4,4266.0,5000.0,1108.6,3891.4
69,298.0,33.0,3.2,103.4,287.8,4274.6,5000.0,1108.6,3891.4
70,314.0,28.6,5.0,96.8,272.2,4283.4,5000.0,1108.6,3891.4
