Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4980.0,10.0,9.6,0.0,0.0,0.4,5000.0,1056.0,3944.0
1,4972.6,16.0,9.2,1.0,0.0,1.2,5000.0,1056.0,3944.0
2,4962.6,24.2,9.6,1.4,0.0,2.2,5000.0,1056.0,3944.0
3,4953.4,26.4,13.2,4.4,0.0,2.6,5000.0,1056.0,3944.0
4,4933.8,40.0,15.6,6.4,0.0,4.2,5000.0,1056.0,3944.0
5,4913.4,52.6,20.8,7.8,0.0,5.4,5000.0,1056.0,3944.0
6,4883.6,72.0,26.6,10.8,0.0,7.0,5000.0,1056.0,3944.0
7,4842.2,99.6,32.2,16.6,0.0,9.4,5000.0,1056.0,3944.0
8,4792.2,131.8,42.4,21.6,0.0,12.0,5000.0,1056.0,3944.0
9,4722.4,172.2,58.4,30.8,0.0,16.2,5000.0,1056.0,3944.0
10,4635.6,224.2,72.6,44.4,0.0,23.2,5000.0,1056.0,3944.0
11,4520.0,293.8,97.0,56.6,0.0,32.6,5000.0,1056.0,3944.0
12,4379.8,379.0,123.0,75.6,0.0,42.6,5000.0,1056.0,3944.0
13,4193.0,488.6,159.8,103.2,0.0,55.4,5000.0,1056.0,3944.0
14,3975.8,612.0,205.6,133.8,0.0,72.8,5000.0,1056.0,3944.0
15,3713.6,753.8,259.0,179.6,0.0,94.0,5000.0,1056.0,3944.0
16,3445.4,870.4,324.8,232.4,0.0,127.0,5000.0,1056.0,3944.0
17,3129.4,1013.0,414.4,280.4,0.0,162.8,5000.0,1056.0,3944.0
18,2787.2,1158.4,503.6,340.2,0.0,210.6,5000.0,1056.0,3944.0
19,2472.0,1244.2,606.8,406.2,0.0,270.8,5000.0,1056.0,3944.0
20,2166.6,1303.4,706.0,473.6,8.8,341.6,5000.0,1056.0,3944.0
21,1870.4,1339.6,803.6,545.4,17.8,423.2,5000.0,1056.0,3944.0
22,1579.8,1370.8,894.8,610.2,26.0,518.4,5000.0,1056.0,3944.0
23,1306.0,1383.0,977.4,670.6,34.4,628.6,5000.0,1056.0,3944.0
24,1075.0,1351.0,1060.0,725.8,41.8,746.4,5000.0,1056.0,3944.0
25,870.8,1285.0,1138.4,782.0,47.0,876.8,5000.0,1056.0,3944.0
26,698.0,1197.2,1210.4,825.8,53.8,1014.8,5000.0,1056.0,3944.0
27,542.2,1117.6,1255.8,867.6,60.4,1156.4,5000.0,1056.0,3944.0
28,423.8,1023.6,1286.0,895.0,64.6,1307.0,5000.0,1056.0,3944.0
29,321.6,930.4,1297.4,910.2,69.0,1471.4,5000.0,1056.0,3944.0
30,247.2,833.6,1293.4,919.6,71.6,1634.6,5000.0,1056.0,3944.0
31,191.4,730.8,1296.4,912.2,77.2,1792.0,5000.0,1056.0,3944.0
32,142.0,642.8,1290.0,900.6,79.0,1945.6,5000.0,1056.0,3944.0
33,107.0,560.6,1258.2,888.2,85.2,2100.8,5000.0,1056.0,3944.0
34,83.2,482.2,1232.2,869.8,89.6,2243.0,5000.0,1056.0,3944.0
35,61.0,420.2,1185.4,850.0,91.8,2391.6,5000.0,1056.0,3944.0
36,45.2,372.4,1140.2,824.4,92.6,2525.2,5000.0,1056.0,3944.0
37,37.8,322.0,1092.6,797.4,96.2,2654.0,5000.0,1056.0,3944.0
38,28.2,273.6,1046.6,770.0,99.0,2782.6,5000.0,1056.0,3944.0
39,26.6,229.8,995.8,739.6,100.6,2907.6,5000.0,1056.0,3944.0
40,28.2,197.4,929.4,707.2,117.0,3020.8,5000.0,1056.0,3944.0
41,28.4,169.4,871.8,675.4,131.4,3123.6,5000.0,1056.0,3944.0
42,31.6,152.4,801.4,637.4,144.8,3232.4,5000.0,1056.0,3944.0
43,31.6,141.0,736.6,601.0,158.8,3331.0,5000.0,1056.0,3944.0
44,35.0,127.4,681.2,567.0,168.2,3421.2,5000.0,1056.0,3944.0
45,40.4,112.8,629.2,536.8,178.6,3502.2,5000.0,1056.0,3944.0
46,45.0,105.2,573.2,501.0,187.4,3588.2,5000.0,1056.0,3944.0
47,49.6,95.4,521.6,474.4,198.0,3661.0,5000.0,1056.0,3944.0
48,56.4,90.6,476.6,449.6,210.0,3716.8,5000.0,1056.0,3944.0
49,65.6,86.6,428.8,422.8,216.2,3780.0,5000.0,1056.0,3944.0
50,73.0,82.2,386.4,401.0,224.6,3832.8,5000.0,1056.0,3944.0
51,76.8,81.8,343.0,381.6,229.4,3887.4,5000.0,1056.0,3944.0
52,84.0,79.0,309.6,359.2,238.4,3929.8,5000.0,1056.0,3944.0
53,91.6,76.8,270.8,339.8,243.4,3977.6,5000.0,1056.0,3944.0
54,101.2,77.4,237.0,321.8,249.8,4012.8,5000.0,1056.0,3944.0
55,108.2,79.8,200.2,299.8,256.6,4055.4,5000.0,1056.0,3944.0
56,116.8,75.2,173.2,282.4,262.6,4089.8,5000.0,1056.0,3944.0
57,127.4,71.6,149.2,267.4,269.2,4115.2,5000.0,1056.0,3944.0
58,141.8,66.6,127.2,254.4,272.8,4137.2,5000.0,1056.0,3944.0
59,151.8,63.6,106.2,240.0,272.6,4165.8,5000.0,1056.0,3944.0
60,164.0,61.2,81.0,224.8,285.8,4183.2,5000.0,1056.0,3944.0
61,175.6,58.4,57.6,208.8,294.6,4205.0,5000.0,1056.0,3944.0
62,196.6,51.8,37.6,193.6,300.8,4219.6,5000.0,1056.0,3944.0
63,211.2,48.6,22.6,178.6,303.8,4235.2,5000.0,1056.0,3944.0
64,229.4,43.4,14.0,162.8,305.0,4245.4,5000.0,1056.0,3944.0
65,242.6,40.4,10.2,149.4,300.6,4256.8,5000.0,1056.0,3944.0
66,259.0,39.6,9.6,137.6,293.6,4260.6,5000.0,1056.0,3944.0
67,279.4,37.8,4.2,126.4,290.4,4261.8,5000.0,1056.0,3944.0
68,301.8,34.6,3.4,117.0,278.4,4264.8,5000.0,1056.0,3944.0
69,319.2,34.0,3.0,111.6,264.4,4267.8,5000.0,1056.0,3944.0
70,337.0,31.8,4.8,106.2,250.2,4270.0,5000.0,1056.0,3944.0
71,353.0,30.4,3.2,99.2,238.8,4275.4,5000.0,1056.0,3944.0
72,371.4,29.8,4.2,94.0,229.0,4271.6,5000.0,1056.0,3944.0
73,385.6,30.0,4.8,85.4,216.4,4277.8,5000.0,1056.0,3944.0
74,403.8,28.6,4.4,80.0,207.2,4276.0,5000.0,1056.0,3944.0
