Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4980.0,10.0,9.2,0.0,0.0,0.8,5000.0,1030.8,3969.2
1,4968.4,18.4,10.0,1.6,0.0,1.6,5000.0,1030.8,3969.2
2,4957.8,25.6,12.0,2.4,0.0,2.2,5000.0,1030.8,3969.2
3,4940.2,39.2,12.4,3.8,0.0,4.4,5000.0,1030.8,3969.2
4,4925.2,46.0,15.6,7.6,0.0,5.6,5000.0,1030.8,3969.2
5,4899.6,63.4,19.2,9.8,0.0,8.0,5000.0,1030.8,3969.2
6,4862.8,88.4,23.8,14.0,0.0,11.0,5000.0,1030.8,3969.2
7,4824.4,105.2,35.2,21.8,0.0,13.4,5000.0,1030.8,3969.2
8,4761.8,145.8,46.2,29.0,0.0,17.2,5000.0,1030.8,3969.2
9,4683.4,191.0,62.2,39.8,0.0,23.6,5000.0,1030.8,3969.2
10,4583.8,254.6,80.4,50.8,0.0,30.4,5000.0,1030.8,3969.2
11,4453.8,331.8,107.0,68.0,0.0,39.4,5000.0,1030.8,3969.2
12,4287.0,433.6,138.2,90.4,0.0,50.8,5000.0,1030.8,3969.2
13,4094.6,538.2,182.2,116.8,0.0,68.2,5000.0,1030.8,3969.2
14,3850.2,677.6,233.6,150.2,0.0,88.4,5000.0,1030.8,3969.2
15,3582.6,815.6,297.8,192.8,0.0,111.2,5000.0,1030.8,3969.2
16,3288.4,949.0,375.8,241.6,0.0,145.2,5000.0,1030.8,3969.2
17,2961.8,1083.6,471.0,298.8,0.0,184.8,5000.0,1030.8,3969.2
18,2640.2,1183.4,573.8,364.8,0.0,237.8,5000.0,1030.8,3969.2
19,2310.8,1266.0,681.8,438.6,0.0,302.8,5000.0,1030.8,3969.2
20,1998.2,1326.4,766.8,510.2,10.0,388.4,5000.0,1030.8,3969.2
21,1697.0,1360.8,867.0,576.2,18.8,480.2,5000.0,1030.8,3969.2
22,1434.2,1348.4,963.6,646.6,27.6,579.6,5000.0,1030.8,3969.2
23,1186.8,1322.8,1050.6,714.4,34.8,690.6,5000.0,1030.8,3969.2
24,968.0,1285.8,1117.4,773.0,41.6,814.2,5000.0,1030.8,3969.2
25,782.6,1209.2,1191.4,823.0,46.8,947.0,5000.0,1030.8,3969.2
26,626.2,1135.0,1241.0,854.8,53.2,1089.8,5000.0,1030.8,3969.2
27,488.2,1054.4,1280.0,889.4,58.8,1229.2,5000.0,1030.8,3969.2
28,375.4,963.6,1306.8,910.4,63.8,1380.0,5000.0,1030.8,3969.2
29,292.6,863.8,1320.4,924.8,69.0,1529.4,5000.0,1030.8,3969.2
30,216.2,781.8,1310.2,920.0,73.6,1698.2,5000.0,1030.8,3969.2
31,165.6,682.4,1307.2,917.0,77.8,1850.0,5000.0,1030.8,3969.2
32,126.0,593.6,1290.6,903.6,81.2,2005.0,5000.0,1030.8,3969.2
33,96.8,511.0,1256.2,894.6,85.4,2156.0,5000.0,1030.8,3969.2
34,74.2,437.0,1227.2,868.0,87.4,2306.2,5000.0,1030.8,3969.2
35,56.8,389.0,1168.0,844.6,89.2,2452.4,5000.0,1030.8,3969.2
36,47.0,339.8,1119.2,814.8,90.8,2588.4,5000.0,1030.8,3969.2
37,36.0,294.8,1065.4,787.2,92.0,2724.6,5000.0,1030.8,3969.2
38,31.4,260.0,1019.4,755.2,94.4,2839.6,5000.0,1030.8,3969.2
39,28.6,226.6,963.6,727.6,97.8,2955.8,5000.0,1030.8,3969.2
40,27.6,202.6,907.8,695.0,115.2,3051.8,5000.0,1030.8,3969.2
41,32.2,175.4,844.2,660.2,132.4,3155.6,5000.0,1030.8,3969.2
42,34.6,155.8,777.0,631.4,146.2,3255.0,5000.0,1030.8,3969.2
43,32.6,143.4,717.8,597.2,158.8,3350.2,5000.0,1030.8,3969.2
44,35.6,129.6,667.6,567.4,170.0,3429.8,5000.0,1030.8,3969.2
45,41.2,115.6,609.8,531.2,180.4,3521.8,5000.0,1030.8,3969.2
46,47.0,105.2,559.6,497.6,191.6,3599.0,5000.0,1030.8,3969.2
47,53.8,99.6,511.4,463.2,200.8,3671.2,5000.0,1030.8,3969.2
48,58.2,92.6,464.4,437.8,209.8,3737.2,5000.0,1030.8,3969.2
49,57.6,87.0,424.4,411.8,219.4,3799.8,5000.0,1030.8,3969.2
50,63.6,85.4,380.4,393.2,228.0,3849.4,5000.0,1030.8,3969.2
51,67.4,80.0,344.4,374.6,234.4,3899.2,5000.0,1030.8,3969.2
52,76.4,76.2,304.6,355.0,239.6,3948.2,5000.0,1030.8,3969.2
53,81.6,73.0,270.4,337.8,241.4,3995.8,5000.0,1030.8,3969.2
54,92.6,69.2,237.0,322.4,248.0,4030.8,5000.0,1030.8,3969.2
55,97.8,70.0,207.0,303.2,251.0,4071.0,5000.0,1030.8,3969.2
56,106.8,65.8,180.0,285.8,255.8,4105.8,5000.0,1030.8,3969.2
57,119.0,64.2,152.6,269.6,259.6,4135.0,5000.0,1030.8,3969.2
58,131.2,61.6,128.8,253.6,261.6,4163.2,5000.0,1030.8,3969.2
59,143.0,60.4,108.4,236.0,265.0,4187.2,5000.0,1030.8,3969.2
60,152.4,58.6,80.0,220.2,280.2,4208.6,5000.0,1030.8,3969.2
61,170.2,50.8,58.0,203.8,291.4,4225.8,5000.0,1030.8,3969.2
62,184.0,48.6,34.2,191.2,297.8,4244.2,5000.0,1030.8,3969.2
63,202.2,43.6,18.6,177.6,299.4,4258.6,5000.0,1030.8,3969.2
64,221.0,41.4,10.2,159.4,298.8,4269.2,5000.0,1030.8,3969.2
65,233.6,38.2,5.2,143.8,292.2,4287.0,5000.0,1030.8,3969.2
66,250.6,34.2,3.2,132.8,283.4,4295.8,5000.0,1030.8,3969.2
67,270.8,31.0,3.8,120.8,270.6,4303.0,5000.0,1030.8,3969.2
68,288.8,28.6,4.4,114.2,257.6,4306.4,5000.0,1030.8,3969.2
69,302.2,28.2,4.4,107.0,246.6,4311.6,5000.0,1030.8,3969.2
70,322.0,29.0,3.0,100.6,233.8,4311.6,5000.0,1030.8,3969.2
71,340.8,27.2,3.4,93.6,224.4,4310.6,5000.0,1030.8,3969.2
72,363.8,24.2,3.8,86.4,215.0,4306.8,5000.0,1030.8,3969.2
73,383.8,20.2,2.6,80.2,206.0,4307.2,5000.0,1030.8,3969.2
74,398.2,19.8,2.8,76.2,195.4,4307.6,5000.0,1030.8,3969.2
75,418.8,19.2,2.6,70.4,185.6,4303.4,5000.0,1030.8,3969.2
76,437.4,16.6,2.4,65.8,176.6,4301.2,5000.0,1030.8,3969.2
77,456.0,18.4,1.4,60.0,168.2,4296.0,5000.0,1030.8,3969.2
78,478.8,16.6,2.6,57.8,157.0,4287.2,5000.0,1030.8,3969.2
79,498.2,17.0,1.6,54.6,146.6,4282.0,5000.0,1030.8,3969.2
80,523.2,17.4,2.4,49.6,138.4,4269.0,5000.0,1030.8,3969.2
81,539.0,16.2,2.0,46.2,132.2,4264.4,5000.0,1030.8,3969.2
