Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4978.8,11.2,9.0,0.0,0.0,1.0,5000.0,1084.4,3915.6
1,4970.4,18.0,9.6,0.4,0.0,1.6,5000.0,1084.4,3915.6
2,4961.6,23.8,10.2,2.2,0.0,2.2,5000.0,1084.4,3915.6
3,4948.8,31.8,13.0,3.2,0.0,3.2,5000.0,1084.4,3915.6
4,4931.8,43.2,15.8,4.8,0.0,4.4,5000.0,1084.4,3915.6
5,4910.4,56.2,20.4,6.6,0.0,6.4,5000.0,1084.4,3915.6
6,4882.2,73.8,25.0,10.0,0.0,9.0,5000.0,1084.4,3915.6
7,4846.2,95.8,31.4,15.0,0.0,11.6,5000.0,1084.4,3915.6
8,4798.2,127.0,38.4,21.4,0.0,15.0,5000.0,1084.4,3915.6
9,4730.4,175.8,48.6,25.6,0.0,19.6,5000.0,1084.4,3915.6
10,4655.2,215.2,67.2,37.4,0.0,25.0,5000.0,1084.4,3915.6
11,4555.8,270.2,87.0,54.6,0.0,32.4,5000.0,1084.4,3915.6
12,4428.0,335.2,115.0,79.2,0.0,42.6,5000.0,1084.4,3915.6
13,4251.0,444.0,147.0,99.2,0.0,58.8,5000.0,1084.4,3915.6
14,4063.4,543.6,188.0,126.0,0.0,79.0,5000.0,1084.4,3915.6
15,3830.2,666.6,240.0,162.8,0.0,100.4,5000.0,1084.4,3915.6
16,3578.0,777.8,308.6,206.2,0.0,129.4,5000.0,1084.4,3915.6
17,3297.0,897.8,381.4,256.0,0.0,167.8,5000.0,1084.4,3915.6
18,2992.4,1028.4,460.8,306.4,0.0,212.0,5000.0,1084.4,3915.6
19,2685.4,1127.0,541.4,375.6,0.0,270.6,5000.0,1084.4,3915.6
20,2379.4,1214.6,624.2,436.2,9.0,336.6,5000.0,1084.4,3915.6
21,2079.4,1270.4,718.4,504.2,17.6,410.0,5000.0,1084.4,3915.6
22,1794.8,1302.4,814.8,569.2,26.0,492.8,5000.0,1084.4,3915.6
23,1516.4,1324.0,902.2,633.2,33.2,591.0,5000.0,1084.4,3915.6
24,1268.4,1313.4,988.0,688.4,40.4,701.4,5000.0,1084.4,3915.6
25,1037.0,1288.4,1065.2,736.2,46.8,826.4,5000.0,1084.4,3915.6
26,852.6,1225.2,1126.0,790.2,51.6,954.4,5000.0,1084.4,3915.6
27,680.4,1162.0,1176.4,828.6,57.0,1095.6,5000.0,1084.4,3915.6
28,544.2,1070.0,1230.0,867.8,62.8,1225.2,5000.0,1084.4,3915.6
29,429.8,973.2,1259.8,897.8,67.4,1372.0,5000.0,1084.4,3915.6
30,335.0,880.6,1281.2,911.8,72.2,1519.2,5000.0,1084.4,3915.6
31,254.2,792.0,1278.2,916.4,76.0,1683.2,5000.0,1084.4,3915.6
32,191.4,698.4,1267.0,923.8,81.2,1838.2,5000.0,1084.4,3915.6
33,142.4,617.8,1249.0,911.0,83.4,1996.4,5000.0,1084.4,3915.6
34,105.4,550.6,1221.4,886.0,86.2,2150.4,5000.0,1084.4,3915.6
35,81.0,478.8,1198.8,870.0,89.6,2281.8,5000.0,1084.4,3915.6
36,64.0,414.0,1160.6,851.2,93.6,2416.6,5000.0,1084.4,3915.6
37,53.2,356.6,1114.6,827.0,94.8,2553.8,5000.0,1084.4,3915.6
38,39.8,316.6,1067.6,794.0,98.2,2683.8,5000.0,1084.4,3915.6
39,35.2,276.6,1020.6,763.0,100.0,2804.6,5000.0,1084.4,3915.6
40,29.8,234.0,967.0,729.4,117.4,2922.4,5000.0,1084.4,3915.6
41,30.8,206.6,906.6,693.4,132.4,3030.2,5000.0,1084.4,3915.6
42,32.6,180.4,841.8,663.0,145.4,3136.8,5000.0,1084.4,3915.6
43,31.4,165.6,778.8,625.8,157.8,3240.6,5000.0,1084.4,3915.6
44,36.0,147.2,718.6,592.8,169.8,3335.6,5000.0,1084.4,3915.6
45,39.0,136.0,660.2,561.6,181.0,3422.2,5000.0,1084.4,3915.6
46,42.2,123.0,604.6,533.0,188.8,3508.4,5000.0,1084.4,3915.6
47,51.0,109.2,558.2,504.2,201.2,3576.2,5000.0,1084.4,3915.6
48,55.4,107.6,510.6,476.2,212.0,3638.2,5000.0,1084.4,3915.6
49,65.6,104.0,458.6,445.0,221.0,3705.8,5000.0,1084.4,3915.6
50,71.6,97.8,414.0,422.8,226.0,3767.8,5000.0,1084.4,3915.6
51,75.4,94.8,375.0,401.4,231.6,3821.8,5000.0,1084.4,3915.6
52,79.8,91.6,334.0,381.6,239.4,3873.6,5000.0,1084.4,3915.6
53,86.6,85.8,299.0,355.8,245.2,3927.6,5000.0,1084.4,3915.6
54,97.6,80.0,262.6,340.4,251.8,3967.6,5000.0,1084.4,3915.6
55,108.6,77.6,230.6,323.8,255.6,4003.8,5000.0,1084.4,3915.6
56,116.0,76.6,199.2,308.4,260.0,4039.8,5000.0,1084.4,3915.6
57,126.0,73.2,172.0,294.6,263.2,4071.0,5000.0,1084.4,3915.6
58,132.8,69.0,148.4,282.8,268.8,4098.2,5000.0,1084.4,3915.6
59,146.2,67.2,119.4,265.6,274.2,4127.4,5000.0,1084.4,3915.6
60,159.8,64.2,78.8,253.4,291.0,4152.8,5000.0,1084.4,3915.6
61,173.4,61.0,46.8,241.2,307.4,4170.2,5000.0,1084.4,3915.6
62,186.0,58.8,22.6,223.2,314.4,4195.0,5000.0,1084.4,3915.6
63,204.8,51.4,13.8,206.2,319.2,4204.6,5000.0,1084.4,3915.6
64,218.0,49.8,5.4,187.2,322.2,4217.4,5000.0,1084.4,3915.6
65,235.2,46.2,5.0,166.6,314.0,4233.0,5000.0,1084.4,3915.6
66,251.6,40.4,6.6,152.2,303.8,4245.4,5000.0,1084.4,3915.6
67,269.0,35.8,6.0,141.4,297.6,4250.2,5000.0,1084.4,3915.6
68,287.2,32.8,5.0,131.6,284.0,4259.4,5000.0,1084.4,3915.6
69,305.2,29.8,4.4,122.6,270.6,4267.4,5000.0,1084.4,3915.6
70,324.0,27.8,2.4,114.6,263.4,4267.8,5000.0,1084.4,3915.6
71,341.2,27.8,2.4,105.8,250.0,4272.8,5000.0,1084.4,3915.6
72,357.8,26.2,3.2,102.8,235.0,4275.0,5000.0,1084.4,3915.6
73,377.6,28.6,2.0,94.4,218.6,4278.8,5000.0,1084.4,3915.6
74,398.4,26.8,3.2,89.4,206.2,4276.0,5000.0,1084.4,3915.6
75,419.2,25.0,3.4,82.4,198.0,4272.0,5000.0,1084.4,3915.6
76,436.8,25.6,1.6,77.0,188.4,4270.6,5000.0,1084.4,3915.6
77,452.6,24.2,2.4,73.4,178.6,4268.8,5000.0,1084.4,3915.6
78,470.0,23.4,3.4,69.6,170.6,4263.0,5000.0,1084.4,3915.6
79,488.2,22.0,3.2,62.6,164.6,4259.4,5000.0,1084.4,3915.6
80,508.6,21.2,3.0,58.0,158.0,4251.2,5000.0,1084.4,3915.6
81,531.8,19.6,2.4,54.0,151.0,4241.2,5000.0,1084.4,3915.6
82,550.8,17.0,3.0,50.0,144.4,4234.8,5000.0,1084.4,3915.6
83,574.8,16.4,2.4,45.6,138.4,4222.4,5000.0,1084.4,3915.6
84,592.4,14.8,1.4,41.6,130.2,4219.6,5000.0,1084.4,3915.6
85,610.8,16.6,0.8,39.0,120.8,4212.0,5000.0,1084.4,3915.6
86,631.8,14.8,2.6,37.4,114.0,4199.4,5000.0,1084.4,3915.6
87,650.4,15.6,2.4,34.8,112.2,4184.6,5000.0,1084.4,3915.6
88,673.2,15.6,0.8,32.0,106.0,4172.4,5000.0,1084.4,3915.6
89,693.0,14.0,1.2,32.2,99.6,4160.0,5000.0,1084.4,3915.6
90,712.6,13.0,1.2,30.4,94.8,4148.0,5000.0,1084.4,3915.6
91,731.8,13.4,0.6,28.8,89.8,4135.6,5000.0,1084.4,3915.6
92,753.8,12.8,1.4,27.4,85.4,4119.2,5000.0,1084.4,3915.6
93,769.8,10.6,2.2,26.2,81.2,4110.0,5000.0,1084.4,3915.6
94,791.6,10.8,1.2,24.4,78.2,4093.8,5000.0,1084.4,3915.6
95,814.6,10.8,0.6,22.6,75.8,4075.6,5000.0,1084.4,3915.6
96,837.8,9.6,1.0,21.4,71.8,4058.4,5000.0,1084.4,3915.6
97,861.6,9.8,1.8,20.2,68.6,4038.0,5000.0,1084.4,3915.6
