Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4978.8,11.2,9.6,0.0,0.0,0.4,5000.0,1041.8,3958.2
1,4968.4,19.4,11.2,0.4,0.0,0.6,5000.0,1041.8,3958.2
2,4957.4,26.6,11.8,2.6,0.0,1.6,5000.0,1041.8,3958.2
3,4942.4,36.6,14.2,4.2,0.0,2.6,5000.0,1041.8,3958.2
4,4920.0,52.8,16.2,6.4,0.0,4.6,5000.0,1041.8,3958.2
5,4898.4,65.2,20.2,10.2,0.0,6.0,5000.0,1041.8,3958.2
6,4864.4,86.8,27.4,12.8,0.0,8.6,5000.0,1041.8,3958.2
7,4823.8,111.4,34.4,19.2,0.0,11.2,5000.0,1041.8,3958.2
8,4772.0,138.8,47.0,27.8,0.0,14.4,5000.0,1041.8,3958.2
9,4696.8,188.2,58.4,37.0,0.0,19.6,5000.0,1041.8,3958.2
10,4601.2,247.0,78.4,47.0,0.0,26.4,5000.0,1041.8,3958.2
11,4484.8,319.0,103.2,57.0,0.0,36.0,5000.0,1041.8,3958.2
12,4337.4,400.8,138.4,77.4,0.0,46.0,5000.0,1041.8,3958.2
13,4150.0,507.4,175.6,105.2,0.0,61.8,5000.0,1041.8,3958.2
14,3925.4,625.4,224.6,138.8,0.0,85.8,5000.0,1041.8,3958.2
15,3665.8,754.2,284.0,181.0,0.0,115.0,5000.0,1041.8,3958.2
16,3383.8,883.0,358.4,230.8,0.0,144.0,5000.0,1041.8,3958.2
17,3064.6,1033.2,437.0,276.8,0.0,188.4,5000.0,1041.8,3958.2
18,2755.4,1133.6,527.4,345.4,0.0,238.2,5000.0,1041.8,3958.2
19,2418.0,1242.2,627.4,411.8,0.0,300.6,5000.0,1041.8,3958.2
20,2105.2,1311.2,725.4,478.2,9.6,370.4,5000.0,1041.8,3958.2
21,1801.8,1352.0,816.2,555.4,18.0,456.6,5000.0,1041.8,3958.2
22,1515.4,1381.2,896.6,621.0,26.2,559.6,5000.0,1041.8,3958.2
23,1266.4,1354.6,990.8,695.2,33.2,659.8,5000.0,1041.8,3958.2
24,1040.2,1309.4,1071.2,764.6,40.6,774.0,5000.0,1041.8,3958.2
25,842.8,1250.0,1144.8,815.4,46.2,900.8,5000.0,1041.8,3958.2
26,662.8,1187.4,1205.6,862.2,53.4,1028.6,5000.0,1041.8,3958.2
27,519.6,1099.8,1245.2,895.8,59.4,1180.2,5000.0,1041.8,3958.2
28,398.6,1013.6,1275.4,921.4,65.2,1325.8,5000.0,1041.8,3958.2
29,301.4,926.0,1292.6,930.0,71.4,1478.6,5000.0,1041.8,3958.2
30,227.0,818.6,1306.2,941.0,76.4,1630.8,5000.0,1041.8,3958.2
31,170.6,715.0,1302.6,940.8,80.8,1790.2,5000.0,1041.8,3958.2
32,124.4,633.8,1279.8,934.2,82.8,1945.0,5000.0,1041.8,3958.2
33,96.4,551.4,1250.6,919.8,87.8,2094.0,5000.0,1041.8,3958.2
34,69.4,484.0,1220.6,901.2,90.6,2234.2,5000.0,1041.8,3958.2
35,52.2,419.2,1182.6,873.6,92.2,2380.2,5000.0,1041.8,3958.2
36,43.6,358.4,1143.0,844.4,95.8,2514.8,5000.0,1041.8,3958.2
37,34.8,310.6,1093.4,810.2,96.0,2655.0,5000.0,1041.8,3958.2
38,27.0,266.0,1048.6,774.4,99.8,2784.2,5000.0,1041.8,3958.2
39,25.8,228.6,988.6,740.2,101.4,2915.4,5000.0,1041.8,3958.2
40,25.4,195.0,926.0,705.6,117.6,3030.4,5000.0,1041.8,3958.2
41,25.6,171.2,859.8,671.2,132.2,3140.0,5000.0,1041.8,3958.2
42,26.6,153.2,799.4,634.0,144.2,3242.6,5000.0,1041.8,3958.2
43,28.0,131.6,746.4,597.0,155.6,3341.4,5000.0,1041.8,3958.2
44,32.8,116.0,687.8,564.2,164.2,3435.0,5000.0,1041.8,3958.2
45,35.8,105.4,631.0,535.4,175.2,3517.2,5000.0,1041.8,3958.2
46,40.4,98.4,577.2,503.4,185.2,3595.4,5000.0,1041.8,3958.2
47,45.6,95.2,521.2,476.8,196.8,3664.4,5000.0,1041.8,3958.2
48,48.0,89.8,476.8,454.6,207.0,3723.8,5000.0,1041.8,3958.2
49,53.8,85.0,431.8,429.0,216.2,3784.2,5000.0,1041.8,3958.2
50,65.8,79.2,394.6,406.8,223.2,3830.4,5000.0,1041.8,3958.2
51,73.8,77.0,349.0,384.8,234.0,3881.4,5000.0,1041.8,3958.2
52,79.8,75.2,304.2,364.0,240.4,3936.4,5000.0,1041.8,3958.2
53,87.4,72.2,269.4,341.4,247.2,3982.4,5000.0,1041.8,3958.2
54,101.4,69.6,237.8,320.4,254.6,4016.2,5000.0,1041.8,3958.2
55,110.6,66.8,209.4,306.8,254.6,4051.8,5000.0,1041.8,3958.2
56,121.0,66.2,181.0,293.2,259.4,4079.2,5000.0,1041.8,3958.2
57,130.2,65.6,154.6,277.0,264.0,4108.6,5000.0,1041.8,3958.2
58,141.8,65.2,127.0,260.2,266.6,4139.2,5000.0,1041.8,3958.2
59,155.2,64.2,105.4,244.4,266.4,4164.4,5000.0,1041.8,3958.2
60,173.2,60.0,77.2,226.4,281.4,4181.8,5000.0,1041.8,3958.2
61,186.8,55.0,56.8,209.8,290.2,4201.4,5000.0,1041.8,3958.2
62,199.4,56.0,36.8,193.6,295.4,4218.8,5000.0,1041.8,3958.2
63,215.8,50.4,22.6,181.8,298.6,4230.8,5000.0,1041.8,3958.2
64,236.0,47.2,14.4,167.4,293.4,4241.6,5000.0,1041.8,3958.2
65,248.2,41.2,8.4,156.0,289.6,4256.6,5000.0,1041.8,3958.2
66,265.0,37.0,4.8,143.4,278.6,4271.2,5000.0,1041.8,3958.2
67,281.2,36.2,3.4,132.6,269.8,4276.8,5000.0,1041.8,3958.2
68,300.2,33.6,3.8,119.6,262.0,4280.8,5000.0,1041.8,3958.2
69,314.4,32.4,4.0,112.8,247.4,4289.0,5000.0,1041.8,3958.2
70,330.6,31.0,3.8,105.4,232.8,4296.4,5000.0,1041.8,3958.2
71,347.0,29.4,3.2,99.4,221.2,4299.8,5000.0,1041.8,3958.2
72,364.8,31.6,2.4,91.2,213.4,4296.6,5000.0,1041.8,3958.2
73,383.6,30.0,2.8,86.8,202.4,4294.4,5000.0,1041.8,3958.2
74,401.0,28.8,3.0,81.0,193.0,4293.2,5000.0,1041.8,3958.2
75,422.6,27.4,2.4,74.0,184.4,4289.2,5000.0,1041.8,3958.2
76,445.4,26.8,2.4,68.6,175.8,4281.0,5000.0,1041.8,3958.2
77,464.8,24.4,4.6,63.6,163.8,4278.8,5000.0,1041.8,3958.2
78,484.6,22.0,2.8,59.4,157.2,4274.0,5000.0,1041.8,3958.2
