Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4982.2,7.8,9.4,0.0,0.0,0.6,5000.0,1101.6,3898.4
1,4972.2,15.8,10.6,0.4,0.0,1.0,5000.0,1101.6,3898.4
2,4963.4,22.4,11.6,1.2,0.0,1.4,5000.0,1101.6,3898.4
3,4952.8,28.4,13.4,3.2,0.0,2.2,5000.0,1101.6,3898.4
4,4941.2,35.8,15.8,4.4,0.0,2.8,5000.0,1101.6,3898.4
5,4922.8,49.6,17.8,6.4,0.0,3.4,5000.0,1101.6,3898.4
6,4901.8,59.2,22.6,11.0,0.0,5.4,5000.0,1101.6,3898.4
7,4871.2,76.6,27.6,16.6,0.0,8.0,5000.0,1101.6,3898.4
8,4829.8,104.8,34.6,19.4,0.0,11.4,5000.0,1101.6,3898.4
9,4783.0,128.6,47.0,26.0,0.0,15.4,5000.0,1101.6,3898.4
10,4701.2,182.0,61.8,33.6,0.0,21.4,5000.0,1101.6,3898.4
11,4604.0,245.2,76.2,46.6,0.0,28.0,5000.0,1101.6,3898.4
12,4490.2,310.2,103.2,60.0,0.0,36.4,5000.0,1101.6,3898.4
13,4341.8,397.2,130.8,80.6,0.0,49.6,5000.0,1101.6,3898.4
14,4167.0,492.2,173.4,101.8,0.0,65.6,5000.0,1101.6,3898.4
15,3953.6,604.4,222.6,133.8,0.0,85.6,5000.0,1101.6,3898.4
16,3704.6,733.8,278.2,174.6,0.0,108.8,5000.0,1101.6,3898.4
17,3424.4,861.8,345.8,224.8,0.0,143.2,5000.0,1101.6,3898.4
18,3111.0,1006.4,428.4,273.0,0.0,181.2,5000.0,1101.6,3898.4
19,2795.4,1122.4,513.2,335.4,0.0,233.6,5000.0,1101.6,3898.4
20,2479.8,1221.2,602.8,395.4,9.8,291.0,5000.0,1101.6,3898.4
21,2171.2,1280.4,694.4,474.0,18.2,361.8,5000.0,1101.6,3898.4
22,1860.0,1328.2,796.4,541.8,26.6,447.0,5000.0,1101.6,3898.4
23,1572.0,1348.6,896.6,617.4,33.4,532.0,5000.0,1101.6,3898.4
24,1298.2,1351.6,979.6,684.4,39.8,646.4,5000.0,1101.6,3898.4
25,1061.0,1322.0,1059.8,742.2,44.0,771.0,5000.0,1101.6,3898.4
26,861.6,1270.8,1127.2,793.6,49.8,897.0,5000.0,1101.6,3898.4
27,684.6,1189.6,1196.8,840.8,56.0,1032.2,5000.0,1101.6,3898.4
28,540.6,1099.2,1245.8,884.2,62.2,1168.0,5000.0,1101.6,3898.4
29,414.0,1019.8,1266.8,908.8,66.4,1324.2,5000.0,1101.6,3898.4
30,318.4,925.4,1286.2,920.6,71.2,1478.2,5000.0,1101.6,3898.4
31,249.6,822.6,1305.4,921.0,72.0,1629.4,5000.0,1101.6,3898.4
32,186.8,734.2,1298.6,917.6,76.6,1786.2,5000.0,1101.6,3898.4
33,143.8,635.8,1286.6,920.0,80.6,1933.2,5000.0,1101.6,3898.4
34,112.6,555.2,1259.2,901.0,84.4,2087.6,5000.0,1101.6,3898.4
35,89.6,480.6,1222.8,880.8,87.6,2238.6,5000.0,1101.6,3898.4
36,68.6,417.8,1179.6,856.0,90.6,2387.4,5000.0,1101.6,3898.4
37,51.2,362.2,1135.8,832.6,93.0,2525.2,5000.0,1101.6,3898.4
38,43.8,309.4,1093.6,809.0,95.6,2648.6,5000.0,1101.6,3898.4
39,36.2,267.2,1046.8,776.4,97.0,2776.4,5000.0,1101.6,3898.4
40,33.8,231.4,971.6,745.2,113.8,2904.2,5000.0,1101.6,3898.4
41,32.0,210.0,897.8,706.4,128.4,3025.4,5000.0,1101.6,3898.4
42,31.2,177.4,837.8,676.6,141.0,3136.0,5000.0,1101.6,3898.4
43,33.0,164.0,767.4,640.0,155.4,3240.2,5000.0,1101.6,3898.4
44,39.2,143.2,707.8,607.4,167.0,3335.4,5000.0,1101.6,3898.4
45,44.4,132.0,646.8,570.4,177.0,3429.4,5000.0,1101.6,3898.4
46,46.6,119.8,598.2,544.2,187.8,3503.4,5000.0,1101.6,3898.4
47,51.2,114.2,546.2,517.8,200.6,3570.0,5000.0,1101.6,3898.4
48,50.8,112.6,500.8,486.6,209.0,3640.2,5000.0,1101.6,3898.4
49,56.8,108.8,451.8,465.0,220.6,3697.0,5000.0,1101.6,3898.4
50,60.2,102.0,411.4,443.8,227.4,3755.2,5000.0,1101.6,3898.4
51,64.2,93.2,371.0,420.8,235.6,3815.2,5000.0,1101.6,3898.4
52,68.6,89.8,331.0,393.6,244.2,3872.8,5000.0,1101.6,3898.4
53,76.4,85.6,293.6,372.0,248.2,3924.2,5000.0,1101.6,3898.4
54,85.6,76.8,262.8,357.4,254.4,3963.0,5000.0,1101.6,3898.4
55,97.2,77.4,224.4,334.4,257.0,4009.6,5000.0,1101.6,3898.4
56,107.4,77.2,195.0,314.8,262.8,4042.8,5000.0,1101.6,3898.4
57,119.4,71.8,169.8,299.4,267.8,4071.8,5000.0,1101.6,3898.4
58,130.4,69.0,146.8,280.8,268.6,4104.4,5000.0,1101.6,3898.4
59,137.2,68.0,124.8,263.8,272.2,4134.0,5000.0,1101.6,3898.4
60,150.4,66.0,94.6,246.8,285.4,4156.8,5000.0,1101.6,3898.4
61,164.8,64.0,67.8,228.2,294.8,4180.4,5000.0,1101.6,3898.4
62,182.0,57.0,46.0,215.0,303.8,4196.2,5000.0,1101.6,3898.4
63,199.4,52.0,31.4,197.6,307.2,4212.4,5000.0,1101.6,3898.4
64,216.8,44.8,19.4,187.2,305.4,4226.4,5000.0,1101.6,3898.4
65,235.4,40.6,11.2,174.2,304.2,4234.4,5000.0,1101.6,3898.4
66,252.2,39.0,7.8,158.2,293.8,4249.0,5000.0,1101.6,3898.4
67,273.6,33.4,8.0,144.8,283.2,4257.0,5000.0,1101.6,3898.4
68,290.6,32.0,4.4,133.6,275.6,4263.8,5000.0,1101.6,3898.4
69,312.0,30.4,3.6,124.4,261.4,4268.2,5000.0,1101.6,3898.4
70,329.2,30.0,2.0,119.2,248.0,4271.6,5000.0,1101.6,3898.4
71,347.2,28.8,4.2,110.8,233.6,4275.4,5000.0,1101.6,3898.4
72,364.2,26.6,1.8,104.6,224.4,4278.4,5000.0,1101.6,3898.4
73,381.8,27.0,3.2,96.4,211.6,4280.0,5000.0,1101.6,3898.4
74,399.6,28.8,2.0,90.0,199.6,4280.0,5000.0,1101.6,3898.4
75,417.4,26.4,3.6,83.4,186.6,4282.6,5000.0,1101.6,3898.4
76,438.8,24.2,4.6,76.8,176.2,4279.4,5000.0,1101.6,3898.4
77,454.2,23.4,4.2,71.2,169.2,4277.8,5000.0,1101.6,3898.4
78,475.0,23.0,2.0,66.4,162.4,4271.2,5000.0,1101.6,3898.4
79,496.4,23.8,1.4,63.2,153.2,4262.0,5000.0,1101.6,3898.4
80,514.6,22.8,3.0,57.8,144.6,4257.2,5000.0,1101.6,3898.4
81,532.6,23.0,2.2,53.6,138.0,4250.6,5000.0,1101.6,3898.4
82,552.4,22.6,2.8,51.2,132.8,4238.2,5000.0,1101.6,3898.4
83,568.0,22.6,2.4,49.4,128.0,4229.6,5000.0,1101.6,3898.4
84,590.4,22.6,2.4,46.2,124.0,4214.4,5000.0,1101.6,3898.4
85,613.4,21.4,2.4,43.8,120.8,4198.2,5000.0,1101.6,3898.4
86,634.2,19.4,3.4,42.8,117.6,4182.6,5000.0,1101.6,3898.4
87,655.0,18.8,2.0,40.0,112.6,4171.6,5000.0,1101.6,3898.4
88,675.0,18.6,1.8,38.4,107.2,4159.0,5000.0,1101.6,3898.4
89,694.6,17.2,2.6,37.8,101.8,4146.0,5000.0,1101.6,3898.4
90,711.4,16.4,2.2,35.6,98.8,4135.6,5000.0,1101.6,3898.4
91,729.8,15.8,1.4,34.2,93.0,4125.8,5000.0,1101.6,3898.4
92,748.8,16.4,0.8,32.0,89.2,4112.8,5000.0,1101.6,3898.4
93,770.0,16.4,2.6,29.6,84.0,4097.4,5000.0,1101.6,3898.4
94,791.8,14.2,2.0,28.8,81.8,4081.4,5000.0,1101.6,3898.4
