Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4958.2,31.8,9.0,0.0,0.0,1.0,5000.0,1473.0,3527.0
1,4933.6,52.2,11.6,1.4,0.0,1.2,5000.0,1473.0,3527.0
2,4904.0,71.4,18.2,5.0,0.0,1.4,5000.0,1473.0,3527.0
3,4844.0,119.0,25.0,10.0,0.0,2.0,5000.0,1473.0,3527.0
4,4755.2,180.4,38.6,20.6,0.0,5.2,5000.0,1473.0,3527.0
5,4615.2,284.2,57.2,34.2,0.0,9.2,5000.0,1473.0,3527.0
6,4411.8,430.6,88.0,53.6,0.0,16.0,5000.0,1473.0,3527.0
7,4123.6,637.4,131.8,80.8,0.0,26.4,5000.0,1473.0,3527.0
8,3718.8,916.0,198.2,124.0,0.0,43.0,5000.0,1473.0,3527.0
9,3186.2,1266.0,290.4,189.8,0.0,67.6,5000.0,1473.0,3527.0
10,2544.2,1668.8,414.0,270.2,0.0,102.8,5000.0,1473.0,3527.0
11,1853.2,2015.4,590.4,391.8,0.0,149.2,5000.0,1473.0,3527.0
12,1177.6,2295.6,784.0,521.8,0.0,221.0,5000.0,1473.0,3527.0
13,653.6,2357.0,1004.6,667.8,0.0,317.0,5000.0,1473.0,3527.0
14,302.0,2230.6,1215.2,817.0,0.0,435.2,5000.0,1473.0,3527.0
15,116.0,1970.2,1392.8,953.2,0.0,567.8,5000.0,1473.0,3527.0
16,34.4,1653.0,1534.2,1046.4,0.0,732.0,5000.0,1473.0,3527.0
17,10.0,1351.0,1614.6,1107.4,0.0,917.0,5000.0,1473.0,3527.0
18,2.8,1083.8,1664.8,1136.6,0.0,1112.0,5000.0,1473.0,3527.0
19,6.0,869.8,1675.4,1134.2,0.0,1314.6,5000.0,1473.0,3527.0
20,9.0,700.2,1658.0,1114.0,9.4,1509.4,5000.0,1473.0,3527.0
21,8.4,568.8,1620.8,1092.4,18.0,1691.6,5000.0,1473.0,3527.0
22,11.6,475.4,1561.2,1056.6,26.4,1868.8,5000.0,1473.0,3527.0
23,10.8,391.4,1492.0,1019.4,34.0,2052.4,5000.0,1473.0,3527.0
24,10.8,317.4,1423.6,976.4,39.8,2232.0,5000.0,1473.0,3527.0
25,12.8,263.4,1348.4,937.2,45.2,2393.0,5000.0,1473.0,3527.0
26,12.8,223.6,1268.6,890.0,51.4,2553.6,5000.0,1473.0,3527.0
27,15.8,183.6,1194.4,854.0,55.2,2697.0,5000.0,1473.0,3527.0
28,20.6,163.8,1123.2,803.0,60.0,2829.4,5000.0,1473.0,3527.0
29,18.4,152.6,1049.8,751.8,65.8,2961.6,5000.0,1473.0,3527.0
30,16.8,141.4,988.0,712.2,70.2,3071.4,5000.0,1473.0,3527.0
31,18.0,129.6,924.6,674.4,74.4,3179.0,5000.0,1473.0,3527.0
32,19.2,119.8,873.6,635.8,80.0,3271.6,5000.0,1473.0,3527.0
33,24.2,108.2,821.2,597.8,83.0,3365.6,5000.0,1473.0,3527.0
34,24.6,102.4,765.8,567.6,87.2,3452.4,5000.0,1473.0,3527.0
35,26.8,100.6,715.0,540.4,91.6,3525.6,5000.0,1473.0,3527.0
36,30.2,96.8,673.0,511.6,94.2,3594.2,5000.0,1473.0,3527.0
37,31.2,97.2,623.0,481.0,95.6,3672.0,5000.0,1473.0,3527.0
38,31.2,96.4,583.6,445.8,98.4,3744.6,5000.0,1473.0,3527.0
39,33.2,98.0,541.8,421.8,102.4,3802.8,5000.0,1473.0,3527.0
40,28.4,97.2,492.6,400.0,119.2,3862.6,5000.0,1473.0,3527.0
41,33.4,96.8,445.4,375.2,134.6,3914.6,5000.0,1473.0,3527.0
42,43.4,93.0,406.8,355.0,147.4,3954.4,5000.0,1473.0,3527.0
43,43.6,92.0,369.8,337.8,159.4,3997.4,5000.0,1473.0,3527.0
44,47.2,91.8,334.8,316.8,171.0,4038.4,5000.0,1473.0,3527.0
45,51.2,91.4,305.2,297.6,182.2,4072.4,5000.0,1473.0,3527.0
46,57.2,90.8,272.4,281.0,190.2,4108.4,5000.0,1473.0,3527.0
47,68.6,87.8,241.0,265.8,196.8,4140.0,5000.0,1473.0,3527.0
48,72.2,91.8,211.2,253.6,205.2,4166.0,5000.0,1473.0,3527.0
49,81.0,88.4,185.2,240.6,213.8,4191.0,5000.0,1473.0,3527.0
50,85.4,88.0,157.2,234.2,223.6,4211.6,5000.0,1473.0,3527.0
51,92.6,87.8,132.0,224.4,235.4,4227.8,5000.0,1473.0,3527.0
52,103.6,84.4,109.6,216.6,241.6,4244.2,5000.0,1473.0,3527.0
53,111.0,82.6,94.2,205.0,248.0,4259.2,5000.0,1473.0,3527.0
54,119.8,81.2,75.4,194.8,251.6,4277.2,5000.0,1473.0,3527.0
55,136.0,78.4,61.4,181.8,256.0,4286.4,5000.0,1473.0,3527.0
56,141.4,74.8,49.2,170.6,257.0,4307.0,5000.0,1473.0,3527.0
57,151.2,73.4,34.4,162.0,261.8,4317.2,5000.0,1473.0,3527.0
58,162.4,69.6,24.4,152.4,264.4,4326.8,5000.0,1473.0,3527.0
59,171.4,65.4,21.0,140.2,261.0,4341.0,5000.0,1473.0,3527.0
60,190.4,55.4,15.2,127.6,269.2,4342.2,5000.0,1473.0,3527.0
61,199.0,51.4,7.4,116.4,268.2,4357.6,5000.0,1473.0,3527.0
62,213.8,44.8,7.0,107.4,264.6,4362.4,5000.0,1473.0,3527.0
63,228.8,43.2,6.4,98.6,259.4,4363.6,5000.0,1473.0,3527.0
64,247.4,39.4,6.0,90.8,252.2,4364.2,5000.0,1473.0,3527.0
65,265.2,38.6,3.6,83.2,245.0,4364.4,5000.0,1473.0,3527.0
66,281.6,39.6,3.0,78.4,233.0,4364.4,5000.0,1473.0,3527.0
67,295.6,39.2,4.6,75.8,220.2,4364.6,5000.0,1473.0,3527.0
68,318.8,36.6,5.2,73.4,210.4,4355.6,5000.0,1473.0,3527.0
69,330.4,39.4,3.6,69.8,205.6,4351.2,5000.0,1473.0,3527.0
70,338.6,40.8,4.6,67.0,199.0,4350.0,5000.0,1473.0,3527.0
71,353.4,38.6,5.8,62.0,193.6,4346.6,5000.0,1473.0,3527.0
72,365.4,38.6,4.6,59.6,190.0,4341.8,5000.0,1473.0,3527.0
73,382.8,38.4,3.0,56.8,184.2,4334.8,5000.0,1473.0,3527.0
74,399.2,37.2,5.4,53.8,174.2,4330.2,5000.0,1473.0,3527.0
75,417.0,35.6,4.8,52.2,168.2,4322.2,5000.0,1473.0,3527.0
76,436.4,34.8,4.0,49.0,162.6,4313.2,5000.0,1473.0,3527.0
77,455.0,35.2,2.4,47.2,154.8,4305.4,5000.0,1473.0,3527.0
78,472.6,34.8,5.0,45.2,146.8,4295.6,5000.0,1473.0,3527.0
79,491.4,32.8,4.2,43.4,144.0,4284.2,5000.0,1473.0,3527.0
80,510.4,30.8,5.0,41.0,136.8,4276.0,5000.0,1473.0,3527.0
81,523.8,33.6,3.8,39.2,131.0,4268.6,5000.0,1473.0,3527.0
82,541.6,32.8,5.0,35.8,128.6,4256.2,5000.0,1473.0,3527.0
83,558.6,33.2,3.2,34.8,124.2,4246.0,5000.0,1473.0,3527.0
84,576.8,30.2,5.4,34.8,116.6,4236.2,5000.0,1473.0,3527.0
85,594.4,30.8,4.0,32.8,114.2,4223.8,5000.0,1473.0,3527.0
86,612.8,29.0,3.6,33.8,111.8,4209.0,5000.0,1473.0,3527.0
87,630.2,29.4,3.2,31.6,109.4,4196.2,5000.0,1473.0,3527.0
