Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4962.2,27.8,9.4,0.0,0.0,0.6,5000.0,1511.0,3489.0
1,4938.8,45.8,13.0,1.4,0.0,1.0,5000.0,1511.0,3489.0
2,4904.6,69.2,18.6,5.0,0.0,2.6,5000.0,1511.0,3489.0
3,4845.4,115.4,23.8,11.2,0.0,4.2,5000.0,1511.0,3489.0
4,4761.8,173.4,37.2,21.2,0.0,6.4,5000.0,1511.0,3489.0
5,4630.8,269.8,58.2,31.2,0.0,10.0,5000.0,1511.0,3489.0
6,4433.8,406.4,89.0,52.2,0.0,18.6,5000.0,1511.0,3489.0
7,4146.0,612.8,131.2,81.4,0.0,28.6,5000.0,1511.0,3489.0
8,3754.6,880.4,200.0,124.6,0.0,40.4,5000.0,1511.0,3489.0
9,3233.4,1233.2,285.8,183.0,0.0,64.6,5000.0,1511.0,3489.0
10,2599.8,1619.4,410.0,273.8,0.0,97.0,5000.0,1511.0,3489.0
11,1903.0,1991.4,575.2,384.6,0.0,145.8,5000.0,1511.0,3489.0
12,1227.0,2277.2,763.8,512.8,0.0,219.2,5000.0,1511.0,3489.0
13,701.0,2351.4,984.2,655.4,0.0,308.0,5000.0,1511.0,3489.0
14,335.4,2248.2,1206.4,785.8,0.0,424.2,5000.0,1511.0,3489.0
15,131.2,2002.6,1387.0,901.6,0.0,577.6,5000.0,1511.0,3489.0
16,46.0,1685.0,1526.4,1005.4,0.0,737.2,5000.0,1511.0,3489.0
17,16.6,1381.4,1620.2,1069.8,0.0,912.0,5000.0,1511.0,3489.0
18,5.0,1125.8,1667.6,1105.0,0.0,1096.6,5000.0,1511.0,3489.0
19,5.0,913.2,1674.8,1114.8,0.0,1292.2,5000.0,1511.0,3489.0
20,8.0,739.6,1646.4,1110.4,9.8,1485.8,5000.0,1511.0,3489.0
21,9.2,596.0,1607.8,1088.2,18.4,1680.4,5000.0,1511.0,3489.0
22,8.6,481.0,1560.0,1060.8,27.0,1862.6,5000.0,1511.0,3489.0
23,10.8,392.2,1496.6,1020.4,33.6,2046.4,5000.0,1511.0,3489.0
24,13.0,326.4,1428.0,974.6,42.2,2215.8,5000.0,1511.0,3489.0
25,14.0,276.4,1364.2,927.4,48.8,2369.2,5000.0,1511.0,3489.0
26,13.8,233.8,1281.6,884.2,55.0,2531.6,5000.0,1511.0,3489.0
27,16.4,199.4,1208.0,833.4,60.0,2682.8,5000.0,1511.0,3489.0
28,15.0,177.4,1136.6,787.4,65.4,2818.2,5000.0,1511.0,3489.0
29,19.4,157.2,1063.6,748.6,70.4,2940.8,5000.0,1511.0,3489.0
30,20.4,141.8,997.0,707.6,74.2,3059.0,5000.0,1511.0,3489.0
31,21.2,135.0,933.0,659.2,77.2,3174.4,5000.0,1511.0,3489.0
32,21.4,122.6,878.6,622.2,81.6,3273.6,5000.0,1511.0,3489.0
33,24.4,114.2,818.8,588.4,85.4,3368.8,5000.0,1511.0,3489.0
34,23.6,107.4,764.2,559.4,86.4,3459.0,5000.0,1511.0,3489.0
35,27.2,102.2,718.6,525.4,89.8,3536.8,5000.0,1511.0,3489.0
36,29.6,104.2,663.2,493.2,93.4,3616.4,5000.0,1511.0,3489.0
37,32.8,101.2,620.2,464.2,95.2,3686.4,5000.0,1511.0,3489.0
38,32.6,104.2,577.2,438.4,97.4,3750.2,5000.0,1511.0,3489.0
39,32.2,102.8,539.6,420.2,99.2,3806.0,5000.0,1511.0,3489.0
40,34.0,97.2,491.8,396.8,116.4,3863.8,5000.0,1511.0,3489.0
41,38.4,99.2,441.6,376.4,132.4,3912.0,5000.0,1511.0,3489.0
42,45.0,94.8,399.4,358.0,144.0,3958.8,5000.0,1511.0,3489.0
43,49.6,92.2,359.8,342.8,157.4,3998.2,5000.0,1511.0,3489.0
44,55.6,92.4,320.4,323.6,169.4,4038.6,5000.0,1511.0,3489.0
45,59.2,94.0,285.0,306.2,179.2,4076.4,5000.0,1511.0,3489.0
46,60.0,96.8,251.4,290.6,189.4,4111.8,5000.0,1511.0,3489.0
47,66.2,94.2,225.0,278.8,199.0,4136.8,5000.0,1511.0,3489.0
48,72.2,91.6,198.2,267.8,206.8,4163.4,5000.0,1511.0,3489.0
49,79.2,88.4,175.4,253.8,214.0,4189.2,5000.0,1511.0,3489.0
50,84.6,89.8,153.0,237.2,215.8,4219.6,5000.0,1511.0,3489.0
51,92.2,86.2,133.2,229.2,219.4,4239.8,5000.0,1511.0,3489.0
52,100.6,82.6,118.4,219.8,226.8,4251.8,5000.0,1511.0,3489.0
53,111.2,79.6,101.8,205.8,232.0,4269.6,5000.0,1511.0,3489.0
54,115.2,83.8,88.0,193.8,235.6,4283.6,5000.0,1511.0,3489.0
55,126.6,79.6,75.6,188.2,236.8,4293.2,5000.0,1511.0,3489.0
56,138.6,77.2,63.0,178.8,241.2,4301.2,5000.0,1511.0,3489.0
57,147.2,77.6,52.0,168.6,243.8,4310.8,5000.0,1511.0,3489.0
58,157.4,74.0,42.4,161.8,242.6,4321.8,5000.0,1511.0,3489.0
59,169.2,71.2,37.8,156.0,236.8,4329.0,5000.0,1511.0,3489.0
60,182.4,67.4,26.4,145.6,241.2,4337.0,5000.0,1511.0,3489.0
61,195.2,63.4,17.6,136.0,247.0,4340.8,5000.0,1511.0,3489.0
62,207.2,60.2,9.0,127.4,249.0,4347.2,5000.0,1511.0,3489.0
63,221.6,59.6,7.8,117.4,247.0,4346.6,5000.0,1511.0,3489.0
64,237.6,54.6,6.4,111.6,238.8,4351.0,5000.0,1511.0,3489.0
65,248.4,54.8,6.2,101.6,238.2,4350.8,5000.0,1511.0,3489.0
66,259.4,54.4,6.8,93.6,234.8,4351.0,5000.0,1511.0,3489.0
67,275.6,53.6,4.6,89.6,225.8,4350.8,5000.0,1511.0,3489.0
68,287.6,50.8,6.8,86.2,219.4,4349.2,5000.0,1511.0,3489.0
69,298.2,52.6,5.0,83.4,211.2,4349.6,5000.0,1511.0,3489.0
70,317.0,48.8,3.6,82.6,205.8,4342.2,5000.0,1511.0,3489.0
71,334.4,49.6,4.2,77.8,197.8,4336.2,5000.0,1511.0,3489.0
72,348.8,48.2,6.2,76.0,187.8,4333.0,5000.0,1511.0,3489.0
73,360.4,50.4,5.4,73.0,186.0,4324.8,5000.0,1511.0,3489.0
74,371.6,47.2,5.6,73.8,181.4,4320.4,5000.0,1511.0,3489.0
75,387.8,45.2,5.4,70.0,174.6,4317.0,5000.0,1511.0,3489.0
76,398.4,44.6,5.8,67.0,170.8,4313.4,5000.0,1511.0,3489.0
77,412.2,42.6,5.8,63.6,169.8,4306.0,5000.0,1511.0,3489.0
78,427.4,42.6,5.2,59.6,164.6,4300.6,5000.0,1511.0,3489.0
79,440.8,39.0,7.2,57.2,159.0,4296.8,5000.0,1511.0,3489.0
80,459.6,39.0,5.4,54.8,159.0,4282.2,5000.0,1511.0,3489.0
81,479.8,38.2,4.0,52.6,154.4,4271.0,5000.0,1511.0,3489.0
82,500.2,34.4,4.8,50.8,150.4,4259.4,5000.0,1511.0,3489.0
83,515.4,36.6,3.2,48.6,147.4,4248.8,5000.0,1511.0,3489.0
84,525.6,39.4,3.0,48.0,140.0,4244.0,5000.0,1511.0,3489.0
85,541.8,38.4,4.8,47.8,135.2,4232.0,5000.0,1511.0,3489.0
86,552.4,42.6,2.8,47.2,134.4,4220.6,5000.0,1511.0,3489.0
87,569.0,43.4,3.4,46.2,131.2,4206.8,5000.0,1511.0,3489.0
88,578.8,45.8,2.4,46.0,129.2,4197.8,5000.0,1511.0,3489.0
89,591.2,46.2,5.6,44.0,123.0,4190.0,5000.0,1511.0,3489.0
90,600.4,42.2,6.6,46.4,121.8,4182.6,5000.0,1511.0,3489.0
91,614.4,40.2,5.4,46.8,121.0,4172.2,5000.0,1511.0,3489.0
92,630.8,41.4,4.6,43.8,120.6,4158.8,5000.0,1511.0,3489.0
93,642.0,42.6,5.6,41.8,117.6,4150.4,5000.0,1511.0,3489.0
94,657.4,40.6,5.4,43.8,114.0,4138.8,5000.0,1511.0,3489.0
95,672.2,41.8,4.4,42.6,114.4,4124.6,5000.0,1511.0,3489.0
96,681.4,43.6,5.0,41.2,110.0,4118.8,5000.0,1511.0,3489.0
97,694.0,43.8,5.4,40.8,108.2,4107.8,5000.0,1511.0,3489.0
98,703.0,44.8,5.2,42.4,103.8,4100.8,5000.0,1511.0,3489.0
99,715.8,45.0,6.2,42.0,103.6,4087.4,5000.0,1511.0,3489.0
100,725.8,45.2,4.8,42.4,104.6,4077.2,5000.0,1511.0,3489.0
101,735.6,44.4,5.2,42.6,104.0,4068.2,5000.0,1511.0,3489.0
102,747.8,47.8,4.6,42.4,103.8,4053.6,5000.0,1511.0,3489.0
103,761.4,48.2,6.6,41.2,103.8,4038.8,5000.0,1511.0,3489.0
104,768.2,50.6,5.4,40.4,105.2,4030.2,5000.0,1511.0,3489.0
105,779.6,50.8,7.0,39.4,103.6,4019.6,5000.0,1511.0,3489.0
106,795.6,47.6,7.4,39.8,104.4,4005.2,5000.0,1511.0,3489.0
107,805.0,49.4,7.0,40.6,103.8,3994.2,5000.0,1511.0,3489.0
108,813.8,49.2,5.6,41.0,105.8,3984.6,5000.0,1511.0,3489.0
109,825.2,50.2,6.6,38.4,103.2,3976.4,5000.0,1511.0,3489.0
110,841.6,48.4,7.2,38.6,106.4,3957.8,5000.0,1511.0,3489.0
111,847.8,53.0,5.8,38.0,107.2,3948.2,5000.0,1511.0,3489.0
112,862.4,51.6,4.4,38.8,106.0,3936.8,5000.0,1511.0,3489.0
113,868.6,56.4,4.0,38.2,103.6,3929.2,5000.0,1511.0,3489.0
