Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4961.0,29.0,9.6,0.0,0.0,0.4,5000.0,1450.4,3549.6
1,4938.4,46.8,11.6,1.8,0.0,1.4,5000.0,1450.4,3549.6
2,4905.2,71.2,17.4,4.6,0.0,1.6,5000.0,1450.4,3549.6
3,4854.2,111.0,22.4,9.6,0.0,2.8,5000.0,1450.4,3549.6
4,4781.4,162.4,31.8,18.6,0.0,5.8,5000.0,1450.4,3549.6
5,4660.4,249.4,50.4,30.2,0.0,9.6,5000.0,1450.4,3549.6
6,4480.0,377.0,78.8,49.8,0.0,14.4,5000.0,1450.4,3549.6
7,4204.0,578.8,118.6,73.8,0.0,24.8,5000.0,1450.4,3549.6
8,3834.0,842.6,171.4,112.8,0.0,39.2,5000.0,1450.4,3549.6
9,3321.0,1189.0,261.6,170.0,0.0,58.4,5000.0,1450.4,3549.6
10,2706.2,1574.2,388.2,241.2,0.0,90.2,5000.0,1450.4,3549.6
11,2008.6,1958.4,550.6,349.8,0.0,132.6,5000.0,1450.4,3549.6
12,1329.8,2251.8,742.4,478.6,0.0,197.4,5000.0,1450.4,3549.6
13,759.2,2380.2,952.6,623.8,0.0,284.2,5000.0,1450.4,3549.6
14,372.0,2281.2,1177.8,772.2,0.0,396.8,5000.0,1450.4,3549.6
15,159.4,2052.2,1363.0,898.4,0.0,527.0,5000.0,1450.4,3549.6
16,57.2,1743.6,1499.4,1010.6,0.0,689.2,5000.0,1450.4,3549.6
17,17.8,1446.0,1601.6,1073.8,0.0,860.8,5000.0,1450.4,3549.6
18,7.6,1177.2,1647.2,1118.2,0.0,1049.8,5000.0,1450.4,3549.6
19,4.0,949.2,1665.2,1138.0,0.0,1243.6,5000.0,1450.4,3549.6
20,8.6,758.4,1650.0,1135.2,9.6,1438.2,5000.0,1450.4,3549.6
21,8.6,616.4,1616.2,1116.4,18.6,1623.8,5000.0,1450.4,3549.6
22,7.8,507.0,1562.4,1082.8,26.0,1814.0,5000.0,1450.4,3549.6
23,10.8,411.6,1512.4,1038.0,34.4,1992.8,5000.0,1450.4,3549.6
24,11.4,333.8,1446.6,999.8,41.6,2166.8,5000.0,1450.4,3549.6
25,12.6,278.2,1376.2,959.0,47.8,2326.2,5000.0,1450.4,3549.6
26,13.8,229.6,1304.2,907.2,53.0,2492.2,5000.0,1450.4,3549.6
27,15.6,195.0,1226.8,864.0,57.8,2640.8,5000.0,1450.4,3549.6
28,15.6,166.0,1150.4,818.8,64.6,2784.6,5000.0,1450.4,3549.6
29,16.2,145.8,1080.2,776.6,69.4,2911.8,5000.0,1450.4,3549.6
30,17.6,132.0,1006.8,739.6,72.8,3031.2,5000.0,1450.4,3549.6
