Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4963.4,26.6,9.4,0.0,0.0,0.6,5000.0,1542.0,3458.0
1,4943.2,40.8,12.8,2.4,0.0,0.8,5000.0,1542.0,3458.0
2,4907.8,69.4,16.0,5.0,0.0,1.8,5000.0,1542.0,3458.0
3,4859.6,103.8,22.2,10.6,0.0,3.8,5000.0,1542.0,3458.0
4,4781.8,160.4,35.2,16.6,0.0,6.0,5000.0,1542.0,3458.0
5,4661.0,250.0,51.8,28.6,0.0,8.6,5000.0,1542.0,3458.0
6,4476.8,386.0,79.2,43.6,0.0,14.4,5000.0,1542.0,3458.0
7,4210.0,578.4,116.2,71.8,0.0,23.6,5000.0,1542.0,3458.0
8,3857.4,813.8,181.0,113.0,0.0,34.8,5000.0,1542.0,3458.0
9,3351.6,1158.0,263.6,172.4,0.0,54.4,5000.0,1542.0,3458.0
10,2735.2,1545.8,387.0,248.4,0.0,83.6,5000.0,1542.0,3458.0
11,2045.8,1936.0,544.4,348.0,0.0,125.8,5000.0,1542.0,3458.0
12,1376.6,2211.0,746.6,478.4,0.0,187.4,5000.0,1542.0,3458.0
13,781.8,2366.2,950.2,627.4,0.0,274.4,5000.0,1542.0,3458.0
14,400.0,2281.0,1168.8,762.4,0.0,387.8,5000.0,1542.0,3458.0
15,167.4,2080.2,1350.8,881.4,0.0,520.2,5000.0,1542.0,3458.0
16,59.6,1785.0,1504.0,982.8,0.0,668.6,5000.0,1542.0,3458.0
17,20.0,1474.4,1608.6,1050.6,0.0,846.4,5000.0,1542.0,3458.0
18,8.8,1197.8,1660.2,1091.6,0.0,1041.6,5000.0,1542.0,3458.0
19,4.4,962.6,1688.0,1106.0,0.0,1239.0,5000.0,1542.0,3458.0
20,6.0,771.4,1671.0,1103.4,9.4,1438.8,5000.0,1542.0,3458.0
21,7.8,626.8,1627.6,1090.2,18.2,1629.4,5000.0,1542.0,3458.0
22,7.8,509.0,1579.0,1060.6,25.6,1818.0,5000.0,1542.0,3458.0
23,8.0,413.6,1515.0,1030.2,33.6,1999.6,5000.0,1542.0,3458.0
24,12.6,344.6,1442.8,990.6,41.0,2168.4,5000.0,1542.0,3458.0
25,11.6,289.2,1373.0,944.8,45.6,2335.8,5000.0,1542.0,3458.0
26,14.2,244.2,1307.8,896.4,52.8,2484.6,5000.0,1542.0,3458.0
27,14.6,209.8,1238.0,845.4,57.6,2634.6,5000.0,1542.0,3458.0
28,14.4,180.4,1171.0,797.4,61.2,2775.6,5000.0,1542.0,3458.0
29,15.8,155.4,1099.6,753.6,66.0,2909.6,5000.0,1542.0,3458.0
30,20.6,135.0,1025.8,714.8,69.0,3034.8,5000.0,1542.0,3458.0
31,17.8,126.8,959.0,670.0,72.2,3154.2,5000.0,1542.0,3458.0
32,23.0,113.6,898.4,632.4,76.2,3256.4,5000.0,1542.0,3458.0
33,25.0,107.8,838.8,595.4,79.2,3353.8,5000.0,1542.0,3458.0
34,27.8,102.0,783.4,560.6,84.2,3442.0,5000.0,1542.0,3458.0
35,28.0,100.6,733.8,524.0,87.2,3526.4,5000.0,1542.0,3458.0
36,29.6,96.8,680.4,494.8,88.4,3610.0,5000.0,1542.0,3458.0
37,35.2,93.4,633.4,469.0,92.2,3676.8,5000.0,1542.0,3458.0
38,36.8,98.6,588.4,439.6,95.0,3741.6,5000.0,1542.0,3458.0
39,41.2,96.2,549.2,414.2,96.4,3802.8,5000.0,1542.0,3458.0
40,43.0,95.0,496.6,393.0,112.4,3860.0,5000.0,1542.0,3458.0
41,40.8,98.6,448.8,371.2,128.2,3912.4,5000.0,1542.0,3458.0
42,43.2,100.2,405.0,352.0,143.4,3956.2,5000.0,1542.0,3458.0
43,49.8,100.0,364.0,332.0,155.6,3998.6,5000.0,1542.0,3458.0
44,54.0,92.6,330.8,318.0,167.4,4037.2,5000.0,1542.0,3458.0
45,60.6,93.6,295.0,298.6,176.4,4075.8,5000.0,1542.0,3458.0
46,65.0,95.8,259.8,281.0,189.8,4108.6,5000.0,1542.0,3458.0
47,67.4,91.4,230.0,268.4,203.2,4139.6,5000.0,1542.0,3458.0
48,72.6,87.8,202.2,261.2,214.2,4162.0,5000.0,1542.0,3458.0
49,78.2,84.6,175.4,252.4,225.6,4183.8,5000.0,1542.0,3458.0
50,81.2,86.8,152.8,240.0,235.6,4203.6,5000.0,1542.0,3458.0
51,92.0,83.2,128.4,232.2,240.2,4224.0,5000.0,1542.0,3458.0
52,100.4,77.0,109.2,220.2,248.2,4245.0,5000.0,1542.0,3458.0
53,111.0,76.6,89.0,209.2,252.0,4262.2,5000.0,1542.0,3458.0
54,118.8,79.0,70.8,198.4,257.2,4275.8,5000.0,1542.0,3458.0
55,134.6,76.4,53.0,190.2,261.8,4284.0,5000.0,1542.0,3458.0
56,149.4,70.2,40.0,183.2,262.8,4294.4,5000.0,1542.0,3458.0
57,161.4,65.4,27.2,169.8,265.2,4311.0,5000.0,1542.0,3458.0
58,176.6,60.4,18.8,157.6,266.0,4320.6,5000.0,1542.0,3458.0
59,194.2,54.4,14.0,148.8,267.2,4321.4,5000.0,1542.0,3458.0
60,199.0,54.8,12.4,131.2,269.4,4333.2,5000.0,1542.0,3458.0
61,210.4,53.6,8.4,118.0,267.8,4341.8,5000.0,1542.0,3458.0
62,227.0,50.6,7.4,108.2,266.2,4340.6,5000.0,1542.0,3458.0
63,241.4,45.6,6.8,103.8,259.2,4343.2,5000.0,1542.0,3458.0
64,255.0,45.2,4.8,97.6,253.6,4343.8,5000.0,1542.0,3458.0
65,268.0,47.0,5.8,93.0,245.0,4341.2,5000.0,1542.0,3458.0
66,278.0,49.8,5.2,88.2,239.6,4339.2,5000.0,1542.0,3458.0
67,294.6,45.8,6.2,84.4,230.8,4338.2,5000.0,1542.0,3458.0
68,307.8,45.8,4.4,80.8,222.0,4339.2,5000.0,1542.0,3458.0
69,324.2,45.0,3.6,79.4,211.4,4336.4,5000.0,1542.0,3458.0
70,340.2,43.6,5.6,76.2,203.4,4331.0,5000.0,1542.0,3458.0
71,355.8,45.2,5.8,71.2,195.8,4326.2,5000.0,1542.0,3458.0
72,369.0,44.8,6.2,69.6,187.4,4323.0,5000.0,1542.0,3458.0
73,380.2,43.4,4.2,64.6,183.6,4324.0,5000.0,1542.0,3458.0
74,396.2,40.6,5.0,63.6,178.2,4316.4,5000.0,1542.0,3458.0
75,413.4,38.0,5.8,60.6,172.4,4309.8,5000.0,1542.0,3458.0
76,425.8,36.6,4.4,59.0,170.0,4304.2,5000.0,1542.0,3458.0
77,439.6,37.0,4.8,55.6,165.0,4298.0,5000.0,1542.0,3458.0
78,453.4,40.2,3.6,54.0,160.4,4288.4,5000.0,1542.0,3458.0
79,465.6,42.2,4.2,51.0,155.6,4281.4,5000.0,1542.0,3458.0
