Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4965.4,24.6,9.2,0.0,0.0,0.8,5000.0,1582.4,3417.6
1,4942.2,42.2,11.6,2.4,0.0,1.6,5000.0,1582.4,3417.6
2,4905.0,69.6,17.8,5.4,0.0,2.2,5000.0,1582.4,3417.6
3,4844.4,117.2,24.0,10.2,0.0,4.2,5000.0,1582.4,3417.6
4,4760.0,176.6,37.0,19.2,0.0,7.2,5000.0,1582.4,3417.6
5,4628.6,274.4,58.0,29.6,0.0,9.4,5000.0,1582.4,3417.6
6,4427.6,424.6,84.4,48.2,0.0,15.2,5000.0,1582.4,3417.6
7,4160.0,602.4,132.0,81.4,0.0,24.2,5000.0,1582.4,3417.6
8,3768.8,866.2,193.0,132.0,0.0,40.0,5000.0,1582.4,3417.6
9,3223.0,1238.6,281.8,190.0,0.0,66.6,5000.0,1582.4,3417.6
10,2585.6,1631.8,408.0,275.2,0.0,99.4,5000.0,1582.4,3417.6
11,1864.6,2024.4,580.4,381.0,0.0,149.6,5000.0,1582.4,3417.6
12,1200.0,2275.2,790.0,520.6,0.0,214.2,5000.0,1582.4,3417.6
13,657.6,2350.6,996.6,672.6,0.0,322.6,5000.0,1582.4,3417.6
14,311.2,2227.2,1213.6,811.8,0.0,436.2,5000.0,1582.4,3417.6
15,125.4,1969.0,1382.8,930.4,0.0,592.4,5000.0,1582.4,3417.6
16,40.0,1682.6,1504.0,1014.2,0.0,759.2,5000.0,1582.4,3417.6
17,13.4,1394.2,1582.4,1080.4,0.0,929.6,5000.0,1582.4,3417.6
18,5.8,1131.2,1631.2,1121.4,0.0,1110.4,5000.0,1582.4,3417.6
19,6.6,917.0,1649.6,1128.6,0.0,1298.2,5000.0,1582.4,3417.6
20,6.8,734.4,1631.2,1124.4,9.2,1494.0,5000.0,1582.4,3417.6
21,10.6,596.2,1592.4,1109.0,17.4,1674.4,5000.0,1582.4,3417.6
22,8.2,485.2,1542.8,1077.8,25.8,1860.2,5000.0,1582.4,3417.6
23,9.4,395.4,1486.0,1040.8,33.4,2035.0,5000.0,1582.4,3417.6
24,12.8,321.2,1413.8,1001.4,40.2,2210.6,5000.0,1582.4,3417.6
25,14.0,262.4,1352.2,958.4,46.2,2366.8,5000.0,1582.4,3417.6
26,13.8,222.6,1284.0,916.2,52.2,2511.2,5000.0,1582.4,3417.6
27,14.8,191.6,1206.4,869.0,57.4,2660.8,5000.0,1582.4,3417.6
28,15.2,164.4,1134.8,823.8,62.8,2799.0,5000.0,1582.4,3417.6
29,16.2,141.4,1065.6,784.0,66.6,2926.2,5000.0,1582.4,3417.6
30,19.0,123.6,996.2,734.0,73.0,3054.2,5000.0,1582.4,3417.6
31,22.8,114.4,933.2,691.4,77.4,3160.8,5000.0,1582.4,3417.6
32,21.2,112.8,866.4,645.6,80.6,3273.4,5000.0,1582.4,3417.6
33,18.8,103.6,806.4,610.6,84.8,3375.8,5000.0,1582.4,3417.6
34,24.6,95.4,754.6,577.2,89.8,3458.4,5000.0,1582.4,3417.6
35,22.8,92.4,707.4,542.8,92.8,3541.8,5000.0,1582.4,3417.6
36,25.6,91.4,660.0,511.6,95.8,3615.6,5000.0,1582.4,3417.6
37,28.2,91.0,618.6,485.6,95.8,3680.8,5000.0,1582.4,3417.6
38,34.6,90.8,575.6,459.4,98.0,3741.6,5000.0,1582.4,3417.6
39,32.0,90.4,539.0,436.0,100.8,3801.8,5000.0,1582.4,3417.6
40,33.8,89.6,487.4,409.6,116.2,3863.4,5000.0,1582.4,3417.6
41,37.4,90.2,444.2,388.2,132.4,3907.6,5000.0,1582.4,3417.6
42,40.6,88.0,400.8,368.2,146.0,3956.4,5000.0,1582.4,3417.6
43,45.8,85.4,363.2,350.4,160.6,3994.6,5000.0,1582.4,3417.6
44,48.8,86.4,324.2,336.4,175.2,4029.0,5000.0,1582.4,3417.6
45,58.2,87.2,292.0,320.0,187.2,4055.4,5000.0,1582.4,3417.6
46,64.2,91.0,256.8,301.8,196.6,4089.6,5000.0,1582.4,3417.6
47,68.8,90.6,229.6,287.0,207.4,4116.6,5000.0,1582.4,3417.6
48,68.8,92.0,204.4,269.6,218.4,4146.8,5000.0,1582.4,3417.6
49,76.8,87.0,182.2,260.0,223.6,4170.4,5000.0,1582.4,3417.6
50,84.8,84.6,159.8,245.6,228.0,4197.2,5000.0,1582.4,3417.6
51,90.0,82.6,138.2,237.2,231.8,4220.2,5000.0,1582.4,3417.6
52,100.2,80.4,120.8,225.4,234.8,4238.4,5000.0,1582.4,3417.6
53,108.2,81.0,102.2,210.0,239.6,4259.0,5000.0,1582.4,3417.6
54,117.0,78.8,88.2,199.8,242.8,4273.4,5000.0,1582.4,3417.6
55,122.6,75.4,78.8,190.8,244.6,4287.8,5000.0,1582.4,3417.6
56,137.0,69.4,68.8,182.4,248.2,4294.2,5000.0,1582.4,3417.6
57,141.8,70.6,61.2,172.8,242.6,4311.0,5000.0,1582.4,3417.6
58,151.4,68.8,48.2,162.6,244.4,4324.6,5000.0,1582.4,3417.6
59,165.6,64.6,41.8,157.4,242.2,4328.4,5000.0,1582.4,3417.6
60,178.2,63.2,28.2,144.0,248.2,4338.2,5000.0,1582.4,3417.6
61,192.2,59.6,19.6,133.4,251.0,4344.2,5000.0,1582.4,3417.6
62,209.0,54.4,13.8,128.6,249.6,4344.6,5000.0,1582.4,3417.6
63,220.4,52.6,10.2,119.4,247.8,4349.6,5000.0,1582.4,3417.6
64,230.2,52.4,7.8,110.2,242.6,4356.8,5000.0,1582.4,3417.6
65,242.6,50.0,7.2,104.8,236.4,4359.0,5000.0,1582.4,3417.6
66,254.8,48.0,7.0,98.8,234.4,4357.0,5000.0,1582.4,3417.6
67,269.8,49.0,5.2,91.6,224.8,4359.6,5000.0,1582.4,3417.6
68,285.6,50.8,4.8,85.4,216.6,4356.8,5000.0,1582.4,3417.6
69,303.0,46.6,6.8,81.8,206.4,4355.4,5000.0,1582.4,3417.6
70,319.2,45.8,4.2,77.6,200.6,4352.6,5000.0,1582.4,3417.6
71,330.4,46.8,5.6,74.4,191.4,4351.4,5000.0,1582.4,3417.6
72,347.2,45.8,5.6,71.2,187.0,4343.2,5000.0,1582.4,3417.6
73,361.0,44.6,7.2,71.0,183.2,4333.0,5000.0,1582.4,3417.6
74,373.6,42.8,5.8,67.2,183.6,4327.0,5000.0,1582.4,3417.6
75,385.4,42.6,6.2,66.0,179.6,4320.2,5000.0,1582.4,3417.6
76,396.6,40.6,6.6,63.2,177.8,4315.2,5000.0,1582.4,3417.6
77,414.8,37.8,5.8,61.2,174.2,4306.2,5000.0,1582.4,3417.6
78,433.2,36.8,4.0,58.4,169.4,4298.2,5000.0,1582.4,3417.6
79,449.8,35.6,4.6,57.2,163.0,4289.8,5000.0,1582.4,3417.6
80,470.6,34.8,4.8,56.8,160.6,4272.4,5000.0,1582.4,3417.6
81,483.4,39.4,3.0,54.0,152.8,4267.4,5000.0,1582.4,3417.6
82,495.6,39.8,3.8,52.6,146.0,4262.2,5000.0,1582.4,3417.6
83,510.0,40.8,4.4,51.2,139.0,4254.6,5000.0,1582.4,3417.6
84,529.0,45.4,3.8,48.2,135.2,4238.4,5000.0,1582.4,3417.6
85,546.0,44.4,6.0,46.6,131.6,4225.4,5000.0,1582.4,3417.6
86,563.6,42.0,5.0,46.0,130.2,4213.2,5000.0,1582.4,3417.6
87,583.6,41.0,3.8,44.2,127.4,4200.0,5000.0,1582.4,3417.6
88,596.8,39.0,3.8,45.4,123.0,4192.0,5000.0,1582.4,3417.6
89,610.6,41.8,5.2,43.6,119.6,4179.2,5000.0,1582.4,3417.6
90,624.0,41.0,6.6,45.6,115.8,4167.0,5000.0,1582.4,3417.6
91,637.8,41.8,4.4,45.4,115.6,4155.0,5000.0,1582.4,3417.6
92,650.0,39.4,4.8,46.0,113.0,4146.8,5000.0,1582.4,3417.6
93,665.8,40.4,4.4,45.0,110.8,4133.6,5000.0,1582.4,3417.6
94,680.0,39.0,4.0,45.4,108.8,4122.8,5000.0,1582.4,3417.6
95,694.2,40.2,4.0,45.6,106.0,4110.0,5000.0,1582.4,3417.6
