Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4965.6,24.4,9.4,0.0,0.0,0.6,5000.0,1444.8,3555.2
1,4943.4,42.0,10.4,3.0,0.0,1.2,5000.0,1444.8,3555.2
2,4913.0,63.4,14.6,7.0,0.0,2.0,5000.0,1444.8,3555.2
3,4860.8,103.0,22.0,11.0,0.0,3.2,5000.0,1444.8,3555.2
4,4787.0,154.8,31.8,20.6,0.0,5.8,5000.0,1444.8,3555.2
5,4670.8,237.2,51.4,31.4,0.0,9.2,5000.0,1444.8,3555.2
6,4495.2,365.8,74.8,49.6,0.0,14.6,5000.0,1444.8,3555.2
7,4256.2,529.6,116.4,74.2,0.0,23.6,5000.0,1444.8,3555.2
8,3874.2,812.4,170.8,104.8,0.0,37.8,5000.0,1444.8,3555.2
9,3406.8,1121.6,250.8,161.6,0.0,59.2,5000.0,1444.8,3555.2
10,2798.0,1512.2,363.4,235.8,0.0,90.6,5000.0,1444.8,3555.2
11,2098.4,1920.8,518.4,331.6,0.0,130.8,5000.0,1444.8,3555.2
12,1404.8,2238.6,706.4,461.2,0.0,189.0,5000.0,1444.8,3555.2
13,816.0,2374.4,931.8,606.0,0.0,271.8,5000.0,1444.8,3555.2
14,391.2,2336.6,1138.6,747.6,0.0,386.0,5000.0,1444.8,3555.2
15,172.6,2088.4,1348.4,878.2,0.0,512.4,5000.0,1444.8,3555.2
16,66.0,1784.2,1497.0,993.0,0.0,659.8,5000.0,1444.8,3555.2
17,20.0,1486.0,1597.8,1060.0,0.0,836.2,5000.0,1444.8,3555.2
18,6.0,1205.8,1655.2,1101.0,0.0,1032.0,5000.0,1444.8,3555.2
19,6.2,967.6,1686.0,1120.0,0.0,1220.2,5000.0,1444.8,3555.2
20,7.6,779.8,1666.2,1122.0,9.6,1414.8,5000.0,1444.8,3555.2
21,7.4,632.2,1637.0,1099.4,18.2,1605.8,5000.0,1444.8,3555.2
22,9.8,513.4,1588.4,1072.8,26.4,1789.2,5000.0,1444.8,3555.2
23,10.2,416.8,1527.8,1034.0,33.0,1978.2,5000.0,1444.8,3555.2
24,10.4,345.6,1461.6,988.0,40.2,2154.2,5000.0,1444.8,3555.2
25,14.6,286.0,1397.0,945.8,46.8,2309.8,5000.0,1444.8,3555.2
26,10.2,241.8,1325.8,894.4,53.6,2474.2,5000.0,1444.8,3555.2
27,13.4,197.4,1251.2,848.8,59.8,2629.4,5000.0,1444.8,3555.2
28,17.0,168.8,1184.2,805.0,66.0,2759.0,5000.0,1444.8,3555.2
29,16.6,155.8,1105.4,762.0,70.2,2890.0,5000.0,1444.8,3555.2
30,15.8,140.0,1029.0,721.4,73.6,3020.2,5000.0,1444.8,3555.2
31,19.8,126.4,957.8,675.6,75.6,3144.8,5000.0,1444.8,3555.2
32,21.4,117.8,896.8,632.8,79.2,3252.0,5000.0,1444.8,3555.2
33,22.8,110.0,839.4,599.8,81.8,3346.2,5000.0,1444.8,3555.2
34,27.6,108.2,780.0,566.8,87.4,3430.0,5000.0,1444.8,3555.2
35,26.6,108.4,732.4,533.4,91.8,3507.4,5000.0,1444.8,3555.2
36,27.4,103.2,686.2,504.0,93.4,3585.8,5000.0,1444.8,3555.2
37,26.8,97.2,639.2,481.8,94.4,3660.6,5000.0,1444.8,3555.2
38,26.6,91.2,597.6,461.4,98.8,3724.4,5000.0,1444.8,3555.2
39,30.0,87.2,554.8,436.8,103.2,3788.0,5000.0,1444.8,3555.2
40,35.2,89.4,499.2,412.6,117.6,3846.0,5000.0,1444.8,3555.2
41,37.0,90.2,449.4,390.4,133.6,3899.4,5000.0,1444.8,3555.2
42,40.0,88.4,404.2,371.6,146.4,3949.4,5000.0,1444.8,3555.2
43,44.4,89.8,357.0,348.6,160.0,4000.2,5000.0,1444.8,3555.2
44,44.4,91.4,319.6,329.4,172.8,4042.4,5000.0,1444.8,3555.2
45,48.4,88.4,285.2,315.0,184.8,4078.2,5000.0,1444.8,3555.2
46,59.2,86.0,254.6,298.6,196.0,4105.6,5000.0,1444.8,3555.2
47,64.4,84.8,226.0,282.6,200.6,4141.6,5000.0,1444.8,3555.2
48,68.6,87.4,197.0,265.2,208.4,4173.4,5000.0,1444.8,3555.2
49,77.4,87.8,173.0,252.2,215.2,4194.4,5000.0,1444.8,3555.2
50,84.6,85.8,146.8,243.8,222.8,4216.2,5000.0,1444.8,3555.2
51,98.2,83.4,128.2,230.6,226.8,4232.8,5000.0,1444.8,3555.2
52,98.0,86.6,112.4,219.2,230.8,4253.0,5000.0,1444.8,3555.2
53,106.6,84.4,98.2,210.0,236.8,4264.0,5000.0,1444.8,3555.2
54,114.8,82.0,83.6,200.4,243.2,4276.0,5000.0,1444.8,3555.2
55,126.8,76.8,66.8,195.0,246.2,4288.4,5000.0,1444.8,3555.2
56,136.2,76.2,56.2,183.4,246.8,4301.2,5000.0,1444.8,3555.2
57,147.0,71.4,45.2,178.2,245.4,4312.8,5000.0,1444.8,3555.2
58,157.4,71.8,34.2,170.0,248.0,4318.6,5000.0,1444.8,3555.2
59,164.4,68.8,31.4,162.6,247.6,4325.2,5000.0,1444.8,3555.2
60,175.4,63.4,21.4,151.2,255.2,4333.4,5000.0,1444.8,3555.2
61,188.0,64.2,11.6,139.8,257.6,4338.8,5000.0,1444.8,3555.2
62,203.2,57.4,12.0,132.4,257.6,4337.4,5000.0,1444.8,3555.2
63,214.6,58.6,6.4,121.2,251.0,4348.2,5000.0,1444.8,3555.2
64,230.6,51.6,8.4,111.0,244.0,4354.4,5000.0,1444.8,3555.2
65,246.2,46.8,6.0,105.6,239.2,4356.2,5000.0,1444.8,3555.2
66,258.4,47.0,5.8,100.0,229.6,4359.2,5000.0,1444.8,3555.2
67,266.8,46.4,4.6,97.6,223.4,4361.2,5000.0,1444.8,3555.2
68,283.0,45.4,4.8,90.6,215.4,4360.8,5000.0,1444.8,3555.2
69,296.4,45.2,5.4,86.0,206.0,4361.0,5000.0,1444.8,3555.2
70,311.0,45.4,5.8,79.8,200.0,4358.0,5000.0,1444.8,3555.2
