Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4982.0,8.0,9.4,0.0,0.0,0.6,5000.0,1489.0,3511.0
1,4975.8,13.0,9.8,0.2,0.0,1.2,5000.0,1489.0,3511.0
2,4970.0,16.8,10.4,1.2,0.0,1.6,5000.0,1489.0,3511.0
3,4961.6,20.4,13.2,2.2,0.0,2.6,5000.0,1489.0,3511.0
4,4949.4,28.0,14.2,3.8,0.0,4.6,5000.0,1489.0,3511.0
5,4937.4,33.6,18.4,4.6,0.0,6.0,5000.0,1489.0,3511.0
6,4918.4,45.0,21.2,8.4,0.0,7.0,5000.0,1489.0,3511.0
7,4891.4,63.8,24.4,11.4,0.0,9.0,5000.0,1489.0,3511.0
8,4863.6,79.0,30.0,16.2,0.0,11.2,5000.0,1489.0,3511.0
9,4814.4,110.8,39.2,21.8,0.0,13.8,5000.0,1489.0,3511.0
10,4758.8,147.6,46.0,28.0,0.0,19.6,5000.0,1489.0,3511.0
11,4697.0,180.0,59.4,39.6,0.0,24.0,5000.0,1489.0,3511.0
12,4601.2,237.8,77.8,53.0,0.0,30.2,5000.0,1489.0,3511.0
13,4505.2,290.0,100.4,67.0,0.0,37.4,5000.0,1489.0,3511.0
14,4390.6,348.4,127.8,84.4,0.0,48.8,5000.0,1489.0,3511.0
15,4252.2,414.2,164.2,106.0,0.0,63.4,5000.0,1489.0,3511.0
16,4105.2,478.2,202.8,130.2,0.0,83.6,5000.0,1489.0,3511.0
17,3946.4,534.8,252.2,163.0,0.0,103.6,5000.0,1489.0,3511.0
18,3781.8,598.4,289.8,194.2,0.0,135.8,5000.0,1489.0,3511.0
19,3627.2,633.6,340.8,230.0,0.0,168.4,5000.0,1489.0,3511.0
20,3490.0,643.6,389.6,253.8,8.6,214.4,5000.0,1489.0,3511.0
21,3373.2,638.4,431.8,280.2,16.8,259.6,5000.0,1489.0,3511.0
22,3260.6,625.0,469.0,311.0,24.6,309.8,5000.0,1489.0,3511.0
23,3168.8,595.2,497.4,336.0,31.8,370.8,5000.0,1489.0,3511.0
24,3084.0,561.2,529.6,355.2,38.4,431.6,5000.0,1489.0,3511.0
25,3009.0,525.6,553.0,365.2,46.6,500.6,5000.0,1489.0,3511.0
26,2938.4,495.6,569.8,378.8,54.2,563.2,5000.0,1489.0,3511.0
27,2861.2,476.4,572.6,394.8,59.0,636.0,5000.0,1489.0,3511.0
28,2779.6,468.4,578.0,405.2,63.4,705.4,5000.0,1489.0,3511.0
29,2699.0,451.2,587.4,413.4,69.0,780.0,5000.0,1489.0,3511.0
30,2617.2,440.8,597.0,423.4,73.8,847.8,5000.0,1489.0,3511.0
31,2529.2,445.0,600.4,428.2,78.0,919.2,5000.0,1489.0,3511.0
32,2436.4,456.0,602.0,428.8,80.8,996.0,5000.0,1489.0,3511.0
33,2346.6,464.0,601.4,433.4,84.8,1069.8,5000.0,1489.0,3511.0
34,2246.8,479.0,603.0,432.4,90.0,1148.8,5000.0,1489.0,3511.0
35,2155.6,478.4,601.0,442.2,93.8,1229.0,5000.0,1489.0,3511.0
36,2059.4,486.0,608.2,442.0,98.0,1306.4,5000.0,1489.0,3511.0
37,1965.6,499.8,613.0,438.0,101.4,1382.2,5000.0,1489.0,3511.0
38,1867.6,507.4,619.6,446.8,102.6,1456.0,5000.0,1489.0,3511.0
39,1774.6,506.6,623.8,458.0,104.0,1533.0,5000.0,1489.0,3511.0
40,1683.0,499.6,619.8,464.6,117.6,1615.4,5000.0,1489.0,3511.0
41,1594.4,497.0,614.8,473.0,133.8,1687.0,5000.0,1489.0,3511.0
42,1503.8,498.2,606.8,477.4,147.8,1766.0,5000.0,1489.0,3511.0
43,1408.8,503.2,599.4,476.6,158.0,1854.0,5000.0,1489.0,3511.0
44,1330.6,490.2,596.2,483.2,169.2,1930.6,5000.0,1489.0,3511.0
45,1245.6,485.2,589.0,490.8,180.2,2009.2,5000.0,1489.0,3511.0
46,1172.6,470.6,578.8,495.4,189.8,2092.8,5000.0,1489.0,3511.0
