Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4982.2,7.8,9.4,0.0,0.0,0.6,5000.0,1449.4,3550.6
1,4976.6,12.2,9.4,0.6,0.0,1.2,5000.0,1449.4,3550.6
2,4970.4,15.8,10.6,1.8,0.0,1.4,5000.0,1449.4,3550.6
3,4960.0,23.8,11.2,2.4,0.0,2.6,5000.0,1449.4,3550.6
4,4951.6,28.2,12.4,3.6,0.0,4.2,5000.0,1449.4,3550.6
5,4940.8,34.0,14.8,5.6,0.0,4.8,5000.0,1449.4,3550.6
6,4924.4,44.2,18.4,7.6,0.0,5.4,5000.0,1449.4,3550.6
7,4905.0,54.0,24.2,9.4,0.0,7.4,5000.0,1449.4,3550.6
8,4880.8,65.0,30.0,15.6,0.0,8.6,5000.0,1449.4,3550.6
9,4844.0,91.6,34.0,17.6,0.0,12.8,5000.0,1449.4,3550.6
10,4805.0,113.4,42.4,22.0,0.0,17.2,5000.0,1449.4,3550.6
11,4756.4,140.8,52.6,27.6,0.0,22.6,5000.0,1449.4,3550.6
12,4697.4,167.8,67.2,37.6,0.0,30.0,5000.0,1449.4,3550.6
13,4627.8,207.2,80.8,47.8,0.0,36.4,5000.0,1449.4,3550.6
14,4538.0,255.8,103.4,56.4,0.0,46.4,5000.0,1449.4,3550.6
15,4433.8,308.0,129.2,71.4,0.0,57.6,5000.0,1449.4,3550.6
16,4320.8,359.0,158.4,93.0,0.0,68.8,5000.0,1449.4,3550.6
17,4183.6,424.6,190.4,114.2,0.0,87.2,5000.0,1449.4,3550.6
18,4053.6,465.8,227.2,142.0,0.0,111.4,5000.0,1449.4,3550.6
19,3911.0,511.0,270.0,168.6,0.0,139.4,5000.0,1449.4,3550.6
20,3758.0,556.2,309.2,198.6,8.0,170.0,5000.0,1449.4,3550.6
21,3599.6,601.6,349.0,226.6,15.8,207.4,5000.0,1449.4,3550.6
22,3452.0,632.0,393.0,252.0,22.0,249.0,5000.0,1449.4,3550.6
23,3311.8,649.0,436.0,281.2,27.2,294.8,5000.0,1449.4,3550.6
24,3178.2,652.4,471.6,314.0,33.8,350.0,5000.0,1449.4,3550.6
25,3049.8,661.0,504.0,339.8,40.4,405.0,5000.0,1449.4,3550.6
26,2933.2,640.2,541.6,373.8,47.2,464.0,5000.0,1449.4,3550.6
27,2821.2,627.2,569.4,400.8,54.0,527.4,5000.0,1449.4,3550.6
28,2716.0,599.2,601.0,429.4,57.8,596.6,5000.0,1449.4,3550.6
29,2616.6,586.8,616.4,446.2,62.2,671.8,5000.0,1449.4,3550.6
30,2516.6,574.2,638.6,451.4,67.6,751.6,5000.0,1449.4,3550.6
31,2418.4,568.2,653.0,462.6,71.2,826.6,5000.0,1449.4,3550.6
32,2323.8,555.6,664.0,469.6,74.4,912.6,5000.0,1449.4,3550.6
