Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4978.8,11.2,9.6,0.0,0.0,0.4,5000.0,1486.2,3513.8
1,4970.6,17.4,10.6,0.4,0.0,1.0,5000.0,1486.2,3513.8
2,4962.8,22.0,12.0,1.2,0.0,2.0,5000.0,1486.2,3513.8
3,4950.6,30.0,14.0,2.4,0.0,3.0,5000.0,1486.2,3513.8
4,4933.6,41.0,17.0,4.6,0.0,3.8,5000.0,1486.2,3513.8
5,4910.2,57.0,19.6,7.0,0.0,6.2,5000.0,1486.2,3513.8
6,4887.0,69.6,25.0,10.4,0.0,8.0,5000.0,1486.2,3513.8
7,4853.4,89.2,32.6,15.4,0.0,9.4,5000.0,1486.2,3513.8
8,4811.0,114.2,38.4,22.4,0.0,14.0,5000.0,1486.2,3513.8
9,4754.0,151.0,45.4,29.8,0.0,19.8,5000.0,1486.2,3513.8
10,4691.8,180.2,59.0,42.2,0.0,26.8,5000.0,1486.2,3513.8
11,4605.4,232.4,74.6,53.6,0.0,34.0,5000.0,1486.2,3513.8
12,4505.8,281.6,98.6,70.2,0.0,43.8,5000.0,1486.2,3513.8
13,4381.0,351.6,124.8,85.0,0.0,57.6,5000.0,1486.2,3513.8
14,4236.0,425.6,156.2,109.6,0.0,72.6,5000.0,1486.2,3513.8
15,4086.8,489.8,202.0,131.4,0.0,90.0,5000.0,1486.2,3513.8
16,3917.4,553.2,253.0,167.0,0.0,109.4,5000.0,1486.2,3513.8
17,3760.8,603.8,301.2,196.2,0.0,138.0,5000.0,1486.2,3513.8
18,3619.6,619.8,352.8,233.8,0.0,174.0,5000.0,1486.2,3513.8
19,3493.8,618.4,406.2,268.0,0.0,213.6,5000.0,1486.2,3513.8
20,3389.0,596.8,451.0,296.4,7.4,259.4,5000.0,1486.2,3513.8
21,3298.8,568.0,483.6,328.6,16.0,305.0,5000.0,1486.2,3513.8
22,3214.8,546.4,499.8,350.0,24.4,364.6,5000.0,1486.2,3513.8
23,3156.4,492.6,529.8,368.2,30.2,422.8,5000.0,1486.2,3513.8
24,3100.0,450.4,542.8,383.6,36.4,486.8,5000.0,1486.2,3513.8
25,3042.0,424.2,550.0,389.0,42.0,552.8,5000.0,1486.2,3513.8
26,2987.8,394.0,553.4,400.4,48.0,616.4,5000.0,1486.2,3513.8
27,2929.0,374.2,554.4,399.2,52.8,690.4,5000.0,1486.2,3513.8
28,2859.0,379.6,550.0,400.8,57.0,753.6,5000.0,1486.2,3513.8
29,2795.4,369.8,544.2,408.0,60.8,821.8,5000.0,1486.2,3513.8
30,2726.4,370.8,540.4,406.8,66.2,889.4,5000.0,1486.2,3513.8
31,2647.0,377.4,536.0,408.2,70.2,961.2,5000.0,1486.2,3513.8
32,2561.0,397.4,530.8,408.0,74.4,1028.4,5000.0,1486.2,3513.8
33,2475.0,414.0,529.0,406.6,77.2,1098.2,5000.0,1486.2,3513.8
34,2389.0,421.8,530.8,411.8,83.2,1163.4,5000.0,1486.2,3513.8
35,2306.0,430.4,533.8,411.2,85.8,1232.8,5000.0,1486.2,3513.8
36,2223.6,443.6,534.2,409.6,89.4,1299.6,5000.0,1486.2,3513.8
37,2150.4,441.0,544.2,413.0,90.8,1360.6,5000.0,1486.2,3513.8
38,2054.6,458.6,547.2,422.4,91.8,1425.4,5000.0,1486.2,3513.8
39,1971.8,453.0,559.0,436.6,95.2,1484.4,5000.0,1486.2,3513.8
40,1886.0,454.2,555.2,440.8,111.0,1552.8,5000.0,1486.2,3513.8
41,1797.8,463.0,549.4,443.4,121.8,1624.6,5000.0,1486.2,3513.8
42,1715.2,450.8,548.4,456.8,135.4,1693.4,5000.0,1486.2,3513.8
43,1638.2,445.8,543.8,463.6,150.2,1758.4,5000.0,1486.2,3513.8
44,1566.2,435.4,534.4,471.4,162.2,1830.4,5000.0,1486.2,3513.8
45,1494.2,427.4,533.8,471.4,172.6,1900.6,5000.0,1486.2,3513.8
46,1425.8,422.4,521.4,475.0,183.4,1972.0,5000.0,1486.2,3513.8
47,1361.0,407.0,511.2,479.8,194.6,2046.4,5000.0,1486.2,3513.8
48,1305.8,389.8,504.8,479.0,203.0,2117.6,5000.0,1486.2,3513.8
49,1247.6,384.6,496.4,470.8,209.4,2191.2,5000.0,1486.2,3513.8
50,1193.4,368.4,492.0,469.0,216.4,2260.8,5000.0,1486.2,3513.8
51,1145.0,355.4,478.2,463.6,221.4,2336.4,5000.0,1486.2,3513.8
52,1096.4,341.0,465.0,460.4,228.2,2409.0,5000.0,1486.2,3513.8
53,1049.2,331.4,451.2,457.6,231.2,2479.4,5000.0,1486.2,3513.8
54,1004.2,318.2,440.2,449.4,236.0,2552.0,5000.0,1486.2,3513.8
55,965.6,307.6,416.4,443.0,242.4,2625.0,5000.0,1486.2,3513.8
56,928.4,301.8,397.6,436.2,246.0,2690.0,5000.0,1486.2,3513.8
57,900.4,286.8,378.8,430.8,253.8,2749.4,5000.0,1486.2,3513.8
58,872.8,274.6,358.4,422.2,258.4,2813.6,5000.0,1486.2,3513.8
59,850.6,255.4,347.6,413.6,261.2,2871.6,5000.0,1486.2,3513.8
60,823.2,247.4,319.4,409.6,280.0,2920.4,5000.0,1486.2,3513.8
61,806.4,232.0,293.0,398.2,295.0,2975.4,5000.0,1486.2,3513.8
62,787.8,219.2,270.0,390.8,305.4,3026.8,5000.0,1486.2,3513.8
63,774.0,206.6,248.6,378.4,315.4,3077.0,5000.0,1486.2,3513.8
64,756.8,198.6,223.6,364.0,323.2,3133.8,5000.0,1486.2,3513.8
65,738.8,185.8,199.4,357.8,332.4,3185.8,5000.0,1486.2,3513.8
66,734.0,169.6,181.2,343.2,336.6,3235.4,5000.0,1486.2,3513.8
67,729.2,161.4,160.8,328.6,342.0,3278.0,5000.0,1486.2,3513.8
68,727.0,149.6,142.6,315.0,348.4,3317.4,5000.0,1486.2,3513.8
69,725.4,143.6,125.0,304.6,346.4,3355.0,5000.0,1486.2,3513.8
70,723.8,136.8,110.6,287.0,344.6,3397.2,5000.0,1486.2,3513.8
71,724.6,125.8,98.0,273.4,344.0,3434.2,5000.0,1486.2,3513.8
72,725.2,119.8,81.8,263.2,345.2,3464.8,5000.0,1486.2,3513.8
73,723.0,111.8,69.6,252.4,343.4,3499.8,5000.0,1486.2,3513.8
74,727.8,102.4,60.4,244.0,339.4,3526.0,5000.0,1486.2,3513.8
75,730.8,95.4,48.6,233.6,335.4,3556.2,5000.0,1486.2,3513.8
76,740.0,86.6,41.6,218.8,332.0,3581.0,5000.0,1486.2,3513.8
77,746.6,79.2,35.6,207.0,328.6,3603.0,5000.0,1486.2,3513.8
78,754.8,73.8,26.6,193.8,325.6,3625.4,5000.0,1486.2,3513.8
79,761.8,68.0,21.2,184.4,321.8,3642.8,5000.0,1486.2,3513.8
80,773.6,60.6,16.6,174.0,313.6,3661.6,5000.0,1486.2,3513.8
81,784.4,56.8,10.4,164.6,308.6,3675.2,5000.0,1486.2,3513.8
82,793.0,53.2,7.6,152.8,300.2,3693.2,5000.0,1486.2,3513.8
83,812.4,49.4,5.8,141.4,293.6,3697.4,5000.0,1486.2,3513.8
84,827.0,45.4,4.8,130.0,285.2,3707.6,5000.0,1486.2,3513.8
85,842.8,42.6,5.2,119.2,272.4,3717.8,5000.0,1486.2,3513.8
86,855.8,42.8,4.6,111.0,260.2,3725.6,5000.0,1486.2,3513.8
87,869.6,41.2,4.8,101.4,249.2,3733.8,5000.0,1486.2,3513.8
88,886.2,38.0,5.4,93.8,236.6,3740.0,5000.0,1486.2,3513.8
89,898.6,35.0,4.8,87.2,229.2,3745.2,5000.0,1486.2,3513.8
90,914.6,34.6,3.8,79.2,224.6,3743.2,5000.0,1486.2,3513.8
91,929.4,33.2,2.6,72.6,216.4,3745.8,5000.0,1486.2,3513.8
92,945.8,29.2,3.6,69.2,202.4,3749.8,5000.0,1486.2,3513.8
93,962.6,24.8,3.6,64.4,194.6,3750.0,5000.0,1486.2,3513.8
94,983.2,23.6,3.2,59.0,184.8,3746.2,5000.0,1486.2,3513.8
95,1002.6,23.8,2.0,55.4,176.8,3739.4,5000.0,1486.2,3513.8
96,1022.8,23.8,2.4,53.2,167.6,3730.2,5000.0,1486.2,3513.8
