Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4981.2,8.8,9.4,0.0,0.0,0.6,5000.0,1543.0,3457.0
1,4974.0,14.0,10.2,0.4,0.0,1.4,5000.0,1543.0,3457.0
2,4965.8,19.2,10.6,1.6,0.0,2.8,5000.0,1543.0,3457.0
3,4955.4,26.0,11.8,3.2,0.0,3.6,5000.0,1543.0,3457.0
4,4945.2,32.2,12.8,4.8,0.0,5.0,5000.0,1543.0,3457.0
5,4929.2,41.0,16.6,6.6,0.0,6.6,5000.0,1543.0,3457.0
6,4908.8,53.0,20.4,8.8,0.0,9.0,5000.0,1543.0,3457.0
7,4885.4,63.4,27.2,13.0,0.0,11.0,5000.0,1543.0,3457.0
8,4846.0,90.4,31.8,16.8,0.0,15.0,5000.0,1543.0,3457.0
9,4805.2,113.4,39.0,23.2,0.0,19.2,5000.0,1543.0,3457.0
10,4757.0,136.2,49.4,31.4,0.0,26.0,5000.0,1543.0,3457.0
11,4693.6,176.0,60.0,39.2,0.0,31.2,5000.0,1543.0,3457.0
12,4626.2,209.0,78.4,49.0,0.0,37.4,5000.0,1543.0,3457.0
13,4543.6,247.2,100.0,64.2,0.0,45.0,5000.0,1543.0,3457.0
14,4448.0,294.0,124.4,79.8,0.0,53.8,5000.0,1543.0,3457.0
15,4352.6,333.2,150.4,97.4,0.0,66.4,5000.0,1543.0,3457.0
16,4249.2,370.4,177.0,119.2,0.0,84.2,5000.0,1543.0,3457.0
17,4147.8,398.8,211.2,142.2,0.0,100.0,5000.0,1543.0,3457.0
18,4047.4,415.6,245.0,168.2,0.0,123.8,5000.0,1543.0,3457.0
19,3940.0,445.0,278.6,183.2,0.0,153.2,5000.0,1543.0,3457.0
20,3850.4,441.4,306.8,207.0,9.4,185.0,5000.0,1543.0,3457.0
21,3766.6,436.6,329.2,225.0,18.4,224.2,5000.0,1543.0,3457.0
22,3682.2,434.6,347.8,246.6,25.8,263.0,5000.0,1543.0,3457.0
23,3593.0,442.0,365.8,262.8,32.2,304.2,5000.0,1543.0,3457.0
24,3503.8,442.8,384.8,278.4,40.4,349.8,5000.0,1543.0,3457.0
25,3408.4,455.2,397.6,293.2,47.0,398.6,5000.0,1543.0,3457.0
26,3325.6,453.6,407.8,307.4,54.0,451.6,5000.0,1543.0,3457.0
27,3233.2,453.8,428.6,325.6,60.6,498.2,5000.0,1543.0,3457.0
28,3144.2,456.8,438.2,341.8,65.8,553.2,5000.0,1543.0,3457.0
29,3049.0,474.8,444.2,355.8,68.8,607.4,5000.0,1543.0,3457.0
30,2943.0,479.0,465.8,363.8,74.0,674.4,5000.0,1543.0,3457.0
31,2834.2,496.8,476.8,381.2,79.0,732.0,5000.0,1543.0,3457.0
32,2715.6,517.8,494.4,396.4,84.6,791.2,5000.0,1543.0,3457.0
33,2601.2,527.2,515.0,407.4,86.8,862.4,5000.0,1543.0,3457.0
34,2468.6,557.4,530.2,422.2,89.8,931.8,5000.0,1543.0,3457.0
35,2330.0,589.8,544.6,437.4,93.6,1004.6,5000.0,1543.0,3457.0
36,2194.2,609.0,570.0,451.2,94.4,1081.2,5000.0,1543.0,3457.0
37,2053.4,630.6,588.2,476.4,96.2,1155.2,5000.0,1543.0,3457.0
38,1912.4,650.0,613.4,492.0,96.8,1235.4,5000.0,1543.0,3457.0
39,1775.0,666.2,635.8,509.2,98.6,1315.2,5000.0,1543.0,3457.0
40,1646.8,669.6,648.2,525.2,113.4,1396.8,5000.0,1543.0,3457.0
41,1533.4,652.2,655.0,543.4,126.4,1489.6,5000.0,1543.0,3457.0
42,1434.0,639.8,663.6,550.8,140.6,1571.2,5000.0,1543.0,3457.0
43,1328.6,625.2,671.4,560.0,152.8,1662.0,5000.0,1543.0,3457.0
44,1234.8,605.8,673.4,566.4,166.0,1753.6,5000.0,1543.0,3457.0
45,1139.6,585.8,675.2,574.8,176.2,1848.4,5000.0,1543.0,3457.0
46,1063.0,565.4,667.4,572.2,184.6,1947.4,5000.0,1543.0,3457.0
47,986.4,537.2,662.4,578.8,193.8,2041.4,5000.0,1543.0,3457.0
48,910.2,514.4,657.2,580.4,201.0,2136.8,5000.0,1543.0,3457.0
49,844.4,480.6,658.0,584.2,210.4,2222.4,5000.0,1543.0,3457.0
50,784.2,454.8,648.8,582.6,218.8,2310.8,5000.0,1543.0,3457.0
51,738.8,425.2,640.6,573.2,228.0,2394.2,5000.0,1543.0,3457.0
52,691.0,401.0,626.6,566.2,236.4,2478.8,5000.0,1543.0,3457.0
53,647.8,383.8,610.0,556.6,242.8,2559.0,5000.0,1543.0,3457.0
54,602.4,362.8,593.6,549.6,247.2,2644.4,5000.0,1543.0,3457.0
55,563.0,339.8,571.2,541.2,252.2,2732.6,5000.0,1543.0,3457.0
56,530.0,316.0,546.0,532.0,257.0,2819.0,5000.0,1543.0,3457.0
57,503.4,303.8,516.6,517.0,259.0,2900.2,5000.0,1543.0,3457.0
58,479.2,283.8,494.4,506.6,260.8,2975.2,5000.0,1543.0,3457.0
59,461.6,267.6,467.0,491.6,265.2,3047.0,5000.0,1543.0,3457.0
60,446.0,248.6,423.2,475.4,282.8,3124.0,5000.0,1543.0,3457.0
61,432.2,234.4,380.4,456.4,296.0,3200.6,5000.0,1543.0,3457.0
62,425.4,215.4,342.6,444.8,313.2,3258.6,5000.0,1543.0,3457.0
63,414.8,199.4,306.2,434.4,329.4,3315.8,5000.0,1543.0,3457.0
64,408.2,188.0,266.6,416.6,346.0,3374.6,5000.0,1543.0,3457.0
65,405.4,172.8,234.8,404.0,354.6,3428.4,5000.0,1543.0,3457.0
66,400.2,163.0,200.8,388.0,366.6,3481.4,5000.0,1543.0,3457.0
67,401.0,151.0,167.6,371.4,376.2,3532.8,5000.0,1543.0,3457.0
68,404.2,138.4,137.6,355.2,384.4,3580.2,5000.0,1543.0,3457.0
69,409.8,125.0,112.4,338.0,387.0,3627.8,5000.0,1543.0,3457.0
70,415.4,113.4,92.4,321.6,387.6,3669.6,5000.0,1543.0,3457.0
71,421.0,106.6,71.0,298.4,392.0,3711.0,5000.0,1543.0,3457.0
72,430.4,97.4,53.0,281.4,389.8,3748.0,5000.0,1543.0,3457.0
73,438.2,91.6,40.0,263.2,388.6,3778.4,5000.0,1543.0,3457.0
74,446.6,85.2,32.6,245.8,383.0,3806.8,5000.0,1543.0,3457.0
75,458.6,78.6,26.4,231.2,375.2,3830.0,5000.0,1543.0,3457.0
76,468.0,74.0,20.0,213.6,367.2,3857.2,5000.0,1543.0,3457.0
77,480.4,67.4,17.6,196.4,357.6,3880.6,5000.0,1543.0,3457.0
78,493.0,61.0,15.4,185.0,348.2,3897.4,5000.0,1543.0,3457.0
79,505.4,57.6,9.8,174.2,340.6,3912.4,5000.0,1543.0,3457.0
80,519.4,55.0,9.2,162.6,325.6,3928.2,5000.0,1543.0,3457.0
81,538.8,50.8,8.4,148.4,313.0,3940.6,5000.0,1543.0,3457.0
82,553.8,44.2,6.8,136.8,306.4,3952.0,5000.0,1543.0,3457.0
83,570.0,42.0,4.8,126.0,297.0,3960.2,5000.0,1543.0,3457.0
84,578.0,38.4,4.6,121.4,283.2,3974.4,5000.0,1543.0,3457.0
85,596.4,35.8,4.4,113.6,274.4,3975.4,5000.0,1543.0,3457.0
86,615.2,34.0,4.0,104.2,262.2,3980.4,5000.0,1543.0,3457.0
87,633.0,31.0,4.6,98.8,251.0,3981.6,5000.0,1543.0,3457.0
88,647.6,31.6,3.2,92.2,240.0,3985.4,5000.0,1543.0,3457.0
89,662.2,29.2,3.2,85.4,228.2,3991.8,5000.0,1543.0,3457.0
90,677.6,28.6,2.4,81.4,218.2,3991.8,5000.0,1543.0,3457.0
91,695.6,25.6,2.4,78.2,205.0,3993.2,5000.0,1543.0,3457.0
92,711.2,23.6,3.0,75.2,194.0,3993.0,5000.0,1543.0,3457.0
93,730.2,21.6,3.4,69.8,185.8,3989.2,5000.0,1543.0,3457.0
94,749.8,19.6,3.8,64.6,177.2,3985.0,5000.0,1543.0,3457.0
95,771.2,18.0,2.8,59.0,171.6,3977.4,5000.0,1543.0,3457.0
96,793.2,16.4,2.2,55.2,160.6,3972.4,5000.0,1543.0,3457.0
97,818.4,15.8,1.4,51.8,152.6,3960.0,5000.0,1543.0,3457.0
98,837.4,15.4,2.2,48.8,145.2,3951.0,5000.0,1543.0,3457.0
99,853.2,14.0,1.8,46.8,142.2,3942.0,5000.0,1543.0,3457.0
100,871.2,15.8,1.8,41.6,132.8,3936.8,5000.0,1543.0,3457.0
101,887.6,15.2,3.2,40.2,125.8,3928.0,5000.0,1543.0,3457.0
102,908.6,14.6,2.4,37.4,121.6,3915.4,5000.0,1543.0,3457.0
103,927.6,15.0,1.0,34.0,115.8,3906.6,5000.0,1543.0,3457.0
104,943.8,13.8,1.4,33.6,108.4,3899.0,5000.0,1543.0,3457.0
105,959.4,12.4,2.6,30.4,103.4,3891.8,5000.0,1543.0,3457.0
106,977.6,12.4,1.0,28.0,102.8,3878.2,5000.0,1543.0,3457.0
107,995.0,12.2,1.6,26.0,96.6,3868.6,5000.0,1543.0,3457.0
108,1010.8,10.6,1.4,25.4,93.2,3858.6,5000.0,1543.0,3457.0
109,1030.8,10.4,1.4,22.8,90.4,3844.2,5000.0,1543.0,3457.0
110,1048.8,10.2,1.6,21.2,85.0,3833.2,5000.0,1543.0,3457.0
111,1072.6,8.6,1.4,19.8,81.6,3816.0,5000.0,1543.0,3457.0
112,1094.2,7.6,1.0,17.8,77.4,3802.0,5000.0,1543.0,3457.0
113,1116.4,6.8,1.2,16.8,72.2,3786.6,5000.0,1543.0,3457.0
114,1135.6,7.2,1.0,14.8,69.2,3772.2,5000.0,1543.0,3457.0
115,1158.0,5.6,1.0,13.6,67.6,3754.2,5000.0,1543.0,3457.0
116,1173.8,4.8,1.0,12.8,62.8,3744.8,5000.0,1543.0,3457.0
117,1194.0,5.4,0.6,11.4,57.8,3730.8,5000.0,1543.0,3457.0
118,1218.6,5.2,0.4,10.4,52.8,3712.6,5000.0,1543.0,3457.0
119,1238.2,5.2,0.2,10.6,50.2,3695.6,5000.0,1543.0,3457.0
120,1260.2,5.0,0.4,10.2,47.6,3676.6,5000.0,1543.0,3457.0
121,1278.8,5.2,0.8,10.2,45.2,3659.8,5000.0,1543.0,3457.0
122,1298.6,5.8,0.4,8.4,44.0,3642.8,5000.0,1543.0,3457.0
123,1319.0,4.8,1.2,8.0,39.8,3627.2,5000.0,1543.0,3457.0
124,1334.8,5.4,0.4,7.4,38.8,3613.2,5000.0,1543.0,3457.0
125,1355.4,3.8,1.0,8.0,35.4,3596.4,5000.0,1543.0,3457.0
126,1378.0,4.2,0.4,7.0,34.6,3575.8,5000.0,1543.0,3457.0
127,1396.6,4.2,0.0,7.4,33.2,3558.6,5000.0,1543.0,3457.0
128,1413.8,4.2,0.4,7.4,30.8,3543.4,5000.0,1543.0,3457.0
129,1435.4,4.6,0.6,6.8,29.0,3523.6,5000.0,1543.0,3457.0
130,1456.6,3.4,1.0,6.4,27.6,3505.0,5000.0,1543.0,3457.0
131,1475.4,3.4,0.2,5.6,27.6,3487.8,5000.0,1543.0,3457.0
132,1493.2,4.0,0.4,5.0,26.4,3471.0,5000.0,1543.0,3457.0
133,1510.6,4.8,0.6,5.0,24.6,3454.4,5000.0,1543.0,3457.0
134,1529.0,4.4,0.2,4.6,24.0,3437.8,5000.0,1543.0,3457.0
135,1545.6,3.8,0.8,4.4,22.6,3422.8,5000.0,1543.0,3457.0
136,1566.0,3.8,0.4,4.4,22.4,3403.0,5000.0,1543.0,3457.0
137,1579.0,3.6,0.6,4.2,22.0,3390.6,5000.0,1543.0,3457.0
138,1598.2,2.2,0.6,3.8,21.2,3374.0,5000.0,1543.0,3457.0
139,1611.8,3.0,0.2,3.0,20.4,3361.6,5000.0,1543.0,3457.0
140,1633.6,2.4,0.6,3.0,19.2,3341.2,5000.0,1543.0,3457.0
141,1653.0,2.2,0.0,2.6,19.2,3323.0,5000.0,1543.0,3457.0
142,1671.4,1.8,0.6,2.6,18.4,3305.2,5000.0,1543.0,3457.0
143,1688.8,1.6,0.0,2.2,18.2,3289.2,5000.0,1543.0,3457.0
144,1706.2,1.2,0.4,2.4,17.2,3272.6,5000.0,1543.0,3457.0
145,1724.8,1.4,0.2,2.2,16.4,3255.0,5000.0,1543.0,3457.0
146,1742.8,1.4,0.0,2.0,16.0,3237.8,5000.0,1543.0,3457.0
147,1760.6,1.6,0.2,2.0,13.8,3221.8,5000.0,1543.0,3457.0
148,1775.6,1.6,0.2,1.8,12.6,3208.2,5000.0,1543.0,3457.0
149,1790.0,1.0,0.4,1.6,12.6,3194.4,5000.0,1543.0,3457.0
