Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4983.2,6.8,8.8,0.0,0.0,1.2,5000.0,1445.8,3554.2
1,4977.2,11.8,9.4,0.2,0.0,1.4,5000.0,1445.8,3554.2
2,4967.8,19.2,10.2,1.0,0.0,1.8,5000.0,1445.8,3554.2
3,4958.6,25.2,11.6,1.8,0.0,2.8,5000.0,1445.8,3554.2
4,4951.6,29.2,12.8,2.6,0.0,3.8,5000.0,1445.8,3554.2
5,4938.4,36.8,15.0,5.0,0.0,4.8,5000.0,1445.8,3554.2
6,4922.0,46.6,18.6,6.8,0.0,6.0,5000.0,1445.8,3554.2
7,4902.0,57.6,23.4,8.4,0.0,8.6,5000.0,1445.8,3554.2
8,4874.0,74.2,28.4,12.0,0.0,11.4,5000.0,1445.8,3554.2
9,4841.6,91.4,34.4,18.4,0.0,14.2,5000.0,1445.8,3554.2
10,4803.0,112.8,43.0,23.8,0.0,17.4,5000.0,1445.8,3554.2
11,4754.2,141.4,50.8,31.2,0.0,22.4,5000.0,1445.8,3554.2
12,4695.4,173.6,65.8,37.8,0.0,27.4,5000.0,1445.8,3554.2
13,4616.2,219.0,80.2,49.8,0.0,34.8,5000.0,1445.8,3554.2
14,4523.8,274.4,95.6,64.0,0.0,42.2,5000.0,1445.8,3554.2
15,4416.8,331.2,117.8,81.8,0.0,52.4,5000.0,1445.8,3554.2
16,4297.0,383.8,150.0,102.8,0.0,66.4,5000.0,1445.8,3554.2
17,4156.0,445.6,192.0,123.8,0.0,82.6,5000.0,1445.8,3554.2
18,4012.6,501.0,232.4,150.8,0.0,103.2,5000.0,1445.8,3554.2
19,3857.8,556.2,278.6,176.6,0.0,130.8,5000.0,1445.8,3554.2
20,3703.0,600.2,318.4,208.4,8.0,162.0,5000.0,1445.8,3554.2
21,3570.8,617.6,361.6,235.6,15.2,199.2,5000.0,1445.8,3554.2
22,3434.6,625.2,404.6,270.4,21.2,244.0,5000.0,1445.8,3554.2
23,3311.6,618.4,443.6,301.8,28.4,296.2,5000.0,1445.8,3554.2
24,3190.0,624.0,474.8,331.4,34.8,345.0,5000.0,1445.8,3554.2
25,3088.4,598.0,512.2,357.0,40.0,404.4,5000.0,1445.8,3554.2
26,2976.8,591.0,543.0,379.2,44.6,465.4,5000.0,1445.8,3554.2
27,2877.6,575.6,576.0,395.0,48.0,527.8,5000.0,1445.8,3554.2
28,2781.8,554.8,595.8,413.4,52.4,601.8,5000.0,1445.8,3554.2
29,2685.8,541.4,616.6,429.2,56.6,670.4,5000.0,1445.8,3554.2
30,2593.8,530.6,629.4,443.0,58.6,744.6,5000.0,1445.8,3554.2
31,2495.4,524.4,639.4,457.0,61.6,822.2,5000.0,1445.8,3554.2
32,2403.4,513.6,648.0,469.4,66.4,899.2,5000.0,1445.8,3554.2
33,2303.2,522.4,653.2,472.2,70.8,978.2,5000.0,1445.8,3554.2
34,2210.2,514.2,660.6,484.6,73.6,1056.8,5000.0,1445.8,3554.2
35,2110.0,515.8,668.8,489.4,78.2,1137.8,5000.0,1445.8,3554.2
36,2012.2,512.8,681.4,505.0,82.6,1206.0,5000.0,1445.8,3554.2
37,1917.8,511.8,690.8,508.2,87.4,1284.0,5000.0,1445.8,3554.2
38,1820.4,509.2,697.6,511.4,90.0,1371.4,5000.0,1445.8,3554.2
39,1721.2,513.6,695.8,513.0,91.6,1464.8,5000.0,1445.8,3554.2
40,1636.0,505.0,688.4,516.4,105.0,1549.2,5000.0,1445.8,3554.2
41,1545.8,504.8,671.4,518.6,120.4,1639.0,5000.0,1445.8,3554.2
42,1473.4,477.2,665.8,522.8,132.8,1728.0,5000.0,1445.8,3554.2
43,1400.4,462.2,655.0,524.6,144.6,1813.2,5000.0,1445.8,3554.2
44,1329.2,455.2,637.6,519.4,156.4,1902.2,5000.0,1445.8,3554.2
45,1257.8,442.8,627.6,510.0,165.8,1996.0,5000.0,1445.8,3554.2
46,1201.4,423.4,614.6,504.0,177.0,2079.6,5000.0,1445.8,3554.2
47,1145.6,404.4,602.0,508.8,186.6,2152.6,5000.0,1445.8,3554.2
48,1084.4,390.8,587.2,503.4,196.4,2237.8,5000.0,1445.8,3554.2
49,1029.0,378.6,571.8,501.0,203.2,2316.4,5000.0,1445.8,3554.2
50,979.2,363.8,556.0,497.2,213.0,2390.8,5000.0,1445.8,3554.2
51,939.6,336.6,537.2,491.6,218.4,2476.6,5000.0,1445.8,3554.2
52,904.4,314.0,525.4,476.8,223.2,2556.2,5000.0,1445.8,3554.2
