Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4980.6,9.4,10.0,0.0,0.0,0.0,5000.0,1468.8,3531.2
1,4972.0,15.8,10.4,1.2,0.0,0.6,5000.0,1468.8,3531.2
2,4962.8,21.4,10.4,3.0,0.0,2.4,5000.0,1468.8,3531.2
3,4949.8,30.8,12.2,4.0,0.0,3.2,5000.0,1468.8,3531.2
4,4937.8,36.8,15.0,6.0,0.0,4.4,5000.0,1468.8,3531.2
5,4920.2,46.4,19.8,8.6,0.0,5.0,5000.0,1468.8,3531.2
6,4896.2,61.6,22.4,12.8,0.0,7.0,5000.0,1468.8,3531.2
7,4859.8,87.0,27.2,15.8,0.0,10.2,5000.0,1468.8,3531.2
8,4819.8,109.4,35.0,22.6,0.0,13.2,5000.0,1468.8,3531.2
9,4765.8,142.6,44.2,30.6,0.0,16.8,5000.0,1468.8,3531.2
10,4698.0,181.4,57.0,41.0,0.0,22.6,5000.0,1468.8,3531.2
11,4617.4,229.2,74.6,50.8,0.0,28.0,5000.0,1468.8,3531.2
12,4515.6,284.2,97.8,67.2,0.0,35.2,5000.0,1468.8,3531.2
13,4390.8,354.2,124.6,84.0,0.0,46.4,5000.0,1468.8,3531.2
14,4243.6,427.2,162.8,105.8,0.0,60.6,5000.0,1468.8,3531.2
15,4083.4,499.6,207.0,135.0,0.0,75.0,5000.0,1468.8,3531.2
16,3924.8,560.6,250.8,166.2,0.0,97.6,5000.0,1468.8,3531.2
17,3754.2,618.4,306.0,198.6,0.0,122.8,5000.0,1468.8,3531.2
18,3606.2,638.0,362.2,237.0,0.0,156.6,5000.0,1468.8,3531.2
19,3476.8,647.4,407.0,268.6,0.0,200.2,5000.0,1468.8,3531.2
20,3370.2,626.0,448.4,303.8,8.6,243.0,5000.0,1468.8,3531.2
21,3287.4,585.6,478.6,326.2,16.8,305.4,5000.0,1468.8,3531.2
22,3211.8,555.4,499.6,346.8,23.8,362.6,5000.0,1468.8,3531.2
23,3147.0,516.2,523.0,364.0,31.0,418.8,5000.0,1468.8,3531.2
24,3084.2,477.0,540.8,383.4,36.0,478.6,5000.0,1468.8,3531.2
25,3022.2,446.6,548.6,389.4,42.2,551.0,5000.0,1468.8,3531.2
26,2956.0,420.6,561.6,398.8,48.0,615.0,5000.0,1468.8,3531.2
27,2882.4,413.0,565.0,406.0,52.2,681.4,5000.0,1468.8,3531.2
28,2815.0,404.4,562.2,413.4,56.2,748.8,5000.0,1468.8,3531.2
29,2736.8,407.0,559.0,417.8,60.8,818.6,5000.0,1468.8,3531.2
30,2668.6,400.2,560.4,417.4,66.8,886.6,5000.0,1468.8,3531.2
31,2588.6,390.0,566.6,423.8,71.2,959.8,5000.0,1468.8,3531.2
32,2502.2,397.6,563.6,432.0,72.4,1032.2,5000.0,1468.8,3531.2
33,2413.0,414.8,571.4,429.2,75.8,1095.8,5000.0,1468.8,3531.2
34,2322.8,426.0,567.2,436.2,79.0,1168.8,5000.0,1468.8,3531.2
35,2233.6,432.2,575.6,442.0,80.0,1236.6,5000.0,1468.8,3531.2
36,2140.8,443.4,574.8,447.0,83.4,1310.6,5000.0,1468.8,3531.2
37,2045.4,460.2,573.6,450.6,84.6,1385.6,5000.0,1468.8,3531.2
38,1954.0,467.2,580.4,454.0,86.8,1457.6,5000.0,1468.8,3531.2
39,1864.8,475.6,582.2,462.0,90.8,1524.6,5000.0,1468.8,3531.2
40,1771.0,481.4,576.8,463.6,108.0,1599.2,5000.0,1468.8,3531.2
41,1682.0,474.2,571.6,478.6,123.6,1670.0,5000.0,1468.8,3531.2
42,1600.8,480.0,558.2,474.6,136.2,1750.2,5000.0,1468.8,3531.2
43,1523.4,466.6,546.4,483.8,146.6,1833.2,5000.0,1468.8,3531.2
44,1444.8,464.6,539.6,482.8,161.0,1907.2,5000.0,1468.8,3531.2
45,1374.4,457.4,535.8,478.6,172.6,1981.2,5000.0,1468.8,3531.2
46,1311.6,431.2,539.6,477.6,180.2,2059.8,5000.0,1468.8,3531.2
47,1245.2,422.2,538.2,476.8,189.0,2128.6,5000.0,1468.8,3531.2
48,1182.6,410.2,534.2,477.4,198.6,2197.0,5000.0,1468.8,3531.2
49,1120.8,398.0,529.8,473.8,205.4,2272.2,5000.0,1468.8,3531.2
50,1069.8,378.2,522.6,477.6,213.8,2338.0,5000.0,1468.8,3531.2
51,1012.4,372.0,509.4,470.0,224.2,2412.0,5000.0,1468.8,3531.2
52,965.2,357.0,493.2,468.2,232.4,2484.0,5000.0,1468.8,3531.2
53,922.4,335.0,479.4,466.6,239.2,2557.4,5000.0,1468.8,3531.2
54,887.0,319.8,460.6,457.0,243.2,2632.4,5000.0,1468.8,3531.2
55,848.6,316.6,439.2,453.0,248.2,2694.4,5000.0,1468.8,3531.2
56,812.8,308.2,419.8,444.6,253.4,2761.2,5000.0,1468.8,3531.2
57,789.6,285.6,408.4,438.4,257.0,2821.0,5000.0,1468.8,3531.2
58,760.6,278.0,390.6,424.0,257.8,2889.0,5000.0,1468.8,3531.2
59,740.0,263.0,370.2,413.0,262.4,2951.4,5000.0,1468.8,3531.2
60,710.8,260.0,336.4,404.4,279.4,3009.0,5000.0,1468.8,3531.2
61,690.2,245.4,308.4,395.4,292.8,3067.8,5000.0,1468.8,3531.2
62,679.8,226.8,284.2,388.2,309.6,3111.4,5000.0,1468.8,3531.2
63,665.0,210.6,259.4,378.2,323.8,3163.0,5000.0,1468.8,3531.2
64,656.6,197.6,229.4,363.4,332.4,3220.6,5000.0,1468.8,3531.2
65,651.0,182.2,206.6,351.8,341.2,3267.2,5000.0,1468.8,3531.2
66,647.8,165.6,185.0,340.4,347.6,3313.6,5000.0,1468.8,3531.2
67,644.6,151.0,166.2,332.0,353.0,3353.2,5000.0,1468.8,3531.2
68,646.4,141.0,147.6,317.8,357.0,3390.2,5000.0,1468.8,3531.2
69,646.6,127.6,129.0,305.2,359.6,3432.0,5000.0,1468.8,3531.2
70,651.4,119.6,109.2,293.2,362.6,3464.0,5000.0,1468.8,3531.2
71,650.0,114.8,90.0,278.8,365.2,3501.2,5000.0,1468.8,3531.2
72,653.2,108.8,72.8,268.2,361.4,3535.6,5000.0,1468.8,3531.2
73,658.6,99.8,64.0,252.4,355.8,3569.4,5000.0,1468.8,3531.2
74,665.8,87.2,55.4,239.0,354.6,3598.0,5000.0,1468.8,3531.2
75,677.2,81.8,42.8,224.0,352.6,3621.6,5000.0,1468.8,3531.2
76,684.6,76.2,36.8,213.8,344.2,3644.4,5000.0,1468.8,3531.2
77,694.6,73.6,28.6,197.2,339.0,3667.0,5000.0,1468.8,3531.2
78,702.6,70.6,22.0,184.8,328.8,3691.2,5000.0,1468.8,3531.2
79,713.2,67.6,19.2,175.0,316.8,3708.2,5000.0,1468.8,3531.2
80,720.4,62.6,17.6,164.2,303.0,3732.2,5000.0,1468.8,3531.2
81,734.6,56.6,14.6,151.2,297.2,3745.8,5000.0,1468.8,3531.2
82,747.4,53.6,10.2,143.8,287.8,3757.2,5000.0,1468.8,3531.2
83,759.2,48.8,11.6,135.6,278.4,3766.4,5000.0,1468.8,3531.2
84,772.4,44.4,9.0,127.8,268.0,3778.4,5000.0,1468.8,3531.2
85,789.2,41.2,7.2,119.4,258.2,3784.8,5000.0,1468.8,3531.2
86,803.8,41.0,4.4,112.4,250.8,3787.6,5000.0,1468.8,3531.2
87,816.2,40.6,4.6,105.4,239.4,3793.8,5000.0,1468.8,3531.2
88,832.2,35.8,5.2,99.8,232.0,3795.0,5000.0,1468.8,3531.2
89,846.8,32.4,4.6,92.2,223.8,3800.2,5000.0,1468.8,3531.2
90,861.8,29.4,4.8,86.0,216.0,3802.0,5000.0,1468.8,3531.2
91,881.6,28.4,3.6,80.0,205.4,3801.0,5000.0,1468.8,3531.2
92,900.8,25.4,3.6,74.4,194.6,3801.2,5000.0,1468.8,3531.2
93,916.2,21.6,4.2,69.6,188.2,3800.2,5000.0,1468.8,3531.2
94,930.2,20.0,3.0,66.0,180.2,3800.6,5000.0,1468.8,3531.2
95,945.8,18.8,2.8,60.0,173.4,3799.2,5000.0,1468.8,3531.2
96,963.6,17.4,2.6,57.0,165.2,3794.2,5000.0,1468.8,3531.2
97,983.8,14.0,3.6,50.6,160.8,3787.2,5000.0,1468.8,3531.2
98,1002.4,14.8,0.8,48.0,155.4,3778.6,5000.0,1468.8,3531.2
99,1021.2,14.2,1.2,46.4,144.8,3772.2,5000.0,1468.8,3531.2
100,1035.6,14.8,1.8,44.8,137.0,3766.0,5000.0,1468.8,3531.2
101,1053.0,13.4,1.8,42.6,129.0,3760.2,5000.0,1468.8,3531.2
102,1071.8,13.0,1.8,38.8,121.2,3753.4,5000.0,1468.8,3531.2
103,1089.0,13.8,1.2,36.0,116.4,3743.6,5000.0,1468.8,3531.2
104,1107.2,13.6,1.4,33.8,109.8,3734.2,5000.0,1468.8,3531.2
105,1122.8,12.8,1.6,32.6,102.4,3727.8,5000.0,1468.8,3531.2
106,1141.0,12.6,1.6,29.6,98.2,3717.0,5000.0,1468.8,3531.2
107,1162.0,12.6,1.4,28.0,93.6,3702.4,5000.0,1468.8,3531.2
108,1181.6,11.8,1.8,25.4,90.4,3689.0,5000.0,1468.8,3531.2
109,1198.6,11.0,2.0,23.4,85.6,3679.4,5000.0,1468.8,3531.2
110,1215.0,12.6,1.4,23.0,81.2,3666.8,5000.0,1468.8,3531.2
111,1234.2,10.6,1.4,23.4,78.4,3652.0,5000.0,1468.8,3531.2
112,1251.8,10.8,1.4,22.0,75.8,3638.2,5000.0,1468.8,3531.2
113,1268.0,9.2,1.4,21.4,73.0,3627.0,5000.0,1468.8,3531.2
114,1286.6,9.2,0.8,19.8,69.6,3614.0,5000.0,1468.8,3531.2
115,1305.2,8.8,1.0,19.4,65.2,3600.4,5000.0,1468.8,3531.2
116,1323.2,7.8,0.6,18.8,62.8,3586.8,5000.0,1468.8,3531.2
117,1339.4,6.8,1.0,19.0,58.0,3575.8,5000.0,1468.8,3531.2
118,1356.6,7.8,0.6,17.2,54.0,3563.8,5000.0,1468.8,3531.2
119,1378.2,8.4,0.8,16.2,52.0,3544.4,5000.0,1468.8,3531.2
120,1398.4,7.6,0.8,15.2,49.2,3528.8,5000.0,1468.8,3531.2
121,1418.8,6.0,2.0,14.2,47.0,3512.0,5000.0,1468.8,3531.2
122,1438.2,6.8,0.6,12.6,46.8,3495.0,5000.0,1468.8,3531.2
123,1454.8,6.2,1.0,12.6,45.4,3480.0,5000.0,1468.8,3531.2
124,1471.4,5.2,1.2,11.6,42.8,3467.8,5000.0,1468.8,3531.2
125,1487.8,5.4,0.4,10.6,40.2,3455.6,5000.0,1468.8,3531.2
126,1508.2,4.6,1.4,9.8,37.6,3438.4,5000.0,1468.8,3531.2
127,1527.0,4.6,0.2,9.4,35.8,3423.0,5000.0,1468.8,3531.2
128,1544.8,4.6,0.6,9.0,33.8,3407.2,5000.0,1468.8,3531.2
129,1562.0,4.6,0.6,8.4,32.8,3391.6,5000.0,1468.8,3531.2
130,1580.0,4.2,0.0,8.6,31.0,3376.2,5000.0,1468.8,3531.2
131,1596.6,4.4,0.4,8.4,29.2,3361.0,5000.0,1468.8,3531.2
132,1614.4,4.4,0.8,7.8,29.0,3343.6,5000.0,1468.8,3531.2
133,1635.8,4.6,0.2,6.8,27.4,3325.2,5000.0,1468.8,3531.2
134,1655.2,4.2,1.0,6.4,26.2,3307.0,5000.0,1468.8,3531.2
135,1670.6,4.4,0.4,6.4,24.8,3293.4,5000.0,1468.8,3531.2
136,1687.2,4.8,0.4,5.6,23.4,3278.6,5000.0,1468.8,3531.2
137,1706.6,5.0,0.4,5.4,22.6,3260.0,5000.0,1468.8,3531.2
138,1724.6,5.2,0.2,5.0,21.8,3243.2,5000.0,1468.8,3531.2
139,1743.2,4.4,0.8,5.6,21.2,3224.8,5000.0,1468.8,3531.2
140,1760.6,5.2,0.2,5.2,21.0,3207.8,5000.0,1468.8,3531.2
141,1779.0,4.6,1.2,5.2,19.8,3190.2,5000.0,1468.8,3531.2
142,1795.8,4.8,0.8,4.2,20.8,3173.6,5000.0,1468.8,3531.2
143,1815.6,4.6,0.2,4.4,20.2,3155.0,5000.0,1468.8,3531.2
144,1832.4,4.0,1.0,4.4,19.0,3139.2,5000.0,1468.8,3531.2
145,1851.0,3.4,1.0,4.4,18.8,3121.4,5000.0,1468.8,3531.2
146,1868.8,3.4,0.4,3.6,18.8,3105.0,5000.0,1468.8,3531.2
147,1883.6,2.8,0.6,2.8,17.8,3092.4,5000.0,1468.8,3531.2
148,1902.8,2.8,0.6,2.4,17.4,3074.0,5000.0,1468.8,3531.2
149,1921.8,2.6,0.2,2.4,18.0,3055.0,5000.0,1468.8,3531.2
