Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4970.0,20.0,9.4,0.0,0.0,0.6,5000.0,1246.6,3753.4
1,4953.6,33.0,9.4,1.6,0.0,2.4,5000.0,1246.6,3753.4
2,4934.4,46.0,13.0,3.6,0.0,3.0,5000.0,1246.6,3753.4
3,4903.6,67.6,16.8,8.0,0.0,4.0,5000.0,1246.6,3753.4
4,4861.4,97.4,23.8,12.0,0.0,5.4,5000.0,1246.6,3753.4
5,4800.6,138.0,34.4,19.6,0.0,7.4,5000.0,1246.6,3753.4
6,4696.8,215.8,48.2,29.0,0.0,10.2,5000.0,1246.6,3753.4
7,4567.6,303.6,69.8,41.8,0.0,17.2,5000.0,1246.6,3753.4
8,4380.2,432.0,99.0,65.4,0.0,23.4,5000.0,1246.6,3753.4
9,4120.4,609.4,140.0,93.0,0.0,37.2,5000.0,1246.6,3753.4
10,3775.4,831.8,199.8,140.8,0.0,52.2,5000.0,1246.6,3753.4
11,3333.6,1114.0,285.6,190.6,0.0,76.2,5000.0,1246.6,3753.4
12,2809.2,1412.0,399.4,271.0,0.0,108.4,5000.0,1246.6,3753.4
13,2215.4,1721.2,546.2,363.0,0.0,154.2,5000.0,1246.6,3753.4
14,1606.2,1993.4,713.8,466.4,0.0,220.2,5000.0,1246.6,3753.4
15,1075.6,2124.2,901.8,593.8,0.0,304.6,5000.0,1246.6,3753.4
16,644.4,2124.6,1099.8,723.0,0.0,408.2,5000.0,1246.6,3753.4
17,347.8,1990.0,1280.0,850.8,0.0,531.4,5000.0,1246.6,3753.4
18,169.4,1782.2,1419.4,952.0,0.0,677.0,5000.0,1246.6,3753.4
19,71.0,1525.8,1542.6,1030.6,0.0,830.0,5000.0,1246.6,3753.4
20,29.6,1260.6,1616.6,1082.8,9.4,1001.0,5000.0,1246.6,3753.4
21,11.0,1020.8,1643.8,1119.8,18.4,1186.2,5000.0,1246.6,3753.4
22,9.4,819.8,1639.4,1125.4,26.4,1379.6,5000.0,1246.6,3753.4
23,8.0,667.6,1607.2,1115.8,33.8,1567.6,5000.0,1246.6,3753.4
24,5.8,536.8,1564.6,1097.6,40.6,1754.6,5000.0,1246.6,3753.4
25,9.4,433.6,1509.4,1071.0,46.8,1929.8,5000.0,1246.6,3753.4
26,12.0,359.6,1444.0,1035.0,52.0,2097.4,5000.0,1246.6,3753.4
27,13.4,295.0,1371.4,982.8,56.6,2280.8,5000.0,1246.6,3753.4
28,14.8,249.2,1298.2,934.4,61.4,2442.0,5000.0,1246.6,3753.4
29,18.4,215.0,1222.2,885.8,64.4,2594.2,5000.0,1246.6,3753.4
30,17.8,190.4,1146.4,840.6,70.2,2734.6,5000.0,1246.6,3753.4
31,18.8,170.0,1072.2,793.6,76.2,2869.2,5000.0,1246.6,3753.4
32,19.2,159.0,991.6,737.6,80.6,3012.0,5000.0,1246.6,3753.4
33,22.2,147.6,925.6,692.8,84.6,3127.2,5000.0,1246.6,3753.4
34,20.8,140.0,866.6,648.6,91.2,3232.8,5000.0,1246.6,3753.4
35,24.6,125.8,812.8,610.8,93.4,3332.6,5000.0,1246.6,3753.4
36,24.2,114.8,759.4,581.2,95.4,3425.0,5000.0,1246.6,3753.4
37,29.2,108.2,702.4,545.8,96.6,3517.8,5000.0,1246.6,3753.4
38,33.0,101.6,656.4,512.4,96.8,3599.8,5000.0,1246.6,3753.4
39,35.2,95.6,612.6,483.8,96.6,3676.2,5000.0,1246.6,3753.4
40,38.4,91.2,560.6,456.8,112.6,3740.4,5000.0,1246.6,3753.4
41,39.8,92.6,508.0,426.4,127.2,3806.0,5000.0,1246.6,3753.4
42,47.6,91.8,460.0,406.0,144.0,3850.6,5000.0,1246.6,3753.4
43,58.2,87.2,415.4,385.0,156.2,3898.0,5000.0,1246.6,3753.4
44,67.8,84.8,372.4,363.6,166.4,3945.0,5000.0,1246.6,3753.4
45,69.6,87.4,336.6,344.0,181.4,3981.0,5000.0,1246.6,3753.4
46,67.8,88.8,301.4,328.8,192.0,4021.2,5000.0,1246.6,3753.4
47,75.4,88.8,266.2,313.4,202.8,4053.4,5000.0,1246.6,3753.4
48,78.0,88.0,239.4,294.4,211.4,4088.8,5000.0,1246.6,3753.4
49,81.0,89.0,209.4,278.0,215.4,4127.2,5000.0,1246.6,3753.4
50,93.0,90.4,180.0,260.0,222.4,4154.2,5000.0,1246.6,3753.4
51,101.2,86.4,155.2,246.6,230.0,4180.6,5000.0,1246.6,3753.4
52,102.8,86.4,132.0,239.8,237.0,4202.0,5000.0,1246.6,3753.4
53,108.2,84.8,114.8,228.0,243.0,4221.2,5000.0,1246.6,3753.4
54,114.8,83.4,96.8,219.2,246.0,4239.8,5000.0,1246.6,3753.4
