Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4973.2,16.8,9.2,0.0,0.0,0.8,5000.0,1270.4,3729.6
1,4955.6,30.8,10.4,1.0,0.0,2.2,5000.0,1270.4,3729.6
2,4934.4,47.0,13.4,2.2,0.0,3.0,5000.0,1270.4,3729.6
3,4904.0,71.2,17.4,4.0,0.0,3.4,5000.0,1270.4,3729.6
4,4864.6,98.2,23.6,8.4,0.0,5.2,5000.0,1270.4,3729.6
5,4801.2,142.6,32.6,16.4,0.0,7.2,5000.0,1270.4,3729.6
6,4711.6,205.2,46.4,26.6,0.0,10.2,5000.0,1270.4,3729.6
7,4589.6,284.6,70.0,40.6,0.0,15.2,5000.0,1270.4,3729.6
8,4399.6,416.0,102.4,59.4,0.0,22.6,5000.0,1270.4,3729.6
9,4142.0,590.8,142.8,88.6,0.0,35.8,5000.0,1270.4,3729.6
10,3790.4,818.2,209.2,132.8,0.0,49.4,5000.0,1270.4,3729.6
11,3344.6,1099.2,292.4,190.8,0.0,73.0,5000.0,1270.4,3729.6
12,2795.6,1423.2,410.6,264.8,0.0,105.8,5000.0,1270.4,3729.6
13,2176.2,1758.8,553.8,362.8,0.0,148.4,5000.0,1270.4,3729.6
14,1555.8,2033.6,721.2,471.6,0.0,217.8,5000.0,1270.4,3729.6
15,1017.2,2152.2,924.8,607.4,0.0,298.4,5000.0,1270.4,3729.6
16,596.2,2147.6,1118.2,728.2,0.0,409.8,5000.0,1270.4,3729.6
17,315.2,2003.4,1294.2,843.0,0.0,544.2,5000.0,1270.4,3729.6
18,152.0,1776.8,1437.4,946.8,0.0,687.0,5000.0,1270.4,3729.6
19,65.4,1508.6,1551.6,1017.8,0.0,856.6,5000.0,1270.4,3729.6
20,25.4,1261.4,1605.8,1067.8,9.6,1030.0,5000.0,1270.4,3729.6
21,8.6,1033.2,1630.6,1086.8,17.6,1223.2,5000.0,1270.4,3729.6
22,6.8,834.8,1638.6,1094.4,24.2,1401.2,5000.0,1270.4,3729.6
23,9.0,670.8,1616.8,1083.4,31.8,1588.2,5000.0,1270.4,3729.6
24,9.0,545.8,1574.0,1054.8,39.4,1777.0,5000.0,1270.4,3729.6
25,9.4,443.8,1510.8,1030.6,45.4,1960.0,5000.0,1270.4,3729.6
26,10.0,365.6,1445.4,998.6,51.4,2129.0,5000.0,1270.4,3729.6
27,13.6,308.6,1376.0,955.2,58.4,2288.2,5000.0,1270.4,3729.6
28,17.4,261.6,1301.6,918.8,62.8,2437.8,5000.0,1270.4,3729.6
29,15.0,220.4,1232.0,879.4,68.6,2584.6,5000.0,1270.4,3729.6
30,11.0,192.4,1163.8,838.8,73.0,2721.0,5000.0,1270.4,3729.6
31,16.8,158.6,1098.8,794.0,77.6,2854.2,5000.0,1270.4,3729.6
32,17.4,143.2,1023.0,751.0,79.2,2986.2,5000.0,1270.4,3729.6
33,19.4,124.4,958.6,707.2,82.2,3108.2,5000.0,1270.4,3729.6
34,25.4,117.0,895.8,664.6,86.4,3210.8,5000.0,1270.4,3729.6
35,28.0,111.4,831.8,627.6,89.0,3312.2,5000.0,1270.4,3729.6
36,28.2,105.8,775.8,596.0,94.2,3400.0,5000.0,1270.4,3729.6
37,30.4,105.6,720.0,561.4,98.2,3484.4,5000.0,1270.4,3729.6
38,32.4,101.4,673.2,533.2,101.4,3558.4,5000.0,1270.4,3729.6
39,30.4,100.8,624.2,502.4,101.8,3640.4,5000.0,1270.4,3729.6
40,31.8,100.2,570.4,474.8,118.6,3704.2,5000.0,1270.4,3729.6
41,38.6,93.0,519.4,450.6,134.0,3764.4,5000.0,1270.4,3729.6
42,45.8,92.6,473.0,428.6,149.4,3810.6,5000.0,1270.4,3729.6
43,50.8,97.8,423.6,400.2,161.8,3865.8,5000.0,1270.4,3729.6
44,49.6,99.8,378.4,375.0,174.0,3923.2,5000.0,1270.4,3729.6
45,56.2,95.8,339.4,360.8,186.4,3961.4,5000.0,1270.4,3729.6
46,60.4,90.0,302.8,344.2,197.2,4005.4,5000.0,1270.4,3729.6
47,69.8,89.6,269.6,327.6,209.0,4034.4,5000.0,1270.4,3729.6
48,73.2,89.8,238.4,313.8,218.0,4066.8,5000.0,1270.4,3729.6
49,74.0,87.8,211.6,297.6,226.8,4102.2,5000.0,1270.4,3729.6
50,76.4,89.2,184.2,280.2,234.0,4136.0,5000.0,1270.4,3729.6
51,92.2,84.6,163.4,267.6,242.0,4150.2,5000.0,1270.4,3729.6
52,100.6,78.2,146.2,253.4,249.0,4172.6,5000.0,1270.4,3729.6
53,107.0,78.2,125.8,242.6,249.6,4196.8,5000.0,1270.4,3729.6
54,118.0,72.8,110.0,230.4,252.6,4216.2,5000.0,1270.4,3729.6
55,128.6,76.4,91.6,218.8,255.6,4229.0,5000.0,1270.4,3729.6
56,141.8,71.8,80.8,203.6,255.8,4246.2,5000.0,1270.4,3729.6
57,153.2,74.2,63.4,193.2,254.8,4261.2,5000.0,1270.4,3729.6
58,168.0,71.4,54.0,186.0,255.2,4265.4,5000.0,1270.4,3729.6
59,179.2,68.2,44.2,176.6,256.8,4275.0,5000.0,1270.4,3729.6
60,189.0,64.8,28.4,164.2,265.4,4288.2,5000.0,1270.4,3729.6
61,199.2,63.6,17.6,157.2,267.0,4295.4,5000.0,1270.4,3729.6
62,209.8,61.4,9.8,146.2,268.8,4304.0,5000.0,1270.4,3729.6
63,225.8,57.0,7.0,135.6,265.4,4309.2,5000.0,1270.4,3729.6
64,239.4,53.6,5.6,125.0,261.6,4314.8,5000.0,1270.4,3729.6
65,250.4,54.4,4.8,118.8,255.6,4316.0,5000.0,1270.4,3729.6
66,264.0,53.2,5.0,111.6,247.8,4318.4,5000.0,1270.4,3729.6
67,278.4,52.0,4.6,107.0,234.6,4323.4,5000.0,1270.4,3729.6
68,293.6,49.2,5.2,102.6,227.6,4321.8,5000.0,1270.4,3729.6
69,308.4,50.0,5.2,98.2,219.8,4318.4,5000.0,1270.4,3729.6
70,318.0,48.4,5.0,93.0,212.0,4323.6,5000.0,1270.4,3729.6
71,333.2,45.2,4.8,89.0,205.8,4322.0,5000.0,1270.4,3729.6
72,348.8,45.2,4.6,84.2,198.2,4319.0,5000.0,1270.4,3729.6
73,365.0,43.8,5.0,80.4,192.2,4313.6,5000.0,1270.4,3729.6
74,382.6,43.2,4.8,73.0,185.6,4310.8,5000.0,1270.4,3729.6
75,401.8,38.0,5.0,70.4,178.4,4306.4,5000.0,1270.4,3729.6
76,414.2,37.2,4.4,68.0,171.4,4304.8,5000.0,1270.4,3729.6
77,429.8,37.0,4.2,63.8,166.6,4298.6,5000.0,1270.4,3729.6
78,447.2,35.4,4.2,61.6,164.2,4287.4,5000.0,1270.4,3729.6
79,465.2,35.4,2.6,59.2,158.6,4279.0,5000.0,1270.4,3729.6
80,481.2,34.6,4.6,55.8,153.6,4270.2,5000.0,1270.4,3729.6
81,499.2,34.4,4.4,52.4,148.4,4261.2,5000.0,1270.4,3729.6
82,516.4,31.6,3.6,49.8,145.2,4253.4,5000.0,1270.4,3729.6
83,529.8,32.2,2.8,49.2,138.6,4247.4,5000.0,1270.4,3729.6
84,543.6,34.0,4.2,46.2,133.2,4238.8,5000.0,1270.4,3729.6
85,555.4,33.2,5.4,44.6,126.4,4235.0,5000.0,1270.4,3729.6
86,571.6,32.0,4.0,43.4,125.2,4223.8,5000.0,1270.4,3729.6
87,586.8,31.0,3.0,40.6,124.4,4214.2,5000.0,1270.4,3729.6
88,604.0,29.0,3.6,38.8,118.4,4206.2,5000.0,1270.4,3729.6
89,621.4,26.0,4.2,36.8,114.8,4196.8,5000.0,1270.4,3729.6
90,639.6,25.6,3.0,36.0,111.8,4184.0,5000.0,1270.4,3729.6
91,655.0,25.6,3.6,34.2,105.6,4176.0,5000.0,1270.4,3729.6
92,674.4,25.8,2.8,32.6,104.0,4160.4,5000.0,1270.4,3729.6
93,693.4,27.4,2.8,30.2,100.8,4145.4,5000.0,1270.4,3729.6
94,710.6,28.6,2.4,28.4,97.8,4132.2,5000.0,1270.4,3729.6
95,731.2,26.6,2.4,28.8,94.6,4116.4,5000.0,1270.4,3729.6
96,744.2,26.6,3.6,26.8,91.6,4107.2,5000.0,1270.4,3729.6
97,764.0,26.6,3.4,26.2,89.8,4090.0,5000.0,1270.4,3729.6
98,782.2,25.6,3.2,25.4,85.6,4078.0,5000.0,1270.4,3729.6
99,799.2,25.0,2.6,24.6,85.4,4063.2,5000.0,1270.4,3729.6
100,818.8,24.8,3.6,23.8,81.6,4047.4,5000.0,1270.4,3729.6
101,837.2,26.4,1.6,23.8,80.2,4030.8,5000.0,1270.4,3729.6
102,853.6,26.0,3.6,24.2,77.8,4014.8,5000.0,1270.4,3729.6
103,873.0,26.2,3.4,24.6,77.8,3995.0,5000.0,1270.4,3729.6
104,889.6,27.8,2.0,24.4,76.4,3979.8,5000.0,1270.4,3729.6
105,898.8,28.8,2.0,23.0,76.8,3970.6,5000.0,1270.4,3729.6
106,912.6,30.6,2.6,23.8,73.4,3957.0,5000.0,1270.4,3729.6
107,932.4,29.6,3.6,23.8,73.2,3937.4,5000.0,1270.4,3729.6
108,947.8,28.8,3.8,23.8,71.6,3924.2,5000.0,1270.4,3729.6
109,960.8,27.8,4.2,23.6,70.0,3913.6,5000.0,1270.4,3729.6
110,978.0,27.2,3.8,22.8,71.0,3897.2,5000.0,1270.4,3729.6
111,992.6,28.4,3.4,23.6,69.6,3882.4,5000.0,1270.4,3729.6
112,1007.2,29.6,3.6,22.4,69.8,3867.4,5000.0,1270.4,3729.6
113,1023.0,26.2,5.2,22.8,69.8,3853.0,5000.0,1270.4,3729.6
114,1038.0,27.2,3.2,23.0,70.8,3837.8,5000.0,1270.4,3729.6
115,1047.2,27.8,2.8,23.4,71.0,3827.8,5000.0,1270.4,3729.6
116,1059.0,28.6,4.8,24.0,68.2,3815.4,5000.0,1270.4,3729.6
117,1070.2,31.4,2.4,22.2,70.8,3803.0,5000.0,1270.4,3729.6
118,1082.2,34.8,2.2,21.6,69.6,3789.6,5000.0,1270.4,3729.6
119,1095.0,34.0,3.8,22.8,67.2,3777.2,5000.0,1270.4,3729.6
120,1109.8,32.4,2.8,23.4,66.6,3765.0,5000.0,1270.4,3729.6
121,1120.2,33.4,3.4,24.0,66.6,3752.4,5000.0,1270.4,3729.6
122,1132.2,34.6,2.6,25.4,65.0,3740.2,5000.0,1270.4,3729.6
123,1141.4,36.2,3.6,26.4,63.6,3728.8,5000.0,1270.4,3729.6
124,1153.8,38.8,3.2,25.0,65.8,3713.4,5000.0,1270.4,3729.6
125,1163.6,39.0,4.6,25.2,65.6,3702.0,5000.0,1270.4,3729.6
126,1181.8,37.4,3.4,24.6,69.0,3683.8,5000.0,1270.4,3729.6
127,1193.8,37.0,4.8,25.2,67.6,3671.6,5000.0,1270.4,3729.6
128,1206.6,38.2,3.0,25.2,70.0,3657.0,5000.0,1270.4,3729.6
129,1216.2,38.4,4.4,26.6,68.8,3645.6,5000.0,1270.4,3729.6
130,1226.2,40.6,5.0,25.0,69.8,3633.4,5000.0,1270.4,3729.6
131,1240.8,38.4,4.2,27.0,69.0,3620.6,5000.0,1270.4,3729.6
132,1250.8,38.4,7.0,26.4,69.8,3607.6,5000.0,1270.4,3729.6
133,1259.4,38.2,5.4,25.8,73.6,3597.6,5000.0,1270.4,3729.6
134,1269.2,39.4,2.8,24.6,76.0,3588.0,5000.0,1270.4,3729.6
135,1277.8,40.2,3.8,26.2,73.4,3578.6,5000.0,1270.4,3729.6
136,1289.6,40.4,3.6,27.4,72.2,3566.8,5000.0,1270.4,3729.6
137,1299.8,41.8,4.6,26.6,73.0,3554.2,5000.0,1270.4,3729.6
138,1311.4,40.8,5.0,25.0,74.8,3543.0,5000.0,1270.4,3729.6
139,1320.4,43.6,4.2,24.8,75.8,3531.2,5000.0,1270.4,3729.6
140,1330.8,42.6,4.6,27.2,76.6,3518.2,5000.0,1270.4,3729.6
141,1340.2,43.2,4.8,28.2,77.6,3506.0,5000.0,1270.4,3729.6
142,1349.0,43.8,5.0,30.6,78.0,3493.6,5000.0,1270.4,3729.6
143,1357.0,44.0,7.0,31.2,80.6,3480.2,5000.0,1270.4,3729.6
144,1364.0,43.2,6.0,31.4,83.6,3471.8,5000.0,1270.4,3729.6
145,1373.2,47.2,2.8,30.4,83.8,3462.6,5000.0,1270.4,3729.6
146,1379.6,50.4,5.4,31.8,79.8,3453.0,5000.0,1270.4,3729.6
147,1384.8,50.6,5.6,33.0,79.6,3446.4,5000.0,1270.4,3729.6
148,1392.2,50.4,7.4,33.8,80.4,3435.8,5000.0,1270.4,3729.6
