Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4972.4,17.6,9.0,0.0,0.0,1.0,5000.0,1252.2,3747.8
1,4959.2,25.4,12.6,1.6,0.0,1.2,5000.0,1252.2,3747.8
2,4928.8,50.0,14.6,4.2,0.0,2.4,5000.0,1252.2,3747.8
3,4890.8,79.0,19.2,7.4,0.0,3.6,5000.0,1252.2,3747.8
4,4843.2,115.0,25.0,10.8,0.0,6.0,5000.0,1252.2,3747.8
5,4780.2,153.2,37.6,20.0,0.0,9.0,5000.0,1252.2,3747.8
6,4673.4,228.8,55.6,28.4,0.0,13.8,5000.0,1252.2,3747.8
7,4513.8,343.4,80.4,41.2,0.0,21.2,5000.0,1252.2,3747.8
8,4313.2,474.2,118.8,63.2,0.0,30.6,5000.0,1252.2,3747.8
9,4035.6,656.0,170.8,93.2,0.0,44.4,5000.0,1252.2,3747.8
10,3660.4,896.2,235.4,144.0,0.0,64.0,5000.0,1252.2,3747.8
11,3184.2,1190.6,329.2,207.6,0.0,88.4,5000.0,1252.2,3747.8
12,2638.6,1494.8,455.0,286.4,0.0,125.2,5000.0,1252.2,3747.8
13,2035.4,1805.8,605.4,380.4,0.0,173.0,5000.0,1252.2,3747.8
14,1447.6,2038.0,778.2,491.0,0.0,245.2,5000.0,1252.2,3747.8
15,940.0,2140.8,966.8,622.2,0.0,330.2,5000.0,1252.2,3747.8
16,558.6,2110.8,1150.2,742.2,0.0,438.2,5000.0,1252.2,3747.8
17,300.2,1939.8,1332.2,854.6,0.0,573.2,5000.0,1252.2,3747.8
18,143.2,1717.6,1469.6,949.0,0.0,720.6,5000.0,1252.2,3747.8
19,64.0,1455.4,1571.2,1024.8,0.0,884.6,5000.0,1252.2,3747.8
20,22.6,1211.0,1628.8,1067.4,9.6,1060.6,5000.0,1252.2,3747.8
21,8.6,979.0,1650.0,1094.4,17.8,1250.2,5000.0,1252.2,3747.8
22,10.2,784.6,1645.0,1095.0,25.6,1439.6,5000.0,1252.2,3747.8
23,7.0,642.0,1613.0,1077.6,33.2,1627.2,5000.0,1252.2,3747.8
24,8.0,526.4,1556.4,1055.8,38.8,1814.6,5000.0,1252.2,3747.8
25,10.6,432.8,1497.4,1029.4,45.2,1984.6,5000.0,1252.2,3747.8
26,11.2,348.8,1435.4,992.8,52.4,2159.4,5000.0,1252.2,3747.8
27,11.8,286.8,1373.8,955.6,57.6,2314.4,5000.0,1252.2,3747.8
28,13.8,236.6,1297.8,909.6,63.2,2479.0,5000.0,1252.2,3747.8
29,14.6,199.6,1225.8,860.6,66.8,2632.6,5000.0,1252.2,3747.8
30,20.6,171.4,1157.0,814.2,71.8,2765.0,5000.0,1252.2,3747.8
