Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4971.4,18.6,9.4,0.0,0.0,0.6,5000.0,1236.0,3764.0
1,4952.8,34.0,10.2,1.2,0.0,1.8,5000.0,1236.0,3764.0
2,4936.6,44.0,13.8,3.2,0.0,2.4,5000.0,1236.0,3764.0
3,4906.0,66.0,17.4,6.6,0.0,4.0,5000.0,1236.0,3764.0
4,4865.8,92.0,25.4,11.4,0.0,5.4,5000.0,1236.0,3764.0
5,4804.4,139.0,31.6,16.8,0.0,8.2,5000.0,1236.0,3764.0
6,4721.0,192.4,50.8,25.6,0.0,10.2,5000.0,1236.0,3764.0
7,4584.4,295.2,68.6,37.2,0.0,14.6,5000.0,1236.0,3764.0
8,4402.8,419.2,101.8,54.6,0.0,21.6,5000.0,1236.0,3764.0
9,4155.6,586.2,143.2,83.2,0.0,31.8,5000.0,1236.0,3764.0
10,3832.8,789.0,206.4,125.6,0.0,46.2,5000.0,1236.0,3764.0
11,3406.8,1055.8,290.0,177.8,0.0,69.6,5000.0,1236.0,3764.0
12,2867.4,1386.0,398.0,248.6,0.0,100.0,5000.0,1236.0,3764.0
13,2261.4,1720.0,538.2,336.0,0.0,144.4,5000.0,1236.0,3764.0
14,1671.4,1966.6,706.6,446.6,0.0,208.8,5000.0,1236.0,3764.0
15,1130.6,2108.6,904.8,564.6,0.0,291.4,5000.0,1236.0,3764.0
16,675.6,2144.8,1091.0,699.4,0.0,389.2,5000.0,1236.0,3764.0
17,362.4,2030.6,1269.8,814.6,0.0,522.6,5000.0,1236.0,3764.0
18,176.8,1813.0,1425.6,914.4,0.0,670.2,5000.0,1236.0,3764.0
19,74.6,1551.8,1545.0,994.6,0.0,834.0,5000.0,1236.0,3764.0
20,29.6,1292.4,1614.6,1048.6,9.8,1005.0,5000.0,1236.0,3764.0
21,11.8,1055.0,1653.4,1074.2,18.0,1187.6,5000.0,1236.0,3764.0
22,8.0,841.4,1664.0,1085.6,26.4,1374.6,5000.0,1236.0,3764.0
23,9.2,682.8,1631.6,1078.8,32.8,1564.8,5000.0,1236.0,3764.0
24,6.8,548.6,1591.0,1053.4,40.0,1760.2,5000.0,1236.0,3764.0
25,9.0,446.6,1533.4,1020.6,46.6,1943.8,5000.0,1236.0,3764.0
26,13.2,369.0,1469.0,977.0,53.0,2118.8,5000.0,1236.0,3764.0
27,13.6,309.0,1396.8,929.6,59.0,2292.0,5000.0,1236.0,3764.0
28,15.4,258.4,1323.6,890.0,64.8,2447.8,5000.0,1236.0,3764.0
29,15.6,222.8,1252.8,848.8,69.0,2591.0,5000.0,1236.0,3764.0
30,17.2,192.4,1182.4,806.6,74.6,2726.8,5000.0,1236.0,3764.0
31,18.0,165.6,1115.4,768.6,79.8,2852.6,5000.0,1236.0,3764.0
32,20.0,144.6,1048.0,725.6,83.4,2978.4,5000.0,1236.0,3764.0
33,19.0,130.6,984.2,686.8,86.0,3093.4,5000.0,1236.0,3764.0
34,20.2,119.2,921.6,651.6,90.8,3196.6,5000.0,1236.0,3764.0
