Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4973.4,16.6,9.2,0.0,0.0,0.8,5000.0,1249.2,3750.8
1,4955.4,31.2,10.0,1.6,0.0,1.8,5000.0,1249.2,3750.8
2,4933.8,44.6,14.0,5.0,0.0,2.6,5000.0,1249.2,3750.8
3,4902.0,67.0,17.8,8.6,0.0,4.6,5000.0,1249.2,3750.8
4,4855.6,102.4,22.8,13.8,0.0,5.4,5000.0,1249.2,3750.8
5,4785.0,152.0,34.6,19.8,0.0,8.6,5000.0,1249.2,3750.8
6,4684.0,222.6,49.4,30.2,0.0,13.8,5000.0,1249.2,3750.8
7,4540.6,322.6,71.6,45.2,0.0,20.0,5000.0,1249.2,3750.8
8,4341.4,461.4,102.6,68.2,0.0,26.4,5000.0,1249.2,3750.8
9,4078.0,634.2,149.0,99.4,0.0,39.4,5000.0,1249.2,3750.8
10,3706.4,876.4,220.2,140.6,0.0,56.4,5000.0,1249.2,3750.8
11,3242.6,1152.2,320.4,207.8,0.0,77.0,5000.0,1249.2,3750.8
12,2666.0,1493.8,440.2,288.0,0.0,112.0,5000.0,1249.2,3750.8
13,2048.0,1807.0,585.4,395.0,0.0,164.6,5000.0,1249.2,3750.8
14,1450.4,2050.8,756.2,513.2,0.0,229.4,5000.0,1249.2,3750.8
15,935.2,2166.4,943.0,639.6,0.0,315.8,5000.0,1249.2,3750.8
16,548.6,2119.2,1132.4,765.6,0.0,434.2,5000.0,1249.2,3750.8
17,292.4,1953.6,1299.0,885.8,0.0,569.2,5000.0,1249.2,3750.8
18,140.4,1725.8,1430.8,981.8,0.0,721.2,5000.0,1249.2,3750.8
19,55.2,1475.8,1522.0,1048.4,0.0,898.6,5000.0,1249.2,3750.8
20,23.0,1216.0,1580.8,1094.4,9.6,1076.2,5000.0,1249.2,3750.8
21,8.4,997.8,1600.0,1112.2,18.0,1263.6,5000.0,1249.2,3750.8
22,8.0,801.2,1603.4,1112.8,26.6,1448.0,5000.0,1249.2,3750.8
23,10.2,644.2,1572.2,1097.4,33.0,1643.0,5000.0,1249.2,3750.8
24,9.8,525.2,1529.4,1063.6,40.4,1831.6,5000.0,1249.2,3750.8
25,12.2,426.4,1475.8,1034.8,47.0,2003.8,5000.0,1249.2,3750.8
26,11.4,356.2,1412.8,1003.4,51.4,2164.8,5000.0,1249.2,3750.8
27,11.6,295.6,1332.4,965.2,58.4,2336.8,5000.0,1249.2,3750.8
28,16.0,251.8,1259.2,911.8,63.6,2497.6,5000.0,1249.2,3750.8
29,15.4,217.8,1186.6,862.8,68.6,2648.8,5000.0,1249.2,3750.8
