Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4968.6,21.4,9.4,0.0,0.0,0.6,5000.0,1242.4,3757.6
1,4949.6,36.0,11.6,1.4,0.0,1.4,5000.0,1242.4,3757.6
2,4926.4,51.0,15.0,4.2,0.0,3.4,5000.0,1242.4,3757.6
3,4886.2,81.0,20.0,8.4,0.0,4.4,5000.0,1242.4,3757.6
4,4835.2,115.0,28.2,15.6,0.0,6.0,5000.0,1242.4,3757.6
5,4752.0,175.8,39.0,24.2,0.0,9.0,5000.0,1242.4,3757.6
6,4628.2,265.8,55.0,37.6,0.0,13.4,5000.0,1242.4,3757.6
7,4479.2,361.4,85.4,56.4,0.0,17.6,5000.0,1242.4,3757.6
8,4264.6,502.6,126.0,82.0,0.0,24.8,5000.0,1242.4,3757.6
9,3947.8,717.8,177.2,119.6,0.0,37.6,5000.0,1242.4,3757.6
10,3528.8,1008.2,238.8,162.4,0.0,61.8,5000.0,1242.4,3757.6
11,3062.4,1276.2,343.4,228.2,0.0,89.8,5000.0,1242.4,3757.6
12,2493.8,1590.2,469.0,312.4,0.0,134.6,5000.0,1242.4,3757.6
13,1883.4,1880.2,629.0,420.4,0.0,187.0,5000.0,1242.4,3757.6
14,1299.2,2094.4,806.8,539.4,0.0,260.2,5000.0,1242.4,3757.6
15,825.6,2158.0,990.0,669.0,0.0,357.4,5000.0,1242.4,3757.6
16,466.6,2074.4,1188.6,803.2,0.0,467.2,5000.0,1242.4,3757.6
17,226.8,1903.0,1353.2,922.8,0.0,594.2,5000.0,1242.4,3757.6
18,98.8,1648.0,1487.8,1009.0,0.0,756.4,5000.0,1242.4,3757.6
19,38.4,1385.6,1592.4,1062.4,0.0,921.2,5000.0,1242.4,3757.6
20,14.2,1138.0,1638.8,1096.8,9.4,1102.8,5000.0,1242.4,3757.6
21,6.8,917.4,1654.0,1110.4,18.0,1293.4,5000.0,1242.4,3757.6
22,9.0,736.0,1645.0,1105.4,26.2,1478.4,5000.0,1242.4,3757.6
23,7.6,597.4,1610.8,1085.4,34.4,1664.4,5000.0,1242.4,3757.6
24,9.4,482.8,1550.6,1061.2,42.0,1854.0,5000.0,1242.4,3757.6
25,10.6,391.0,1486.0,1023.2,47.6,2041.6,5000.0,1242.4,3757.6
26,11.4,321.8,1424.8,979.0,53.6,2209.4,5000.0,1242.4,3757.6
27,13.0,269.6,1356.4,933.8,57.0,2370.2,5000.0,1242.4,3757.6
28,12.8,229.6,1285.2,894.6,63.6,2514.2,5000.0,1242.4,3757.6
29,14.0,190.6,1214.8,848.8,66.2,2665.6,5000.0,1242.4,3757.6
30,17.4,165.0,1137.2,801.0,71.2,2808.2,5000.0,1242.4,3757.6
31,19.8,147.2,1062.4,752.6,75.4,2942.6,5000.0,1242.4,3757.6
32,22.4,133.8,997.4,707.4,80.0,3059.0,5000.0,1242.4,3757.6
33,16.6,127.4,931.2,672.2,83.4,3169.2,5000.0,1242.4,3757.6
34,19.6,115.0,873.0,637.0,89.4,3266.0,5000.0,1242.4,3757.6
35,23.2,105.2,817.8,599.2,94.8,3359.8,5000.0,1242.4,3757.6
36,24.8,102.2,763.2,560.6,97.2,3452.0,5000.0,1242.4,3757.6
37,26.0,96.2,708.8,533.4,101.2,3534.4,5000.0,1242.4,3757.6
38,31.0,92.6,661.6,508.6,103.2,3603.0,5000.0,1242.4,3757.6
39,31.2,87.8,621.2,483.2,103.2,3673.4,5000.0,1242.4,3757.6
40,36.2,90.4,565.0,454.8,119.8,3733.8,5000.0,1242.4,3757.6
41,34.4,93.4,509.4,426.2,135.0,3801.6,5000.0,1242.4,3757.6
42,38.8,90.6,464.8,407.0,148.8,3850.0,5000.0,1242.4,3757.6
43,42.2,90.4,416.8,385.2,161.0,3904.4,5000.0,1242.4,3757.6
44,47.8,88.0,376.4,359.4,171.6,3956.8,5000.0,1242.4,3757.6
45,56.8,86.4,334.6,341.4,183.4,3997.4,5000.0,1242.4,3757.6
46,59.6,89.8,297.2,322.8,194.2,4036.4,5000.0,1242.4,3757.6
47,64.4,88.8,261.4,305.6,203.2,4076.6,5000.0,1242.4,3757.6
48,71.8,82.6,233.4,294.2,209.2,4108.8,5000.0,1242.4,3757.6
49,83.6,81.4,201.0,279.0,218.2,4136.8,5000.0,1242.4,3757.6
50,89.6,80.8,175.6,265.6,224.8,4163.6,5000.0,1242.4,3757.6
51,98.8,77.4,153.0,253.4,230.6,4186.8,5000.0,1242.4,3757.6
52,104.8,80.8,134.2,239.8,236.4,4204.0,5000.0,1242.4,3757.6
53,114.0,75.6,116.4,229.4,239.4,4225.2,5000.0,1242.4,3757.6
54,120.8,79.6,98.8,217.6,241.6,4241.6,5000.0,1242.4,3757.6
55,129.8,76.8,84.0,209.4,242.2,4257.8,5000.0,1242.4,3757.6
56,140.8,74.4,68.6,200.2,242.6,4273.4,5000.0,1242.4,3757.6
57,149.0,73.2,59.0,187.6,244.0,4287.2,5000.0,1242.4,3757.6
58,159.4,70.6,49.0,178.4,247.2,4295.4,5000.0,1242.4,3757.6
59,174.6,65.4,38.4,173.4,245.8,4302.4,5000.0,1242.4,3757.6
60,184.0,65.6,25.4,158.2,251.8,4315.0,5000.0,1242.4,3757.6
61,194.8,57.8,20.8,146.2,252.4,4328.0,5000.0,1242.4,3757.6
62,208.4,58.0,13.6,138.6,249.6,4331.8,5000.0,1242.4,3757.6
63,220.2,57.8,7.4,128.2,246.2,4340.2,5000.0,1242.4,3757.6
64,230.0,57.4,6.2,120.6,242.8,4343.0,5000.0,1242.4,3757.6
65,249.2,51.8,6.4,110.4,237.6,4344.6,5000.0,1242.4,3757.6
66,265.4,47.2,7.0,102.6,232.8,4345.0,5000.0,1242.4,3757.6
67,283.4,45.6,5.0,94.2,225.4,4346.4,5000.0,1242.4,3757.6
68,298.4,42.2,5.8,87.8,217.2,4348.6,5000.0,1242.4,3757.6
69,316.8,41.8,5.6,84.0,209.6,4342.2,5000.0,1242.4,3757.6
70,335.4,40.4,6.0,78.8,203.0,4336.4,5000.0,1242.4,3757.6
71,351.8,37.2,4.8,73.2,197.8,4335.2,5000.0,1242.4,3757.6
72,373.2,36.2,3.6,70.8,190.4,4325.8,5000.0,1242.4,3757.6
73,388.4,35.0,4.2,66.2,182.2,4324.0,5000.0,1242.4,3757.6
74,403.2,33.2,3.8,64.2,175.2,4320.4,5000.0,1242.4,3757.6
75,416.2,35.8,3.2,60.6,168.0,4316.2,5000.0,1242.4,3757.6
76,432.0,36.0,4.2,57.0,162.0,4308.8,5000.0,1242.4,3757.6
77,453.4,35.0,5.0,53.4,155.8,4297.4,5000.0,1242.4,3757.6
78,472.2,30.8,4.4,50.6,150.2,4291.8,5000.0,1242.4,3757.6
79,487.0,30.4,4.2,49.2,147.6,4281.6,5000.0,1242.4,3757.6
80,503.6,29.8,4.4,47.8,141.8,4272.6,5000.0,1242.4,3757.6
81,522.6,28.2,2.6,46.2,136.6,4263.8,5000.0,1242.4,3757.6
82,542.0,28.2,3.0,45.6,131.2,4250.0,5000.0,1242.4,3757.6
83,558.8,28.2,3.6,44.4,129.2,4235.8,5000.0,1242.4,3757.6
84,576.6,27.8,4.0,42.0,123.8,4225.8,5000.0,1242.4,3757.6
85,593.8,26.2,3.6,37.4,120.2,4218.8,5000.0,1242.4,3757.6
86,609.6,26.6,3.2,35.6,113.8,4211.2,5000.0,1242.4,3757.6
87,627.4,24.4,5.2,32.0,109.6,4201.4,5000.0,1242.4,3757.6
88,643.4,25.2,2.0,31.8,109.0,4188.6,5000.0,1242.4,3757.6
89,662.6,24.0,2.6,31.8,102.0,4177.0,5000.0,1242.4,3757.6
90,679.0,24.4,2.6,30.0,97.4,4166.6,5000.0,1242.4,3757.6
91,699.2,24.4,2.6,28.4,94.0,4151.4,5000.0,1242.4,3757.6
92,718.0,25.0,2.0,27.0,89.2,4138.8,5000.0,1242.4,3757.6
93,733.8,24.6,3.2,26.4,86.2,4125.8,5000.0,1242.4,3757.6
94,750.8,23.4,2.6,26.2,85.8,4111.2,5000.0,1242.4,3757.6
95,765.2,23.0,2.2,26.8,83.2,4099.6,5000.0,1242.4,3757.6
96,784.6,21.6,2.2,25.6,81.0,4085.0,5000.0,1242.4,3757.6
97,802.0,22.8,2.6,25.6,77.8,4069.2,5000.0,1242.4,3757.6
98,820.6,21.6,3.0,25.6,75.4,4053.8,5000.0,1242.4,3757.6
99,841.8,20.2,2.6,25.6,73.6,4036.2,5000.0,1242.4,3757.6
100,857.0,21.8,3.4,25.8,71.2,4020.8,5000.0,1242.4,3757.6
101,873.4,23.0,3.0,24.6,72.6,4003.4,5000.0,1242.4,3757.6
102,892.2,22.8,2.2,25.2,71.4,3986.2,5000.0,1242.4,3757.6
103,904.0,24.4,3.2,24.8,68.6,3975.0,5000.0,1242.4,3757.6
104,920.2,24.0,3.2,24.0,67.4,3961.2,5000.0,1242.4,3757.6
105,936.8,23.6,3.0,24.2,66.6,3945.8,5000.0,1242.4,3757.6
106,954.6,23.8,3.4,24.2,65.0,3929.0,5000.0,1242.4,3757.6
107,971.2,25.4,2.0,23.6,65.2,3912.6,5000.0,1242.4,3757.6
108,986.8,26.4,2.8,24.2,62.0,3897.8,5000.0,1242.4,3757.6
109,1001.4,28.6,2.4,21.8,63.2,3882.6,5000.0,1242.4,3757.6
110,1019.2,26.0,3.2,23.2,61.6,3866.8,5000.0,1242.4,3757.6
111,1037.0,26.4,3.6,23.0,61.0,3849.0,5000.0,1242.4,3757.6
112,1051.4,24.4,4.4,23.8,59.4,3836.6,5000.0,1242.4,3757.6
113,1066.6,24.8,3.6,23.2,60.2,3821.6,5000.0,1242.4,3757.6
114,1081.6,26.8,2.6,23.2,59.6,3806.2,5000.0,1242.4,3757.6
115,1099.2,27.8,2.6,23.4,57.8,3789.2,5000.0,1242.4,3757.6
116,1113.6,28.2,4.2,22.2,58.0,3773.8,5000.0,1242.4,3757.6
117,1125.6,29.0,3.4,22.2,58.4,3761.4,5000.0,1242.4,3757.6
118,1137.2,29.6,2.0,22.8,60.2,3748.2,5000.0,1242.4,3757.6
119,1152.2,27.0,4.8,25.0,58.0,3733.0,5000.0,1242.4,3757.6
120,1163.6,27.8,4.6,25.2,58.4,3720.4,5000.0,1242.4,3757.6
121,1175.0,30.4,2.2,25.4,61.4,3705.6,5000.0,1242.4,3757.6
122,1187.4,31.8,3.8,24.6,60.6,3691.8,5000.0,1242.4,3757.6
123,1202.8,32.2,3.6,25.0,62.0,3674.4,5000.0,1242.4,3757.6
124,1213.8,30.2,5.4,24.2,62.8,3663.6,5000.0,1242.4,3757.6
125,1231.6,30.6,3.6,23.8,65.4,3645.0,5000.0,1242.4,3757.6
126,1243.4,32.8,3.2,24.2,63.6,3632.8,5000.0,1242.4,3757.6
127,1254.4,35.4,3.2,24.0,64.8,3618.2,5000.0,1242.4,3757.6
128,1268.8,35.0,6.2,24.8,64.6,3600.6,5000.0,1242.4,3757.6
129,1282.0,33.0,5.6,24.8,65.8,3588.8,5000.0,1242.4,3757.6
130,1294.4,33.2,3.4,22.2,68.4,3578.4,5000.0,1242.4,3757.6
131,1303.4,34.6,3.8,23.0,66.6,3568.6,5000.0,1242.4,3757.6
132,1317.2,33.4,4.4,24.6,66.6,3553.8,5000.0,1242.4,3757.6
133,1326.6,32.8,3.6,26.2,66.8,3544.0,5000.0,1242.4,3757.6
134,1335.0,37.0,3.8,26.4,67.0,3530.8,5000.0,1242.4,3757.6
135,1345.0,36.4,3.6,28.4,68.0,3518.6,5000.0,1242.4,3757.6
136,1350.0,41.8,3.6,28.4,67.0,3509.2,5000.0,1242.4,3757.6
137,1356.0,47.0,3.2,28.2,66.4,3499.2,5000.0,1242.4,3757.6
138,1363.0,45.8,5.8,29.4,67.6,3488.4,5000.0,1242.4,3757.6
139,1373.6,44.8,5.8,30.6,70.4,3474.8,5000.0,1242.4,3757.6
140,1381.8,46.6,5.2,30.0,74.4,3462.0,5000.0,1242.4,3757.6
141,1387.4,50.0,4.6,30.2,74.6,3453.2,5000.0,1242.4,3757.6
142,1398.8,47.2,7.2,30.6,74.8,3441.4,5000.0,1242.4,3757.6
143,1408.2,47.0,5.2,30.4,76.4,3432.8,5000.0,1242.4,3757.6
144,1419.4,47.6,5.2,31.8,78.0,3418.0,5000.0,1242.4,3757.6
145,1426.8,48.2,6.6,30.0,80.4,3408.0,5000.0,1242.4,3757.6
146,1433.8,45.6,8.0,33.6,82.4,3396.6,5000.0,1242.4,3757.6
147,1438.6,47.0,7.6,32.8,85.0,3389.0,5000.0,1242.4,3757.6
148,1443.4,51.6,6.2,32.2,88.2,3378.4,5000.0,1242.4,3757.6
149,1448.2,50.2,6.0,34.2,89.4,3372.0,5000.0,1242.4,3757.6
