Day,Run,Efficiency
0,0,0.0
1,0,0.0
2,0,0.0
3,0,0.0
4,0,0.0
5,0,0.0
6,0,0.0
7,0,0.0
8,0,0.0
9,0,0.0
10,0,0.0
11,0,0.0
12,0,0.0
13,0,0.0
14,0,0.0
15,0,0.0
16,0,0.0
17,0,0.0
18,0,0.0
19,0,0.0
20,0,0.005475880052151239
21,0,0.013118062563067608
22,0,0.022278481012658228
23,0,0.03064640741694566
24,0,0.041898700609917794
25,0,0.053458252962248556
26,0,0.06493506493506493
27,0,0.07521315468940316
28,0,0.08695652173913043
29,0,0.10196476964769648
30,0,0.11615439599714081
31,0,0.1325484238511204
32,0,0.14971977582065651
33,0,0.16936860068259385
34,0,0.18730301665916255
35,0,0.20896946564885496
36,0,0.22554485554992398
37,0,0.24644030668127054
38,0,0.2697215777262181
39,0,0.2948479205462446
40,0,0.3647675180091683
41,0,0.43854748603351956
42,0,0.5143487858719646
43,0,0.5791567223548131
44,0,0.6539115646258503
45,0,0.7281818181818182
46,0,0.7880539499036608
47,0,0.8307533539731682
48,0,0.8688888888888889
49,0,0.8932853717026379
50,0,0.8950064020486556
51,0,0.8965034965034965
52,0,0.8982300884955752
53,0,0.8942457231726283
54,0,0.893687707641196
55,0,0.8924731182795699
56,0,0.8824626865671642
57,0,0.8822355289421158
58,0,0.8717948717948718
59,0,0.8800904977375565
60,0,0.8725490196078431
61,0,0.8654822335025381
62,0,0.8770053475935828
63,0,0.8771428571428571
64,0,0.879154078549849
65,0,0.8722044728434505
66,0,0.8724137931034482
67,0,0.8651685393258427
68,0,0.8656126482213439
69,0,0.8755186721991701
70,0,0.8687782805429864
71,0,0.8592233009708737
72,0,0.845360824742268
73,0,0.8288770053475936
74,0,0.8285714285714286
75,0,0.813953488372093
76,0,0.8048780487804879
77,0,0.7974683544303798
78,0,0.7721518987341772
79,0,0.7628205128205128
80,0,0.7755102040816326
81,0,0.7941176470588235
82,0,0.7761194029850746
83,0,0.784
84,0,0.7520661157024794
85,0,0.7241379310344828
86,0,0.7207207207207207
87,0,0.6936936936936937
88,0,0.7075471698113207
89,0,0.7227722772277227
90,0,0.7395833333333334
91,0,0.7159090909090909
92,0,0.6741573033707865
93,0,0.686046511627907
94,0,0.6506024096385542
95,0,0.6375
96,0,0.65
97,0,0.6375
98,0,0.6329113924050633
99,0,0.6486486486486487
100,0,0.6285714285714286
101,0,0.59375
102,0,0.5245901639344263
103,0,0.484375
104,0,0.48484848484848486
105,0,0.47692307692307695
106,0,0.4647887323943662
107,0,0.49295774647887325
108,0,0.4714285714285714
109,0,0.4583333333333333
110,0,0.4358974358974359
111,0,0.43373493975903615
112,0,0.42045454545454547
113,0,0.4105263157894737
114,0,0.42424242424242425
115,0,0.39215686274509803
116,0,0.43
117,0,0.4107142857142857
118,0,0.425
119,0,0.44
120,0,0.45185185185185184
121,0,0.45652173913043476
122,0,0.4857142857142857
123,0,0.4782608695652174
124,0,0.45588235294117646
125,0,0.4794520547945205
126,0,0.4774193548387097
127,0,0.4567901234567901
128,0,0.45614035087719296
129,0,0.44
130,0,0.4772727272727273
131,0,0.47643979057591623
132,0,0.4948453608247423
133,0,0.49222797927461137
134,0,0.5051546391752577
135,0,0.46766169154228854
136,0,0.47058823529411764
137,0,0.44339622641509435
138,0,0.4647887323943662
139,0,0.45539906103286387
140,0,0.45161290322580644
141,0,0.45701357466063347
142,0,0.4748858447488584
143,0,0.519650655021834
144,0,0.5274261603375527
145,0,0.5169491525423728
146,0,0.5208333333333334
147,0,0.4896265560165975
148,0,0.4777327935222672
149,0,0.490272373540856
0,1,0.0
1,1,0.0
2,1,0.0
3,1,0.0
4,1,0.0
5,1,0.0
6,1,0.0
7,1,0.0
8,1,0.0
