Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4956.6,33.4,9.8,0.0,0.0,0.2,5000.0,1692.4,3307.6
1,4921.4,60.8,15.0,1.6,0.0,1.2,5000.0,1692.4,3307.6
2,4873.0,95.8,22.8,6.2,0.0,2.2,5000.0,1692.4,3307.6
3,4790.2,158.4,34.2,12.8,0.0,4.4,5000.0,1692.4,3307.6
4,4651.2,268.8,48.0,24.8,0.0,7.2,5000.0,1692.4,3307.6
5,4447.0,417.4,78.4,45.2,0.0,12.0,5000.0,1692.4,3307.6
6,4138.0,645.6,118.2,77.6,0.0,20.6,5000.0,1692.4,3307.6
7,3689.0,961.2,197.4,119.4,0.0,33.0,5000.0,1692.4,3307.6
8,3070.8,1395.0,294.4,186.0,0.0,53.8,5000.0,1692.4,3307.6
9,2321.4,1859.6,445.8,288.4,0.0,84.8,5000.0,1692.4,3307.6
10,1494.2,2306.8,648.2,415.0,0.0,135.8,5000.0,1692.4,3307.6
11,814.0,2526.8,872.2,571.6,0.0,215.4,5000.0,1692.4,3307.6
12,370.4,2448.8,1115.6,748.2,0.0,317.0,5000.0,1692.4,3307.6
13,130.2,2204.2,1322.6,888.4,0.0,454.6,5000.0,1692.4,3307.6
14,34.2,1866.0,1487.6,1003.4,0.0,608.8,5000.0,1692.4,3307.6
15,8.0,1519.2,1611.2,1073.2,0.0,788.4,5000.0,1692.4,3307.6
16,6.8,1220.2,1682.4,1114.4,0.0,976.2,5000.0,1692.4,3307.6
17,3.8,981.6,1711.6,1138.8,0.0,1164.2,5000.0,1692.4,3307.6
18,5.6,792.4,1696.0,1133.8,0.0,1372.2,5000.0,1692.4,3307.6
19,9.8,636.6,1669.8,1120.0,0.0,1563.8,5000.0,1692.4,3307.6
20,9.0,514.6,1617.2,1090.6,9.4,1759.2,5000.0,1692.4,3307.6
21,8.2,421.0,1541.6,1049.4,17.6,1962.2,5000.0,1692.4,3307.6
22,10.6,346.6,1474.4,1005.6,25.8,2137.0,5000.0,1692.4,3307.6
23,13.4,286.8,1402.8,957.0,34.2,2305.8,5000.0,1692.4,3307.6
