Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4956.8,33.2,9.0,0.0,0.0,1.0,5000.0,1701.0,3299.0
1,4930.8,53.4,11.4,2.6,0.0,1.8,5000.0,1701.0,3299.0
2,4886.4,86.4,17.0,7.0,0.0,3.2,5000.0,1701.0,3299.0
3,4819.2,135.8,26.6,14.2,0.0,4.2,5000.0,1701.0,3299.0
4,4700.6,227.0,41.2,24.0,0.0,7.2,5000.0,1701.0,3299.0
5,4524.2,356.6,69.4,39.2,0.0,10.6,5000.0,1701.0,3299.0
6,4251.8,558.8,107.8,63.4,0.0,18.2,5000.0,1701.0,3299.0
7,3841.6,860.6,163.4,104.0,0.0,30.4,5000.0,1701.0,3299.0
8,3285.4,1243.4,250.2,168.4,0.0,52.6,5000.0,1701.0,3299.0
9,2569.6,1704.6,382.8,258.8,0.0,84.2,5000.0,1701.0,3299.0
10,1782.6,2145.2,570.4,376.0,0.0,125.8,5000.0,1701.0,3299.0
11,1057.8,2442.6,787.4,516.8,0.0,195.4,5000.0,1701.0,3299.0
12,501.6,2505.0,1031.0,678.2,0.0,284.2,5000.0,1701.0,3299.0
13,194.2,2307.8,1262.8,833.6,0.0,401.6,5000.0,1701.0,3299.0
14,55.4,1974.6,1455.2,965.0,0.0,549.8,5000.0,1701.0,3299.0
15,15.4,1615.8,1595.8,1054.2,0.0,718.8,5000.0,1701.0,3299.0
16,5.2,1309.4,1669.8,1113.6,0.0,902.0,5000.0,1701.0,3299.0
17,5.0,1056.4,1702.0,1147.0,0.0,1089.6,5000.0,1701.0,3299.0
18,6.2,848.2,1704.4,1142.8,0.0,1298.4,5000.0,1701.0,3299.0
19,6.0,697.0,1670.6,1119.6,0.0,1506.8,5000.0,1701.0,3299.0
20,7.8,561.0,1628.4,1094.0,9.8,1699.0,5000.0,1701.0,3299.0
21,7.8,449.8,1582.4,1060.2,18.8,1881.0,5000.0,1701.0,3299.0
22,12.4,361.8,1518.0,1026.0,27.4,2054.4,5000.0,1701.0,3299.0
23,10.6,305.2,1443.2,977.8,34.0,2229.2,5000.0,1701.0,3299.0
24,13.2,250.8,1365.0,937.0,41.0,2393.0,5000.0,1701.0,3299.0
25,12.0,214.0,1289.0,893.2,47.0,2544.8,5000.0,1701.0,3299.0
26,18.4,179.8,1217.4,843.2,53.4,2687.8,5000.0,1701.0,3299.0
27,17.2,158.6,1135.8,796.4,59.2,2832.8,5000.0,1701.0,3299.0
28,17.2,139.6,1061.0,752.6,65.0,2964.6,5000.0,1701.0,3299.0
29,16.6,127.6,990.0,706.2,69.4,3090.2,5000.0,1701.0,3299.0
30,18.4,117.4,919.4,665.8,75.2,3203.8,5000.0,1701.0,3299.0
31,22.2,111.4,855.4,627.8,79.2,3304.0,5000.0,1701.0,3299.0
32,24.4,108.0,800.4,592.8,83.4,3391.0,5000.0,1701.0,3299.0
33,26.2,100.6,749.0,562.6,88.2,3473.4,5000.0,1701.0,3299.0
34,25.0,97.8,699.6,532.4,91.4,3553.8,5000.0,1701.0,3299.0
35,24.8,97.8,655.6,502.6,93.4,3625.8,5000.0,1701.0,3299.0
36,30.4,92.4,606.4,474.6,95.6,3700.6,5000.0,1701.0,3299.0
37,28.2,93.6,569.2,448.0,95.8,3765.2,5000.0,1701.0,3299.0
38,31.8,91.0,533.8,426.6,99.8,3817.0,5000.0,1701.0,3299.0
39,32.4,90.0,501.2,402.6,106.2,3867.6,5000.0,1701.0,3299.0
40,32.0,95.0,448.4,383.2,121.2,3920.2,5000.0,1701.0,3299.0
