Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4958.8,31.2,9.4,0.0,0.0,0.6,5000.0,1745.0,3255.0
1,4930.2,54.4,12.4,2.2,0.0,0.8,5000.0,1745.0,3255.0
2,4886.8,85.4,20.0,6.0,0.0,1.8,5000.0,1745.0,3255.0
3,4814.0,140.8,30.2,11.6,0.0,3.4,5000.0,1745.0,3255.0
4,4707.2,218.2,43.0,25.6,0.0,6.0,5000.0,1745.0,3255.0
5,4513.6,370.4,65.2,40.8,0.0,10.0,5000.0,1745.0,3255.0
6,4243.8,564.6,106.4,68.8,0.0,16.4,5000.0,1745.0,3255.0
7,3838.6,857.4,167.0,109.2,0.0,27.8,5000.0,1745.0,3255.0
8,3262.8,1260.2,261.0,168.4,0.0,47.6,5000.0,1745.0,3255.0
9,2551.2,1714.6,396.2,263.4,0.0,74.6,5000.0,1745.0,3255.0
10,1723.8,2211.8,569.6,374.6,0.0,120.2,5000.0,1745.0,3255.0
11,1002.2,2502.8,792.8,516.6,0.0,185.6,5000.0,1745.0,3255.0
12,476.0,2517.8,1046.6,683.4,0.0,276.2,5000.0,1745.0,3255.0
13,175.4,2320.6,1268.0,836.2,0.0,399.8,5000.0,1745.0,3255.0
14,50.4,1975.2,1458.4,961.8,0.0,554.2,5000.0,1745.0,3255.0
15,13.4,1630.4,1588.8,1045.6,0.0,721.8,5000.0,1745.0,3255.0
16,5.0,1316.4,1672.6,1098.2,0.0,907.8,5000.0,1745.0,3255.0
17,5.6,1067.4,1699.2,1125.8,0.0,1102.0,5000.0,1745.0,3255.0
18,6.2,854.0,1708.6,1134.2,0.0,1297.0,5000.0,1745.0,3255.0
19,6.2,696.6,1680.4,1126.4,0.0,1490.4,5000.0,1745.0,3255.0
20,9.4,559.0,1636.8,1101.4,9.4,1684.0,5000.0,1745.0,3255.0
21,12.2,460.8,1568.8,1061.6,17.4,1879.2,5000.0,1745.0,3255.0
22,10.8,389.8,1495.0,1015.4,25.2,2063.8,5000.0,1745.0,3255.0
23,10.6,325.0,1423.0,971.6,31.6,2238.2,5000.0,1745.0,3255.0
24,15.6,266.8,1351.4,934.2,37.0,2395.0,5000.0,1745.0,3255.0
25,12.0,232.6,1278.4,891.0,44.2,2541.8,5000.0,1745.0,3255.0
26,15.0,194.6,1208.4,849.0,50.2,2682.8,5000.0,1745.0,3255.0
27,17.0,171.2,1134.4,807.0,55.8,2814.6,5000.0,1745.0,3255.0
28,20.0,147.2,1070.2,766.6,61.2,2934.8,5000.0,1745.0,3255.0
29,20.0,139.0,999.6,722.2,66.2,3053.0,5000.0,1745.0,3255.0
30,21.2,130.2,935.4,677.4,70.6,3165.2,5000.0,1745.0,3255.0
31,18.6,123.0,873.4,639.0,76.6,3269.4,5000.0,1745.0,3255.0
32,22.4,111.0,818.8,610.4,81.0,3356.4,5000.0,1745.0,3255.0
33,27.2,109.4,773.6,576.0,85.4,3428.4,5000.0,1745.0,3255.0
34,21.0,108.2,721.6,546.4,90.4,3512.4,5000.0,1745.0,3255.0
35,24.0,101.2,675.2,514.2,91.4,3594.0,5000.0,1745.0,3255.0
36,25.2,99.6,627.6,481.4,93.6,3672.6,5000.0,1745.0,3255.0
37,30.8,95.8,583.6,460.0,95.6,3734.2,5000.0,1745.0,3255.0
38,32.8,94.4,542.8,436.2,96.6,3797.2,5000.0,1745.0,3255.0
39,34.6,97.2,506.0,411.8,98.2,3852.2,5000.0,1745.0,3255.0
40,36.6,94.2,462.6,389.6,113.8,3903.2,5000.0,1745.0,3255.0
41,39.2,93.0,414.2,373.0,128.2,3952.4,5000.0,1745.0,3255.0
42,37.2,93.4,375.2,354.6,142.4,3997.2,5000.0,1745.0,3255.0
43,42.8,90.4,335.2,336.0,154.2,4041.4,5000.0,1745.0,3255.0
44,51.0,90.4,298.6,320.4,162.4,4077.2,5000.0,1745.0,3255.0
45,49.0,92.4,267.2,305.2,173.2,4113.0,5000.0,1745.0,3255.0
46,54.0,93.2,231.4,293.0,183.0,4145.4,5000.0,1745.0,3255.0
47,58.6,90.0,205.6,278.8,192.0,4175.0,5000.0,1745.0,3255.0
48,63.6,89.4,176.4,267.6,198.6,4204.4,5000.0,1745.0,3255.0
49,73.8,89.0,150.2,252.6,210.6,4223.8,5000.0,1745.0,3255.0
50,80.0,87.8,127.8,243.8,217.2,4243.4,5000.0,1745.0,3255.0
51,85.4,87.8,106.6,231.0,223.8,4265.4,5000.0,1745.0,3255.0
52,97.2,86.8,84.2,221.4,230.8,4279.6,5000.0,1745.0,3255.0
53,106.6,86.0,65.4,214.8,236.6,4290.6,5000.0,1745.0,3255.0
54,117.2,78.2,50.4,211.6,243.8,4298.8,5000.0,1745.0,3255.0
55,125.2,79.2,33.8,202.0,249.2,4310.6,5000.0,1745.0,3255.0
56,135.4,75.4,24.2,191.0,253.8,4320.2,5000.0,1745.0,3255.0
57,148.8,73.8,17.0,181.2,256.6,4322.6,5000.0,1745.0,3255.0
58,157.0,72.6,14.4,169.8,256.0,4330.2,5000.0,1745.0,3255.0
59,165.4,71.8,12.8,159.0,251.8,4339.2,5000.0,1745.0,3255.0
60,171.8,66.0,10.4,144.6,256.4,4350.8,5000.0,1745.0,3255.0
61,180.2,60.8,8.6,134.4,257.8,4358.2,5000.0,1745.0,3255.0
62,193.6,57.0,5.0,126.4,257.0,4361.0,5000.0,1745.0,3255.0
63,206.6,54.2,5.4,116.6,250.4,4366.8,5000.0,1745.0,3255.0
64,218.2,54.4,6.6,109.0,243.0,4368.8,5000.0,1745.0,3255.0
65,229.8,56.6,5.0,102.6,239.6,4366.4,5000.0,1745.0,3255.0
66,245.6,55.0,7.8,96.8,229.8,4365.0,5000.0,1745.0,3255.0
67,256.8,55.0,5.2,93.2,225.8,4364.0,5000.0,1745.0,3255.0
68,268.6,53.6,5.8,88.6,218.2,4365.2,5000.0,1745.0,3255.0
69,283.0,53.2,5.0,81.4,213.8,4363.6,5000.0,1745.0,3255.0
70,297.6,50.2,6.2,77.6,205.2,4363.2,5000.0,1745.0,3255.0
71,304.8,51.4,6.2,76.4,202.0,4359.2,5000.0,1745.0,3255.0
72,318.8,50.0,5.0,72.2,196.4,4357.6,5000.0,1745.0,3255.0
73,330.4,51.0,5.8,70.8,189.0,4353.0,5000.0,1745.0,3255.0
74,344.0,50.8,5.0,68.0,185.8,4346.4,5000.0,1745.0,3255.0
75,352.4,52.2,4.8,66.6,182.8,4341.2,5000.0,1745.0,3255.0
76,367.8,50.6,5.8,67.8,176.0,4332.0,5000.0,1745.0,3255.0
77,380.6,47.6,7.4,64.8,169.2,4330.4,5000.0,1745.0,3255.0
78,396.0,50.2,4.6,59.8,168.6,4320.8,5000.0,1745.0,3255.0
79,409.8,49.6,5.4,60.6,160.2,4314.4,5000.0,1745.0,3255.0
80,423.8,50.0,5.6,58.4,159.0,4303.2,5000.0,1745.0,3255.0
81,437.2,50.0,5.8,57.0,153.2,4296.8,5000.0,1745.0,3255.0
82,452.6,47.6,7.6,54.8,151.0,4286.4,5000.0,1745.0,3255.0
83,464.6,45.2,6.6,50.8,149.2,4283.6,5000.0,1745.0,3255.0
84,481.8,42.4,6.2,48.0,147.0,4274.6,5000.0,1745.0,3255.0
85,494.0,42.6,6.6,45.6,147.0,4264.2,5000.0,1745.0,3255.0
86,508.4,41.0,5.8,44.0,145.2,4255.6,5000.0,1745.0,3255.0
87,521.6,44.2,5.0,43.2,141.8,4244.2,5000.0,1745.0,3255.0
88,539.6,42.0,5.0,44.4,140.4,4228.6,5000.0,1745.0,3255.0
89,554.0,40.0,4.6,43.8,135.8,4221.8,5000.0,1745.0,3255.0
90,565.0,39.0,3.6,47.0,133.8,4211.6,5000.0,1745.0,3255.0
91,574.4,39.8,6.6,47.0,130.8,4201.4,5000.0,1745.0,3255.0
92,585.2,43.2,6.0,44.8,130.8,4190.0,5000.0,1745.0,3255.0
93,594.8,46.0,4.4,44.4,128.2,4182.2,5000.0,1745.0,3255.0
94,608.6,45.0,5.6,43.0,127.0,4170.8,5000.0,1745.0,3255.0
95,617.0,46.6,5.8,42.6,124.4,4163.6,5000.0,1745.0,3255.0
96,627.8,43.6,6.2,43.4,121.8,4157.2,5000.0,1745.0,3255.0
97,642.4,46.4,3.6,41.8,119.6,4146.2,5000.0,1745.0,3255.0
98,653.0,47.0,5.4,42.2,116.4,4136.0,5000.0,1745.0,3255.0
99,666.6,48.6,6.4,40.2,117.6,4120.6,5000.0,1745.0,3255.0
100,676.4,49.8,6.8,38.2,118.2,4110.6,5000.0,1745.0,3255.0
101,687.4,51.2,4.8,37.8,118.4,4100.4,5000.0,1745.0,3255.0
102,698.0,51.0,5.8,39.2,117.0,4089.0,5000.0,1745.0,3255.0
103,708.6,50.8,5.6,38.6,116.2,4080.2,5000.0,1745.0,3255.0
104,726.8,49.0,6.2,39.2,117.0,4061.8,5000.0,1745.0,3255.0
105,731.6,52.8,6.6,39.0,118.0,4052.0,5000.0,1745.0,3255.0
106,741.6,58.8,3.6,39.8,118.4,4037.8,5000.0,1745.0,3255.0
107,752.2,55.4,7.0,41.0,114.0,4030.4,5000.0,1745.0,3255.0
108,758.2,59.6,5.6,40.6,113.0,4023.0,5000.0,1745.0,3255.0
109,768.4,59.0,6.0,41.8,113.2,4011.6,5000.0,1745.0,3255.0
110,774.4,59.2,8.0,40.8,111.8,4005.8,5000.0,1745.0,3255.0
111,784.0,56.2,7.6,42.4,114.0,3995.8,5000.0,1745.0,3255.0
112,790.6,55.0,8.0,42.2,114.2,3990.0,5000.0,1745.0,3255.0
113,798.4,53.8,7.2,43.0,117.4,3980.2,5000.0,1745.0,3255.0
114,803.4,56.4,4.8,44.6,119.6,3971.2,5000.0,1745.0,3255.0
115,807.6,59.4,5.2,46.2,117.0,3964.6,5000.0,1745.0,3255.0
116,813.6,61.8,6.2,48.0,116.8,3953.6,5000.0,1745.0,3255.0
117,818.6,65.0,8.2,46.6,114.6,3947.0,5000.0,1745.0,3255.0
118,828.0,63.0,8.6,47.6,115.6,3937.2,5000.0,1745.0,3255.0
119,835.2,66.6,7.4,47.6,116.8,3926.4,5000.0,1745.0,3255.0
120,842.4,70.4,7.4,47.8,119.6,3912.4,5000.0,1745.0,3255.0
121,849.0,69.2,9.0,47.8,120.0,3905.0,5000.0,1745.0,3255.0
122,849.6,74.6,8.2,48.6,123.2,3895.8,5000.0,1745.0,3255.0
123,853.4,72.4,10.4,50.0,126.6,3887.2,5000.0,1745.0,3255.0
124,854.2,76.0,8.0,52.4,129.0,3880.4,5000.0,1745.0,3255.0
125,855.6,79.6,7.4,55.4,131.0,3871.0,5000.0,1745.0,3255.0
126,853.0,84.4,11.4,54.8,131.8,3864.6,5000.0,1745.0,3255.0
127,853.8,83.0,13.2,55.8,137.0,3857.2,5000.0,1745.0,3255.0
128,851.4,86.2,11.2,55.6,142.4,3853.2,5000.0,1745.0,3255.0
129,851.0,87.6,9.2,57.2,148.2,3846.8,5000.0,1745.0,3255.0
130,851.2,90.6,10.8,57.2,149.4,3840.8,5000.0,1745.0,3255.0
131,849.6,94.0,10.6,58.6,153.6,3833.6,5000.0,1745.0,3255.0
132,847.0,88.8,13.8,61.8,153.6,3835.0,5000.0,1745.0,3255.0
133,850.6,88.2,9.4,64.0,158.4,3829.4,5000.0,1745.0,3255.0
134,855.4,93.8,9.6,62.4,160.4,3818.4,5000.0,1745.0,3255.0
135,853.8,97.2,10.4,62.6,163.2,3812.8,5000.0,1745.0,3255.0
136,845.6,101.2,10.6,68.0,164.2,3810.4,5000.0,1745.0,3255.0
137,840.4,103.0,10.8,70.2,168.8,3806.8,5000.0,1745.0,3255.0
138,832.4,107.8,11.6,71.6,172.0,3804.6,5000.0,1745.0,3255.0
139,831.6,108.4,12.6,74.8,177.0,3795.6,5000.0,1745.0,3255.0
140,831.2,109.0,14.0,75.2,180.4,3790.2,5000.0,1745.0,3255.0
141,821.2,114.0,12.6,79.2,184.6,3788.4,5000.0,1745.0,3255.0
142,815.6,113.4,14.4,81.0,186.2,3789.4,5000.0,1745.0,3255.0
143,804.4,117.6,11.8,84.0,192.4,3789.8,5000.0,1745.0,3255.0
144,797.0,117.0,15.8,84.0,196.0,3790.2,5000.0,1745.0,3255.0
145,792.8,121.0,12.4,82.2,202.6,3789.0,5000.0,1745.0,3255.0
146,786.4,119.6,15.0,82.6,205.6,3790.8,5000.0,1745.0,3255.0
147,786.6,114.2,16.4,84.6,211.2,3787.0,5000.0,1745.0,3255.0
