Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4957.8,32.2,9.0,0.0,0.0,1.0,5000.0,1667.0,3333.0
1,4931.6,50.6,12.6,3.4,0.0,1.8,5000.0,1667.0,3333.0
2,4883.2,86.8,20.4,7.6,0.0,2.0,5000.0,1667.0,3333.0
3,4800.2,155.8,26.8,13.8,0.0,3.4,5000.0,1667.0,3333.0
4,4687.0,237.4,43.6,25.6,0.0,6.4,5000.0,1667.0,3333.0
5,4505.6,366.2,72.8,44.0,0.0,11.4,5000.0,1667.0,3333.0
6,4217.8,580.2,113.4,70.4,0.0,18.2,5000.0,1667.0,3333.0
7,3780.8,910.6,167.2,110.4,0.0,31.0,5000.0,1667.0,3333.0
8,3211.4,1289.8,270.6,180.2,0.0,48.0,5000.0,1667.0,3333.0
9,2449.0,1798.2,404.4,270.2,0.0,78.2,5000.0,1667.0,3333.0
10,1645.8,2244.6,591.4,392.4,0.0,125.8,5000.0,1667.0,3333.0
11,943.4,2513.0,809.2,543.4,0.0,191.0,5000.0,1667.0,3333.0
12,440.2,2521.2,1049.2,709.0,0.0,280.4,5000.0,1667.0,3333.0
13,164.2,2305.8,1276.2,841.2,0.0,412.6,5000.0,1667.0,3333.0
14,47.2,1977.8,1449.2,965.6,0.0,560.2,5000.0,1667.0,3333.0
15,11.8,1624.0,1572.2,1059.0,0.0,733.0,5000.0,1667.0,3333.0
16,3.6,1311.0,1654.6,1107.6,0.0,923.2,5000.0,1667.0,3333.0
17,5.0,1041.4,1700.8,1139.2,0.0,1113.6,5000.0,1667.0,3333.0
18,5.6,844.4,1705.8,1131.2,0.0,1313.0,5000.0,1667.0,3333.0
19,7.6,681.0,1683.6,1114.2,0.0,1513.6,5000.0,1667.0,3333.0
20,8.0,548.4,1635.8,1099.0,9.0,1699.8,5000.0,1667.0,3333.0
21,10.2,447.2,1569.8,1065.6,17.6,1889.6,5000.0,1667.0,3333.0
22,9.6,366.8,1505.2,1025.8,26.2,2066.4,5000.0,1667.0,3333.0
23,10.8,298.8,1439.8,985.0,33.4,2232.2,5000.0,1667.0,3333.0
24,15.0,249.4,1362.2,944.2,40.2,2389.0,5000.0,1667.0,3333.0
25,13.8,215.2,1286.8,900.6,45.6,2538.0,5000.0,1667.0,3333.0
26,17.2,183.2,1212.0,848.4,51.8,2687.4,5000.0,1667.0,3333.0
27,17.4,159.2,1136.0,807.0,56.4,2824.0,5000.0,1667.0,3333.0
28,13.2,145.8,1056.8,764.4,61.4,2958.4,5000.0,1667.0,3333.0
29,19.4,130.2,992.4,717.8,66.4,3073.8,5000.0,1667.0,3333.0
30,17.2,118.8,933.0,678.0,70.6,3182.4,5000.0,1667.0,3333.0
31,16.4,109.2,871.2,638.2,75.6,3289.4,5000.0,1667.0,3333.0
32,23.8,101.8,807.4,604.8,78.6,3383.6,5000.0,1667.0,3333.0
33,22.4,102.4,741.2,570.0,81.4,3482.6,5000.0,1667.0,3333.0
34,28.4,98.2,693.4,537.0,84.0,3559.0,5000.0,1667.0,3333.0
35,27.4,97.0,645.2,509.2,88.2,3633.0,5000.0,1667.0,3333.0
36,28.8,100.8,596.0,480.0,91.4,3703.0,5000.0,1667.0,3333.0
37,29.8,99.2,559.8,456.8,93.6,3760.8,5000.0,1667.0,3333.0
38,30.0,98.0,523.6,432.0,95.8,3820.6,5000.0,1667.0,3333.0
39,36.2,92.4,488.2,411.0,98.0,3874.2,5000.0,1667.0,3333.0
40,38.4,89.6,447.2,387.4,114.4,3923.0,5000.0,1667.0,3333.0
41,40.0,90.2,404.6,365.8,128.0,3971.4,5000.0,1667.0,3333.0
42,40.0,94.0,363.0,347.2,140.8,4015.0,5000.0,1667.0,3333.0
43,44.0,94.4,326.2,331.0,155.4,4049.0,5000.0,1667.0,3333.0
44,50.2,87.6,293.4,312.8,169.0,4087.0,5000.0,1667.0,3333.0
45,53.4,91.0,257.0,300.4,179.4,4118.8,5000.0,1667.0,3333.0
46,58.2,94.6,224.6,288.4,190.2,4144.0,5000.0,1667.0,3333.0
47,65.0,87.0,202.0,274.4,198.0,4173.6,5000.0,1667.0,3333.0
48,65.6,86.2,178.8,263.6,207.2,4198.6,5000.0,1667.0,3333.0
49,71.2,84.0,157.4,253.2,215.0,4219.2,5000.0,1667.0,3333.0
50,82.8,76.6,139.8,240.8,221.4,4238.6,5000.0,1667.0,3333.0
51,87.8,78.4,119.6,229.8,225.8,4258.6,5000.0,1667.0,3333.0
52,93.6,80.2,102.2,220.8,232.8,4270.4,5000.0,1667.0,3333.0
53,99.6,81.6,85.8,210.4,237.6,4285.0,5000.0,1667.0,3333.0
54,107.8,82.4,69.8,197.0,240.6,4302.4,5000.0,1667.0,3333.0
55,111.2,82.8,58.6,186.8,242.4,4318.2,5000.0,1667.0,3333.0
56,118.4,83.6,51.8,175.2,244.6,4326.4,5000.0,1667.0,3333.0
57,122.4,80.2,44.2,166.4,246.2,4340.6,5000.0,1667.0,3333.0
58,134.6,77.0,35.8,160.8,247.8,4344.0,5000.0,1667.0,3333.0
59,143.8,76.6,29.6,150.0,247.6,4352.4,5000.0,1667.0,3333.0
60,151.0,73.0,19.4,138.4,251.4,4366.8,5000.0,1667.0,3333.0
61,162.6,67.6,13.4,128.2,258.0,4370.2,5000.0,1667.0,3333.0
62,178.4,60.2,10.0,120.0,257.8,4373.6,5000.0,1667.0,3333.0
63,192.8,54.4,7.4,113.0,256.6,4375.8,5000.0,1667.0,3333.0
64,209.0,53.0,5.8,105.6,248.8,4377.8,5000.0,1667.0,3333.0
65,217.8,52.8,5.6,101.0,239.2,4383.6,5000.0,1667.0,3333.0
66,233.4,49.6,5.8,93.6,234.8,4382.8,5000.0,1667.0,3333.0
67,248.0,46.0,5.2,89.6,228.4,4382.8,5000.0,1667.0,3333.0
68,257.6,48.4,6.2,83.6,221.4,4382.8,5000.0,1667.0,3333.0
69,270.4,49.2,5.2,79.0,216.8,4379.4,5000.0,1667.0,3333.0
70,283.0,45.4,5.6,75.6,208.8,4381.6,5000.0,1667.0,3333.0
71,300.0,43.0,5.2,73.0,202.6,4376.2,5000.0,1667.0,3333.0
72,316.4,44.8,3.6,67.8,194.4,4373.0,5000.0,1667.0,3333.0
73,325.2,44.2,6.2,67.2,186.6,4370.6,5000.0,1667.0,3333.0
74,341.6,42.4,5.2,64.2,183.0,4363.6,5000.0,1667.0,3333.0
75,355.6,43.2,4.8,60.4,173.4,4362.6,5000.0,1667.0,3333.0
76,368.0,41.6,6.6,57.0,169.0,4357.8,5000.0,1667.0,3333.0
77,387.0,39.0,5.0,54.4,165.8,4348.8,5000.0,1667.0,3333.0
78,404.8,36.4,4.4,52.8,164.2,4337.4,5000.0,1667.0,3333.0
79,418.4,36.6,6.2,50.2,158.2,4330.4,5000.0,1667.0,3333.0
80,430.4,35.8,4.2,49.0,156.8,4323.8,5000.0,1667.0,3333.0
81,444.8,35.8,4.4,46.0,150.2,4318.8,5000.0,1667.0,3333.0
82,460.6,36.8,4.4,42.4,145.6,4310.2,5000.0,1667.0,3333.0
83,475.6,39.6,3.4,40.0,141.6,4299.8,5000.0,1667.0,3333.0
84,489.0,37.0,5.2,41.2,136.8,4290.8,5000.0,1667.0,3333.0
85,500.0,42.8,3.8,39.8,134.2,4279.4,5000.0,1667.0,3333.0
86,515.6,40.8,3.8,39.4,129.8,4270.6,5000.0,1667.0,3333.0
87,529.4,39.4,5.6,40.2,127.2,4258.2,5000.0,1667.0,3333.0
88,544.4,39.6,4.2,38.6,126.4,4246.8,5000.0,1667.0,3333.0
89,560.4,36.6,4.6,39.0,124.4,4235.0,5000.0,1667.0,3333.0
90,576.6,39.2,3.8,39.6,122.4,4218.4,5000.0,1667.0,3333.0
91,588.8,38.6,4.4,39.4,118.0,4210.8,5000.0,1667.0,3333.0
92,599.6,40.0,3.6,41.4,116.2,4199.2,5000.0,1667.0,3333.0
93,610.6,43.0,4.4,40.2,113.0,4188.8,5000.0,1667.0,3333.0
94,623.4,41.2,6.6,38.6,111.4,4178.8,5000.0,1667.0,3333.0
95,634.8,42.0,3.6,38.8,113.0,4167.8,5000.0,1667.0,3333.0
96,645.6,46.2,4.6,37.6,108.8,4157.2,5000.0,1667.0,3333.0
97,658.2,44.0,6.4,36.4,106.6,4148.4,5000.0,1667.0,3333.0
98,670.4,45.4,3.8,35.4,109.4,4135.6,5000.0,1667.0,3333.0
99,680.2,46.8,4.8,35.6,108.4,4124.2,5000.0,1667.0,3333.0
100,694.8,46.0,4.4,36.0,108.2,4110.6,5000.0,1667.0,3333.0
101,704.2,48.8,5.2,37.2,105.6,4099.0,5000.0,1667.0,3333.0
102,715.6,48.2,8.0,39.4,104.6,4084.2,5000.0,1667.0,3333.0
103,728.0,48.6,7.8,38.6,109.0,4068.0,5000.0,1667.0,3333.0
104,739.0,51.2,8.2,36.6,110.2,4054.8,5000.0,1667.0,3333.0
105,746.6,53.0,5.2,37.0,113.2,4045.0,5000.0,1667.0,3333.0
106,758.8,51.0,8.0,37.6,110.8,4033.8,5000.0,1667.0,3333.0
107,770.4,51.4,5.4,37.0,113.8,4022.0,5000.0,1667.0,3333.0
108,784.0,51.2,6.4,37.0,112.6,4008.8,5000.0,1667.0,3333.0
109,791.2,55.8,5.2,34.8,112.8,4000.2,5000.0,1667.0,3333.0
110,805.6,54.0,7.0,33.4,110.8,3989.2,5000.0,1667.0,3333.0
111,819.2,52.8,6.2,33.8,112.6,3975.4,5000.0,1667.0,3333.0
112,829.0,54.0,7.2,34.8,115.6,3959.4,5000.0,1667.0,3333.0
113,841.6,52.2,6.4,35.4,114.6,3949.8,5000.0,1667.0,3333.0
114,853.6,54.2,5.2,32.8,116.8,3937.4,5000.0,1667.0,3333.0
115,861.6,58.2,4.8,33.8,116.2,3925.4,5000.0,1667.0,3333.0
116,874.0,62.0,6.0,34.8,113.6,3909.6,5000.0,1667.0,3333.0
117,884.6,62.4,6.2,36.8,112.8,3897.2,5000.0,1667.0,3333.0
118,888.2,65.2,8.0,38.8,111.2,3888.6,5000.0,1667.0,3333.0
119,897.8,68.4,6.2,39.2,111.0,3877.4,5000.0,1667.0,3333.0
120,906.8,68.6,6.0,38.6,112.6,3867.4,5000.0,1667.0,3333.0
121,910.8,71.6,8.4,40.2,109.0,3860.0,5000.0,1667.0,3333.0
122,913.8,72.0,9.4,43.0,110.2,3851.6,5000.0,1667.0,3333.0
123,917.4,73.2,8.4,46.2,111.8,3843.0,5000.0,1667.0,3333.0
124,920.8,78.2,7.2,49.0,113.6,3831.2,5000.0,1667.0,3333.0
125,924.8,78.6,9.2,49.0,113.0,3825.4,5000.0,1667.0,3333.0
126,925.6,81.0,8.8,50.6,117.6,3816.4,5000.0,1667.0,3333.0
127,931.4,80.8,9.8,53.8,120.6,3803.6,5000.0,1667.0,3333.0
128,933.2,82.0,10.0,55.8,124.0,3795.0,5000.0,1667.0,3333.0
129,932.6,83.2,11.0,57.8,127.0,3788.4,5000.0,1667.0,3333.0
130,928.0,86.6,12.6,58.8,133.4,3780.6,5000.0,1667.0,3333.0
131,923.0,90.4,11.0,58.0,138.0,3779.6,5000.0,1667.0,3333.0
132,918.0,97.0,11.0,57.6,141.0,3775.4,5000.0,1667.0,3333.0
133,916.6,100.0,11.0,61.8,143.6,3767.0,5000.0,1667.0,3333.0
134,916.8,101.0,13.6,61.2,144.8,3762.6,5000.0,1667.0,3333.0
135,912.6,105.8,10.0,65.2,149.8,3756.6,5000.0,1667.0,3333.0
136,909.0,106.2,11.6,69.8,151.4,3752.0,5000.0,1667.0,3333.0
137,905.6,104.0,15.0,72.6,153.6,3749.2,5000.0,1667.0,3333.0
138,897.0,109.4,13.0,71.4,159.6,3749.6,5000.0,1667.0,3333.0
139,893.4,110.4,13.0,74.2,164.4,3744.6,5000.0,1667.0,3333.0
140,885.2,114.0,9.6,75.8,169.0,3746.4,5000.0,1667.0,3333.0
141,872.8,121.4,14.0,77.2,171.6,3743.0,5000.0,1667.0,3333.0
142,859.4,129.0,13.6,79.8,173.2,3745.0,5000.0,1667.0,3333.0
143,857.0,129.0,13.4,84.8,174.4,3741.4,5000.0,1667.0,3333.0
144,850.2,129.2,17.8,86.6,177.0,3739.2,5000.0,1667.0,3333.0
145,843.6,132.2,12.6,89.6,183.0,3739.0,5000.0,1667.0,3333.0
146,832.2,131.2,15.0,94.4,185.8,3741.4,5000.0,1667.0,3333.0
147,816.2,136.4,14.8,95.6,195.2,3741.8,5000.0,1667.0,3333.0
148,809.6,134.8,15.8,98.6,198.0,3743.2,5000.0,1667.0,3333.0
149,798.8,141.2,16.6,101.2,197.8,3744.4,5000.0,1667.0,3333.0
