Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,4958.4,31.6,9.4,0.0,0.0,0.6,5000.0,1665.6,3334.4
1,4933.6,50.6,12.2,2.4,0.0,1.2,5000.0,1665.6,3334.4
2,4893.2,76.2,20.0,7.6,0.0,3.0,5000.0,1665.6,3334.4
3,4820.8,134.6,26.4,12.8,0.0,5.4,5000.0,1665.6,3334.4
4,4708.2,221.0,38.4,22.8,0.0,9.6,5000.0,1665.6,3334.4
5,4540.4,343.0,61.6,39.4,0.0,15.6,5000.0,1665.6,3334.4
6,4276.8,537.8,98.8,62.6,0.0,24.0,5000.0,1665.6,3334.4
7,3870.4,835.6,156.8,102.6,0.0,34.6,5000.0,1665.6,3334.4
8,3314.6,1229.0,244.6,159.4,0.0,52.4,5000.0,1665.6,3334.4
9,2611.6,1679.8,381.2,247.4,0.0,80.0,5000.0,1665.6,3334.4
10,1797.0,2165.8,554.0,361.8,0.0,121.4,5000.0,1665.6,3334.4
11,1048.8,2493.2,761.4,509.4,0.0,187.2,5000.0,1665.6,3334.4
12,501.0,2543.8,997.2,682.4,0.0,275.6,5000.0,1665.6,3334.4
13,188.2,2348.0,1244.2,832.0,0.0,387.6,5000.0,1665.6,3334.4
14,54.0,2021.0,1431.4,967.6,0.0,526.0,5000.0,1665.6,3334.4
15,10.8,1683.2,1563.8,1047.0,0.0,695.2,5000.0,1665.6,3334.4
16,4.2,1352.2,1662.0,1115.0,0.0,866.6,5000.0,1665.6,3334.4
17,4.4,1085.4,1696.8,1143.6,0.0,1069.8,5000.0,1665.6,3334.4
18,7.4,878.4,1697.6,1150.8,0.0,1265.8,5000.0,1665.6,3334.4
19,8.6,700.2,1697.8,1144.6,0.0,1448.8,5000.0,1665.6,3334.4
20,6.8,571.6,1648.2,1116.8,9.4,1647.2,5000.0,1665.6,3334.4
21,7.6,471.6,1573.2,1084.6,18.0,1845.0,5000.0,1665.6,3334.4
22,9.4,386.4,1508.2,1044.8,25.8,2025.4,5000.0,1665.6,3334.4
23,11.0,314.2,1434.2,1005.8,33.8,2201.0,5000.0,1665.6,3334.4
24,14.2,259.8,1366.4,959.2,41.6,2358.8,5000.0,1665.6,3334.4
25,13.0,222.8,1286.2,916.4,48.8,2512.8,5000.0,1665.6,3334.4
26,16.4,191.6,1210.0,869.8,53.6,2658.6,5000.0,1665.6,3334.4
27,15.6,166.4,1137.6,822.8,59.4,2798.2,5000.0,1665.6,3334.4
28,17.8,145.8,1069.8,780.2,64.0,2922.4,5000.0,1665.6,3334.4
29,19.8,136.6,1000.8,733.4,68.4,3041.0,5000.0,1665.6,3334.4
30,20.8,125.6,937.6,692.6,73.4,3150.0,5000.0,1665.6,3334.4
31,21.6,119.0,874.6,647.4,77.0,3260.4,5000.0,1665.6,3334.4
32,22.6,112.4,818.2,613.6,79.8,3353.4,5000.0,1665.6,3334.4
33,22.8,110.8,762.4,581.8,83.0,3439.2,5000.0,1665.6,3334.4
34,21.0,106.4,711.4,552.4,86.0,3522.8,5000.0,1665.6,3334.4
35,26.2,101.4,663.4,522.8,88.0,3598.2,5000.0,1665.6,3334.4
36,28.6,102.0,616.6,491.0,91.8,3670.0,5000.0,1665.6,3334.4
37,30.2,103.8,573.6,462.8,94.6,3735.0,5000.0,1665.6,3334.4
38,31.6,96.4,540.2,435.8,96.4,3799.6,5000.0,1665.6,3334.4
39,38.0,96.4,504.0,410.8,99.2,3851.6,5000.0,1665.6,3334.4
40,38.2,96.6,456.4,390.2,114.0,3904.6,5000.0,1665.6,3334.4
