Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,8937.8,4.2,9.6,0.0,0.0,0.4,10000.0,1753.8,5587.6
1,8933.8,7.4,9.4,0.2,0.0,1.2,10000.0,1753.8,5587.6
2,8926.0,14.2,9.8,0.4,0.0,1.6,10000.0,1753.8,5587.6
3,8912.4,24.0,11.0,2.6,0.0,2.0,10000.0,1753.8,5587.6
4,8888.2,42.2,14.2,4.4,0.0,3.0,10000.0,1753.8,5587.6
5,8851.4,70.0,18.0,8.6,0.0,4.0,10000.0,1753.8,5587.6
6,8789.4,118.6,23.4,13.4,0.0,7.2,10000.0,1753.8,5587.6
7,8706.2,180.8,37.4,19.2,0.0,8.4,10000.0,1753.8,5587.6
8,8606.6,246.2,58.2,29.8,0.0,11.2,10000.0,1753.8,5587.6
9,8450.4,352.8,82.6,47.8,0.0,18.4,10000.0,1753.8,5587.6
10,8251.8,480.8,116.8,75.0,0.0,27.6,10000.0,1753.8,5587.6
11,7991.2,641.4,168.8,109.0,0.0,41.6,10000.0,1753.8,5587.6
12,7708.4,802.2,229.6,150.0,0.0,61.8,10000.0,1753.8,5587.6
13,7383.6,970.6,302.6,207.0,0.0,88.2,10000.0,1753.8,5587.6
14,7018.0,1145.2,394.2,265.2,0.0,129.4,10000.0,1753.8,5587.6
15,6647.2,1291.0,500.4,338.0,0.0,175.4,10000.0,1753.8,5587.6
16,6278.6,1404.4,620.2,414.6,0.0,234.2,10000.0,1753.8,5587.6
17,5932.4,1471.2,747.8,493.2,0.0,307.4,10000.0,1753.8,5587.6
18,5605.6,1498.0,873.2,584.4,0.0,390.8,10000.0,1753.8,5587.6
19,5296.0,1510.2,994.6,653.8,0.0,497.4,10000.0,1753.8,5587.6
20,5022.4,1486.6,1088.8,726.0,16.0,612.2,10000.0,1753.8,5587.6
21,4765.2,1456.4,1167.2,790.0,32.4,740.8,10000.0,1753.8,5587.6
22,4530.6,1404.6,1235.6,849.0,48.6,883.6,10000.0,1753.8,5587.6
23,4307.8,1348.4,1302.8,898.8,64.4,1029.8,10000.0,1753.8,5587.6
24,4118.8,1268.8,1363.4,944.8,78.0,1178.2,10000.0,1753.8,5587.6
25,3940.2,1190.6,1400.4,986.6,90.8,1343.4,10000.0,1753.8,5587.6
26,3782.2,1120.2,1421.2,1010.4,102.6,1515.4,10000.0,1753.8,5587.6
27,3631.4,1046.4,1448.4,1024.0,113.0,1688.8,10000.0,1753.8,5587.6
28,3502.2,976.4,1449.0,1037.4,122.4,1864.6,10000.0,1753.8,5587.6
29,3375.4,911.2,1447.0,1042.2,129.2,2047.0,10000.0,1753.8,5587.6
30,3263.6,859.4,1436.8,1033.2,137.4,2221.6,10000.0,1753.8,5587.6
31,3160.6,810.2,1417.4,1022.6,147.4,2393.8,10000.0,1753.8,5587.6
32,3071.2,750.6,1387.0,1015.0,156.0,2572.2,10000.0,1753.8,5587.6
33,2988.2,696.4,1359.2,1003.4,163.8,2741.0,10000.0,1753.8,5587.6
34,2919.0,644.2,1318.6,998.4,172.0,2899.8,10000.0,1753.8,5587.6
35,2847.8,596.4,1279.2,984.6,176.6,3067.4,10000.0,1753.8,5587.6
36,2783.8,553.2,1242.0,957.0,183.2,3232.8,10000.0,1753.8,5587.6
37,2722.6,514.6,1200.0,939.2,190.6,3385.0,10000.0,1753.8,5587.6
38,2677.6,472.6,1157.0,917.6,196.6,3530.6,10000.0,1753.8,5587.6
39,2635.0,437.8,1124.0,892.0,199.8,3663.4,10000.0,1753.8,5587.6
40,2597.4,407.2,1055.6,862.6,229.4,3799.8,10000.0,1753.8,5587.6
41,2565.8,377.4,991.6,826.4,261.4,3929.4,10000.0,1753.8,5587.6
42,2535.8,356.2,922.4,799.0,286.6,4052.0,10000.0,1753.8,5587.6
43,2513.0,330.6,865.2,766.0,308.2,4169.0,10000.0,1753.8,5587.6
44,2496.0,303.0,797.4,739.8,330.8,4285.0,10000.0,1753.8,5587.6
45,2484.8,283.2,737.2,707.6,351.0,4388.2,10000.0,1753.8,5587.6
46,2474.8,257.4,676.6,675.8,368.2,4499.2,10000.0,1753.8,5587.6
47,2466.8,235.2,614.8,645.6,387.6,4602.0,10000.0,1753.8,5587.6
48,2460.6,216.4,555.8,615.4,399.6,4704.2,10000.0,1753.8,5587.6
49,2456.4,204.6,494.4,586.0,419.4,4791.2,10000.0,1753.8,5587.6
50,2453.0,192.8,445.4,554.0,438.0,4868.8,10000.0,1753.8,5587.6
51,2456.8,174.4,397.0,533.2,446.8,4943.8,10000.0,1753.8,5587.6
52,2454.6,162.2,349.0,512.4,454.0,5019.8,10000.0,1753.8,5587.6
53,2456.0,153.8,299.2,487.6,468.4,5087.0,10000.0,1753.8,5587.6
54,2464.4,146.4,251.2,463.0,479.0,5148.0,10000.0,1753.8,5587.6
55,2483.8,128.0,211.8,437.8,488.6,5202.0,10000.0,1753.8,5587.6
56,2495.8,121.0,177.4,414.4,495.2,5248.2,10000.0,1753.8,5587.6
57,2512.6,111.4,143.4,389.2,499.6,5295.8,10000.0,1753.8,5587.6
58,2522.8,104.0,112.2,370.0,495.6,5347.4,10000.0,1753.8,5587.6
59,2543.2,93.8,84.4,352.2,492.0,5386.4,10000.0,1753.8,5587.6
60,2567.6,85.0,66.6,321.0,494.8,5417.0,10000.0,1753.8,5587.6
61,2587.2,76.0,49.0,293.4,495.8,5450.6,10000.0,1753.8,5587.6
62,2608.4,68.8,37.6,270.6,484.4,5482.2,10000.0,1753.8,5587.6
63,2630.2,61.8,35.0,248.4,470.2,5506.4,10000.0,1753.8,5587.6
64,2651.0,55.0,30.4,233.4,449.0,5533.2,10000.0,1753.8,5587.6
65,2674.6,49.8,28.4,222.4,421.2,5555.6,10000.0,1753.8,5587.6
66,2696.6,47.8,21.4,207.6,402.4,5576.2,10000.0,1753.8,5587.6
67,2723.4,42.4,17.0,191.6,382.2,5595.4,10000.0,1753.8,5587.6
68,2750.8,34.4,15.6,180.6,363.8,5606.8,10000.0,1753.8,5587.6
69,2773.0,35.2,10.0,169.4,352.6,5611.8,10000.0,1753.8,5587.6
70,2799.8,32.8,9.6,160.8,331.4,5617.6,10000.0,1753.8,5587.6
71,2823.6,32.2,8.6,152.6,312.6,5622.4,10000.0,1753.8,5587.6
72,2851.6,30.2,8.8,144.4,288.0,5629.0,10000.0,1753.8,5587.6
73,2878.8,31.6,5.8,136.2,276.2,5623.4,10000.0,1753.8,5587.6
74,2906.0,29.8,6.4,127.4,262.8,5619.6,10000.0,1753.8,5587.6
75,2935.0,28.6,6.0,118.6,248.4,5615.4,10000.0,1753.8,5587.6
76,2960.0,27.0,3.6,113.4,236.2,5611.8,10000.0,1753.8,5587.6
77,2986.2,24.2,4.2,107.8,226.8,5602.8,10000.0,1753.8,5587.6
78,3012.6,22.4,3.8,99.0,213.0,5601.2,10000.0,1753.8,5587.6
79,3042.6,21.4,3.0,93.8,201.0,5590.2,10000.0,1753.8,5587.6
80,3070.0,19.8,3.4,85.0,190.8,5583.0,10000.0,1753.8,5587.6
81,3099.0,19.2,2.2,80.6,182.2,5568.8,10000.0,1753.8,5587.6
82,3125.0,19.6,1.6,74.2,172.2,5559.4,10000.0,1753.8,5587.6
83,3149.8,18.6,1.6,68.2,161.4,5552.4,10000.0,1753.8,5587.6
84,3182.0,17.2,3.4,63.6,153.8,5532.0,10000.0,1753.8,5587.6
85,3208.6,15.6,2.6,59.4,149.4,5516.4,10000.0,1753.8,5587.6
86,3238.2,14.2,3.2,55.0,139.8,5501.6,10000.0,1753.8,5587.6
87,3268.8,13.6,1.6,52.0,134.2,5481.8,10000.0,1753.8,5587.6
88,3298.6,13.0,1.8,49.6,127.8,5461.2,10000.0,1753.8,5587.6
89,3330.0,12.4,1.6,46.2,121.0,5440.8,10000.0,1753.8,5587.6
90,3354.0,10.6,2.2,43.2,117.8,5424.2,10000.0,1753.8,5587.6
91,3381.2,12.0,1.4,39.4,111.6,5406.4,10000.0,1753.8,5587.6
92,3412.2,12.8,1.0,36.2,106.6,5383.2,10000.0,1753.8,5587.6
93,3443.2,13.6,0.4,35.0,101.4,5358.4,10000.0,1753.8,5587.6
94,3466.6,13.2,1.4,35.0,95.0,5340.8,10000.0,1753.8,5587.6
95,3495.4,13.4,1.8,31.6,86.0,5323.8,10000.0,1753.8,5587.6
96,3522.4,14.0,1.8,30.2,83.8,5299.8,10000.0,1753.8,5587.6
97,3545.2,15.4,3.0,29.0,79.6,5279.8,10000.0,1753.8,5587.6
98,3569.4,15.6,2.2,27.8,77.6,5259.4,10000.0,1753.8,5587.6
99,3594.2,17.2,2.6,26.6,72.0,5239.4,10000.0,1753.8,5587.6
100,3615.6,20.0,2.8,25.4,69.8,5218.4,10000.0,1753.8,5587.6
101,3636.0,24.6,3.6,23.6,68.4,5195.8,10000.0,1753.8,5587.6
102,3659.2,23.6,4.0,23.0,65.4,5176.8,10000.0,1753.8,5587.6
103,3685.8,23.6,2.6,23.2,65.2,5151.6,10000.0,1753.8,5587.6
104,3707.0,22.2,5.2,24.4,62.0,5131.2,10000.0,1753.8,5587.6
105,3732.0,23.6,2.6,23.8,61.4,5108.6,10000.0,1753.8,5587.6
106,3758.2,22.4,1.6,23.8,58.8,5087.2,10000.0,1753.8,5587.6
107,3782.2,21.8,2.0,23.0,57.0,5066.0,10000.0,1753.8,5587.6
108,3805.0,19.6,2.8,24.2,54.8,5045.6,10000.0,1753.8,5587.6
109,3831.2,19.0,2.4,23.2,54.8,5021.4,10000.0,1753.8,5587.6
110,3853.0,17.8,2.8,22.2,55.2,5001.0,10000.0,1753.8,5587.6
111,3876.4,17.2,2.0,21.2,53.0,4982.2,10000.0,1753.8,5587.6
112,3900.6,16.6,3.6,20.0,50.4,4960.8,10000.0,1753.8,5587.6
113,3922.0,16.2,3.4,19.0,48.4,4943.0,10000.0,1753.8,5587.6
114,3946.8,16.0,1.6,18.8,47.4,4921.4,10000.0,1753.8,5587.6
115,3966.6,20.2,1.0,18.6,45.8,4899.8,10000.0,1753.8,5587.6
116,3993.2,20.6,3.0,19.0,43.0,4873.2,10000.0,1753.8,5587.6
117,4012.6,21.2,3.2,19.4,44.2,4851.4,10000.0,1753.8,5587.6
118,4031.0,22.4,3.6,19.6,43.6,4831.8,10000.0,1753.8,5587.6
119,4051.2,23.2,3.6,20.8,42.8,4810.4,10000.0,1753.8,5587.6
120,4071.6,23.6,3.6,20.6,43.6,4789.0,10000.0,1753.8,5587.6
121,4090.4,22.8,4.6,20.0,42.2,4772.0,10000.0,1753.8,5587.6
122,4109.2,22.6,4.0,19.6,44.4,4752.2,10000.0,1753.8,5587.6
123,4135.2,20.6,3.8,19.2,43.4,4729.8,10000.0,1753.8,5587.6
124,4162.4,18.8,4.6,19.8,41.0,4705.4,10000.0,1753.8,5587.6
125,4189.2,16.6,4.2,19.8,41.4,4680.8,10000.0,1753.8,5587.6
126,4213.4,17.2,1.2,19.8,42.2,4658.2,10000.0,1753.8,5587.6
127,4233.8,16.8,3.0,20.0,41.4,4637.0,10000.0,1753.8,5587.6
128,4253.4,18.2,3.0,19.0,40.4,4618.0,10000.0,1753.8,5587.6
129,4278.0,16.4,3.4,18.4,39.0,4596.8,10000.0,1753.8,5587.6
130,4302.0,16.8,1.8,18.8,39.8,4572.8,10000.0,1753.8,5587.6
131,4321.4,18.6,2.0,18.4,40.4,4551.2,10000.0,1753.8,5587.6
132,4336.0,20.8,2.2,17.8,40.2,4535.0,10000.0,1753.8,5587.6
133,4356.4,20.8,2.6,17.2,39.6,4515.4,10000.0,1753.8,5587.6
134,4378.0,21.4,1.0,18.2,40.2,4493.2,10000.0,1753.8,5587.6
135,4394.4,20.8,3.4,18.6,38.8,4476.0,10000.0,1753.8,5587.6
136,4415.2,20.2,3.0,19.2,39.0,4455.4,10000.0,1753.8,5587.6
137,4429.8,20.4,2.8,18.8,39.0,4441.2,10000.0,1753.8,5587.6
138,4449.4,22.0,2.4,17.8,37.4,4423.0,10000.0,1753.8,5587.6
139,4467.0,21.0,3.6,17.8,38.0,4404.6,10000.0,1753.8,5587.6
140,4487.8,20.0,3.2,18.4,37.6,4385.0,10000.0,1753.8,5587.6
141,4512.4,20.0,2.0,19.4,38.8,4359.4,10000.0,1753.8,5587.6
142,4530.4,20.0,2.6,19.2,39.6,4340.2,10000.0,1753.8,5587.6
143,4553.4,20.2,2.2,20.0,38.6,4317.6,10000.0,1753.8,5587.6
144,4571.8,20.0,3.2,20.2,38.6,4298.2,10000.0,1753.8,5587.6
145,4591.8,22.0,3.0,20.0,38.6,4276.6,10000.0,1753.8,5587.6
146,4610.6,23.6,3.4,19.2,38.8,4256.4,10000.0,1753.8,5587.6
147,4629.6,24.4,3.0,19.0,40.2,4235.8,10000.0,1753.8,5587.6
148,4650.4,21.8,4.4,20.2,39.0,4216.2,10000.0,1753.8,5587.6
149,4669.4,21.2,3.2,19.8,39.4,4199.0,10000.0,1753.8,5587.6
