Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,8936.0,6.0,9.0,0.0,0.0,1.0,10000.0,1591.2,8157.6
1,8933.2,8.2,9.2,0.0,0.0,1.4,10000.0,1591.2,8157.6
2,8928.2,12.0,9.2,0.6,0.0,2.0,10000.0,1591.2,8157.6
3,8919.0,18.2,11.0,1.2,0.0,2.6,10000.0,1591.2,8157.6
4,8905.0,28.8,13.2,1.8,0.0,3.2,10000.0,1591.2,8157.6
5,8866.4,63.2,14.8,3.6,0.0,4.0,10000.0,1591.2,8157.6
6,8820.4,97.6,21.6,7.0,0.0,5.4,10000.0,1591.2,8157.6
7,8731.8,165.8,32.6,15.0,0.0,6.8,10000.0,1591.2,8157.6
8,8610.0,254.6,48.2,28.6,0.0,10.6,10000.0,1591.2,8157.6
9,8460.6,354.0,76.2,44.4,0.0,16.8,10000.0,1591.2,8157.6
10,8256.4,485.0,114.6,70.6,0.0,25.4,10000.0,1591.2,8157.6
11,8029.8,611.4,167.6,106.2,0.0,37.0,10000.0,1591.2,8157.6
12,7738.2,783.2,229.6,144.2,0.0,56.8,10000.0,1591.2,8157.6
13,7417.0,949.0,308.2,190.8,0.0,87.0,10000.0,1591.2,8157.6
14,7052.2,1121.6,398.4,256.4,0.0,123.4,10000.0,1591.2,8157.6
15,6683.0,1271.6,497.2,333.0,0.0,167.2,10000.0,1591.2,8157.6
16,6301.0,1406.0,611.8,405.6,0.0,227.6,10000.0,1591.2,8157.6
17,5933.4,1496.0,732.8,490.8,0.0,299.0,10000.0,1591.2,8157.6
18,5591.8,1532.6,855.0,582.2,0.0,390.4,10000.0,1591.2,8157.6
19,5255.2,1572.4,964.4,668.0,0.0,492.0,10000.0,1591.2,8157.6
20,4957.6,1562.6,1072.6,735.4,16.2,607.6,10000.0,1591.2,8157.6
21,4693.8,1526.8,1157.6,810.2,31.6,732.0,10000.0,1591.2,8157.6
22,4462.4,1465.6,1235.6,878.2,47.4,862.8,10000.0,1591.2,8157.6
23,4247.6,1396.4,1303.0,930.8,62.0,1012.2,10000.0,1591.2,8157.6
24,4041.4,1319.8,1358.8,977.8,75.4,1178.8,10000.0,1591.2,8157.6
25,3855.4,1251.8,1395.0,1012.8,87.4,1349.6,10000.0,1591.2,8157.6
26,3697.8,1158.8,1437.8,1041.4,98.6,1517.6,10000.0,1591.2,8157.6
27,3556.0,1079.8,1454.8,1055.8,107.6,1698.0,10000.0,1591.2,8157.6
28,3422.6,1000.4,1459.8,1067.6,116.8,1884.8,10000.0,1591.2,8157.6
29,3305.4,930.4,1464.6,1063.8,125.6,2062.2,10000.0,1591.2,8157.6
30,3196.2,863.0,1456.6,1062.8,133.4,2240.0,10000.0,1591.2,8157.6
31,3092.6,806.0,1443.0,1051.2,141.0,2418.2,10000.0,1591.2,8157.6
32,3004.8,747.0,1430.8,1040.2,148.0,2581.2,10000.0,1591.2,8157.6
33,2927.4,690.6,1401.2,1025.0,154.8,2753.0,10000.0,1591.2,8157.6
34,2854.2,633.8,1370.0,1014.6,161.4,2918.0,10000.0,1591.2,8157.6
35,2785.0,587.4,1334.4,989.6,167.8,3087.8,10000.0,1591.2,8157.6
36,2725.0,541.2,1291.6,972.6,173.4,3248.2,10000.0,1591.2,8157.6
37,2675.8,495.8,1251.4,951.0,178.6,3399.4,10000.0,1591.2,8157.6
38,2630.4,463.2,1204.6,929.2,184.2,3540.4,10000.0,1591.2,8157.6
39,2592.8,422.8,1160.0,895.2,191.4,3689.8,10000.0,1591.2,8157.6
40,2560.4,391.2,1080.2,863.0,225.2,3832.0,10000.0,1591.2,8157.6
41,2532.6,369.6,997.0,827.0,256.4,3969.4,10000.0,1591.2,8157.6
42,2509.6,342.4,917.6,795.4,280.0,4107.0,10000.0,1591.2,8157.6
43,2487.0,321.2,853.8,760.8,302.0,4227.2,10000.0,1591.2,8157.6
44,2464.4,301.0,791.0,736.4,328.0,4331.2,10000.0,1591.2,8157.6
45,2448.6,284.8,729.0,700.2,351.6,4437.8,10000.0,1591.2,8157.6
46,2436.4,265.8,677.0,668.6,363.8,4540.4,10000.0,1591.2,8157.6
47,2424.0,254.6,626.2,642.2,372.6,4632.4,10000.0,1591.2,8157.6
48,2415.2,238.2,579.4,616.2,382.4,4720.6,10000.0,1591.2,8157.6
49,2404.8,225.0,529.6,593.0,391.0,4808.6,10000.0,1591.2,8157.6
50,2402.2,208.2,487.8,565.0,396.0,4892.8,10000.0,1591.2,8157.6
51,2402.0,195.8,441.2,541.8,401.6,4969.6,10000.0,1591.2,8157.6
52,2400.0,190.2,400.4,513.2,407.2,5041.0,10000.0,1591.2,8157.6
53,2405.0,176.0,368.8,489.0,404.6,5108.6,10000.0,1591.2,8157.6
54,2409.4,170.2,325.6,468.4,409.4,5169.0,10000.0,1591.2,8157.6
