Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,8935.2,6.8,9.4,0.0,0.0,0.6,10000.0,1557.8,8010.4
1,8930.6,10.0,10.0,0.6,0.0,0.8,10000.0,1557.8,8010.4
2,8922.8,16.0,11.0,1.2,0.0,1.0,10000.0,1557.8,8010.4
3,8907.0,29.0,11.8,2.6,0.0,1.6,10000.0,1557.8,8010.4
4,8873.6,56.6,13.8,5.2,0.0,2.8,10000.0,1557.8,8010.4
5,8813.0,106.0,19.4,9.6,0.0,4.0,10000.0,1557.8,8010.4
6,8746.6,152.0,30.4,16.8,0.0,6.2,10000.0,1557.8,8010.4
7,8651.6,216.8,43.8,29.6,0.0,10.2,10000.0,1557.8,8010.4
8,8508.8,319.2,65.6,42.4,0.0,16.0,10000.0,1557.8,8010.4
9,8338.6,421.2,100.0,68.2,0.0,24.0,10000.0,1557.8,8010.4
10,8109.8,565.8,141.2,98.6,0.0,36.6,10000.0,1557.8,8010.4
11,7809.4,749.4,205.2,137.8,0.0,50.2,10000.0,1557.8,8010.4
12,7483.2,924.0,286.6,186.0,0.0,72.2,10000.0,1557.8,8010.4
13,7134.2,1089.6,379.6,243.2,0.0,105.4,10000.0,1557.8,8010.4
14,6765.0,1242.2,486.4,312.4,0.0,146.0,10000.0,1557.8,8010.4
15,6403.4,1344.6,610.6,389.6,0.0,203.8,10000.0,1557.8,8010.4
16,6038.2,1442.6,721.4,471.4,0.0,278.4,10000.0,1557.8,8010.4
17,5683.8,1513.0,832.4,562.6,0.0,360.2,10000.0,1557.8,8010.4
18,5364.8,1536.4,957.8,638.2,0.0,454.8,10000.0,1557.8,8010.4
19,5058.2,1540.4,1065.6,720.2,0.0,567.6,10000.0,1557.8,8010.4
20,4784.2,1506.0,1156.8,797.0,17.2,690.8,10000.0,1557.8,8010.4
21,4547.6,1454.8,1228.2,854.8,34.0,832.6,10000.0,1557.8,8010.4
22,4322.6,1392.4,1296.8,910.6,48.8,980.8,10000.0,1557.8,8010.4
23,4111.2,1333.2,1347.6,950.0,62.4,1147.6,10000.0,1557.8,8010.4
24,3914.4,1274.6,1393.8,985.8,76.6,1306.8,10000.0,1557.8,8010.4
25,3753.6,1181.8,1425.0,1023.4,87.6,1480.6,10000.0,1557.8,8010.4
26,3592.6,1105.0,1456.0,1051.8,100.4,1646.2,10000.0,1557.8,8010.4
27,3449.8,1029.6,1474.4,1065.6,110.8,1821.8,10000.0,1557.8,8010.4
28,3325.0,957.4,1474.4,1065.6,119.4,2010.2,10000.0,1557.8,8010.4
29,3203.4,901.6,1459.2,1061.0,131.0,2195.8,10000.0,1557.8,8010.4
30,3102.0,835.0,1445.8,1053.8,139.2,2376.2,10000.0,1557.8,8010.4
31,3006.0,788.4,1409.2,1040.2,148.6,2559.6,10000.0,1557.8,8010.4
32,2918.8,731.0,1388.0,1034.6,157.0,2722.6,10000.0,1557.8,8010.4
33,2845.4,674.8,1368.4,1020.4,164.4,2878.6,10000.0,1557.8,8010.4
34,2773.8,623.4,1332.6,1005.8,169.0,3047.4,10000.0,1557.8,8010.4
35,2703.6,589.6,1284.6,972.0,176.0,3226.2,10000.0,1557.8,8010.4
36,2648.2,549.8,1247.4,950.6,177.6,3378.4,10000.0,1557.8,8010.4
37,2597.6,499.6,1218.2,929.0,181.4,3526.2,10000.0,1557.8,8010.4
38,2551.6,470.6,1163.0,892.4,184.2,3690.2,10000.0,1557.8,8010.4
39,2505.2,448.0,1127.4,870.0,188.0,3813.4,10000.0,1557.8,8010.4
40,2470.8,421.8,1059.0,843.0,219.8,3937.6,10000.0,1557.8,8010.4
41,2438.8,393.4,988.6,812.4,248.4,4070.4,10000.0,1557.8,8010.4
42,2411.4,368.6,920.0,781.4,278.2,4192.4,10000.0,1557.8,8010.4
43,2387.8,336.6,859.2,758.2,304.4,4305.8,10000.0,1557.8,8010.4
44,2361.4,319.6,789.2,731.2,329.4,4421.2,10000.0,1557.8,8010.4
45,2348.4,285.2,736.6,703.2,348.2,4530.4,10000.0,1557.8,8010.4
46,2334.6,265.4,684.0,671.4,362.6,4634.0,10000.0,1557.8,8010.4
47,2330.4,245.4,633.2,642.6,369.4,4731.0,10000.0,1557.8,8010.4
48,2323.6,230.4,581.4,611.4,381.4,4823.8,10000.0,1557.8,8010.4
49,2318.2,217.6,529.6,584.2,392.8,4909.6,10000.0,1557.8,8010.4
50,2319.0,200.2,480.4,558.2,401.8,4992.4,10000.0,1557.8,8010.4
51,2318.0,183.6,431.6,545.0,406.4,5067.4,10000.0,1557.8,8010.4
52,2325.0,172.2,388.4,517.0,412.2,5137.2,10000.0,1557.8,8010.4
53,2324.2,160.6,355.2,496.6,414.8,5200.6,10000.0,1557.8,8010.4
54,2328.0,150.4,322.0,476.0,411.6,5264.0,10000.0,1557.8,8010.4
55,2335.2,142.2,287.6,455.6,411.4,5320.0,10000.0,1557.8,8010.4
56,2347.4,130.6,260.8,430.2,408.8,5374.2,10000.0,1557.8,8010.4
57,2358.4,123.6,234.4,407.4,406.0,5422.2,10000.0,1557.8,8010.4
58,2377.0,113.6,212.6,387.6,402.0,5459.2,10000.0,1557.8,8010.4
59,2389.6,108.6,193.0,367.2,391.8,5501.8,10000.0,1557.8,8010.4
60,2403.4,95.2,165.8,350.8,398.4,5538.4,10000.0,1557.8,8010.4
61,2422.8,89.2,141.8,329.2,396.0,5573.0,10000.0,1557.8,8010.4
62,2447.0,78.6,121.0,312.8,394.4,5598.2,10000.0,1557.8,8010.4
63,2469.0,74.6,105.6,294.6,386.6,5621.6,10000.0,1557.8,8010.4
64,2488.8,71.8,90.4,279.0,379.2,5642.8,10000.0,1557.8,8010.4
65,2511.0,68.0,78.8,263.0,366.8,5664.4,10000.0,1557.8,8010.4
66,2529.8,65.4,65.6,247.2,360.6,5683.4,10000.0,1557.8,8010.4
67,2553.8,61.4,55.8,231.4,353.4,5696.2,10000.0,1557.8,8010.4
68,2577.4,57.8,45.4,217.4,341.4,5712.6,10000.0,1557.8,8010.4
69,2599.6,52.6,36.2,205.4,335.6,5722.6,10000.0,1557.8,8010.4
70,2625.0,49.4,25.6,193.8,323.0,5735.2,10000.0,1557.8,8010.4
71,2649.0,47.2,20.8,181.4,313.0,5740.6,10000.0,1557.8,8010.4
72,2671.8,42.6,18.2,172.0,301.8,5745.6,10000.0,1557.8,8010.4
73,2699.8,38.2,12.0,162.6,294.2,5745.2,10000.0,1557.8,8010.4
74,2724.0,36.6,7.2,154.0,284.6,5745.6,10000.0,1557.8,8010.4
75,2749.2,34.8,4.8,145.2,271.8,5746.2,10000.0,1557.8,8010.4
76,2779.2,32.4,3.8,135.4,258.0,5743.2,10000.0,1557.8,8010.4
77,2805.6,30.8,2.6,126.2,246.8,5740.0,10000.0,1557.8,8010.4
78,2832.0,29.6,3.6,119.2,237.0,5730.6,10000.0,1557.8,8010.4
79,2856.4,28.2,3.4,111.6,223.6,5728.8,10000.0,1557.8,8010.4
80,2884.2,24.2,4.6,106.2,211.6,5721.2,10000.0,1557.8,8010.4
81,2913.6,22.0,3.4,100.8,200.8,5711.4,10000.0,1557.8,8010.4
