Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,8932.0,10.0,9.0,0.0,0.0,1.0,10000.0,1706.2,8293.8
1,8922.8,18.4,9.2,0.2,0.0,1.4,10000.0,1706.2,8293.8
2,8910.4,26.2,11.2,2.4,0.0,1.8,10000.0,1706.2,8293.8
3,8887.8,43.2,13.2,5.4,0.0,2.4,10000.0,1706.2,8293.8
4,8859.6,61.8,18.4,8.8,0.0,3.4,10000.0,1706.2,8293.8
5,8814.4,95.2,24.4,13.2,0.0,4.8,10000.0,1706.2,8293.8
6,8711.0,177.0,35.2,20.8,0.0,8.0,10000.0,1706.2,8293.8
7,8571.4,281.8,51.8,34.2,0.0,12.8,10000.0,1706.2,8293.8
8,8418.2,380.4,81.6,54.4,0.0,17.4,10000.0,1706.2,8293.8
9,8223.6,500.4,118.6,81.4,0.0,28.0,10000.0,1706.2,8293.8
10,7989.2,631.8,174.0,117.0,0.0,40.0,10000.0,1706.2,8293.8
11,7715.2,781.4,239.4,155.0,0.0,61.0,10000.0,1706.2,8293.8
12,7415.6,924.8,323.0,204.0,0.0,84.6,10000.0,1706.2,8293.8
13,7069.4,1088.6,412.0,262.0,0.0,120.0,10000.0,1706.2,8293.8
14,6707.4,1230.2,516.4,329.6,0.0,168.4,10000.0,1706.2,8293.8
15,6344.2,1343.6,628.4,409.6,0.0,226.2,10000.0,1706.2,8293.8
16,5968.2,1449.4,751.6,479.8,0.0,303.0,10000.0,1706.2,8293.8
17,5613.0,1524.2,862.2,565.6,0.0,387.0,10000.0,1706.2,8293.8
18,5258.0,1581.8,977.2,651.0,0.0,484.0,10000.0,1706.2,8293.8
19,4945.0,1583.0,1089.2,732.0,0.0,602.8,10000.0,1706.2,8293.8
20,4656.8,1547.4,1194.2,813.4,19.4,720.8,10000.0,1706.2,8293.8
21,4391.4,1506.2,1278.8,880.8,36.6,858.2,10000.0,1706.2,8293.8
22,4153.6,1444.4,1353.2,934.8,54.4,1011.6,10000.0,1706.2,8293.8
23,3943.6,1378.4,1406.8,982.0,68.4,1172.8,10000.0,1706.2,8293.8
24,3752.0,1294.4,1454.2,1018.8,80.8,1351.8,10000.0,1706.2,8293.8
25,3584.2,1210.2,1481.6,1051.2,93.2,1531.6,10000.0,1706.2,8293.8
26,3425.8,1138.0,1502.8,1070.8,103.8,1710.8,10000.0,1706.2,8293.8
27,3289.6,1051.2,1512.0,1082.0,114.8,1902.4,10000.0,1706.2,8293.8
28,3142.8,991.8,1515.2,1093.8,126.6,2081.8,10000.0,1706.2,8293.8
29,3026.0,919.6,1504.6,1103.8,136.0,2262.0,10000.0,1706.2,8293.8
30,2914.4,860.2,1484.8,1096.0,143.0,2453.6,10000.0,1706.2,8293.8
31,2810.0,808.0,1466.4,1091.4,149.2,2627.0,10000.0,1706.2,8293.8
32,2730.4,745.8,1433.2,1076.8,154.8,2811.0,10000.0,1706.2,8293.8
33,2647.2,695.2,1404.2,1061.0,162.2,2982.2,10000.0,1706.2,8293.8
34,2578.2,642.0,1367.0,1042.8,167.8,3154.2,10000.0,1706.2,8293.8
35,2520.2,589.6,1332.4,1023.8,175.2,3310.8,10000.0,1706.2,8293.8
36,2467.4,541.8,1289.4,1005.4,179.8,3468.2,10000.0,1706.2,8293.8
37,2417.2,505.2,1249.4,975.4,182.4,3622.4,10000.0,1706.2,8293.8
38,2372.4,469.0,1203.6,944.4,189.0,3773.6,10000.0,1706.2,8293.8
39,2330.6,446.6,1150.6,918.4,195.0,3910.8,10000.0,1706.2,8293.8
40,2302.0,411.8,1075.0,892.6,228.0,4042.6,10000.0,1706.2,8293.8
41,2273.6,380.2,1000.2,864.0,259.6,4174.4,10000.0,1706.2,8293.8
42,2247.4,357.4,921.6,829.4,288.6,4307.6,10000.0,1706.2,8293.8
43,2229.2,332.0,864.8,791.8,313.0,4421.2,10000.0,1706.2,8293.8
44,2209.6,309.8,795.6,758.2,337.0,4541.8,10000.0,1706.2,8293.8
45,2197.2,283.6,731.2,726.8,357.4,4655.8,10000.0,1706.2,8293.8
46,2184.6,260.2,670.0,698.6,377.2,4761.4,10000.0,1706.2,8293.8
47,2174.6,250.8,601.4,661.4,399.6,4864.2,10000.0,1706.2,8293.8
48,2166.2,237.6,540.4,630.2,417.6,4960.0,10000.0,1706.2,8293.8
49,2165.6,218.6,479.4,608.8,430.4,5049.2,10000.0,1706.2,8293.8
50,2165.8,202.0,426.0,578.8,447.4,5132.0,10000.0,1706.2,8293.8
51,2169.2,190.8,368.8,553.0,460.8,5209.4,10000.0,1706.2,8293.8
52,2173.6,175.4,316.2,531.2,476.8,5278.8,10000.0,1706.2,8293.8
53,2181.8,162.2,265.2,509.8,490.0,5343.0,10000.0,1706.2,8293.8
54,2189.8,148.4,221.0,484.6,501.6,5406.6,10000.0,1706.2,8293.8
55,2203.8,138.6,178.0,466.0,509.8,5455.8,10000.0,1706.2,8293.8
56,2210.6,129.2,139.8,446.2,515.0,5511.2,10000.0,1706.2,8293.8
57,2224.4,120.8,107.2,423.0,518.2,5558.4,10000.0,1706.2,8293.8
58,2241.2,108.6,83.6,402.0,515.6,5601.0,10000.0,1706.2,8293.8
59,2261.6,95.4,68.6,377.8,503.6,5645.0,10000.0,1706.2,8293.8
60,2283.0,84.8,47.0,352.2,508.0,5677.0,10000.0,1706.2,8293.8
61,2302.0,75.6,40.6,329.0,496.2,5708.6,10000.0,1706.2,8293.8
62,2325.2,66.8,34.2,307.4,481.6,5736.8,10000.0,1706.2,8293.8
63,2348.4,61.8,27.8,285.8,465.8,5762.4,10000.0,1706.2,8293.8
64,2372.4,53.8,23.2,268.6,452.0,5782.0,10000.0,1706.2,8293.8
65,2395.6,48.8,18.4,249.0,434.6,5805.6,10000.0,1706.2,8293.8
66,2416.4,45.6,15.4,237.8,415.6,5821.2,10000.0,1706.2,8293.8
67,2443.2,42.0,12.4,224.2,390.8,5839.4,10000.0,1706.2,8293.8
68,2472.4,37.8,10.2,210.6,372.4,5848.6,10000.0,1706.2,8293.8
69,2497.2,37.0,6.8,196.4,355.8,5858.8,10000.0,1706.2,8293.8
70,2528.2,36.2,4.8,184.6,337.2,5861.0,10000.0,1706.2,8293.8
71,2555.2,31.4,6.4,174.6,316.8,5867.6,10000.0,1706.2,8293.8
72,2581.8,29.0,4.6,167.4,302.0,5867.2,10000.0,1706.2,8293.8
73,2608.4,27.6,4.4,157.4,285.8,5868.4,10000.0,1706.2,8293.8
74,2638.0,27.2,4.0,148.6,272.0,5862.2,10000.0,1706.2,8293.8
75,2668.2,25.8,5.2,137.6,258.4,5856.8,10000.0,1706.2,8293.8
76,2690.8,25.4,3.4,129.0,247.8,5855.6,10000.0,1706.2,8293.8
77,2716.6,23.0,5.4,121.2,230.8,5855.0,10000.0,1706.2,8293.8
78,2742.8,24.2,2.2,110.8,222.8,5849.2,10000.0,1706.2,8293.8
