Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,8935.4,6.6,9.8,0.0,0.0,0.2,10000.0,1541.6,7655.2
1,8930.4,9.8,10.8,0.8,0.0,0.2,10000.0,1541.6,7655.2
2,8911.4,26.8,11.2,1.4,0.0,1.2,10000.0,1541.6,7655.2
3,8880.4,52.2,13.4,3.8,0.0,2.2,10000.0,1541.6,7655.2
4,8832.6,89.2,20.2,6.6,0.0,3.4,10000.0,1541.6,7655.2
5,8756.2,150.2,26.0,14.4,0.0,5.2,10000.0,1541.6,7655.2
6,8656.6,219.2,44.4,23.8,0.0,8.0,10000.0,1541.6,7655.2
7,8503.8,326.8,70.0,38.6,0.0,12.8,10000.0,1541.6,7655.2
8,8312.8,455.6,101.8,62.2,0.0,19.6,10000.0,1541.6,7655.2
9,8098.8,575.8,147.6,97.4,0.0,32.4,10000.0,1541.6,7655.2
10,7847.8,706.2,208.6,142.4,0.0,47.0,10000.0,1541.6,7655.2
11,7564.6,852.6,276.2,186.8,0.0,71.8,10000.0,1541.6,7655.2
12,7247.8,1004.2,357.2,239.2,0.0,103.6,10000.0,1541.6,7655.2
13,6913.0,1141.0,448.6,303.6,0.0,145.8,10000.0,1541.6,7655.2
14,6568.8,1252.6,555.6,373.0,0.0,202.0,10000.0,1541.6,7655.2
15,6225.8,1350.2,660.2,443.0,0.0,272.8,10000.0,1541.6,7655.2
16,5889.0,1415.6,778.0,519.2,0.0,350.2,10000.0,1541.6,7655.2
17,5580.2,1438.6,890.0,602.8,0.0,440.4,10000.0,1541.6,7655.2
18,5284.4,1447.2,997.2,679.6,0.0,543.6,10000.0,1541.6,7655.2
19,5009.6,1444.4,1098.4,735.4,0.0,664.2,10000.0,1541.6,7655.2
20,4766.8,1398.0,1178.2,806.0,16.6,786.4,10000.0,1541.6,7655.2
21,4531.8,1359.8,1244.6,859.2,31.6,925.0,10000.0,1541.6,7655.2
22,4311.4,1317.6,1305.2,904.0,44.4,1069.4,10000.0,1541.6,7655.2
23,4117.8,1248.0,1356.2,947.6,57.6,1224.8,10000.0,1541.6,7655.2
24,3940.0,1171.8,1403.8,983.4,69.6,1383.4,10000.0,1541.6,7655.2
25,3770.4,1105.0,1436.2,1015.0,81.8,1543.6,10000.0,1541.6,7655.2
26,3612.8,1040.0,1458.6,1031.2,91.8,1717.6,10000.0,1541.6,7655.2
27,3480.8,981.0,1459.8,1046.2,102.8,1881.4,10000.0,1541.6,7655.2
28,3356.6,921.0,1445.2,1050.8,112.6,2065.8,10000.0,1541.6,7655.2
29,3249.0,854.2,1436.6,1054.4,120.2,2237.6,10000.0,1541.6,7655.2
30,3154.8,788.6,1423.6,1049.2,125.6,2410.2,10000.0,1541.6,7655.2
31,3061.4,747.2,1394.2,1032.0,133.4,2583.8,10000.0,1541.6,7655.2
32,2983.4,693.4,1368.4,1020.4,142.6,2743.8,10000.0,1541.6,7655.2
33,2898.4,650.6,1337.0,1009.8,148.4,2907.8,10000.0,1541.6,7655.2
34,2828.2,613.4,1299.2,989.0,158.4,3063.8,10000.0,1541.6,7655.2
35,2762.4,572.2,1269.6,971.2,162.8,3213.8,10000.0,1541.6,7655.2
36,2700.0,540.6,1228.8,948.8,166.8,3367.0,10000.0,1541.6,7655.2
37,2642.2,514.2,1186.8,928.6,172.8,3507.4,10000.0,1541.6,7655.2
38,2589.2,490.2,1143.4,897.2,177.4,3654.6,10000.0,1541.6,7655.2
39,2552.6,453.4,1101.0,869.0,182.4,3793.6,10000.0,1541.6,7655.2
40,2509.4,424.8,1037.4,843.6,211.4,3925.4,10000.0,1541.6,7655.2
41,2475.2,397.8,964.6,811.4,237.8,4065.2,10000.0,1541.6,7655.2
42,2448.8,369.4,903.4,785.8,262.0,4182.6,10000.0,1541.6,7655.2
43,2424.4,342.4,845.8,762.6,285.6,4291.2,10000.0,1541.6,7655.2
44,2406.0,316.0,787.0,729.8,303.4,4409.8,10000.0,1541.6,7655.2
45,2391.8,285.2,740.8,700.4,319.6,4514.2,10000.0,1541.6,7655.2
46,2384.4,258.0,689.6,673.4,331.6,4615.0,10000.0,1541.6,7655.2
47,2375.8,243.4,637.8,643.6,343.0,4708.4,10000.0,1541.6,7655.2
48,2373.6,232.6,589.0,604.4,355.6,4796.8,10000.0,1541.6,7655.2
49,2375.2,213.4,544.2,577.6,364.0,4877.6,10000.0,1541.6,7655.2
50,2373.6,196.2,502.0,551.6,368.8,4959.8,10000.0,1541.6,7655.2
51,2373.6,184.0,456.2,527.8,373.0,5037.4,10000.0,1541.6,7655.2
52,2372.8,173.0,416.2,500.4,381.2,5108.4,10000.0,1541.6,7655.2
53,2380.6,159.8,379.0,477.8,385.4,5169.4,10000.0,1541.6,7655.2
54,2387.2,149.8,345.2,456.2,388.6,5225.0,10000.0,1541.6,7655.2
55,2395.8,138.6,319.0,435.8,383.0,5279.8,10000.0,1541.6,7655.2
56,2402.6,133.4,285.8,417.8,380.8,5331.6,10000.0,1541.6,7655.2
57,2414.6,129.0,261.6,397.0,376.0,5373.8,10000.0,1541.6,7655.2
58,2431.4,120.0,236.0,380.0,373.2,5411.4,10000.0,1541.6,7655.2
59,2442.2,114.8,217.4,364.6,366.8,5446.2,10000.0,1541.6,7655.2
60,2446.2,111.6,193.2,347.2,370.0,5483.8,10000.0,1541.6,7655.2
61,2467.8,102.0,172.8,325.6,365.8,5518.0,10000.0,1541.6,7655.2
62,2486.4,94.4,150.4,312.4,363.2,5545.2,10000.0,1541.6,7655.2
63,2507.4,87.6,137.6,294.6,358.0,5566.8,10000.0,1541.6,7655.2
64,2526.8,83.2,120.2,280.4,353.4,5588.0,10000.0,1541.6,7655.2
65,2543.6,77.8,106.0,264.6,345.0,5615.0,10000.0,1541.6,7655.2
66,2560.6,71.6,98.0,247.0,338.6,5636.2,10000.0,1541.6,7655.2
67,2583.2,66.6,86.0,232.0,331.8,5652.4,10000.0,1541.6,7655.2
68,2600.4,67.2,73.4,218.4,321.6,5671.0,10000.0,1541.6,7655.2
69,2624.6,61.2,65.4,207.4,311.8,5681.6,10000.0,1541.6,7655.2
70,2647.8,58.4,57.6,197.8,299.2,5691.2,10000.0,1541.6,7655.2
71,2667.6,56.8,50.8,190.2,284.2,5702.4,10000.0,1541.6,7655.2
72,2690.4,56.0,41.4,177.6,276.8,5709.8,10000.0,1541.6,7655.2
73,2718.0,47.4,38.4,167.6,269.0,5711.6,10000.0,1541.6,7655.2
74,2748.0,43.8,31.6,158.2,262.6,5707.8,10000.0,1541.6,7655.2
75,2772.6,42.6,26.4,149.4,252.8,5708.2,10000.0,1541.6,7655.2
76,2796.8,38.0,23.6,140.2,243.6,5709.8,10000.0,1541.6,7655.2
77,2819.8,37.2,17.4,133.2,234.8,5709.6,10000.0,1541.6,7655.2
78,2845.0,34.6,18.4,124.0,223.8,5706.2,10000.0,1541.6,7655.2
79,2873.2,32.4,13.8,117.6,215.4,5699.6,10000.0,1541.6,7655.2
80,2902.6,29.2,11.2,109.4,207.6,5692.0,10000.0,1541.6,7655.2
81,2929.0,28.4,7.4,105.0,200.2,5682.0,10000.0,1541.6,7655.2
82,2954.8,28.2,6.4,98.0,191.6,5673.0,10000.0,1541.6,7655.2
83,2983.0,25.8,6.0,91.8,183.8,5661.6,10000.0,1541.6,7655.2
84,3009.0,23.8,4.6,85.0,177.4,5652.2,10000.0,1541.6,7655.2
85,3031.6,20.8,2.6,80.8,171.2,5645.0,10000.0,1541.6,7655.2
86,3056.4,19.0,2.4,77.0,158.8,5638.4,10000.0,1541.6,7655.2
87,3085.0,17.8,2.2,72.0,154.4,5620.6,10000.0,1541.6,7655.2
88,3112.0,18.8,1.8,67.8,143.6,5608.0,10000.0,1541.6,7655.2
89,3139.8,18.2,1.6,64.6,136.6,5591.2,10000.0,1541.6,7655.2
90,3168.6,16.6,2.2,61.2,129.6,5573.8,10000.0,1541.6,7655.2
91,3199.0,15.0,2.6,57.0,122.8,5555.6,10000.0,1541.6,7655.2
92,3227.2,15.6,1.0,53.6,117.0,5537.6,10000.0,1541.6,7655.2
93,3253.0,15.8,2.0,51.2,111.4,5518.6,10000.0,1541.6,7655.2
94,3281.4,17.4,1.8,46.6,106.2,5498.6,10000.0,1541.6,7655.2
95,3308.2,17.6,1.6,44.2,102.0,5478.4,10000.0,1541.6,7655.2
96,3332.8,16.0,2.0,43.4,99.0,5458.8,10000.0,1541.6,7655.2
97,3358.4,15.4,2.6,41.4,94.4,5439.8,10000.0,1541.6,7655.2
98,3380.0,18.8,1.6,39.2,91.4,5421.0,10000.0,1541.6,7655.2
99,3403.0,20.6,1.6,38.2,87.4,5401.2,10000.0,1541.6,7655.2
100,3428.8,19.2,3.4,35.8,82.8,5382.0,10000.0,1541.6,7655.2
101,3454.0,19.8,2.6,34.8,79.6,5361.2,10000.0,1541.6,7655.2
102,3485.4,21.0,2.6,33.0,76.8,5333.2,10000.0,1541.6,7655.2
103,3509.2,20.6,3.0,32.6,74.8,5311.8,10000.0,1541.6,7655.2
104,3535.8,19.4,1.4,32.6,73.4,5289.4,10000.0,1541.6,7655.2
105,3561.0,18.2,3.0,30.2,69.6,5270.0,10000.0,1541.6,7655.2
106,3590.0,15.6,2.6,30.2,69.0,5244.6,10000.0,1541.6,7655.2
107,3617.8,14.4,2.0,28.4,67.2,5222.2,10000.0,1541.6,7655.2
108,3645.0,15.6,1.0,26.6,65.6,5198.2,10000.0,1541.6,7655.2
109,3670.0,13.6,2.0,24.8,62.8,5178.8,10000.0,1541.6,7655.2
110,3691.0,15.0,2.0,25.0,61.4,5157.6,10000.0,1541.6,7655.2
111,3714.8,14.6,1.8,24.2,58.6,5138.0,10000.0,1541.6,7655.2
112,3738.6,15.2,3.2,22.6,56.6,5115.8,10000.0,1541.6,7655.2
113,3763.4,14.4,1.4,20.8,56.2,5095.8,10000.0,1541.6,7655.2
114,3788.4,13.0,2.2,18.2,54.2,5076.0,10000.0,1541.6,7655.2
115,3816.6,12.2,1.2,17.4,52.0,5052.6,10000.0,1541.6,7655.2
116,3844.0,11.0,1.4,16.8,48.4,5030.4,10000.0,1541.6,7655.2
117,3867.8,11.4,2.0,16.2,46.6,5008.0,10000.0,1541.6,7655.2
118,3893.8,11.8,1.0,15.6,45.6,4984.2,10000.0,1541.6,7655.2
119,3917.6,12.4,1.4,15.4,41.6,4963.6,10000.0,1541.6,7655.2
120,3944.2,10.8,1.6,15.8,40.0,4939.6,10000.0,1541.6,7655.2
121,3970.2,10.0,1.8,15.6,38.6,4915.8,10000.0,1541.6,7655.2
122,3993.8,11.6,1.0,13.6,36.8,4895.2,10000.0,1541.6,7655.2
123,4019.8,11.0,1.6,13.2,34.2,4872.2,10000.0,1541.6,7655.2
124,4041.8,11.0,1.2,12.6,34.8,4850.6,10000.0,1541.6,7655.2
125,4070.6,10.8,1.0,12.6,34.2,4822.8,10000.0,1541.6,7655.2
126,4096.0,9.4,1.6,12.6,31.8,4800.6,10000.0,1541.6,7655.2
127,4121.4,9.2,1.0,12.4,31.4,4776.6,10000.0,1541.6,7655.2
128,4146.8,8.2,1.4,12.6,31.6,4751.4,10000.0,1541.6,7655.2
129,4171.8,9.8,1.0,13.0,30.6,4725.8,10000.0,1541.6,7655.2
130,4197.0,9.2,1.8,13.8,29.4,4700.8,10000.0,1541.6,7655.2
131,4217.8,11.2,1.6,12.8,30.8,4677.8,10000.0,1541.6,7655.2
132,4241.6,12.2,1.4,11.4,30.2,4655.2,10000.0,1541.6,7655.2
133,4264.4,10.4,1.8,11.6,30.0,4633.8,10000.0,1541.6,7655.2
134,4289.8,10.4,1.6,11.0,29.8,4609.4,10000.0,1541.6,7655.2
135,4311.0,10.0,1.8,10.2,29.2,4589.8,10000.0,1541.6,7655.2
136,4337.6,9.0,1.6,10.0,29.4,4564.4,10000.0,1541.6,7655.2
137,4362.4,10.2,0.8,9.6,28.8,4540.2,10000.0,1541.6,7655.2
138,4384.0,11.8,1.6,9.0,27.0,4518.6,10000.0,1541.6,7655.2
139,4403.6,14.4,0.6,9.4,27.2,4496.8,10000.0,1541.6,7655.2
140,4418.8,16.2,1.0,10.8,26.4,4478.8,10000.0,1541.6,7655.2
141,4441.8,16.4,1.6,11.0,25.0,4456.2,10000.0,1541.6,7655.2
142,4460.4,18.4,1.2,11.4,25.8,4434.8,10000.0,1541.6,7655.2
143,4481.6,17.8,2.4,12.2,25.4,4412.6,10000.0,1541.6,7655.2
144,4502.4,16.4,2.2,11.8,27.4,4391.8,10000.0,1541.6,7655.2
145,4521.2,15.0,2.2,13.0,28.2,4372.4,10000.0,1541.6,7655.2
146,4543.0,13.6,2.0,13.4,29.0,4351.0,10000.0,1541.6,7655.2
147,4564.6,15.4,1.2,14.0,29.6,4327.2,10000.0,1541.6,7655.2
148,4586.8,14.6,2.0,13.2,28.4,4307.0,10000.0,1541.6,7655.2
149,4608.2,14.0,2.2,12.6,29.8,4285.2,10000.0,1541.6,7655.2
