Day,S,E,I,A,Q,R,total_tests_administered,total_positive_tests,total_wasted_tests
0,8936.0,6.0,8.8,0.0,0.0,1.2,10000.0,1651.4,7501.6
1,8931.0,10.4,8.8,0.0,0.0,1.8,10000.0,1651.4,7501.6
2,8925.0,15.0,8.4,1.2,0.0,2.4,10000.0,1651.4,7501.6
3,8917.2,20.2,9.8,2.0,0.0,2.8,10000.0,1651.4,7501.6
4,8900.0,34.0,11.6,3.0,0.0,3.4,10000.0,1651.4,7501.6
5,8870.2,56.8,15.6,5.2,0.0,4.2,10000.0,1651.4,7501.6
6,8812.0,105.0,19.4,10.0,0.0,5.6,10000.0,1651.4,7501.6
7,8740.8,157.4,28.4,17.4,0.0,8.0,10000.0,1651.4,7501.6
8,8634.6,236.0,42.4,28.2,0.0,10.8,10000.0,1651.4,7501.6
9,8479.6,337.2,72.0,48.8,0.0,14.4,10000.0,1651.4,7501.6
10,8292.2,459.6,104.2,73.6,0.0,22.4,10000.0,1651.4,7501.6
11,8061.6,596.4,155.0,105.0,0.0,34.0,10000.0,1651.4,7501.6
12,7808.8,731.0,214.0,144.6,0.0,53.6,10000.0,1651.4,7501.6
13,7517.4,879.4,288.2,190.8,0.0,76.2,10000.0,1651.4,7501.6
14,7162.4,1056.2,376.6,248.2,0.0,108.6,10000.0,1651.4,7501.6
15,6779.0,1223.6,477.4,319.6,0.0,152.4,10000.0,1651.4,7501.6
16,6402.2,1359.8,590.8,397.8,0.0,201.4,10000.0,1651.4,7501.6
17,6017.4,1472.0,713.4,476.8,0.0,272.4,10000.0,1651.4,7501.6
18,5647.4,1538.4,843.2,565.2,0.0,357.8,10000.0,1651.4,7501.6
19,5280.2,1605.6,963.8,646.4,0.0,456.0,10000.0,1651.4,7501.6
20,4974.2,1592.8,1075.4,720.6,17.0,572.0,10000.0,1651.4,7501.6
21,4715.0,1547.8,1158.4,804.8,31.4,694.6,10000.0,1651.4,7501.6
22,4464.4,1493.0,1244.8,876.4,45.0,828.4,10000.0,1651.4,7501.6
23,4256.0,1387.4,1325.0,945.2,57.4,981.0,10000.0,1651.4,7501.6
24,4070.0,1304.6,1385.8,980.2,70.6,1140.8,10000.0,1651.4,7501.6
25,3882.2,1238.8,1422.6,1015.2,80.4,1312.8,10000.0,1651.4,7501.6
26,3722.2,1161.8,1449.2,1039.8,90.8,1488.2,10000.0,1651.4,7501.6
27,3567.6,1085.4,1481.6,1051.2,101.4,1664.8,10000.0,1651.4,7501.6
28,3436.4,1001.0,1494.0,1072.2,109.6,1838.8,10000.0,1651.4,7501.6
29,3310.4,933.6,1493.0,1071.8,118.4,2024.8,10000.0,1651.4,7501.6
30,3204.2,857.8,1486.0,1073.6,127.0,2203.4,10000.0,1651.4,7501.6
31,3098.8,809.0,1464.4,1060.4,135.0,2384.4,10000.0,1651.4,7501.6
32,2997.6,762.8,1433.8,1057.8,142.0,2558.0,10000.0,1651.4,7501.6
33,2904.8,720.2,1405.0,1033.8,147.6,2740.6,10000.0,1651.4,7501.6
34,2836.2,661.8,1370.2,1020.8,153.4,2909.6,10000.0,1651.4,7501.6
35,2760.6,623.8,1335.6,1000.6,158.6,3072.8,10000.0,1651.4,7501.6
36,2702.0,577.8,1300.4,975.2,166.2,3230.4,10000.0,1651.4,7501.6
37,2648.6,536.4,1250.8,948.2,172.0,3396.0,10000.0,1651.4,7501.6
38,2602.4,487.2,1214.2,927.4,177.2,3543.6,10000.0,1651.4,7501.6
39,2551.4,466.2,1172.4,889.8,179.2,3693.0,10000.0,1651.4,7501.6
40,2512.0,429.8,1100.4,867.2,207.2,3835.4,10000.0,1651.4,7501.6
41,2477.8,399.6,1042.4,839.0,234.6,3958.6,10000.0,1651.4,7501.6
42,2448.2,370.2,967.2,817.0,258.8,4090.6,10000.0,1651.4,7501.6
43,2421.4,351.0,901.0,774.8,280.6,4223.2,10000.0,1651.4,7501.6
44,2388.0,336.0,833.0,747.8,301.4,4345.8,10000.0,1651.4,7501.6
45,2375.8,304.2,773.6,718.6,320.2,4459.6,10000.0,1651.4,7501.6
46,2364.4,280.2,715.6,696.0,333.4,4562.4,10000.0,1651.4,7501.6
47,2349.8,262.0,663.6,666.0,349.6,4661.0,10000.0,1651.4,7501.6
48,2340.4,242.2,605.8,633.4,363.2,4767.0,10000.0,1651.4,7501.6
49,2335.4,226.0,555.0,605.6,373.6,4856.4,10000.0,1651.4,7501.6
50,2334.8,210.8,505.4,580.2,384.2,4936.6,10000.0,1651.4,7501.6
51,2343.2,185.2,459.6,561.6,390.0,5012.4,10000.0,1651.4,7501.6
52,2345.0,177.6,415.4,536.6,391.6,5085.8,10000.0,1651.4,7501.6
53,2351.6,163.4,371.8,511.8,398.4,5155.0,10000.0,1651.4,7501.6
54,2356.6,150.0,334.0,493.4,403.8,5214.2,10000.0,1651.4,7501.6
55,2366.4,145.4,297.2,469.4,409.0,5264.6,10000.0,1651.4,7501.6
56,2370.4,138.6,272.2,445.4,409.6,5315.8,10000.0,1651.4,7501.6
57,2377.8,134.0,242.6,421.6,406.8,5369.2,10000.0,1651.4,7501.6
58,2388.0,128.0,216.8,401.2,406.4,5411.6,10000.0,1651.4,7501.6
59,2396.4,122.8,193.4,379.6,398.4,5461.4,10000.0,1651.4,7501.6
60,2415.8,111.2,168.0,357.4,396.4,5503.2,10000.0,1651.4,7501.6
61,2423.8,103.8,145.6,340.2,390.8,5547.8,10000.0,1651.4,7501.6
62,2438.0,97.6,131.4,323.2,384.8,5577.0,10000.0,1651.4,7501.6
63,2451.0,95.2,115.0,305.4,376.4,5609.0,10000.0,1651.4,7501.6
64,2469.8,89.2,104.0,291.6,364.4,5633.0,10000.0,1651.4,7501.6
65,2486.4,83.2,94.2,278.6,355.6,5654.0,10000.0,1651.4,7501.6
66,2514.2,74.4,89.0,260.6,343.6,5670.2,10000.0,1651.4,7501.6
67,2534.0,69.2,79.6,247.8,335.6,5685.8,10000.0,1651.4,7501.6
68,2555.8,65.0,69.2,234.6,328.2,5699.2,10000.0,1651.4,7501.6
69,2576.8,65.0,60.0,222.8,320.0,5707.4,10000.0,1651.4,7501.6
70,2596.8,60.4,54.6,211.0,307.4,5721.8,10000.0,1651.4,7501.6
71,2619.8,54.8,46.2,202.2,295.0,5734.0,10000.0,1651.4,7501.6
72,2648.8,50.8,39.8,191.4,286.8,5734.4,10000.0,1651.4,7501.6
73,2671.6,50.8,34.2,182.0,278.4,5735.0,10000.0,1651.4,7501.6
74,2697.6,48.4,32.0,173.4,266.0,5734.6,10000.0,1651.4,7501.6
75,2719.4,49.4,24.4,166.4,258.8,5733.6,10000.0,1651.4,7501.6
76,2744.0,45.4,20.6,161.8,247.6,5732.6,10000.0,1651.4,7501.6
77,2767.2,46.0,15.0,153.2,240.2,5730.4,10000.0,1651.4,7501.6
78,2787.6,41.8,13.8,149.2,232.6,5727.0,10000.0,1651.4,7501.6
79,2811.8,42.0,10.8,140.4,227.0,5720.0,10000.0,1651.4,7501.6
80,2844.4,39.2,8.8,132.4,216.2,5711.0,10000.0,1651.4,7501.6
81,2869.4,36.2,6.4,125.8,209.0,5705.2,10000.0,1651.4,7501.6
82,2897.2,32.6,6.0,118.4,201.0,5696.8,10000.0,1651.4,7501.6
83,2924.8,33.0,2.2,110.8,193.2,5688.0,10000.0,1651.4,7501.6
84,2953.0,31.8,4.2,103.8,183.2,5676.0,10000.0,1651.4,7501.6
85,2978.0,29.0,4.8,97.8,175.4,5667.0,10000.0,1651.4,7501.6
86,3001.2,28.0,3.8,90.8,168.6,5659.6,10000.0,1651.4,7501.6
87,3029.0,25.2,3.8,87.6,160.8,5645.6,10000.0,1651.4,7501.6
88,3050.8,24.0,2.8,81.8,156.2,5636.4,10000.0,1651.4,7501.6
89,3078.0,20.8,2.6,80.4,150.2,5620.0,10000.0,1651.4,7501.6
90,3111.6,17.6,2.8,76.4,144.0,5599.6,10000.0,1651.4,7501.6
91,3138.2,15.6,2.4,70.8,136.8,5588.2,10000.0,1651.4,7501.6
92,3168.0,15.8,2.2,66.2,126.8,5573.0,10000.0,1651.4,7501.6
